# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [HTRA] HoeffdingAdaptiveTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTRA_incremental4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTRA],current_mse_[HTRA],training_time_[HTRA],testing_time_[HTRA],total_running_time_[HTRA]
199,0.242466,0.242466,0.039084,0.006073,0.045157
399,0.206831,0.171195,0.068308,0.010494,0.078802
599,0.191750,0.161590,0.109535,0.014985,0.124520
799,0.183211,0.157592,0.148424,0.019477,0.167901
999,0.178262,0.158466,0.206628,0.024007,0.230635
1199,0.176012,0.164763,0.247372,0.028541,0.275913
1399,0.172128,0.148827,0.299295,0.033104,0.332398
1599,0.169115,0.148020,0.357582,0.037672,0.395255
1799,0.165771,0.139021,0.403349,0.042243,0.445593
1999,0.163213,0.140189,0.467986,0.046848,0.514834
2199,0.160372,0.131961,0.522728,0.051439,0.574167
2399,0.158057,0.132589,0.572118,0.056070,0.628188
2599,0.155377,0.123223,0.638293,0.060643,0.698936
2799,0.154441,0.142268,0.703989,0.065296,0.769286
2999,0.153384,0.138588,0.755990,0.069899,0.825888
3199,0.152891,0.145505,0.824937,0.074561,0.899498
3399,0.150502,0.112271,0.879854,0.079279,0.959133
3599,0.149631,0.134832,0.942068,0.083912,1.025980
3799,0.148848,0.134753,1.004140,0.088584,1.092725
3999,0.149280,0.157478,1.075006,0.093290,1.168296
4199,0.148972,0.142820,1.145360,0.097949,1.243309
4399,0.147839,0.124035,1.209435,0.102633,1.312068
4599,0.146888,0.125970,1.267471,0.107334,1.374806
4799,0.146422,0.135717,1.347456,0.112071,1.459526
4999,0.145250,0.117118,1.434109,0.116849,1.550958
5199,0.145516,0.152164,1.509869,0.121602,1.631471
5399,0.145373,0.141661,1.570075,0.126365,1.696440
5599,0.145030,0.135747,1.652433,0.131112,1.783545
5799,0.144269,0.122974,1.715163,0.135900,1.851062
5999,0.143960,0.135001,1.784545,0.140662,1.925207
6199,0.142975,0.113435,1.853669,0.145456,1.999125
6399,0.142157,0.116776,1.918163,0.150214,2.068376
6599,0.141421,0.117867,1.996402,0.155003,2.151405
6799,0.140826,0.121189,2.073085,0.159786,2.232871
6999,0.140779,0.139209,2.139217,0.164588,2.303805
7199,0.140281,0.122840,2.213837,0.169411,2.383248
7399,0.140051,0.131768,2.295826,0.174272,2.470098
7599,0.139566,0.121612,2.366886,0.179111,2.545997
7799,0.139651,0.142889,2.432851,0.183885,2.616736
7999,0.139098,0.117543,2.523290,0.188739,2.712029
8199,0.138505,0.114756,2.600130,0.193554,2.793684
8399,0.138084,0.120830,2.679014,0.198401,2.877415
8599,0.137543,0.114823,2.749202,0.203212,2.952413
8799,0.137571,0.138770,2.828166,0.208099,3.036265
