# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [KNN] KNNRegressor(aggregation_method='mean', leaf_size=30, max_window_size=1000, metric='euclidean', n_neighbors=5)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_KNN_abrupto3.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[KNN],current_mse_[KNN],training_time_[KNN],testing_time_[KNN],total_running_time_[KNN]
17599,5129.708998,5807.502581,0.465744,7.872815,8.338559
17799,5125.007923,4711.313310,0.471195,7.964702,8.435898
17999,5121.118398,4774.950639,0.476625,8.056627,8.533252
18199,5113.915724,4465.675065,0.482055,8.148392,8.630447
18399,5098.326811,3679.735739,0.487491,8.240245,8.727736
18599,5087.460353,4087.746248,0.492928,8.332336,8.825264
18799,5091.383004,5456.189583,0.498323,8.424169,8.922492
18999,5094.428578,5380.712452,0.503821,8.516430,9.020251
19199,5099.943604,5623.871143,0.509249,8.608465,9.117715
19399,5101.421393,5243.289072,0.514694,8.700627,9.215321
19599,5101.263964,5085.993421,0.520086,8.792565,9.312651
19799,5101.464875,5121.154111,0.525531,8.884650,9.410182
19999,5099.535363,4908.513650,0.530976,8.976494,9.507470
20199,5096.402573,4783.123604,0.536409,9.068279,9.604688
20399,5092.707369,4719.491760,0.541846,9.160194,9.702039
20599,5087.462133,4552.448056,0.547238,9.252392,9.799629
20799,5088.740727,5220.435905,0.552648,9.344179,9.896827
20999,5078.453302,4008.561124,0.558082,9.436116,9.994198
21199,5076.513390,4872.822589,0.563556,9.527842,10.091398
21399,5087.208403,6220.879787,0.569069,9.619805,10.188873
21599,5080.726757,4387.190636,0.574499,9.711873,10.286372
21799,5081.220287,5134.521516,0.579950,9.803949,10.383898
21999,5073.247455,4204.208781,0.585368,9.895618,10.480986
22199,5076.986197,5488.247821,0.590813,9.987467,10.578280
22399,5074.410239,4788.478884,0.596280,10.079274,10.675554
22599,5068.283583,4382.098133,0.601752,10.171400,10.773152
22799,5072.550440,5554.705280,0.607199,10.263289,10.870488
22999,5076.233684,5496.123528,0.612647,10.354976,10.967623
23199,5080.108709,5525.736625,0.618097,10.446616,11.064713
23399,5084.922746,5643.350971,0.623533,10.538407,11.161940
23599,5081.392337,4668.334530,0.628970,10.630406,11.259376
23799,5077.476907,4615.456145,0.634452,10.722460,11.356912
23999,5071.599003,4372.128477,0.639891,10.814279,11.454169
24199,5067.481192,4573.343778,0.645364,10.906130,11.551494
24399,5065.851014,4868.599481,0.650841,10.998416,11.649256
24599,5058.978700,4220.556415,0.656379,11.090583,11.746962
24799,5056.505834,4752.343371,0.661863,11.182733,11.844595
24999,5050.110524,4257.092053,0.667277,11.274755,11.942033
25199,5047.252773,4690.033893,0.672744,11.366839,12.039583
25399,5047.429026,5069.636951,0.678225,11.458895,12.137120
25599,5043.380232,4529.183314,0.683703,11.551019,12.234722
25799,5041.428166,4791.563792,0.689174,11.643126,12.332300
25999,5041.189750,5010.434087,0.694619,11.735139,12.429758
26199,5036.405709,4414.480271,0.700065,11.827317,12.527382
26399,5035.132903,4868.395317,0.705485,11.919407,12.624892
26599,5035.644745,5103.207981,0.710971,12.011244,12.722215
26799,5034.144654,4834.632532,0.716477,12.103361,12.819838
26999,5030.432882,4533.055388,0.721893,12.195226,12.917119
27199,5031.456040,5169.582351,0.727322,12.287138,13.014460
27399,5031.451319,5030.809323,0.732831,12.379169,13.111999
27599,5028.115987,4571.175459,0.738271,12.470853,13.209124
27799,5027.748879,4977.088031,0.743849,12.563272,13.307121
