# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [HTRA] HoeffdingAdaptiveTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTRA_abrupto1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTRA],current_mse_[HTRA],training_time_[HTRA],testing_time_[HTRA],total_running_time_[HTRA]
16599,5887.583005,4571.597756,5.165720,0.381689,5.547409
16799,5864.087074,3913.924832,5.236260,0.386521,5.622781
16999,5833.272012,3244.806796,5.318171,0.391327,5.709498
17199,5817.798191,4502.523409,5.417371,0.396187,5.813558
17399,5806.342114,4821.119501,5.508167,0.401048,5.909215
17599,5802.575693,5474.896997,5.587688,0.405855,5.993543
17799,5784.031671,4152.157730,5.657415,0.410677,6.068092
17999,5761.687573,3773.062871,5.738458,0.415505,6.153963
18199,5738.940501,3691.704080,5.836477,0.420390,6.256867
18399,5713.714625,3418.159837,5.908290,0.425279,6.333569
18599,5692.026627,3696.730842,6.023200,0.430119,6.453318
18799,5672.409922,3848.056379,6.093136,0.434957,6.528093
18999,5654.267438,3948.873908,6.172959,0.439812,6.612771
19199,5638.189815,4110.815670,6.244700,0.444678,6.689378
19399,5623.878290,4249.971851,6.333378,0.449567,6.782946
19599,5612.641374,4522.660580,6.413093,0.454437,6.867529
19799,5601.206456,4480.584406,6.528763,0.459341,6.988104
19999,5589.427040,4423.264855,6.610220,0.464207,7.074427
20199,5575.009606,4133.266259,6.715167,0.469107,7.184274
20399,5564.981321,4552.124482,6.789865,0.473986,7.263851
20599,5554.617135,4497.470169,6.863840,0.478847,7.342687
20799,5532.877431,3293.687996,6.939328,0.483728,7.423056
20999,5513.706965,3519.978457,7.026938,0.488595,7.515533
21199,5493.283440,3348.813354,7.109284,0.493472,7.602755
21399,5485.729544,4685.016561,7.197867,0.498321,7.696188
21599,5470.698111,3862.334743,7.280676,0.503218,7.783894
21799,5455.148676,3775.809742,7.355990,0.508094,7.864084
21999,5438.658385,3641.216585,7.439440,0.512962,7.952403
22199,5425.293282,3955.132027,7.515069,0.517857,8.032926
22399,5406.373564,3306.284808,7.592729,0.522763,8.115492
22599,5388.180997,3350.613517,7.670298,0.527672,8.197970
22799,5374.348540,3811.280921,7.747129,0.532579,8.279709
22999,5364.787159,4274.789728,7.876698,0.537518,8.414216
23199,5353.492934,4054.656985,7.968391,0.542451,8.510841
23399,5342.687525,4089.260110,8.059568,0.547347,8.606915
23599,5334.204778,4341.723441,8.192479,0.552282,8.744760
23799,5319.760396,3615.323302,8.270326,0.557183,8.827508
23999,5308.997419,4028.203180,8.362125,0.562072,8.924197
24199,5302.615705,4536.809926,8.441666,0.566984,9.008650
24399,5289.858723,3746.263948,8.520612,0.571885,9.092497
24599,5274.920503,3452.457711,8.595120,0.576788,9.171908
24799,5265.851922,4150.416376,8.711575,0.581708,9.293283
24999,5254.638440,3864.166701,8.789040,0.586614,9.375654
25199,5244.012777,3915.804926,8.869575,0.591543,9.461118
25399,5231.093088,3603.212229,8.959676,0.596437,9.556112
25599,5221.374143,3987.068110,9.072881,0.601354,9.674236
25799,5208.499403,3560.532725,9.152503,0.606291,9.758794
25999,5194.124023,3339.700042,9.237132,0.611223,9.848355
26199,5185.815282,4105.678959,9.330688,0.616173,9.946861
26399,5177.090579,4034.154421,9.427454,0.621103,10.048557
26599,5169.660480,4188.887391,9.521888,0.626037,10.147926
26799,5155.055517,3212.595481,9.600839,0.630956,10.231796
26999,5138.729689,2951.068699,9.709502,0.635896,10.345398
27199,5130.524483,4022.821744,9.818908,0.640822,10.459730
27399,5119.156559,3573.118873,9.913927,0.645762,10.559689
27599,5104.013889,3029.468109,9.994646,0.650689,10.645335
27799,5094.350221,3760.764070,10.081023,0.655618,10.736641
27999,5086.052879,3932.722232,10.160173,0.660536,10.820709
28199,5074.850064,3506.455961,10.240622,0.665455,10.906078
28399,5063.970640,3529.971934,10.343116,0.670379,11.013495
28599,5053.600354,3581.019670,10.423278,0.675311,11.098589
28799,5043.774652,3638.699364,10.543098,0.680260,11.223359
28999,5031.760561,3301.731401,10.624947,0.685173,11.310120
29199,5024.205305,3928.693185,10.704914,0.690090,11.395004
29399,5014.857366,3650.058218,10.808045,0.695018,11.503063
29599,5001.025146,2967.688890,10.896313,0.699941,11.596254
29799,4998.179826,4577.072471,11.018124,0.704882,11.723006
29999,4986.937519,3311.833717,11.098294,0.709813,11.808107
30199,4977.715561,3594.421926,11.209153,0.714787,11.923940
30399,4972.407671,4170.916323,11.306598,0.719752,12.026350
30599,4969.510817,4529.188962,11.390196,0.724704,12.114900
30799,4959.908630,3490.773969,11.472234,0.729651,12.201886
30999,4947.255646,2998.696165,11.554588,0.734597,12.289185
31199,4936.653139,3293.264476,11.655661,0.739565,12.395226
31399,4926.191899,3294.238517,11.749011,0.744555,12.493566
31599,4922.546508,4350.220084,11.852234,0.749540,12.601774
31799,4913.544826,3491.279094,11.951159,0.754522,12.705681
31999,4906.315545,3756.859925,12.061621,0.759512,12.821133
32199,4900.904592,4035.152108,12.160131,0.764499,12.924631
32399,4891.619275,3396.683128,12.243661,0.769476,13.013138
32599,4882.034951,3329.374568,12.342515,0.774504,13.117019
32799,4870.252521,2949.716447,12.429210,0.779463,13.208673
32999,4860.869033,3321.977019,12.512091,0.784438,13.296529
33199,4852.014868,3391.077637,12.602845,0.789406,13.392252
33399,4846.445007,3921.847926,12.718182,0.794417,13.512599
33599,4843.301098,4318.268315,12.812649,0.799427,13.612076
33799,4838.334971,4004.025713,12.899897,0.804403,13.704300
33999,4830.254167,3464.598244,12.984854,0.809411,13.794265
34199,4822.968046,3584.327536,13.081076,0.814406,13.895483
34399,4811.791006,2900.517070,13.190628,0.819421,14.010048
34599,4801.732905,3071.739622,13.322075,0.824446,14.146521
34799,4797.501343,4065.441039,13.430722,0.829462,14.260184
34999,4787.323734,3016.419803,13.525889,0.834475,14.360364
35199,4778.976211,3318.159684,13.623411,0.839499,14.462911
35399,4777.971191,4601.087627,13.710348,0.844493,14.554840
35599,4771.551046,3635.185382,13.796014,0.849469,14.645482
35799,4765.611358,3708.346975,13.909711,0.854517,14.764228
35999,4760.601280,3863.797364,14.026095,0.859552,14.885647
36199,4752.793066,3347.314462,14.113535,0.864556,14.978091
36399,4742.926690,2957.112631,14.200040,0.869573,15.069613
36599,4734.112662,3129.959583,14.288154,0.874573,15.162727
36799,4727.705667,3555.225599,14.377684,0.879602,15.257286
36999,4723.516384,3952.688343,14.480135,0.884626,15.364761
37199,4719.178013,3916.579406,14.585470,0.889655,15.475125
37399,4715.375274,4008.065795,14.692549,0.894728,15.587277
37599,4710.447931,3789.034837,14.792794,0.899745,15.692540
37799,4703.943290,3481.070613,14.898915,0.904790,15.803705
37999,4697.486536,3477.160046,14.989316,0.909787,15.899103
38199,4688.065435,2898.056293,15.077649,0.914775,15.992424
38399,4680.833563,3299.546083,15.174486,0.919818,16.094304
38599,4673.894072,3341.511714,15.272210,0.924855,16.197065
38799,4666.470046,3233.632988,15.361334,0.929852,16.291186
38999,4666.148522,4603.772877,15.459970,0.934891,16.394861
39199,4658.843911,3234.444911,15.558300,0.939927,16.498227
39399,4652.933830,3494.557929,15.698628,0.944995,16.643623
39599,4645.846058,3249.554923,15.788060,0.950013,16.738073
39799,4639.751775,3433.083717,15.878219,0.955042,16.833261
39999,4631.724212,3034.239226,15.968950,0.960057,16.929007
40199,4626.815287,3645.030259,16.059879,0.965086,17.024965
40399,4622.619609,3779.288414,16.185894,0.970147,17.156042
40599,4613.529449,2777.317116,16.297909,0.975199,17.273108
40799,4607.016305,3284.848091,16.391543,0.980222,17.371765
40999,4600.919738,3357.220041,16.484452,0.985270,17.469722
41199,4593.806162,3135.523046,16.576167,0.990307,17.566474
41399,4587.379268,3263.439057,16.674347,0.995342,17.669690
41599,4583.137170,3705.022799,16.783505,1.000461,17.783965
41799,4576.769491,3252.292395,16.877271,1.005524,17.882795
41999,4567.980026,2730.981769,16.972338,1.010575,17.982914
42199,4561.927779,3290.955953,17.064788,1.015623,18.080411
42399,4557.639657,3652.845995,17.183921,1.020688,18.204609
42599,4547.651773,2430.220253,17.276818,1.025741,18.302559
42799,4539.961385,2901.908754,17.368144,1.030763,18.398908
42999,4533.029390,3049.582491,17.462134,1.035834,18.497968
43199,4525.526389,2912.381208,17.586541,1.040925,18.627466
43399,4520.506287,3436.164240,17.708888,1.046025,18.754913
43599,4511.606892,2580.438071,17.819923,1.051116,18.871040
43799,4503.169806,2663.885161,17.913760,1.056169,18.969929
43999,4497.182174,3185.890681,18.023146,1.061253,19.084399
44199,4494.298467,3859.882901,18.129084,1.066338,19.195422
44399,4489.119657,3344.602653,18.293602,1.071480,19.365082
44599,4484.159645,3383.037090,18.400180,1.076544,19.476723
44799,4475.181031,2472.949976,18.507910,1.081616,19.589525
44999,4467.417565,2728.401311,18.612214,1.086677,19.698891
45199,4462.408730,3335.420774,18.722593,1.091753,19.814346
45399,4457.478804,3343.315611,18.829753,1.096825,19.926578
45599,4453.609886,3575.365398,18.926290,1.101906,20.028196
45799,4451.289747,3922.298037,19.040774,1.106964,20.147738
45999,4448.228506,3747.204456,19.135692,1.112028,20.247720
46199,4443.579212,3374.241556,19.243938,1.117123,20.361061
46399,4437.155719,2953.328748,19.345089,1.122185,20.467274
46599,4430.332484,2847.342134,19.463235,1.127277,20.590511
46799,4425.337632,3261.536941,19.583249,1.132367,20.715616
46999,4419.247049,2994.050816,19.677857,1.137458,20.815314
47199,4411.318356,2548.075386,19.772657,1.142540,20.915197
47399,4407.652843,3542.591838,19.913885,1.147645,21.061530
47599,4401.511196,2945.940760,20.036283,1.152725,21.189008
47799,4396.837992,3284.615385,20.128987,1.157785,21.286773
47999,4392.636011,3388.362653,20.233967,1.162891,21.396859
