# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [ARFReg] AdaptiveRandomForestRegressor(aggregation_method='median', binary_split=False, drift_detection_criteria='mse', drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.1, max_byte_size=1048576000, max_features='auto', memory_estimate_period=2000000, n_estimators=10, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=0.01, stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01), weighted_vote_strategy=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_ARFReg_abrupto2.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[ARFReg],current_mse_[ARFReg],training_time_[ARFReg],testing_time_[ARFReg],total_running_time_[ARFReg]
199,10711.493711,10711.493711,0.462996,0.045343,0.508338
399,8837.104885,6962.716059,0.945804,0.092200,1.038003
599,7767.087116,5627.051579,1.434988,0.140153,1.575141
799,7058.201084,4931.542987,1.928008,0.189139,2.117147
999,6623.123435,4882.812839,2.442381,0.238954,2.681335
1199,6268.065348,4492.774911,2.954365,0.289196,3.243561
1399,6210.661276,5866.236849,3.470567,0.340103,3.810670
1599,6061.530082,5017.611719,3.992213,0.391382,4.383595
1799,5889.756425,4515.567175,4.523475,0.442797,4.966272
1999,5736.670159,4358.893766,5.060739,0.494574,5.555313
2199,5619.804099,4451.143496,5.589748,0.546785,6.136533
2399,5493.145394,4099.899632,6.123367,0.599156,6.722523
2599,5351.641604,3653.596136,6.671602,0.651861,7.323463
2799,5264.624687,4133.404759,7.216092,0.704808,7.920900
2999,5234.084138,4806.516446,7.759776,0.757997,8.517773
3199,5132.238568,3604.555026,8.333068,0.811435,9.144503
3399,5073.076137,4126.477237,8.901072,0.865229,9.766301
3599,5046.280325,4590.751526,9.457322,0.918907,10.376229
3799,4953.489885,3283.261958,10.006456,0.972920,10.979376
3999,4892.516486,3734.021916,10.573482,1.027292,11.600774
4199,4860.929875,4229.197656,11.127278,1.081718,12.208996
4399,4798.202000,3480.916617,11.688084,1.136556,12.824640
4599,4759.667602,3911.910848,12.267898,1.191519,13.459417
4799,4690.365730,3096.422662,12.897255,1.246654,14.143909
4999,4682.429589,4491.962203,13.479084,1.302113,14.781197
5199,4675.382067,4499.194024,14.069898,1.357626,15.427524
5399,4639.948980,3718.688734,14.657574,1.413452,16.071026
