# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTR_incremental5.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTR],current_mse_[HTR],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
199,0.240700,0.240700,0.031063,0.006559,0.037623
399,0.205401,0.170102,0.045497,0.011052,0.056549
599,0.187487,0.151659,0.073191,0.015548,0.088739
799,0.177324,0.146834,0.100718,0.019996,0.120713
999,0.172051,0.150958,0.131632,0.024426,0.156058
1199,0.169954,0.159471,0.156205,0.028843,0.185049
1399,0.168356,0.158770,0.189447,0.033191,0.222638
1599,0.165883,0.148573,0.204988,0.037584,0.242571
1799,0.164715,0.155364,0.230225,0.042017,0.272242
1999,0.164068,0.158254,0.256594,0.046450,0.303044
2199,0.161106,0.131480,0.278718,0.050944,0.329663
2399,0.159900,0.146637,0.293912,0.055397,0.349309
2599,0.158248,0.138418,0.319048,0.059925,0.378973
2799,0.157068,0.141732,0.341323,0.064436,0.405758
2999,0.156464,0.148005,0.369663,0.068980,0.438643
3199,0.155685,0.144003,0.398100,0.073553,0.471653
3399,0.155231,0.147973,0.425059,0.078106,0.503165
3599,0.153966,0.132453,0.440262,0.082627,0.522889
3799,0.153235,0.140078,0.455631,0.087174,0.542806
3999,0.152998,0.148491,0.478317,0.091793,0.570110
4199,0.152499,0.142530,0.494015,0.096368,0.590384
4399,0.151587,0.132438,0.539537,0.100975,0.640513
4599,0.150655,0.130135,0.565480,0.105601,0.671082
4799,0.150399,0.144513,0.580640,0.110190,0.690830
4999,0.150398,0.150382,0.623602,0.114918,0.738521
5199,0.150267,0.146997,0.646186,0.119649,0.765835
5399,0.149337,0.125161,0.676425,0.124278,0.800703
5599,0.149409,0.151330,0.698597,0.128974,0.827571
5799,0.148432,0.121100,0.714758,0.133670,0.848427
5999,0.148062,0.137321,0.730812,0.138380,0.869192
6199,0.147355,0.126134,0.764336,0.143115,0.907451
6399,0.147295,0.145443,0.788205,0.147820,0.936025
6599,0.147069,0.139846,0.804075,0.152542,0.956617
6799,0.146754,0.136337,0.846372,0.157272,1.003644
6999,0.146456,0.136338,0.875249,0.162034,1.037283
7199,0.145767,0.121637,0.890830,0.166744,1.057573
7399,0.145024,0.118277,0.906228,0.171480,1.077708
7599,0.145321,0.156340,0.935090,0.176215,1.111305
7799,0.145294,0.144256,0.950792,0.180971,1.131762
7999,0.144711,0.121971,0.982986,0.185777,1.168763
8199,0.144707,0.144536,0.998949,0.190539,1.189488
8399,0.144315,0.128243,1.039928,0.195311,1.235238
8599,0.143948,0.128546,1.063176,0.200144,1.263320
8799,0.143489,0.123754,1.087275,0.204905,1.292180
8999,0.143520,0.144878,1.103294,0.209736,1.313030
9199,0.143597,0.147056,1.119386,0.214625,1.334011
9399,0.143290,0.129178,1.151685,0.219451,1.371136
9599,0.143148,0.136492,1.185872,0.224333,1.410205
9799,0.142601,0.116347,1.213210,0.229165,1.442375
9999,0.142299,0.127460,1.273831,0.234143,1.507974
10199,0.142203,0.137408,1.310306,0.239022,1.549328
10399,0.142617,0.163726,1.325693,0.243872,1.569566
10599,0.142366,0.129353,1.341160,0.248702,1.589862
10799,0.142372,0.142649,1.357261,0.253557,1.610819
10999,0.142469,0.147715,1.373269,0.258466,1.631735
11199,0.142322,0.134228,1.390020,0.263393,1.653413
11399,0.141839,0.114833,1.406470,0.268327,1.674797
11599,0.141637,0.130096,1.430383,0.273261,1.703645
11799,0.141558,0.137007,1.453627,0.278172,1.731799
11999,0.141395,0.131735,1.498840,0.283090,1.781930
12199,0.141549,0.150824,1.529910,0.288026,1.817936
12399,0.141791,0.156548,1.552939,0.292954,1.845894
12599,0.141878,0.147239,1.586091,0.297895,1.883986
12799,0.141643,0.126861,1.621980,0.302848,1.924828
12999,0.141751,0.148646,1.637840,0.307765,1.945604
13199,0.141827,0.146774,1.653760,0.312697,1.966456
13399,0.141570,0.124619,1.677134,0.317633,1.994767
13599,0.141238,0.118966,1.701445,0.322615,2.024060
13799,0.140800,0.111038,1.728649,0.327576,2.056225
13999,0.140907,0.148292,1.767387,0.332581,2.099967
14199,0.140964,0.144995,1.782869,0.337526,2.120394
14399,0.140904,0.136603,1.799037,0.342480,2.141517
14599,0.140637,0.121405,1.814860,0.347413,2.162273
14799,0.140537,0.133286,1.865346,0.352459,2.217805
14999,0.140273,0.120679,1.882045,0.357410,2.239455
15199,0.140183,0.133433,1.898952,0.362410,2.261362
15399,0.139977,0.124372,1.922666,0.367369,2.290035
15599,0.139939,0.136963,1.959658,0.372346,2.332004
15799,0.139886,0.135759,1.991205,0.377341,2.368546
15999,0.139775,0.130988,2.033006,0.382301,2.415307
16199,0.139656,0.130142,2.063650,0.387263,2.450913
16399,0.139743,0.146787,2.087771,0.392254,2.480025
16599,0.139448,0.115318,2.103924,0.397216,2.501140
16799,0.139348,0.130987,2.119953,0.402206,2.522158
16999,0.139297,0.135042,2.136306,0.407198,2.543505
17199,0.139312,0.140575,2.152445,0.412200,2.564646
17399,0.139143,0.124606,2.169220,0.417198,2.586418
17599,0.139056,0.131506,2.212947,0.422229,2.635176
17799,0.138922,0.127093,2.244338,0.427255,2.671593
17999,0.138856,0.133043,2.272647,0.432268,2.704916
18199,0.138841,0.137493,2.305569,0.437274,2.742843
18399,0.138724,0.128076,2.328988,0.442307,2.771296
18599,0.138588,0.126027,2.344722,0.447343,2.792065
18799,0.138427,0.123447,2.361054,0.452339,2.813394
18999,0.138302,0.126541,2.377082,0.457386,2.834469
19199,0.138207,0.129198,2.394071,0.462441,2.856511
19399,0.138233,0.140776,2.423815,0.467505,2.891320
19599,0.138217,0.136630,2.455786,0.472558,2.928344
19799,0.138023,0.119054,2.512064,0.477644,2.989709
19999,0.137801,0.115773,2.555463,0.482720,3.038183
20199,0.137649,0.122505,2.572340,0.487781,3.060121
20399,0.137763,0.149256,2.588740,0.492820,3.081560
20599,0.137762,0.137667,2.605901,0.497875,3.103776
20799,0.137657,0.126862,2.636213,0.502937,3.139150
20999,0.137636,0.135420,2.660777,0.507986,3.168763
21199,0.137653,0.139392,2.699362,0.513063,3.212424
21399,0.137637,0.135984,2.738865,0.518115,3.256980
21599,0.137501,0.122894,2.755817,0.523136,3.278952
