# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [HTRA] HoeffdingAdaptiveTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTRA_incremental1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTRA],current_mse_[HTRA],training_time_[HTRA],testing_time_[HTRA],total_running_time_[HTRA]
19799,0.113667,0.099210,8.176302,0.486489,8.662792
19999,0.113483,0.095263,8.267010,0.491600,8.758610
20199,0.113589,0.124167,8.361227,0.496700,8.857927
20399,0.113493,0.103823,8.453710,0.501830,8.955541
20599,0.113481,0.112235,8.564248,0.506947,9.071195
20799,0.113261,0.090633,8.653535,0.512041,9.165576
20999,0.113081,0.094355,8.750034,0.517167,9.267200
21199,0.113071,0.111949,8.888851,0.522295,9.411146
21399,0.112988,0.104251,8.992483,0.527452,9.519934
21599,0.113008,0.115151,9.094893,0.532596,9.627489
21799,0.113165,0.130109,9.197890,0.537722,9.735612
21999,0.113073,0.103069,9.300048,0.542879,9.842927
22199,0.113115,0.117688,9.404541,0.548038,9.952580
22399,0.113117,0.113349,9.508473,0.553178,10.061652
22599,0.112829,0.080544,9.622352,0.558332,10.180685
22799,0.112715,0.099795,9.723176,0.563507,10.286683
22999,0.112692,0.110152,9.827861,0.568652,10.396514
23199,0.112600,0.101938,9.923365,0.573807,10.497172
23399,0.112502,0.101186,10.023734,0.578990,10.602724
23599,0.112561,0.119457,10.145510,0.584145,10.729655
23799,0.112520,0.107665,10.243729,0.589281,10.833010
23999,0.112412,0.099561,10.355284,0.594433,10.949717
24199,0.112200,0.086782,10.452981,0.599588,11.052569
24399,0.112124,0.102877,10.550039,0.604728,11.154767
24599,0.111960,0.092068,10.704577,0.609929,11.314505
24799,0.111986,0.115147,10.820715,0.615101,11.435816
24999,0.111943,0.106625,10.947682,0.620255,11.567937
25199,0.111888,0.105014,11.044593,0.625419,11.670012
25399,0.111812,0.102220,11.141423,0.630566,11.771989
25599,0.111647,0.090614,11.238572,0.635708,11.874280
25799,0.111573,0.102143,11.339243,0.640877,11.980120
25999,0.111385,0.087183,11.448544,0.646061,12.094606
26199,0.111125,0.077287,11.563556,0.651224,12.214781
26399,0.111087,0.106175,11.672364,0.656402,12.328766
26599,0.110940,0.091494,11.795647,0.661580,12.457227
26799,0.110670,0.074750,11.933522,0.666828,12.600351
26999,0.110586,0.099338,12.049031,0.672045,12.721076
27199,0.110368,0.080858,12.150143,0.677233,12.827376
27399,0.110340,0.106579,12.250588,0.682403,12.932991
27599,0.110197,0.090667,12.347197,0.687527,13.034724
27799,0.110390,0.136998,12.449039,0.692701,13.141740
27999,0.110392,0.110649,12.565989,0.697915,13.263904
28199,0.110311,0.098945,12.673306,0.703071,13.376378
28399,0.110116,0.082648,12.770298,0.708216,13.478514
28599,0.110159,0.116216,12.878432,0.713393,13.591825
28799,0.110100,0.101667,12.995518,0.718545,13.714063
28999,0.110174,0.120872,13.097972,0.723765,13.821737
29199,0.110369,0.138647,13.206030,0.728927,13.934957
29399,0.110308,0.101464,13.353944,0.734108,14.088052
29599,0.110141,0.085480,13.456794,0.739301,14.196096
29799,0.110184,0.116654,13.561492,0.744491,14.305983
29999,0.110172,0.108399,13.663596,0.749662,14.413258
30199,0.110253,0.122316,13.770002,0.754886,14.524887
30399,0.110050,0.079415,13.891787,0.760116,14.651903
30599,0.109851,0.079661,13.996200,0.765324,14.761524
30799,0.109640,0.077344,14.100253,0.770524,14.870777
30999,0.109545,0.094866,14.221135,0.775729,14.996864
31199,0.109497,0.102096,14.325822,0.780928,15.106750
31399,0.109406,0.095205,14.445521,0.786126,15.231648
31599,0.109347,0.100089,14.595349,0.791351,15.386701
