# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [AXGBRegRD] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegRD_gradual4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegRD],current_mse_[AXGBRegRD],training_time_[AXGBRegRD],testing_time_[AXGBRegRD],total_running_time_[AXGBRegRD]
17199,3422.446646,2776.805864,7.724867,3.864738,11.589604
17399,3407.201833,2096.147912,7.805390,3.909533,11.714923
17599,3396.131314,2432.996139,7.888044,3.954845,11.842889
17799,3385.413665,2442.260549,7.969368,3.999815,11.969183
17999,3365.441574,1587.925484,8.096703,4.045297,12.142000
18199,3345.907919,1587.878983,8.180918,4.090315,12.271233
18399,3326.522325,1562.433202,8.262429,4.135721,12.398150
18599,3307.935811,1597.976556,8.344088,4.181178,12.525266
18799,3287.530840,1389.868585,8.477594,4.226564,12.704158
18999,3273.094208,1916.050721,8.558941,4.271787,12.830728
19199,3257.737140,1798.815721,8.647684,4.317324,12.965008
19399,3239.823673,1520.130799,8.728889,4.362343,13.091231
19599,3224.119847,1700.848806,8.809819,4.407424,13.217243
19799,3209.438713,1770.687563,8.891481,4.452775,13.344255
19999,3194.622365,1727.803933,9.039472,4.498338,13.537810
20199,3185.133851,2236.282407,9.120809,4.543724,13.664533
20399,3174.111635,2060.867792,9.204362,4.588577,13.792939
20599,3160.719854,1794.758262,9.285436,4.633745,13.919181
20799,3147.624970,1798.851911,9.367162,4.678816,14.045977
20999,3137.773932,2113.265890,9.448615,4.723910,14.172524
21199,3127.496532,2048.369590,9.529351,4.768710,14.298061
21399,3118.213724,2134.236041,9.616219,4.813814,14.430034
21599,3108.838819,2105.723988,9.697888,4.858779,14.556667
21799,3096.075620,1717.650132,9.779558,4.904226,14.683783
21999,3082.891400,1645.811452,9.914040,4.949704,14.863744
22199,3069.532894,1600.097265,9.995510,4.994950,14.990459
22399,3057.308977,1700.454109,10.082900,5.039856,15.122756
22599,3044.709072,1633.519714,10.164382,5.085237,15.249620
22799,3032.680442,1673.445279,10.245504,5.130259,15.375763
22999,3026.078334,2273.438069,10.327394,5.175540,15.502934
23199,3017.036051,1977.173506,10.467921,5.220772,15.688693
23399,3009.165322,2096.160737,10.551894,5.265763,15.817658
23599,3004.825091,2497.018054,10.633141,5.310920,15.944061
23799,2996.794221,2049.151516,10.714478,5.355949,16.070427
23999,2987.806599,1918.279605,10.796525,5.400841,16.197366
24199,2981.807977,2261.973313,10.878336,5.446216,16.324552
24399,2976.317153,2311.927496,10.964953,5.491142,16.456096
24599,2965.127349,1599.971268,11.046336,5.536463,16.582799
24799,2958.990776,2204.192220,11.127650,5.581093,16.708742
24999,2951.855092,2067.030292,11.209061,5.626119,16.835180
25199,2942.728732,1801.933824,11.290197,5.670853,16.961050
25399,2934.688942,1921.675353,11.378255,5.716103,17.094358
25599,2923.437702,1494.530213,11.459989,5.760968,17.220957
25799,2917.033475,2097.292398,11.541562,5.806135,17.347697
25999,2909.218318,1901.063081,11.622788,5.851199,17.473986
26199,2899.348681,1616.295848,11.704648,5.896377,17.601025
26399,2889.939614,1657.351882,11.792739,5.941275,17.734014
26599,2881.927310,1824.303217,11.873853,5.986377,17.860230
26799,2873.108873,1700.256740,11.954738,6.031324,17.986062
26999,2864.079610,1654.158304,12.036090,6.076220,18.112310
27199,2854.681787,1585.975730,12.174271,6.121638,18.295909
27399,2848.830125,2053.004090,12.261312,6.166710,18.428022
27599,2840.869291,1750.235029,12.342919,6.212062,18.554981
27799,2832.635092,1696.315597,12.423843,6.257008,18.680851
27999,2827.097250,2057.337280,12.505931,6.301932,18.807863
28199,2818.498527,1614.677222,12.633814,6.347688,18.981503
28399,2809.819905,1586.134315,12.718376,6.392983,19.111359
28599,2802.013366,1693.484696,12.798978,6.438061,19.237039
28799,2795.699906,1892.875135,12.881174,6.483454,19.364628
28999,2788.053998,1687.043293,12.962333,6.528462,19.490795
29199,2780.759499,1723.057097,13.043594,6.573372,19.616965
29399,2772.574587,1577.577544,13.131158,6.623313,19.754471
29599,2761.226731,1093.091915,13.212118,6.668024,19.880142
29799,2752.842746,1512.012882,13.292153,6.712530,20.004683
29999,2743.811731,1398.190453,13.373297,6.757420,20.130718
30199,2738.836594,1992.566106,13.454847,6.802476,20.257323
30399,2731.789069,1667.612765,13.543157,6.847568,20.390724
30599,2724.942904,1684.325857,13.623689,6.892404,20.516093
30799,2716.482238,1422.000323,13.704101,6.937162,20.641263
30999,2707.308979,1294.627060,13.785376,6.982267,20.767643
31199,2698.065190,1265.278008,13.867177,7.026994,20.894171
31399,2689.777860,1396.954272,13.955141,7.072240,21.027381
31599,2683.685209,1727.139091,14.035687,7.117108,21.152795
31799,2676.505965,1542.185425,14.117090,7.162334,21.279425
31999,2667.579900,1248.335480,14.199126,7.207303,21.406429
32199,2659.122949,1306.010775,14.280392,7.252195,21.532587
32399,2651.002901,1343.675149,14.368453,7.297471,21.665923
32599,2644.643847,1614.477139,14.449273,7.342415,21.791688
32799,2636.209050,1261.337157,14.531718,7.387683,21.919402
32999,2631.204894,1810.523301,14.612991,7.432783,22.045775
33199,2625.092550,1616.555751,14.694576,7.477842,22.172419
33399,2619.229724,1646.000602,14.783551,7.523677,22.307228
