# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [AXGBRegS] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegS_gradual3.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegS],current_mse_[AXGBRegS],training_time_[AXGBRegS],testing_time_[AXGBRegS],total_running_time_[AXGBRegS]
17199,3815.166016,1654.643308,0.850851,3.605179,4.456030
17399,3788.638209,1507.246834,0.853025,3.647774,4.500799
17599,3762.206614,1462.657863,0.855311,3.690707,4.546018
17799,3735.991380,1429.050767,0.857721,3.733539,4.591261
17999,3712.405653,1613.276002,0.860247,3.776155,4.636402
18199,3684.001739,1127.649478,0.865676,3.818812,4.684489
18399,3659.552188,1434.643016,0.867846,3.861325,4.729171
18599,3633.494595,1236.196070,0.870110,3.903784,4.773894
18799,3609.930191,1418.440604,0.872484,3.946278,4.818762
18999,3592.153674,1921.161089,0.874978,3.988916,4.863894
19199,3571.035381,1564.797494,0.880401,4.031531,4.911933
19399,3549.952010,1525.948439,0.882564,4.074007,4.956571
19599,3525.597013,1163.162313,0.884858,4.116860,5.001719
19799,3507.264475,1710.675699,0.887227,4.159496,5.046723
19999,3484.369813,1217.798342,0.889723,4.202072,5.091795
20199,3462.530584,1278.607664,0.895190,4.244749,5.139940
20399,3441.798234,1347.830896,0.897363,4.287539,5.184902
20599,3421.628015,1364.265683,0.899626,4.330237,5.229864
20799,3402.129927,1393.826773,0.902022,4.373049,5.275072
20999,3382.250119,1314.750179,0.904548,4.415829,5.320378
21199,3362.962518,1337.764383,0.910119,4.458646,5.368765
21399,3343.873879,1320.478141,0.912273,4.501212,5.413485
21599,3324.395518,1240.210897,0.914534,4.543833,5.458366
21799,3307.508757,1483.738527,0.916884,4.586549,5.503433
21999,3288.594252,1226.913209,0.919374,4.629280,5.548654
22199,3271.513123,1392.589010,0.924943,4.672171,5.597114
22399,3254.372367,1351.748373,0.927106,4.714894,5.642000
22599,3237.459939,1343.268086,0.929386,4.757681,5.687067
22799,3220.269839,1277.788485,0.931779,4.800473,5.732251
22999,3205.362854,1505.966552,0.934288,4.843325,5.777613
23199,3190.497475,1480.978852,0.939713,4.885941,5.825654
23399,3175.886462,1481.009045,0.941883,4.928700,5.870583
23599,3162.554031,1602.659594,0.944166,4.971373,5.915539
23799,3148.837558,1530.293658,0.946537,5.014146,5.960683
23999,3133.515663,1310.210198,0.949035,5.056853,6.005887
24199,3119.023231,1379.931446,0.954571,5.099514,6.054085
24399,3103.402517,1213.296106,0.956742,5.142213,6.098955
24599,3089.027671,1335.296400,0.959023,5.184978,6.144001
24799,3074.492449,1286.660132,0.961401,5.227694,6.189095
24999,3061.735105,1479.824441,0.963914,5.270341,6.234256
25199,3045.173048,974.916011,0.969386,5.313065,6.282451
25399,3031.765149,1342.369800,0.971537,5.355559,6.327096
25599,3021.182918,1677.239609,0.973820,5.398318,6.372138
25799,3010.316698,1619.440609,0.976194,5.441003,6.417197
25999,2997.165318,1300.637198,0.978659,5.483428,6.462087
26199,2983.889420,1258.022696,0.986238,5.526167,6.512405
26399,2971.163242,1304.033888,0.988417,5.568853,6.557271
26599,2956.464967,1016.292686,0.990717,5.611614,6.602331
26799,2943.993950,1285.348741,0.993095,5.654319,6.647413
26999,2932.251336,1358.741001,0.995568,5.696979,6.692547
27199,2920.451331,1327.450690,1.003179,5.739712,6.742891
27399,2908.275112,1252.309291,1.005339,5.782363,6.787703
27599,2896.370638,1265.457723,1.007606,5.825042,6.832648
27799,2887.520481,1666.198831,1.009950,5.867723,6.877672
27999,2875.951643,1267.883231,1.012427,5.910590,6.923017
28199,2866.102385,1487.206153,1.020201,5.953289,6.973490
28399,2856.102241,1446.081977,1.022374,5.996443,7.018817
28599,2846.942907,1546.317516,1.024661,6.039226,7.063887
28799,2836.885712,1398.706832,1.027046,6.082004,7.109050
28999,2826.613760,1347.452686,1.029510,6.124510,7.154020
29199,2819.517805,1790.604346,1.037292,6.167523,7.204815
29399,2809.497627,1346.551549,1.039472,6.210582,7.250054
29599,2798.964706,1250.625399,1.041770,6.253461,7.295231
29799,2788.325205,1213.678988,1.044164,6.296421,7.340585
29999,2778.818614,1362.336648,1.046691,6.339431,7.386121
30199,2770.777985,1564.683560,1.054658,6.384855,7.439513
30399,2762.145381,1458.622143,1.056867,6.428200,7.485067
30599,2754.796717,1637.799888,1.059161,6.471090,7.530251
30799,2744.983125,1243.503550,1.061537,6.513839,7.575376
30999,2737.055424,1516.189425,1.064021,6.556611,7.620632
31199,2727.566515,1256.785543,1.071864,6.599530,7.671394
31399,2719.881167,1520.966941,1.074032,6.642354,7.716386
31599,2711.914653,1461.172025,1.076326,6.685220,7.761547
31799,2703.792692,1420.522856,1.078712,6.728135,7.806846
31999,2695.927242,1445.320616,1.081211,6.771232,7.852443
32199,2688.462155,1494.048284,1.089125,6.813933,7.903057
32399,2680.119972,1337.028476,1.091283,6.856759,7.948042
32599,2671.929321,1345.043830,1.093571,6.899897,7.993468
32799,2662.689449,1156.590409,1.095928,6.942804,8.038732
32999,2654.986907,1391.769900,1.098375,6.985445,8.083820
33199,2646.880279,1309.286737,1.106444,7.028652,8.135096
33399,2639.467904,1409.013606,1.108620,7.071928,8.180548
33599,2631.561547,1311.199910,1.110899,7.114942,8.225841
33799,2625.592460,1622.785870,1.113276,7.158177,8.271453
33999,2617.830264,1306.019059,1.115780,7.201498,8.317278
34199,2610.822123,1419.438175,1.123813,7.244735,8.368548
34399,2603.237509,1306.268567,1.125980,7.287743,8.413723
34599,2597.367721,1587.764221,1.128266,7.330859,8.459126
34799,2590.640139,1426.768402,1.130656,7.374035,8.504691
34999,2582.636206,1189.951893,1.133183,7.417195,8.550378
35199,2575.328787,1296.530427,1.141061,7.459965,8.601025
35399,2568.239664,1320.554029,1.143223,7.502988,8.646211
35599,2561.504994,1369.468396,1.145514,7.546234,8.691748
35799,2554.334913,1278.060567,1.147913,7.589339,8.737252
35999,2549.515829,1686.899696,1.150421,7.632299,8.782720
36199,2543.470210,1455.258902,1.158416,7.675323,8.833739
36399,2536.621413,1296.989128,1.160577,7.718296,8.878873
36599,2531.090346,1524.436082,1.162888,7.761427,8.924315
36799,2526.053303,1604.274533,1.165291,7.804501,8.969792
36999,2519.874105,1382.901550,1.167821,7.847624,9.015445
37199,2514.925324,1599.400918,1.176036,7.890762,9.066798
37399,2507.512571,1128.740520,1.178190,7.933704,9.111894
37599,2501.360126,1350.852794,1.180474,7.976681,9.157155
37799,2495.978688,1484.268509,1.182848,8.019932,9.202780
37999,2489.896515,1340.365648,1.185320,8.063130,9.248450
38199,2485.158879,1585.008181,1.193445,8.106171,9.299617
38399,2479.121848,1326.048844,1.195619,8.149250,9.344869
38599,2473.165291,1329.506336,1.197911,8.192518,9.390429
38799,2467.985329,1468.252678,1.200284,8.235534,9.435819
38999,2461.973295,1295.638684,1.202747,8.278622,9.481369
39199,2457.835525,1650.970515,1.211133,8.323442,9.534575
39399,2452.648599,1436.011089,1.213297,8.366497,9.579794
39599,2446.192965,1174.433033,1.215586,8.409594,9.625179
39799,2441.017244,1416.224468,1.217972,8.452723,9.670696
39999,2436.879423,1613.452920,1.220443,8.495688,9.716130
40199,2431.657309,1387.234513,1.228659,8.538978,9.767637
40399,2427.967847,1686.386133,1.230823,8.582223,9.813046
40599,2421.586850,1132.625356,1.233101,8.625332,9.858433
40799,2416.433977,1370.400841,1.235450,8.668412,9.903862
40999,2410.656122,1231.973580,1.237912,8.711673,9.949585
41199,2404.726245,1189.101471,1.243346,8.754550,9.997896
41399,2400.301854,1488.877449,1.245531,8.797416,10.042947
41599,2396.606820,1631.734684,1.247826,8.840236,10.088062
41799,2393.224357,1689.672054,1.250240,8.882923,10.133163
41999,2389.803243,1674.790431,1.252748,8.925505,10.178254
42199,2385.643250,1512.044820,1.258252,8.968362,10.226614
42399,2383.873753,2010.509903,1.260428,9.011312,10.271741
42599,2380.524764,1670.539090,1.262707,9.054335,10.317041
