# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [AXGBRegR] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegR_incremental2.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegR],current_mse_[AXGBRegR],training_time_[AXGBRegR],testing_time_[AXGBRegR],total_running_time_[AXGBRegR]
20199,0.150122,0.139580,0.896357,4.241810,5.138167
20399,0.150104,0.148220,0.898539,4.284084,5.182624
20599,0.150074,0.147066,0.900837,4.326550,5.227387
20799,0.149934,0.135505,0.903226,4.368861,5.272086
20999,0.150057,0.162846,0.905732,4.411099,5.316831
21199,0.150292,0.174922,0.913546,4.453359,5.366904
21399,0.150220,0.142615,0.915715,4.495588,5.411303
21599,0.149942,0.120205,0.918003,4.537838,5.455841
21799,0.149949,0.150720,0.920397,4.580203,5.500600
21999,0.149938,0.148727,0.922914,4.622522,5.545435
22199,0.149858,0.140998,0.930781,4.664752,5.595533
22399,0.149891,0.153602,0.932965,4.706928,5.639893
22599,0.150156,0.179869,0.935272,4.749117,5.684390
22799,0.150067,0.139949,0.937675,4.791401,5.729077
22999,0.150140,0.158478,0.940203,4.833728,5.773930
23199,0.150252,0.163202,0.948232,4.875987,5.824219
23399,0.150278,0.153183,0.950419,4.918437,5.868856
23599,0.150235,0.145268,0.952724,4.960868,5.913592
23799,0.150230,0.149593,0.955116,5.003228,5.958344
23999,0.150199,0.146513,0.957625,5.045704,6.003330
24199,0.150159,0.145425,0.965634,5.088242,6.053877
24399,0.150250,0.161274,0.967833,5.130708,6.098540
24599,0.150351,0.162683,0.970158,5.173195,6.143353
24799,0.150247,0.137418,0.972575,5.215671,6.188246
24999,0.150432,0.173373,0.975095,5.258234,6.233329
25199,0.150627,0.175011,0.983043,5.300903,6.283946
25399,0.150556,0.141567,0.985234,5.343367,6.328601
25599,0.150807,0.182638,0.987539,5.385842,6.373381
25799,0.150539,0.116332,0.989928,5.428283,6.418211
25999,0.150620,0.160991,0.992434,5.470695,6.463129
26199,0.150686,0.159332,1.000585,5.513238,6.513823
26399,0.150694,0.151740,1.002775,5.555634,6.558409
26599,0.150841,0.170210,1.005080,5.598151,6.603232
26799,0.150656,0.126045,1.007479,5.640565,6.648044
26999,0.150726,0.160125,1.010025,5.682960,6.692985
27199,0.150636,0.138489,1.018206,5.725442,6.743647
27399,0.150607,0.146642,1.020413,5.767830,6.788243
27599,0.150628,0.153564,1.022691,5.810240,6.832930
27799,0.150704,0.161156,1.025109,5.852640,6.877749
27999,0.150832,0.168659,1.027633,5.895010,6.922643
28199,0.150933,0.165086,1.035789,5.937402,6.973191
28399,0.151205,0.189476,1.037976,5.979878,7.017854
28599,0.150990,0.120476,1.040288,6.022463,7.062751
