# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [AXGBRegSD] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegSD_incremental1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegSD],current_mse_[AXGBRegSD],training_time_[AXGBRegSD],testing_time_[AXGBRegSD],total_running_time_[AXGBRegSD]
20199,0.146356,0.161455,8.719372,4.469262,13.188634
20399,0.146233,0.133845,8.800883,4.513873,13.314756
20599,0.146463,0.169900,8.882559,4.558630,13.441189
20799,0.146859,0.187640,8.965429,4.603473,13.568902
20999,0.146896,0.150736,9.047451,4.648187,13.695638
21199,0.146958,0.153567,9.135587,4.692935,13.828522
21399,0.147000,0.151372,9.217490,4.737821,13.955311
21599,0.147281,0.177393,9.299931,4.782308,14.082239
21799,0.147445,0.165124,9.381394,4.826779,14.208173
21999,0.147775,0.183738,9.463399,4.871246,14.334645
22199,0.147970,0.169420,9.551511,4.916296,14.467806
22399,0.147975,0.148565,9.633939,4.960770,14.594710
22599,0.147894,0.138804,9.715355,5.005179,14.720535
22799,0.147669,0.122244,9.797111,5.049787,14.846897
22999,0.147764,0.158648,9.878537,5.094138,14.972675
23199,0.147553,0.123273,9.967226,5.138703,15.105929
23399,0.147771,0.172991,10.048345,5.183580,15.231926
23599,0.147922,0.165586,10.129812,5.228213,15.358024
23799,0.147871,0.141855,10.211330,5.272856,15.484186
23999,0.147844,0.144729,10.294216,5.317576,15.611792
24199,0.147789,0.141130,10.382269,5.362295,15.744564
24399,0.147793,0.148238,10.463735,5.406876,15.870611
24599,0.147888,0.159461,10.545482,5.451413,15.996894
24799,0.148087,0.172628,10.628023,5.496020,16.124043
