# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [AXGBRegS] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegS_incremental4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegS],current_mse_[AXGBRegS],training_time_[AXGBRegS],testing_time_[AXGBRegS],total_running_time_[AXGBRegS]
199,0.228137,0.228137,0.513544,0.042548,0.556091
399,0.196110,0.164083,0.517531,0.084665,0.602197
599,0.192394,0.184960,0.521752,0.126690,0.648442
799,0.187886,0.174361,0.523976,0.168672,0.692648
999,0.184549,0.171204,0.526304,0.210720,0.737024
1199,0.177848,0.144343,0.532709,0.252523,0.785232
1399,0.172713,0.141901,0.534978,0.294292,0.829270
1599,0.166937,0.126504,0.537358,0.336176,0.873534
1799,0.166566,0.163603,0.539872,0.378013,0.917886
1999,0.163553,0.136437,0.542503,0.419873,0.962376
2199,0.162924,0.156628,0.550234,0.461741,1.011975
2399,0.161201,0.142255,0.552511,0.503586,1.056098
2599,0.159204,0.135238,0.554886,0.545447,1.100332
2799,0.158812,0.153711,0.557402,0.587410,1.144811
2999,0.158700,0.157128,0.560045,0.629476,1.189521
3199,0.159892,0.177773,0.567567,0.671430,1.238997
3399,0.158712,0.139831,0.569830,0.713255,1.283085
3599,0.157655,0.139697,0.572219,0.755137,1.327356
3799,0.156674,0.139002,0.574727,0.797064,1.371791
3999,0.157318,0.169572,0.577373,0.839049,1.416422
4199,0.156701,0.144353,0.584975,0.880933,1.465908
4399,0.155745,0.135674,0.587242,0.922764,1.510006
4599,0.154793,0.133853,0.589626,0.964579,1.554205
4799,0.153363,0.120468,0.592115,1.006470,1.598584
4999,0.152707,0.136971,0.594740,1.048357,1.643097
5199,0.152399,0.144681,0.602305,1.090449,1.692754
5399,0.151295,0.122592,0.604562,1.132303,1.736865
5599,0.150230,0.121483,0.606963,1.174295,1.781258
5799,0.149750,0.136299,0.609467,1.216290,1.825758
5999,0.149680,0.147658,0.612076,1.258359,1.870436
6199,0.148979,0.127958,0.619765,1.300588,1.920353
6399,0.149073,0.151967,0.622038,1.342616,1.964654
6599,0.148420,0.127539,0.624429,1.384630,2.009058
6799,0.147796,0.127204,0.626960,1.426762,2.053721
6999,0.148508,0.172719,0.629610,1.468895,2.098506
7199,0.148191,0.137093,0.637351,1.510858,2.148209
7399,0.148381,0.155227,0.639639,1.552707,2.192346
7599,0.149104,0.175848,0.642047,1.594715,2.236761
7799,0.148701,0.133374,0.644562,1.636673,2.281235
7999,0.148353,0.134773,0.647205,1.678619,2.325824
8199,0.147589,0.117043,0.655046,1.720758,2.375804
8399,0.146776,0.113451,0.657317,1.762562,2.419879
8599,0.146390,0.130192,0.659700,1.804368,2.464068
8799,0.145997,0.129093,0.662233,1.847886,2.510119
8999,0.145530,0.124984,0.664886,1.889854,2.554741
9199,0.146134,0.173285,0.672646,1.931839,2.604485
9399,0.145747,0.127944,0.674923,1.973789,2.648712
9599,0.145154,0.117312,0.677306,2.015831,2.693137
9799,0.145305,0.152564,0.679786,2.057859,2.737645
9999,0.144869,0.123485,0.682365,2.099858,2.782223
10199,0.144647,0.133547,0.690135,2.141963,2.832098
10399,0.144553,0.139766,0.692434,2.184015,2.876449
10599,0.144216,0.126693,0.694820,2.226060,2.920879
10799,0.143746,0.118844,0.697328,2.268198,2.965527
10999,0.143992,0.157280,0.699943,2.310377,3.010319
11199,0.144249,0.158368,0.707894,2.352496,3.060390
11399,0.144283,0.146162,0.710171,2.394580,3.104750
11599,0.143804,0.116536,0.712544,2.436628,3.149172
11799,0.143821,0.144807,0.715033,2.478910,3.193943
11999,0.143634,0.132583,0.717626,2.520946,3.238571
12199,0.144095,0.171761,0.725641,2.562910,3.288551
12399,0.143992,0.137681,0.727912,2.604771,3.332683
12599,0.144170,0.155211,0.730301,2.646645,3.376946
12799,0.144231,0.148084,0.732808,2.688504,3.421312
12999,0.144583,0.167107,0.735434,2.730534,3.465968
13199,0.144487,0.138225,0.743294,2.772684,3.515978
13399,0.144296,0.131717,0.745587,2.814824,3.560411
13599,0.144155,0.134711,0.747978,2.856861,3.604839
13799,0.143920,0.127976,0.750486,2.899008,3.649494
13999,0.144203,0.163728,0.753108,2.941093,3.694201
14199,0.143870,0.120545,0.760925,2.983275,3.744200
14399,0.143582,0.123121,0.763218,3.025285,3.788503
14599,0.143681,0.150839,0.765618,3.071549,3.837167
14799,0.143489,0.129469,0.768113,3.113751,3.881865
14999,0.143821,0.168353,0.770696,3.155852,3.926548
15199,0.143654,0.131110,0.778595,3.197889,3.976484
15399,0.143313,0.117440,0.780871,3.239872,4.020743
15599,0.143257,0.138956,0.783262,3.281835,4.065097
15799,0.143101,0.130925,0.785745,3.323823,4.109568
15999,0.142929,0.129333,0.788348,3.365833,4.154182
16199,0.142561,0.113117,0.793949,3.407866,4.201814
16399,0.142253,0.117301,0.796226,3.449872,4.246099
16599,0.142331,0.148684,0.798626,3.491863,4.290489
16799,0.142050,0.118739,0.801136,3.533929,4.335065
16999,0.142169,0.152225,0.803809,3.579055,4.382864
17199,0.141933,0.121803,0.809379,3.621231,4.430610
17399,0.141496,0.103992,0.811650,3.663184,4.474834
17599,0.140982,0.096202,0.814051,3.705255,4.519306
17799,0.140806,0.125377,0.816568,3.747236,4.563804
17999,0.140632,0.125100,0.819180,3.789174,4.608354
18199,0.140612,0.138794,0.824757,3.831349,4.656106
18399,0.140347,0.116294,0.827028,3.873398,4.700427
18599,0.140443,0.149221,0.829413,3.915564,4.744977
18799,0.140190,0.116663,0.831899,3.957665,4.789564
18999,0.140173,0.138558,0.834521,3.999831,4.834352
19199,0.140219,0.144628,0.840110,4.041850,4.881960
19399,0.139832,0.102637,0.842389,4.083847,4.926236
19599,0.139857,0.142337,0.844788,4.125976,4.970764
19799,0.139877,0.141856,0.847299,4.168033,5.015332
19999,0.139909,0.143036,0.849951,4.210212,5.060163
20199,0.140011,0.150249,0.855632,4.252276,5.107909
20399,0.139884,0.127012,0.857915,4.294297,5.152211
20599,0.139584,0.108996,0.860304,4.336434,5.196737
20799,0.139709,0.152606,0.862795,4.378468,5.241262
20999,0.139652,0.133709,0.865397,4.420589,5.285987
21199,0.139784,0.153637,0.870977,4.462655,5.333632
21399,0.139803,0.141860,0.873253,4.504613,5.377866
21599,0.139725,0.131294,0.875643,4.546712,5.422355
21799,0.139849,0.153334,0.878122,4.588803,5.466925
21999,0.139985,0.154703,0.880709,4.630914,5.511623
22199,0.139964,0.137751,0.886361,4.673080,5.559441
22399,0.139842,0.126203,0.888647,4.715137,5.603785
22599,0.139751,0.129648,0.891051,4.757253,5.648304
22799,0.139879,0.154358,0.893544,4.799356,5.692900
22999,0.139783,0.128845,0.896158,4.841695,5.737853
23199,0.139707,0.130920,0.901873,4.883801,5.785674
23399,0.139752,0.144970,0.904158,4.925916,5.830074
23599,0.139854,0.151760,0.906560,4.968094,5.874654
23799,0.139921,0.147859,0.909065,5.010212,5.919277
23999,0.140248,0.179160,0.911727,5.052387,5.964115
24199,0.140145,0.127801,0.917509,5.094477,6.011985
24399,0.139972,0.119034,0.919788,5.136497,6.056284
24599,0.140099,0.155544,0.922189,5.178529,6.100718
24799,0.140177,0.149753,0.924697,5.220652,6.145349
24999,0.140116,0.132538,0.927361,5.262727,6.190088
25199,0.140225,0.153875,0.932977,5.304834,6.237812
25399,0.140295,0.149141,0.935257,5.346972,6.282230
25599,0.140284,0.138957,0.937649,5.389310,6.326959
25799,0.140373,0.151648,0.940160,5.431594,6.371754
25999,0.140256,0.125228,0.942808,5.473850,6.416659
26199,0.140058,0.114370,0.950596,5.516050,6.466646
26399,0.140188,0.157155,0.952893,5.558416,6.511308
26599,0.140252,0.148657,0.955314,5.600626,6.555940
26799,0.140480,0.170823,0.957836,5.642791,6.600627
26999,0.140318,0.118650,0.960477,5.685088,6.645565
27199,0.140425,0.154815,0.968332,5.727446,6.695779
27399,0.140437,0.142144,0.970625,5.769874,6.740499
27599,0.140265,0.116633,0.973045,5.812276,6.785322
27799,0.140164,0.126271,0.975590,5.854825,6.830414
27999,0.140282,0.156650,0.978227,5.897202,6.875429
28199,0.140255,0.136518,0.986035,5.939493,6.925529
28399,0.140267,0.141937,0.988314,5.981855,6.970169
28599,0.140402,0.159635,0.990735,6.024434,7.015168
28799,0.140515,0.156610,0.993234,6.066873,7.060107
28999,0.140633,0.157697,0.995850,6.109282,7.105132
29199,0.140582,0.133119,1.003818,6.151703,7.155520
29399,0.140519,0.131269,1.006121,6.194350,7.200471
29599,0.140507,0.138776,1.008540,6.236843,7.245383
