# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [HTRA] HoeffdingAdaptiveTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTRA_abrupto4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTRA],current_mse_[HTRA],training_time_[HTRA],testing_time_[HTRA],total_running_time_[HTRA]
199,21478.177957,21478.177957,0.032783,0.004196,0.036979
399,17360.819438,13243.460919,0.067886,0.008426,0.076312
599,14766.813420,9578.801384,0.104150,0.012594,0.116744
799,13250.851699,8702.966535,0.141630,0.016752,0.158382
999,12463.727465,9315.230530,0.180828,0.020908,0.201736
1199,11747.132154,8164.155601,0.220693,0.025079,0.245772
1399,11609.278497,10782.156552,0.261801,0.029239,0.291039
1599,11345.136438,9496.142029,0.298358,0.033397,0.331755
1799,11072.214544,8888.839389,0.325200,0.037736,0.362936
1999,10681.761060,7167.679702,0.361925,0.042131,0.404056
2199,10312.465212,6619.506731,0.402463,0.046645,0.449108
2399,9919.957696,5602.375023,0.439149,0.051093,0.490242
2599,9594.743068,5692.167537,0.490064,0.055562,0.545626
2799,9351.434000,6188.416108,0.535151,0.060051,0.595201
2999,9217.414214,7341.137211,0.574543,0.064507,0.639051
3199,8992.760411,5622.953376,0.642496,0.069003,0.711499
3399,8793.487303,5605.117575,0.693798,0.073484,0.767282
3599,8716.703170,7411.372897,0.749234,0.077951,0.827185
3799,8535.493585,5273.721062,0.789248,0.082442,0.871690
3999,8418.478576,6195.193396,0.853247,0.087002,0.940248
4199,8330.767075,6576.537064,0.910511,0.091496,1.002007
4399,8222.149498,5941.180370,0.960792,0.095991,1.056783
4599,8100.317819,5420.020888,1.003032,0.100505,1.103537
4799,7991.028092,5477.364369,1.062217,0.105012,1.167230
4999,7919.288700,6197.543298,1.147331,0.109590,1.256921
5199,7893.425074,7246.834423,1.191684,0.114144,1.305828
5399,7827.414442,6111.138018,1.264354,0.118766,1.383120
