# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [ARFReg] AdaptiveRandomForestRegressor(aggregation_method='median', binary_split=False, drift_detection_criteria='mse', drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.1, max_byte_size=1048576000, max_features='auto', memory_estimate_period=2000000, n_estimators=10, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=0.01, stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01), weighted_vote_strategy=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_ARFReg_incremental3.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[ARFReg],current_mse_[ARFReg],training_time_[ARFReg],testing_time_[ARFReg],total_running_time_[ARFReg]
18999,0.124531,0.093088,67.334340,5.548669,72.883009
19199,0.124409,0.112840,68.167947,5.612685,73.780632
19399,0.124322,0.115986,69.010342,5.676517,74.686859
19599,0.124177,0.110039,70.019198,5.740988,75.760187
19799,0.124167,0.123179,70.831163,5.804706,76.635868
19999,0.124055,0.113026,71.715308,5.868975,77.584283
20199,0.123958,0.114220,72.704669,5.933342,78.638011
20399,0.123909,0.118950,73.529770,5.997376,79.527145
20599,0.123704,0.102843,74.526194,6.061608,80.587802
20799,0.123625,0.115508,75.359890,6.125861,81.485751
20999,0.123545,0.115220,76.181375,6.189651,82.371026
21199,0.123630,0.132499,77.037867,6.254169,83.292036
21399,0.123506,0.110345,78.108242,6.319008,84.427250
21599,0.123289,0.100069,78.971059,6.383633,85.354693
21799,0.123386,0.133860,79.830943,6.448268,86.279210
21999,0.123537,0.140020,80.871258,6.513485,87.384742
22199,0.123441,0.112922,81.695633,6.578267,88.273900
22399,0.123489,0.128798,82.502168,6.642983,89.145151
22599,0.123296,0.101625,83.368855,6.707898,90.076753
22799,0.123210,0.113503,84.428462,6.773357,91.201820
22999,0.123210,0.123253,85.291788,6.838156,92.129943
23199,0.123206,0.122752,86.138279,6.903052,93.041331
23399,0.123080,0.108409,87.194348,6.968357,94.162705
23599,0.122880,0.099541,88.016928,7.033552,95.050480
23799,0.123010,0.138273,88.921831,7.099072,96.020903
23999,0.123061,0.129204,90.014508,7.164718,97.179226
24199,0.123130,0.131344,90.913569,7.229990,98.143559
24399,0.122944,0.100497,91.788238,7.295470,99.083709
24599,0.123026,0.133043,92.872113,7.361392,100.233505
24799,0.122990,0.118582,93.804374,7.427024,101.231398
24999,0.123045,0.129761,94.953298,7.493218,102.446516
25199,0.122936,0.109317,95.850186,7.559144,103.409329
25399,0.122788,0.104190,96.721593,7.624859,104.346451
25599,0.122806,0.125075,97.861071,7.691265,105.552336
25799,0.122671,0.105389,98.806796,7.757370,106.564166
25999,0.122605,0.114103,99.911072,7.823471,107.734543
26199,0.122583,0.119737,100.855324,7.889279,108.744602
26399,0.122515,0.113661,101.809977,7.955422,109.765399
26599,0.122502,0.120729,102.974110,8.021882,110.995992
26799,0.122625,0.138974,103.893282,8.088196,111.981477
26999,0.122671,0.128819,105.046814,8.154717,113.201531
27199,0.122587,0.111249,105.997780,8.220916,114.218697
27399,0.122412,0.098652,107.131238,8.287160,115.418399
27599,0.122346,0.113297,108.043412,8.353689,116.397101
27799,0.122275,0.112466,109.242456,8.420500,117.662956
27999,0.122306,0.126624,110.421312,8.487185,118.908497
28199,0.122207,0.108370,111.396296,8.553911,119.950206
28399,0.122215,0.123331,112.328654,8.620449,120.949104
28599,0.122103,0.106167,113.475245,8.687089,122.162334
28799,0.122079,0.118664,114.408124,8.753963,123.162087
28999,0.122046,0.117255,115.596505,8.820863,124.417367
29199,0.122005,0.116046,116.519076,8.887677,125.406753
29399,0.121992,0.120088,117.760214,8.955103,126.715317
29599,0.121917,0.110977,118.703692,9.022144,127.725836
29799,0.121836,0.109875,119.935034,9.089782,129.024815
29999,0.121707,0.102356,120.853305,9.157044,130.010349
30199,0.121761,0.129875,122.105693,9.224720,131.330413
30399,0.121683,0.109954,123.070609,9.291928,132.362537
30599,0.121752,0.132201,124.057424,9.359255,133.416679
30799,0.121909,0.146028,125.370589,9.426841,134.797430
30999,0.121775,0.101130,126.369179,9.494337,135.863516
31199,0.121639,0.100542,127.634986,9.561911,137.196898
31399,0.121545,0.106825,128.617935,9.629886,138.247821
31599,0.121516,0.116996,129.901325,9.697834,139.599159
31799,0.121551,0.127151,130.810542,9.764730,140.575272
31999,0.121405,0.098145,132.109961,9.832501,141.942462
32199,0.121333,0.109818,133.090142,9.900196,142.990337
32399,0.121103,0.084117,134.068096,9.968167,144.036263
