# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [AXGBRegRD] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegRD_abrupto1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegRD],current_mse_[AXGBRegRD],training_time_[AXGBRegRD],testing_time_[AXGBRegRD],total_running_time_[AXGBRegRD]
16999,3430.042420,2287.441972,7.485771,3.734436,11.220206
17199,3422.446646,2776.805864,7.572247,3.778337,11.350583
17399,3407.201833,2096.147912,7.651776,3.822425,11.474201
17599,3396.131314,2432.996139,7.732336,3.866510,11.598846
17799,3385.413665,2442.260549,7.812332,3.910588,11.722919
17999,3365.441574,1587.925484,7.935843,3.954767,11.890610
18199,3345.907919,1587.878983,8.018798,3.998892,12.017691
18399,3326.522325,1562.433202,8.098683,4.042621,12.141303
18599,3307.935811,1597.976556,8.178064,4.086469,12.264533
18799,3287.530840,1389.868585,8.307508,4.130238,12.437746
18999,3273.094208,1916.050721,8.387168,4.174537,12.561704
19199,3257.737140,1798.815721,8.473492,4.218624,12.692116
19399,3239.823673,1520.130799,8.552839,4.262738,12.815577
19599,3224.119847,1700.848806,8.632514,4.306933,12.939448
19799,3209.438713,1770.687563,8.712626,4.351162,13.063788
19999,3194.622365,1727.803933,8.856102,4.395520,13.251623
20199,3185.133851,2236.282407,8.934919,4.439350,13.374270
20399,3174.111635,2060.867792,9.017156,4.483294,13.500450
20599,3160.719854,1794.758262,9.096570,4.527557,13.624127
20799,3147.624970,1798.851911,9.177061,4.571601,13.748663
20999,3137.773932,2113.265890,9.256764,4.615498,13.872262
21199,3127.496532,2048.369590,9.336487,4.659395,13.995882
21399,3118.213724,2134.236041,9.421093,4.703104,14.124197
21599,3108.838819,2105.723988,9.501014,4.746951,14.247965
21799,3096.075620,1717.650132,9.580314,4.790809,14.371123
21999,3082.891400,1645.811452,9.711150,4.834984,14.546133
22199,3069.532894,1600.097265,9.790343,4.878876,14.669219
22399,3057.308977,1700.454109,9.876229,4.922807,14.799036
22599,3044.709072,1633.519714,9.955448,4.966833,14.922281
22799,3032.680442,1673.445279,10.034954,5.010850,15.045804
22999,3026.078334,2273.438069,10.114567,5.054946,15.169512
23199,3017.036051,1977.173506,10.251443,5.098902,15.350346
23399,3009.165322,2096.160737,10.333592,5.142756,15.476349
23599,3004.825091,2497.018054,10.412349,5.186573,15.598922
23799,2996.794221,2049.151516,10.491686,5.230422,15.722108
23999,2987.806599,1918.279605,10.571961,5.274246,15.846207
24199,2981.807977,2261.973313,10.651275,5.317990,15.969265
24399,2976.317153,2311.927496,10.736017,5.361700,16.097717
24599,2965.127349,1599.971268,10.814874,5.405454,16.220328
24799,2958.990776,2204.192220,10.894701,5.449133,16.343834
24999,2951.855092,2067.030292,10.974099,5.492896,16.466995
25199,2942.728732,1801.933824,11.053589,5.536689,16.590279
25399,2934.688942,1921.675353,11.139068,5.580523,16.719591
25599,2923.437702,1494.530213,11.220970,5.625119,16.846089
25799,2917.033475,2097.292398,11.300051,5.668937,16.968987
25999,2909.218318,1901.063081,11.379505,5.712972,17.092478
26199,2899.348681,1616.295848,11.458904,5.756733,17.215637
26399,2889.939614,1657.351882,11.545250,5.801130,17.346380
26599,2881.927310,1824.303217,11.624333,5.845157,17.469490
26799,2873.108873,1700.256740,11.703508,5.888940,17.592448
26999,2864.079610,1654.158304,11.783090,5.932858,17.715948
27199,2854.681787,1585.975730,11.917238,5.976855,17.894093
27399,2848.830125,2053.004090,12.002508,6.020899,18.023406
27599,2840.869291,1750.235029,12.081765,6.064855,18.146620
27799,2832.635092,1696.315597,12.161173,6.108796,18.269969
27999,2827.097250,2057.337280,12.241948,6.152836,18.394785
28199,2818.498527,1614.677222,12.366155,6.196841,18.562996
28399,2809.819905,1586.134315,12.448349,6.240787,18.689136
28599,2802.013366,1693.484696,12.528522,6.285199,18.813722
28799,2795.699906,1892.875135,12.608641,6.329371,18.938013
28999,2788.053998,1687.043293,12.688030,6.373425,19.061455
29199,2780.759499,1723.057097,12.767738,6.417577,19.185315
29399,2772.574587,1577.577544,12.852834,6.461809,19.314643
29599,2761.226731,1093.091915,12.932663,6.505731,19.438393
29799,2752.842746,1512.012882,13.012173,6.549852,19.562025
29999,2743.811731,1398.190453,13.091865,6.593943,19.685808
30199,2738.836594,1992.566106,13.171726,6.637840,19.809566
30399,2731.789069,1667.612765,13.257718,6.681628,19.939346
30599,2724.942904,1684.325857,13.336324,6.725397,20.061721
30799,2716.482238,1422.000323,13.415179,6.769181,20.184360
30999,2707.308979,1294.627060,13.494185,6.812939,20.307124
31199,2698.065190,1265.278008,13.574378,6.856532,20.430911
31399,2689.777860,1396.954272,13.659540,6.900280,20.559820
31599,2683.685209,1727.139091,13.738483,6.944107,20.682590
31799,2676.505965,1542.185425,13.817549,6.987936,20.805484
31999,2667.579900,1248.335480,13.897803,7.031832,20.929635
32199,2659.122949,1306.010775,13.977811,7.077396,21.055207
32399,2651.002901,1343.675149,14.063575,7.121854,21.185429
32599,2644.643847,1614.477139,14.142661,7.165909,21.308569
32799,2636.209050,1261.337157,14.223329,7.210102,21.433431
32999,2631.204894,1810.523301,14.303276,7.254296,21.557572
33199,2625.092550,1616.555751,14.383313,7.298413,21.681726
33399,2619.229724,1646.000602,14.469285,7.342537,21.811822
33599,2613.259669,1616.260502,14.549406,7.386462,21.935869
33799,2606.774571,1517.278180,14.628955,7.430750,22.059705
33999,2601.238251,1665.600188,14.708411,7.474530,22.182941
34199,2594.529875,1454.105816,14.788086,7.518364,22.306450
34399,2587.356875,1360.773874,14.875173,7.562299,22.437472
34599,2580.804299,1453.761357,14.996424,7.606431,22.602855
34799,2575.738518,1699.358338,15.075574,7.650345,22.725919
34999,2569.779896,1532.979738,15.161039,7.694630,22.855669
35199,2565.332161,1786.978432,15.241493,7.738682,22.980175
35399,2559.883192,1600.864709,15.348831,7.791759,23.140590
35599,2554.759491,1647.864387,15.427996,7.835616,23.263612
35799,2550.751005,1837.240571,15.507378,7.879386,23.386764
35999,2549.468367,2319.876195,15.590680,7.923151,23.513831
36199,2545.404741,1813.952026,15.670187,7.967001,23.637188
36399,2541.247847,1788.849963,15.750072,8.010969,23.761040
36599,2536.005945,1581.979799,15.830257,8.054992,23.885249
36799,2532.942904,1972.406391,15.911386,8.099044,24.010429
36999,2528.850947,1775.930801,15.996781,8.143072,24.139852
37199,2524.483864,1716.573617,16.076454,8.187007,24.263462
37399,2519.949846,1676.622429,16.156433,8.230992,24.387425
37599,2515.481480,1679.896995,16.237288,8.274785,24.512073
37799,2511.002764,1669.004302,16.317549,8.318762,24.636311
37999,2506.734542,1700.040541,16.403234,8.362683,24.765917
38199,2502.327272,1664.945942,16.482845,8.406702,24.889547
38399,2497.894231,1651.183482,16.563581,8.450657,25.014238
38599,2494.155232,1776.267306,16.642939,8.494559,25.137498
38799,2488.448933,1387.133212,16.722985,8.538591,25.261576
38999,2485.497783,1912.974719,16.808386,8.582469,25.390855
39199,2482.170687,1833.386942,16.888563,8.626345,25.514909
39399,2479.274055,1911.534251,16.968472,8.670374,25.638846
39599,2475.808173,1793.029478,17.047993,8.714244,25.762237
39799,2472.401575,1797.895096,17.128079,8.758097,25.886176
39999,2469.038808,1799.848160,17.215590,8.802088,26.017677
40199,2464.802769,1617.594939,17.295080,8.845989,26.141069
40399,2461.481794,1793.965839,17.374713,8.889826,26.264539
40599,2457.869304,1728.146301,17.454311,8.933763,26.388074
40799,2455.363434,1946.671861,17.534924,8.977646,26.512571
40999,2451.714072,1707.244189,17.620698,9.021639,26.642337
41199,2447.730808,1631.161629,17.699935,9.065495,26.765430
41399,2444.212468,1719.434429,17.779584,9.109344,26.888928
41599,2441.067469,1790.052696,17.860812,9.153318,27.014130
41799,2437.608543,1718.151923,17.940649,9.197186,27.137835
41999,2433.453049,1564.954935,18.026913,9.241223,27.268135
42199,2430.071891,1720.028598,18.106462,9.285280,27.391742
42399,2428.261526,2046.274543,18.187206,9.329110,27.516316
42599,2423.314048,1374.448756,18.267143,9.373017,27.640160
42799,2419.377721,1580.940096,18.346898,9.416848,27.763746
42999,2415.760551,1641.686197,18.433021,9.460790,27.893812
43199,2412.628475,1739.232072,18.513293,9.504660,28.017953
43399,2408.155991,1442.099383,18.592667,9.548339,28.141006
43599,2404.907391,1699.961158,18.672484,9.592129,28.264614
43799,2401.021653,1553.930892,18.752288,9.635995,28.388284
43999,2397.681590,1666.207722,18.839299,9.679839,28.519138
44199,2393.107864,1386.888106,18.918585,9.723596,28.642181
44399,2387.750159,1203.697413,18.998290,9.767449,28.765739
44599,2384.206491,1597.512200,19.078011,9.811261,28.889273
44799,2381.124113,1693.753878,19.158874,9.855101,29.013975
44999,2376.821964,1413.140590,19.245055,9.899123,29.144178
45199,2373.810535,1696.238923,19.324597,9.942964,29.267562
45399,2370.181565,1550.034444,19.404451,9.986958,29.391408
45599,2367.569761,1774.690166,19.485177,10.030720,29.515897
45799,2363.760162,1495.171640,19.565242,10.074742,29.639984
45999,2361.431890,1828.257616,19.651737,10.118914,29.770651
46199,2357.454638,1442.686688,19.731652,10.162868,29.894520
46399,2353.385158,1413.335194,19.812710,10.206793,30.019504
46599,2349.987408,1561.709430,19.892806,10.250729,30.143535
46799,2346.414987,1514.040885,19.972701,10.294633,30.267335
46999,2342.703258,1474.158696,20.058872,10.338612,30.397484
47199,2340.620593,1851.194315,20.139302,10.382591,30.521893
47399,2337.348722,1565.187253,20.219243,10.426653,30.645896
47599,2334.059461,1554.504521,20.299308,10.470751,30.770059
47799,2331.346228,1685.596834,20.379537,10.514878,30.894415
47999,2327.741108,1466.117262,20.467059,10.558919,31.025978
48199,2323.711453,1356.594389,20.546806,10.602968,31.149774
48399,2319.757434,1366.838791,20.626897,10.646943,31.273840
48599,2316.827070,1607.678993,20.707045,10.690996,31.398042
48799,2315.012394,1874.046191,20.788264,10.735090,31.523354
48999,2312.121491,1606.741092,20.875025,10.779323,31.654348
49199,2310.122491,1820.367469,20.955244,10.823913,31.779157
49399,2306.339426,1375.705604,21.035442,10.868042,31.903484
49599,2303.633311,1635.222809,21.116928,10.912211,32.029139
49799,2301.498367,1772.032339,21.197218,10.956162,32.153380
49999,2297.597903,1326.382281,21.284379,11.000288,32.284667
50199,2393.458058,26358.496876,21.381546,11.043798,32.425343
50399,2458.179567,18703.278193,21.555438,11.087895,32.643333
50599,2518.679062,17764.551926,21.705341,11.132427,32.837768
50799,2580.710042,18274.547941,21.804694,11.176794,32.981488
50999,2634.569794,16314.946660,21.907337,11.220702,33.128038
51199,2691.020717,17086.006181,21.990278,11.264697,33.254975
51399,2747.393487,17178.822623,22.108452,11.308943,33.417395
51599,2790.926674,13978.955782,22.211157,11.353162,33.564319
51799,2833.037792,13697.706069,22.294031,11.397216,33.691247
51999,2877.028969,14270.743939,22.372538,11.441210,33.813748
52199,2909.063313,11237.992697,22.453287,11.485107,33.938395
52399,2946.175192,12632.375544,22.531264,11.528925,34.060189
52599,2972.550266,9882.819686,22.612626,11.572831,34.185457
52799,2991.969580,8099.249268,22.691052,11.616608,34.307660
52999,3026.022327,12015.947600,22.769240,11.660561,34.429801
53199,3052.443562,10054.070666,22.847796,11.704545,34.552341
53399,3077.815234,9826.679977,22.926366,11.748366,34.674732
53599,3107.255020,10967.677903,23.011898,11.792135,34.804033
53799,3130.725156,9420.721670,23.090094,11.835988,34.926082
53999,3155.375422,9786.296977,23.168442,11.879753,35.048195
54199,3184.149118,10953.047101,23.247100,11.923728,35.170828
54399,3218.527564,12535.086256,23.326949,11.967685,35.294634
54599,3245.886386,10687.486168,23.412296,12.011654,35.423950
54799,3270.311254,9938.300112,23.490700,12.055569,35.546269
54999,3302.230243,12048.033323,23.569573,12.099625,35.669198
55199,3323.739933,9238.904672,23.648786,12.143504,35.792290
55399,3350.443959,10720.755087,23.727467,12.187233,35.914700
55599,3369.042415,8520.814636,23.812587,12.231151,36.043738
55799,3394.452659,10458.500513,23.891131,12.275253,36.166384
55999,3415.908956,9402.215737,23.970667,12.319276,36.289943
56199,3433.858621,8459.764992,24.049430,12.363254,36.412684
56399,3456.293795,9760.577604,24.128509,12.407209,36.535718
56599,3476.744360,9243.803865,24.214060,12.451244,36.665304
56799,3497.802734,9457.322357,24.293420,12.495293,36.788713
56999,3519.092871,9565.491782,24.372124,12.539239,36.911364
57199,3536.094150,8381.458663,24.502565,12.583454,37.086019
57399,3554.689891,8873.071763,24.581575,12.627681,37.209256
