# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [AXGBRegSD] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegSD_gradual5.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegSD],current_mse_[AXGBRegSD],training_time_[AXGBRegSD],testing_time_[AXGBRegSD],total_running_time_[AXGBRegSD]
199,15800.573508,15800.573508,0.649976,0.043370,0.693346
399,13660.050428,11519.527348,0.727760,0.087216,0.814976
599,12774.281965,11002.745038,0.806295,0.130912,0.937207
799,11652.487429,8287.103822,0.883517,0.174813,1.058330
999,11023.007642,8505.088493,0.960371,0.218564,1.178935
1199,10320.564717,6808.350093,1.041066,0.262246,1.303311
1399,9778.235343,6524.259099,1.116872,0.305647,1.422519
1599,9404.737289,6790.250908,1.237655,0.349467,1.587122
1799,8790.183510,3873.753278,1.314424,0.393012,1.707436
1999,8230.360453,3191.952941,1.425185,0.436766,1.861951
2199,7675.558340,2127.537207,1.505632,0.480774,1.986406
2399,7206.301867,2044.480675,1.608985,0.524877,2.133862
2599,6800.645485,1932.768899,1.691504,0.568949,2.260453
2799,6447.738009,1859.940823,1.769075,0.612948,2.382023
2999,6169.592384,2275.553635,1.915110,0.656936,2.572046
3199,5963.506017,2872.210508,1.995860,0.700857,2.696717
3399,5807.394858,3309.616306,2.076154,0.744794,2.820947
3599,5673.976448,3405.863484,2.154081,0.788813,2.942894
3799,5531.026594,2957.929215,2.232266,0.832910,3.065176
3999,5394.781117,2806.117057,2.313762,0.876815,3.190577
4199,5268.738616,2747.888600,2.390912,0.921771,3.312683
