# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [KNN] KNNRegressor(aggregation_method='mean', leaf_size=30, max_window_size=1000, metric='euclidean', n_neighbors=5)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_KNN_gradual1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[KNN],current_mse_[KNN],training_time_[KNN],testing_time_[KNN],total_running_time_[KNN]
17599,5129.708998,5807.502581,0.458658,7.826183,8.284840
17799,5125.007923,4711.313310,0.464033,7.917349,8.381382
17999,5121.118398,4774.950639,0.469389,8.008761,8.478150
18199,5113.915724,4465.675065,0.474731,8.100024,8.574755
18399,5098.326811,3679.735739,0.480098,8.191356,8.671453
18599,5087.460353,4087.746248,0.485493,8.282801,8.768294
18799,5091.383004,5456.189583,0.490829,8.374153,8.864982
18999,5094.428578,5380.712452,0.496197,8.465699,8.961896
19199,5099.943604,5623.871143,0.501538,8.556628,9.058166
19399,5101.421393,5243.289072,0.506844,8.647766,9.154610
19599,5101.263964,5085.993421,0.512199,8.739081,9.251280
19799,5101.464875,5121.154111,0.517550,8.830414,9.347964
19999,5099.535363,4908.513650,0.522873,8.921427,9.444300
20199,5096.402573,4783.123604,0.528206,9.012742,9.540948
20399,5092.707369,4719.491760,0.533548,9.103982,9.637530
20599,5087.462133,4552.448056,0.538863,9.195267,9.734129
20799,5088.740727,5220.435905,0.544218,9.286577,9.830795
20999,5078.453302,4008.561124,0.549553,9.377884,9.927437
21199,5076.513390,4872.822589,0.554903,9.469445,10.024348
21399,5087.208403,6220.879787,0.560213,9.560568,10.120781
21599,5080.726757,4387.190636,0.565568,9.651957,10.217526
21799,5081.220287,5134.521516,0.570896,9.743793,10.314689
21999,5073.247455,4204.208781,0.576230,9.835021,10.411251
22199,5076.986197,5488.247821,0.581545,9.926470,10.508015
22399,5074.410239,4788.478884,0.586855,10.017529,10.604383
22599,5068.283583,4382.098133,0.592234,10.108980,10.701214
22799,5072.550440,5554.705280,0.597567,10.200363,10.797930
22999,5076.233684,5496.123528,0.602926,10.291689,10.894615
23199,5080.108709,5525.736625,0.608252,10.383034,10.991285
23399,5084.922746,5643.350971,0.613603,10.474196,11.087799
23599,5081.392337,4668.334530,0.618923,10.565404,11.184326
23799,5077.476907,4615.456145,0.624238,10.656530,11.280768
23999,5071.599003,4372.128477,0.629636,10.747805,11.377441
24199,5067.481192,4573.343778,0.635007,10.839397,11.474405
24399,5065.851014,4868.599481,0.640325,10.930825,11.571150
24599,5058.978700,4220.556415,0.645665,11.022260,11.667926
24799,5056.505834,4752.343371,0.651012,11.113786,11.764798
24999,5050.110524,4257.092053,0.656356,11.205187,11.861543
25199,5047.252773,4690.033893,0.661717,11.296756,11.958472
25399,5047.429026,5069.636951,0.667043,11.388128,12.055172
25599,5043.380232,4529.183314,0.672391,11.479614,12.152006
25799,5041.428166,4791.563792,0.677728,11.570908,12.248636
25999,5041.189750,5010.434087,0.683062,11.662289,12.345351
26199,5036.405709,4414.480271,0.688376,11.753622,12.441999
26399,5035.132903,4868.395317,0.693754,11.845186,12.538940
26599,5035.644745,5103.207981,0.699083,11.936447,12.635531
26799,5034.144654,4834.632532,0.704443,12.028304,12.732747
26999,5030.432882,4533.055388,0.709800,12.119931,12.829731
27199,5031.456040,5169.582351,0.715145,12.211300,12.926445
27399,5031.451319,5030.809323,0.720481,12.302815,13.023296
27599,5028.115987,4571.175459,0.725786,12.394193,13.119978
27799,5027.748879,4977.088031,0.731099,12.485617,13.216715
27999,5029.408072,5260.035812,0.736421,12.577231,13.313653
28199,5025.416963,4466.661713,0.741783,12.668672,13.410455
28399,5024.620329,4912.295002,0.747135,12.759943,13.507078
28599,5027.769064,5474.889416,0.752483,12.851080,13.603563
28799,5031.617064,5581.881070,0.757841,12.942454,13.700295
28999,5031.919446,5075.462420,0.763221,13.033882,13.797103
29199,5030.045667,4758.347700,0.768577,13.125322,13.893899
29399,5032.256308,5355.009875,0.773927,13.216505,13.990432
29599,5025.279361,3999.668142,0.779278,13.307934,14.087213
29799,5031.647359,5974.111073,0.784665,13.399376,14.184042
29999,5028.555832,4567.918435,0.789978,13.490949,14.280927
30199,5030.293105,5290.883965,0.795350,13.582300,14.377651
30399,5029.788222,4953.550850,0.800678,13.673652,14.474330
30599,5039.755457,6554.775206,0.806028,13.764802,14.570830
30799,5033.106860,4015.871546,0.811433,13.856687,14.668120
30999,5030.546575,4636.262630,0.816759,13.948296,14.765055
31199,5030.646871,5046.192772,0.822104,14.039465,14.861569
31399,5034.187240,5586.484791,0.827447,14.130566,14.958013
31599,5036.462344,5393.653779,0.832801,14.222226,15.055028
31799,5037.374617,5181.513770,0.838123,14.313660,15.151782
31999,5033.610524,4435.119644,0.843462,14.405015,15.248477
32199,5033.743385,5055.001222,0.848846,14.496383,15.345228
32399,5035.328905,5290.597610,0.854186,14.587879,15.442065
32599,5039.928848,5785.119647,0.859515,14.679197,15.538712
32799,5031.675308,3686.348203,0.864853,14.770549,15.635402
32999,5036.454865,5820.302245,0.870202,14.862175,15.732376
33199,5033.198142,4495.838825,0.875543,14.953553,15.829095
33399,5030.372996,4561.398709,0.880864,15.044859,15.925724
33599,5033.414247,5541.303209,0.886220,15.136316,16.022535
33799,5033.928903,5120.391123,0.891577,15.227595,16.119172
33999,5031.342558,4594.250181,0.896908,15.318903,16.215812
34199,5033.301732,5366.361391,0.902244,15.410216,16.312460
34399,5029.575882,4392.455525,0.907573,15.501654,16.409227
34599,5025.228663,4277.506972,0.912919,15.593323,16.506242
34799,5029.162024,5709.633438,0.918243,15.684671,16.602914
34999,5025.688246,4421.250997,0.923593,15.776246,16.699839
35199,5025.490434,4990.873215,0.928952,15.867586,16.796538
35399,5032.932931,6342.812440,0.934293,15.958985,16.893277
35599,5034.193515,5257.316941,0.939626,16.050174,16.989800
35799,5032.512138,4733.226928,0.944961,16.141622,17.086583
35999,5038.386206,6089.844465,0.950316,16.232769,17.183084
36199,5041.084731,5526.819202,0.955658,16.323947,17.279605
36399,5034.436338,3831.077122,0.960942,16.415321,17.376263
36599,5033.170704,4802.825454,0.966289,16.506651,17.472940
36799,5033.315073,5059.734476,0.971619,16.597770,17.569389
36999,5035.065181,5357.085202,0.977010,16.689188,17.666197
37199,5034.823339,4990.082438,0.982369,16.780513,17.762882
37399,5033.903293,4862.774853,0.987727,16.872055,17.859782
37599,5031.228557,4531.052886,0.993056,16.963371,17.956426
37799,5028.623821,4538.933502,0.998451,17.054832,18.053284
37999,5026.352369,4597.047804,1.003785,17.146165,18.149950
38199,5030.964022,5907.178193,1.009152,17.237763,18.246915
38399,5035.186852,5841.747370,1.014498,17.329101,18.343599
38599,5036.709400,5329.038528,1.019861,17.420486,18.440347
38799,5034.375331,4583.899994,1.025223,17.511804,18.537027
38999,5042.056427,6532.189211,1.030552,17.603305,18.633856
39199,5041.430666,4919.407281,1.035897,17.694648,18.730545
39399,5038.005930,4366.757674,1.041196,17.785784,18.826980
39599,5037.666021,4970.703773,1.046535,17.877181,18.923715
39799,5040.043269,5510.738500,1.051864,17.968338,19.020202
39999,5040.195156,5070.420700,1.057188,18.059792,19.116980
40199,5038.409204,4681.218773,1.062542,18.151188,19.213730
40399,5041.098221,5581.590585,1.067859,18.242453,19.310312
40599,5038.606669,4535.313213,1.073164,18.333529,19.406692
40799,5040.852594,5496.775388,1.078483,18.425001,19.503484
40999,5036.117378,4070.133333,1.083797,18.516131,19.599929
41199,5032.686188,4329.292112,1.089159,18.607635,19.696793
41399,5035.396438,5593.708031,1.094469,18.699057,19.793526
41599,5034.478499,4844.465079,1.099826,18.790528,19.890354
41799,5033.736577,4879.416760,1.105108,18.881909,19.987017
41999,5030.571684,4369.109026,1.110430,18.973372,20.083802
42199,5029.906557,4890.229912,1.115757,19.064596,20.180353
42399,5033.519766,5795.906817,1.121077,19.155793,20.276870
42599,5030.483906,4386.881783,1.126396,19.247046,20.373443
42799,5030.995932,5140.057453,1.131710,19.338194,20.469904
42999,5033.034304,5469.245884,1.137039,19.429213,20.566253
43199,5033.745645,5186.683817,1.142361,19.520612,20.662973
43399,5037.568527,5863.311055,1.147699,19.611699,20.759398
43599,5037.546154,5032.691245,1.153020,19.703214,20.856234
43799,5032.365167,3902.909947,1.158321,19.794653,20.952974
43999,5030.995616,4731.064117,1.163623,19.885713,21.049336
44199,5033.122326,5500.998492,1.168953,19.976928,21.145882
44399,5032.086487,4803.166015,1.174239,20.068215,21.242454
44599,5032.880549,5209.162407,1.179544,20.159260,21.338804
44799,5033.790920,5236.803504,1.184883,20.250439,21.435322
44999,5032.178979,4671.104257,1.190255,20.341804,21.532059
45199,5031.837429,4954.988671,1.195618,20.433015,21.628632
45399,5034.529695,5642.981903,1.200956,20.524467,21.725423
45599,5035.766804,5316.590534,1.206305,20.615834,21.822138
45799,5039.444568,5877.974608,1.211609,20.707171,21.918780
45999,5040.145801,5200.728162,1.216943,20.798442,22.015385
46199,5035.728830,4019.825472,1.222327,20.890128,22.112455
46399,5037.170611,5370.222157,1.227667,20.981406,22.209073
46599,5035.120586,4559.514762,1.232988,21.072954,22.305942
46799,5034.750082,4948.422614,1.238322,21.164530,22.402852
46999,5033.288047,4691.171796,1.243624,21.255834,22.499458
47199,5029.012180,4024.183543,1.248975,21.347153,22.596128
47399,5030.724239,5434.770241,1.254328,21.438447,22.692775
47599,5029.849785,4822.604021,1.259640,21.529762,22.789402
47799,5029.592025,4968.245256,1.265031,21.621000,22.886031
47999,5029.472730,5000.961216,1.270335,21.712477,22.982812
48199,5026.614413,4340.618254,1.275686,21.803909,23.079595
48399,5025.016362,4639.886003,1.281037,21.895332,23.176369
48599,5022.078985,4311.233915,1.286338,21.986548,23.272886
48799,5023.852478,5454.811318,1.291676,22.077821,23.369497
48999,5025.166922,5345.891095,1.297021,22.169007,23.466029
49199,5023.203855,4542.252613,1.302398,22.260473,23.562871
49399,5019.957637,4221.387922,1.307720,22.351491,23.659211
49599,5016.775648,4230.824267,1.313047,22.442533,23.755580
49799,5017.979885,5316.630781,1.318380,22.534176,23.852556
49999,5016.911325,4750.839918,1.323761,22.625789,23.949551
50199,5018.385308,5386.881011,1.329112,22.717330,24.046442
50399,5021.768043,5870.834414,1.334455,22.808862,24.143318
50599,5022.866434,5299.660993,1.339797,22.900266,24.240064
50799,5021.536050,4684.948965,1.345135,22.991575,24.336710
50999,5021.114923,4914.148582,1.350461,23.082806,24.433266
51199,5019.403438,4582.974739,1.355816,23.174295,24.530111
51399,5015.862316,4109.335321,1.361169,23.265740,24.626909
51599,5016.999696,5309.306301,1.366556,23.357309,24.723864
51799,5018.258812,5343.110770,1.371885,23.448604,24.820489
51999,5017.064012,4707.610672,1.377207,23.540040,24.917247
52199,5018.037521,5271.150011,1.382499,23.631211,25.013710
52399,5017.067565,4763.908851,1.387882,23.722680,25.110563
52599,5019.848679,5748.500517,1.393217,23.814115,25.207332
52799,5020.523717,5198.058766,1.398531,23.905260,25.303791
52999,5019.098100,4642.735193,1.403832,23.996366,25.400198
53199,5019.250288,5059.580072,1.409173,24.087592,25.496765
53399,5020.194937,5271.471808,1.414503,24.179059,25.593562
53599,5017.652157,4338.729878,1.419848,24.270258,25.690106
53799,5018.211646,5168.154547,1.425186,24.361665,25.786850
53999,5017.284754,4767.950958,1.430564,24.453262,25.883826
54199,5016.141049,4707.340635,1.435898,24.544302,25.980200
54399,5015.229849,4768.294612,1.441288,24.636076,26.077364
