# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTR_gradual4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTR],current_mse_[HTR],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
199,16681.523178,16681.523178,0.033192,0.006674,0.039865
399,14169.122548,11656.721919,0.061655,0.010943,0.072598
599,12629.684951,9550.809756,0.090369,0.015084,0.105453
799,11633.284879,8644.084663,0.120184,0.019272,0.139456
999,11164.462510,9289.173032,0.151210,0.023359,0.174568
1199,10664.706515,8165.926541,0.182894,0.027410,0.210304
1399,10681.014584,10778.863001,0.215528,0.031481,0.247010
1599,10532.919127,9496.250924,0.243719,0.035557,0.279276
1799,10350.218915,8888.617224,0.256444,0.039881,0.296326
1999,10031.961754,7167.647306,0.276985,0.044224,0.321209
2199,9721.744393,6619.570784,0.296637,0.048620,0.345257
2399,9378.468208,5602.430168,0.310141,0.053003,0.363143
2599,9094.905384,5692.151498,0.337738,0.057445,0.395183
2799,8887.299648,6188.425081,0.358565,0.061868,0.420432
2999,8784.223557,7341.158285,0.372339,0.066290,0.438629
3199,8586.645385,5622.972803,0.414769,0.070768,0.485537
3399,8411.262389,5605.134447,0.440331,0.075241,0.515572
3599,8355.712371,7411.362065,0.469392,0.079686,0.549079
3799,8193.502840,5273.731281,0.483180,0.084112,0.567292
3999,8093.587340,6195.192842,0.519363,0.088662,0.608025
4199,8021.347183,6576.544052,0.549011,0.093126,0.642137
4399,7926.794831,5941.195436,0.571380,0.097613,0.668993
4599,7817.804927,5420.027028,0.585063,0.102099,0.687162
4799,7720.286684,5477.367096,0.614296,0.106608,0.720904
4999,7659.377139,6197.548054,0.669553,0.111256,0.780809
5199,7643.510264,7246.838408,0.683582,0.115804,0.799386
5399,7586.755856,6111.141249,0.725656,0.120357,0.846014
5599,7587.304991,7602.131623,0.761976,0.124910,0.886886
5799,7571.431452,7126.972351,0.782219,0.129445,0.911665
5999,7495.293847,5287.303328,0.796025,0.134004,0.930029
