# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [AXGBRegS] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegS_incremental1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegS],current_mse_[AXGBRegS],training_time_[AXGBRegS],testing_time_[AXGBRegS],total_running_time_[AXGBRegS]
20199,0.131151,0.120525,0.867441,4.236068,5.103509
20399,0.131026,0.118501,0.869649,4.277945,5.147594
20599,0.130992,0.127446,0.871983,4.319831,5.191813
20799,0.130666,0.097078,0.874418,4.361768,5.236186
20999,0.130703,0.134599,0.876970,4.403740,5.280711
21199,0.130477,0.106734,0.882529,4.445785,5.328314
21399,0.130265,0.107774,0.884738,4.487727,5.372465
21599,0.130237,0.127208,0.887056,4.529722,5.416778
21799,0.130010,0.105591,0.889490,4.571730,5.461220
21999,0.130159,0.146350,0.892044,4.613811,5.505855
22199,0.130094,0.122982,0.897638,4.655981,5.553619
22399,0.130048,0.124909,0.899863,4.698122,5.597985
22599,0.130216,0.148988,0.902202,4.740207,5.642409
22799,0.130252,0.134349,0.904663,4.782513,5.687176
22999,0.130334,0.139648,0.907254,4.824707,5.731961
23199,0.130414,0.139627,0.912874,4.866882,5.779756
23399,0.130248,0.110979,0.915097,4.908865,5.823961
23599,0.130343,0.141469,0.917433,4.950836,5.868269
23799,0.130241,0.118276,0.919873,4.992796,5.912669
23999,0.130308,0.138260,0.922422,5.034829,5.957251
24199,0.130118,0.107286,0.927998,5.076710,6.004708
24399,0.130311,0.153714,0.930201,5.118608,6.048810
24599,0.130422,0.143941,0.932546,5.160557,6.093103
24799,0.130536,0.144607,0.934996,5.202521,6.137517
24999,0.130549,0.132071,0.937589,5.244699,6.182288
25199,0.130458,0.119086,0.943199,5.286723,6.229922
25399,0.130211,0.099064,0.945408,5.328690,6.274097
25599,0.130459,0.162060,0.947720,5.370730,6.318451
25799,0.130495,0.135046,0.950163,5.412832,6.362994
25999,0.130512,0.132687,0.952715,5.454936,6.407652
26199,0.130547,0.135092,0.960306,5.496988,6.457294
26399,0.130496,0.123792,0.962528,5.539144,6.501672
26599,0.130443,0.123532,0.964882,5.581312,6.546194
26799,0.130409,0.125875,0.967328,5.623278,6.590606
26999,0.130571,0.152274,0.969884,5.665301,6.635185
27199,0.130517,0.123152,0.977676,5.707421,6.685097
27399,0.130605,0.142689,0.979921,5.749579,6.729500
27599,0.130623,0.133052,0.982273,5.791779,6.774052
27799,0.130646,0.133793,0.984696,5.833907,6.818603
27999,0.130647,0.130730,0.987224,5.875981,6.863204
28199,0.130753,0.145674,0.994914,5.918074,6.912988
28399,0.130936,0.156668,0.997143,5.960250,6.957393
28599,0.131054,0.147899,0.999495,6.002468,7.001963
28799,0.131024,0.126693,1.001958,6.044701,7.046659
28999,0.130962,0.122036,1.004531,6.087093,7.091624
29199,0.130885,0.119720,1.012318,6.129229,7.141548
29399,0.131100,0.162469,1.014540,6.171395,7.185935
29599,0.131099,0.130959,1.016877,6.213620,7.230498
29799,0.131006,0.117263,1.019288,6.255897,7.275185
29999,0.131075,0.141402,1.021805,6.298120,7.319925
30199,0.131013,0.121668,1.029680,6.340194,7.369874
30399,0.130823,0.102137,1.031887,6.382344,7.414231
30599,0.130922,0.145903,1.034235,6.424706,7.458941
30799,0.130799,0.111973,1.036645,6.466969,7.503613
30999,0.130713,0.117580,1.039154,6.509261,7.548415
31199,0.130777,0.140666,1.047073,6.551431,7.598504
31399,0.130891,0.148698,1.049284,6.593493,7.642777
31599,0.131006,0.149066,1.051622,6.635810,7.687431
31799,0.130929,0.118683,1.054042,6.678020,7.732062
31999,0.130795,0.109466,1.056559,6.720224,7.776783
32199,0.130913,0.149904,1.064537,6.762529,7.827066
32399,0.131030,0.149896,1.066746,6.804754,7.871501
32599,0.130963,0.120114,1.069073,6.847045,7.916118
32799,0.130854,0.112989,1.071495,6.889373,7.960868
32999,0.130866,0.132822,1.074038,6.932075,8.006113
33199,0.130878,0.132881,1.082073,6.974470,8.056543
33399,0.131022,0.154878,1.084311,7.016870,8.101181
33599,0.130971,0.122529,1.086656,7.059267,8.145923
33799,0.130788,0.100079,1.089141,7.101730,8.190871
33999,0.130824,0.136860,1.091747,7.144150,8.235897
34199,0.130780,0.123224,1.099900,7.186483,8.286383
34399,0.130871,0.146475,1.102149,7.228823,8.330972
34599,0.130787,0.116451,1.104494,7.271114,8.375608
34799,0.130870,0.145195,1.106916,7.313419,8.420336
34999,0.130837,0.124966,1.109445,7.355707,8.465153
35199,0.130971,0.154523,1.117617,7.398023,8.515641
35399,0.130884,0.115582,1.119850,7.440522,8.560372
35599,0.130995,0.150675,1.122189,7.482936,8.605125
35799,0.131154,0.159403,1.124626,7.525288,8.649914
35999,0.131029,0.108560,1.127186,7.567668,8.694854
36199,0.131004,0.126638,1.135491,7.610015,8.745506
36399,0.131097,0.147940,1.137748,7.654213,8.791960
36599,0.131090,0.129800,1.140106,7.696568,8.836674
36799,0.131073,0.127940,1.142592,7.738907,8.881499
36999,0.131145,0.144372,1.145213,7.781508,8.926721
37199,0.131227,0.146367,1.153339,7.823866,8.977205
37399,0.131295,0.144045,1.155559,7.866154,9.021713
37599,0.131246,0.122005,1.157924,7.908489,9.066412
37799,0.131171,0.117018,1.160406,7.950844,9.111250
37999,0.131368,0.168565,1.162993,7.993171,9.156164
38199,0.131392,0.136025,1.171169,8.035406,9.206575
38399,0.131297,0.113217,1.173388,8.077722,9.251110
38599,0.131483,0.167142,1.175729,8.120097,9.295826
38799,0.131665,0.166824,1.178185,8.162474,9.340659
38999,0.131594,0.117765,1.180746,8.205360,9.386105
39199,0.131807,0.173330,1.188848,8.247707,9.436555
39399,0.131741,0.118803,1.191091,8.289989,9.481080
39599,0.131873,0.157852,1.193443,8.332453,9.525896
39799,0.131915,0.140278,1.195907,8.375088,9.570996
39999,0.131921,0.133139,1.198495,8.417612,9.616107
40199,0.131883,0.124217,1.206718,8.460013,9.666731
40399,0.132070,0.169727,1.208985,8.502566,9.711551
40599,0.132033,0.124506,1.211331,8.544979,9.756310
40799,0.132204,0.166994,1.213788,8.587466,9.801254
40999,0.132430,0.178408,1.216365,8.629979,9.846345
41199,0.132413,0.128959,1.221751,8.672291,9.894041
41399,0.132239,0.096422,1.223994,8.714526,9.938520
41599,0.132217,0.127688,1.226341,8.757063,9.983404
41799,0.132147,0.117692,1.228778,8.799286,10.028064
41999,0.132146,0.131801,1.231353,8.841538,10.072891
42199,0.132107,0.123903,1.236851,8.883669,10.120520
42399,0.131958,0.100614,1.239117,8.926022,10.165139
42599,0.131857,0.110333,1.241449,8.968052,10.209501
42799,0.131772,0.113738,1.243901,9.010122,10.254022
42999,0.131768,0.130990,1.246487,9.052225,10.298712
43199,0.131538,0.081986,1.251850,9.094150,10.345999
43399,0.131409,0.103547,1.254077,9.136084,10.390161
43599,0.131302,0.108164,1.256407,9.178128,10.434534
43799,0.131189,0.106459,1.258846,9.220172,10.479018
43999,0.131120,0.116069,1.261410,9.262360,10.523770
44199,0.131168,0.141731,1.266941,9.304290,10.571231
44399,0.131050,0.104903,1.269164,9.346301,10.615465
44599,0.130970,0.113334,1.271494,9.388285,10.659779
44799,0.130986,0.134440,1.273949,9.430254,10.704204
44999,0.130932,0.118851,1.276526,9.472209,10.748735
45199,0.130904,0.124589,1.282051,9.514196,10.796247
45399,0.130874,0.124186,1.284270,9.556108,10.840378
