# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [AXGBRegR] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegR_abrupto5.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegR],current_mse_[AXGBRegR],training_time_[AXGBRegR],testing_time_[AXGBRegR],total_running_time_[AXGBRegR]
17199,3808.752577,1602.873402,0.838889,3.633993,4.472882
17399,3781.092206,1402.300270,0.841142,3.677761,4.518903
17599,3753.780652,1377.675530,0.843483,3.720956,4.564440
17799,3727.262030,1393.623273,0.845999,3.764996,4.610995
17999,3703.715437,1608.068606,0.848583,3.808146,4.656729
18199,3674.451351,1040.683601,0.856437,3.852124,4.708561
18399,3648.763767,1311.193619,0.858707,3.896045,4.754752
18599,3623.076604,1259.857690,0.861033,3.939073,4.800106
18799,3597.377279,1207.340062,0.863521,3.982960,4.846481
18999,3577.293738,1689.440798,0.866105,4.026226,4.892331
19199,3555.490766,1484.208491,0.874233,4.070008,4.944241
19399,3535.745507,1640.200640,0.876491,4.113856,4.990347
19599,3512.097504,1218.241147,0.878815,4.156872,5.035687
19799,3492.796949,1601.342554,0.881310,4.200842,5.082152
19999,3471.279234,1341.025452,0.883894,4.244077,5.127972
20199,3448.530877,1173.695196,0.891855,4.288012,5.179867
20399,3427.285304,1281.482470,0.894124,4.332272,5.226396
20599,3407.084038,1346.554898,0.896437,4.375405,5.271842
20799,3389.520321,1580.457423,0.898902,4.419233,5.318136
20999,3369.263180,1262.520516,0.901487,4.465192,5.366679
21199,3351.791075,1517.220114,0.909492,4.509114,5.418606
21399,3333.394549,1383.362797,0.911742,4.553197,5.464939
21599,3313.813593,1218.651276,0.914055,4.596438,5.510493
21799,3297.018993,1483.202221,0.916521,4.640487,5.557007
21999,3277.524175,1152.589038,0.919107,4.683780,5.602887
22199,3262.308644,1588.600235,0.927311,4.727630,5.654941
22399,3245.173567,1343.180003,0.929561,4.771419,5.700980
22599,3228.795025,1394.398325,0.931875,4.814709,5.746584
22799,3211.742529,1284.810429,0.934378,4.858790,5.793169
22999,3194.662629,1247.554017,0.936951,4.902283,5.839233
23199,3181.604153,1679.879483,0.944874,4.946044,5.890918
23399,3167.345845,1513.382084,0.947124,4.989995,5.937119
23599,3155.293069,1745.118277,0.949469,5.033342,5.982811
23799,3140.572805,1403.581661,0.951977,5.077364,6.029341
23999,3125.802392,1368.123281,0.954572,5.120821,6.075393
24199,3112.256427,1486.740556,0.962682,5.164822,6.127504
24399,3098.411911,1423.225532,0.964934,5.208736,6.173670
24599,3085.207548,1474.275278,0.967259,5.251934,6.219193
24799,3071.503503,1385.905909,0.969707,5.295638,6.265345
24999,3058.205782,1409.288344,0.972296,5.339103,6.311399
25199,3043.043372,1147.742127,0.980492,5.383085,6.363577
25399,3029.863320,1369.176798,0.982739,5.426735,6.409474
25599,3020.640987,1849.404679,0.985062,5.469787,6.454849
25799,3008.862871,1501.264059,0.987525,5.513193,6.500718
