# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [AXGBRegS] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegS_incremental3.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegS],current_mse_[AXGBRegS],training_time_[AXGBRegS],testing_time_[AXGBRegS],total_running_time_[AXGBRegS]
199,0.199533,0.199533,0.524361,0.042462,0.566823
399,0.183019,0.166505,0.528249,0.084508,0.612757
599,0.167160,0.135442,0.532419,0.126494,0.658914
799,0.166391,0.164086,0.534538,0.168174,0.702712
999,0.166308,0.165976,0.536779,0.209952,0.746732
1199,0.164786,0.157173,0.543088,0.251669,0.794757
1399,0.164825,0.165063,0.545258,0.293315,0.838572
1599,0.161703,0.139850,0.547543,0.334977,0.882520
1799,0.159926,0.145703,0.549958,0.376709,0.926667
1999,0.158485,0.145517,0.552489,0.418402,0.970891
2199,0.157696,0.149813,0.559930,0.460099,1.020029
2399,0.156805,0.146996,0.562097,0.501497,1.063594
2599,0.155685,0.142248,0.564364,0.542969,1.107334
2799,0.154581,0.140229,0.566759,0.584534,1.151294
2999,0.153141,0.132989,0.569277,0.626069,1.195345
3199,0.152423,0.141648,0.576709,0.667926,1.244635
3399,0.150984,0.127953,0.578889,0.709561,1.288450
3599,0.150998,0.151237,0.581166,0.751194,1.332360
3799,0.150209,0.136007,0.583556,0.792849,1.376405
3999,0.150458,0.155199,0.586053,0.834426,1.420479
4199,0.149725,0.135066,0.593514,0.876238,1.469752
4399,0.149041,0.134659,0.595680,0.917881,1.513561
4599,0.149683,0.163817,0.597984,0.959653,1.557636
4799,0.148705,0.126209,0.600395,1.001362,1.601756
4999,0.148402,0.141123,0.602921,1.043110,1.646031
5199,0.148896,0.161246,0.610360,1.084881,1.695242
5399,0.148395,0.135383,0.612524,1.126452,1.738976
5599,0.147983,0.136865,0.614810,1.168067,1.782878
5799,0.147429,0.131920,0.617205,1.209745,1.826949
5999,0.147772,0.157721,0.619731,1.251461,1.871192
6199,0.147680,0.144909,0.627305,1.293225,1.920530
6399,0.147754,0.150047,0.629500,1.334891,1.964391
6599,0.147336,0.133952,0.631795,1.376633,2.008429
6799,0.146442,0.116935,0.634200,1.418291,2.052491
6999,0.145974,0.130063,0.636711,1.459967,2.096678
7199,0.145631,0.133652,0.644306,1.501907,2.146214
7399,0.145105,0.126169,0.646496,1.543598,2.190095
7599,0.145211,0.149098,0.648803,1.585371,2.234174
7799,0.145094,0.140681,0.651194,1.627134,2.278328
7999,0.144878,0.136436,0.653725,1.668992,2.322717
8199,0.144729,0.138792,0.661363,1.710820,2.372183
8399,0.144573,0.138168,0.663563,1.752570,2.416134
8599,0.143982,0.119169,0.665851,1.794178,2.460029
8799,0.144127,0.150362,0.668240,1.835802,2.504042
8999,0.143391,0.110966,0.670746,1.877518,2.548265
9199,0.142820,0.117168,0.679801,1.919317,2.599118
9399,0.142806,0.142150,0.681990,1.961058,2.643048
9599,0.142548,0.130397,0.684268,2.002827,2.687095
9799,0.142879,0.158783,0.686640,2.044571,2.731211
9999,0.143006,0.149222,0.689133,2.086499,2.775632
10199,0.142476,0.115961,0.696736,2.128587,2.825323
10399,0.142314,0.134086,0.698933,2.170551,2.869484
10599,0.142534,0.153948,0.701219,2.212468,2.913687
10799,0.142212,0.125153,0.703623,2.254468,2.958091
10999,0.141906,0.125376,0.706168,2.296433,3.002601
11199,0.141846,0.138554,0.714149,2.338449,3.052597
11399,0.141808,0.139688,0.716342,2.380426,3.096768
11599,0.142133,0.160656,0.718639,2.422377,3.141016
11799,0.141530,0.106584,0.721047,2.464428,3.185474
11999,0.141747,0.154510,0.723558,2.506421,3.229980
12199,0.141938,0.153401,0.731228,2.548296,3.279523
12399,0.141840,0.135848,0.733405,2.590020,3.323425
12599,0.142058,0.155623,0.735688,2.631714,3.367401
12799,0.142468,0.168259,0.738083,2.673552,3.411635
12999,0.142123,0.120082,0.740617,2.715338,3.455955
13199,0.141955,0.131011,0.748218,2.757178,3.505396
13399,0.141891,0.137645,0.750403,2.799024,3.549427
13599,0.142014,0.150267,0.752690,2.840829,3.593519
13799,0.142153,0.151591,0.755122,2.882700,3.637822
13999,0.141893,0.123997,0.757666,2.924473,3.682139
14199,0.142294,0.170351,0.765548,2.966381,3.731930
14399,0.142258,0.139686,0.767740,3.008071,3.775811
14599,0.142459,0.156951,0.770047,3.049833,3.819879
14799,0.142802,0.167837,0.772419,3.091630,3.864049
14999,0.142450,0.116400,0.774905,3.133429,3.908334
15199,0.142171,0.121228,0.782794,3.175352,3.958147
15399,0.142134,0.139331,0.784991,3.217165,4.002156
15599,0.142224,0.149153,0.787291,3.258942,4.046233
15799,0.142238,0.143342,0.789691,3.300648,4.090339
15999,0.142181,0.137661,0.792207,3.342501,4.134707
16199,0.142114,0.136794,0.797592,3.384327,4.181920
16399,0.141733,0.110806,0.799776,3.426141,4.225917
16599,0.141753,0.143460,0.802073,3.467908,4.269982
16799,0.141715,0.138565,0.804489,3.509975,4.314464
16999,0.141566,0.128992,0.807002,3.552020,4.359022
17199,0.141552,0.140343,0.812371,3.594062,4.406433
17399,0.141556,0.141948,0.814546,3.636007,4.450553
17599,0.141361,0.124420,0.816836,3.677824,4.494660
17799,0.141324,0.138006,0.819214,3.719721,4.538934
17999,0.141322,0.141213,0.821701,3.761659,4.583361
18199,0.141114,0.122384,0.827186,3.803502,4.630688
18399,0.141240,0.152629,0.829375,3.845227,4.674602
18599,0.141356,0.152052,0.831673,3.887024,4.718698
18799,0.141369,0.142576,0.834068,3.928767,4.762835
18999,0.141349,0.139454,0.836574,3.970632,4.807205
19199,0.141355,0.141929,0.842060,4.012525,4.854584
19399,0.141389,0.144668,0.844244,4.054253,4.898497
19599,0.141387,0.141187,0.846535,4.096035,4.942570
19799,0.141216,0.124474,0.848905,4.138023,4.986927
19999,0.141200,0.139636,0.851401,4.179946,5.031346
20199,0.141281,0.149361,0.856852,4.221983,5.078835
20399,0.141294,0.142643,0.859030,4.263727,5.122757
20599,0.141512,0.163755,0.861309,4.305603,5.166911
20799,0.141361,0.125778,0.863668,4.347465,5.211133
20999,0.141419,0.147448,0.866137,4.389301,5.255438
21199,0.141238,0.122201,0.871617,4.431296,5.302913
21399,0.141319,0.149927,0.873795,4.473126,5.346921
21599,0.141336,0.143205,0.876084,4.515008,5.391092
21799,0.141190,0.125385,0.878463,4.556951,5.435415
21999,0.141128,0.134366,0.880952,4.598811,5.479764
22199,0.141128,0.141139,0.886473,4.640656,5.527128
22399,0.141092,0.137083,0.888642,4.682440,5.571082
22599,0.141270,0.161160,0.890922,4.724306,5.615228
22799,0.141451,0.161943,0.893310,4.766141,5.659451
22999,0.141380,0.133302,0.895796,4.807912,5.703708
23199,0.141474,0.152237,0.901375,4.849894,5.751269
23399,0.141476,0.141765,0.903559,4.891841,5.795400
23599,0.141532,0.148043,0.905857,4.933843,5.839700
23799,0.141505,0.138392,0.908250,4.975909,5.884160
23999,0.141624,0.155787,0.910753,5.017963,5.928716
24199,0.141864,0.170637,0.916298,5.062697,5.978996
24399,0.141862,0.141584,0.918492,5.104499,6.022991
24599,0.141915,0.148391,0.920791,5.146327,6.067118
24799,0.141766,0.123475,0.923189,5.188216,6.111404
24999,0.141988,0.169536,0.925698,5.230149,6.155847
25199,0.142133,0.160197,0.931245,5.272154,6.203399
25399,0.142242,0.155976,0.933429,5.313988,6.247417
25599,0.142138,0.128988,0.935732,5.355914,6.291646
25799,0.141993,0.123394,0.938145,5.397871,6.336016
25999,0.142003,0.143276,0.940690,5.439935,6.380625
26199,0.142320,0.183516,0.948291,5.481853,6.430144
26399,0.142223,0.129527,0.950487,5.523701,6.474188
26599,0.142135,0.130546,0.952793,5.565814,6.518607
26799,0.142075,0.134128,0.955194,5.607752,6.562946
26999,0.142137,0.150386,0.957690,5.649655,6.607346
27199,0.142236,0.155557,0.965365,5.691877,6.657242
27399,0.142290,0.149653,0.967551,5.734039,6.701590
27599,0.142270,0.139504,0.969857,5.776221,6.746078
27799,0.142313,0.148243,0.972261,5.818429,6.790690
27999,0.142410,0.155965,0.974780,5.860662,6.835442
28199,0.142375,0.137509,0.982608,5.902968,6.885576
28399,0.142436,0.150995,0.984792,5.944998,6.929790
28599,0.142466,0.146759,0.987102,5.987062,6.974164
28799,0.142561,0.156060,0.989500,6.029074,7.018574
28999,0.142617,0.150687,0.992012,6.071130,7.063142
29199,0.142644,0.146610,0.999782,6.113168,7.112950
29399,0.142851,0.173007,1.001976,6.155373,7.157349
29599,0.142957,0.158669,1.004281,6.197545,7.201826
29799,0.142911,0.136042,1.006688,6.239701,7.246389
29999,0.142938,0.146918,1.009210,6.281979,7.291189
30199,0.143160,0.176453,1.017015,6.324174,7.341190
30399,0.143220,0.152269,1.019212,6.366281,7.385493
30599,0.143173,0.136079,1.021532,6.408534,7.430066
30799,0.143239,0.153350,1.023947,6.450659,7.474605
30999,0.143379,0.164941,1.026500,6.492832,7.519332
31199,0.143410,0.148231,1.034471,6.535041,7.569512
