# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [AXGBRegSD] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegSD_gradual1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegSD],current_mse_[AXGBRegSD],training_time_[AXGBRegSD],testing_time_[AXGBRegSD],total_running_time_[AXGBRegSD]
17199,3143.413176,1732.837182,7.771457,3.889394,11.660851
17399,3131.844116,2136.904994,7.853108,3.934588,11.787696
17599,3115.461662,1690.188157,7.935601,3.980008,11.915609
17799,3105.053226,2189.110844,8.017630,4.025069,12.042700
17999,3092.310401,1958.199000,8.122693,4.070615,12.193308
18199,3083.144756,2258.236669,8.208218,4.115882,12.324100
18399,3069.787574,1854.284004,8.295730,4.161217,12.456946
18599,3058.137929,1986.370619,8.376686,4.206447,12.583133
18799,3042.904602,1626.205208,8.500179,4.252011,12.752190
18999,3038.092302,2585.736091,8.587480,4.297747,12.885227
19199,3033.720629,2618.411674,8.669908,4.343262,13.013169
19399,3025.445082,2230.992564,8.757884,4.388730,13.146614
19599,3017.938152,2289.765924,8.839523,4.434211,13.273734
19799,3010.362144,2267.913438,8.921625,4.480004,13.401628
19999,2997.588400,1732.987703,9.004548,4.525596,13.530144
20199,2988.683503,2098.193839,9.085961,4.570938,13.656900
20399,2980.645880,2168.845925,9.175519,4.616563,13.792082
20599,2968.958370,1776.832345,9.257044,4.662080,13.919124
20799,2960.490987,2088.350551,9.339776,4.707723,14.047499
20999,2945.390897,1374.981555,9.421862,4.753290,14.175152
21199,2935.258050,1871.309110,9.504028,4.798906,14.302934
21399,2926.496313,1997.752155,9.593547,4.844553,14.438100
21599,2915.705922,1761.134074,9.676288,4.890206,14.566493
21799,2905.887802,1845.530890,9.758037,4.935771,14.693808
21999,2894.985703,1706.656894,9.840216,4.981428,14.821644
22199,2884.878605,1773.097835,9.922078,5.026804,14.948881
22399,2882.417360,2609.219194,10.009466,5.072693,15.082160
22599,2875.189385,2065.656190,10.090771,5.118194,15.208965
22799,2870.887394,2384.762421,10.172314,5.163444,15.335758
22999,2867.246301,2452.161668,10.253943,5.208542,15.462485
23199,2863.957937,2485.796088,10.336770,5.253826,15.590597
23399,2866.047681,3108.457952,10.422514,5.299062,15.721576
23599,2858.895701,2022.113983,10.504012,5.344286,15.848298
23799,2854.917553,2385.496177,10.585806,5.389636,15.975442
23999,2850.035308,2269.048102,10.668575,5.434903,16.103478
24199,2844.413976,2169.854137,10.750226,5.480016,16.230242
24399,2837.452897,1995.162324,10.836063,5.525220,16.361282
24599,2832.204084,2191.848954,10.917354,5.570378,16.487732
24799,2829.147656,2453.206976,10.999536,5.615390,16.614926
24999,2822.235787,1965.164080,11.081248,5.660528,16.741776
25199,2817.117420,2177.321529,11.163337,5.705838,16.869175
25399,2812.189091,2191.219625,11.249478,5.751067,17.000545
25599,2809.381579,2452.827536,11.332286,5.796550,17.128836
25799,2803.829386,2093.148693,11.413782,5.841625,17.255407
25999,2800.867347,2418.764365,11.495862,5.886833,17.382695
26199,2798.926466,2546.611905,11.577852,5.932044,17.509897
26399,2795.687612,2371.397742,11.664676,5.977459,17.642134
26599,2792.434061,2362.965266,11.745823,6.022700,17.768522
26799,2785.765646,1898.866453,11.827041,6.067926,17.894967
26999,2778.706209,1832.741705,11.908692,6.113132,18.021824
27199,2774.846737,2253.818044,11.991380,6.158388,18.149767
27399,2768.727294,1936.482969,12.077378,6.203674,18.281052
27599,2766.362966,2442.450055,12.158467,6.248735,18.407202
27799,2760.695192,1978.542338,12.240379,6.294186,18.534565
27999,2760.164367,2686.379752,12.323350,6.339413,18.662763
28199,2753.279293,1789.368990,12.405125,6.384626,18.789751
28399,2749.034116,2150.464060,12.491114,6.429905,18.921019
28599,2748.243101,2635.919075,12.572502,6.475200,19.047702
28799,2743.046159,1999.883381,12.655349,6.520591,19.175940
28999,2739.657774,2251.730407,12.737013,6.565850,19.302864
29199,2734.493607,1985.689373,12.819090,6.611244,19.430334
29399,2728.163181,1803.920884,12.905316,6.657041,19.562356
29599,2720.418516,1581.952843,12.987851,6.702367,19.690218
29799,2716.192082,2090.679826,13.069705,6.747729,19.817435
29999,2712.560668,2171.479942,13.151906,6.792914,19.944820
30199,2707.126956,1892.070208,13.233788,6.837918,20.071706
30399,2702.394127,1987.736921,13.320838,6.883362,20.204200
30599,2697.497716,1953.243291,13.402539,6.928924,20.331464
30799,2690.299680,1589.000115,13.484212,6.974500,20.458712
30999,2683.812110,1684.726294,13.566221,7.019950,20.586172
31199,2676.734071,1579.638067,13.649697,7.065505,20.715202
31399,2674.174255,2274.842993,13.736036,7.111175,20.847211
31599,2667.688749,1649.464302,13.817119,7.156372,20.973491
31799,2663.974448,2077.114841,13.898903,7.201599,21.100502
31999,2660.168710,2055.056394,13.981819,7.246912,21.228731
32199,2654.313706,1717.513134,14.064121,7.292362,21.356483
32399,2650.477497,2032.847846,14.151657,7.337661,21.489318
32599,2643.044485,1438.896557,14.233091,7.383041,21.616132
32799,2637.776917,1779.163231,14.315717,7.428266,21.743983
32999,2632.771848,1811.940623,14.397718,7.473689,21.871407
33199,2626.938261,1664.396290,14.480128,7.519181,21.999309
33399,2622.417441,1871.961317,14.568739,7.564655,22.133394
33599,2618.402611,1947.926068,14.651402,7.609903,22.261305
33799,2613.200578,1739.259101,14.733685,7.655606,22.389291
33999,2608.307245,1781.333918,14.815732,7.700838,22.516569
34199,2603.855890,1847.125512,14.897923,7.746172,22.644095
34399,2599.299202,1820.105595,15.038152,7.791633,22.829785
34599,2595.368702,1919.322685,15.126358,7.837438,22.963796
