# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [KNN] KNNRegressor(aggregation_method='mean', leaf_size=30, max_window_size=1000, metric='euclidean', n_neighbors=5)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_KNN_gradual2.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[KNN],current_mse_[KNN],training_time_[KNN],testing_time_[KNN],total_running_time_[KNN]
199,10852.458649,10852.458649,0.003619,0.027846,0.031464
399,9023.669117,7194.879585,0.006389,0.060493,0.066882
599,7940.259513,5773.440303,0.009281,0.107191,0.116473
799,6978.992081,4095.189788,0.012249,0.167581,0.179830
999,6584.671259,5007.387971,0.015349,0.241940,0.257289
1199,6120.195432,3797.816295,0.020698,0.333504,0.354202
1399,6050.932932,5635.357929,0.025998,0.424715,0.450714
1599,5881.774976,4697.669284,0.031285,0.516186,0.547471
1799,5766.018390,4839.965702,0.036535,0.607534,0.644069
1999,5594.438838,4050.222871,0.041810,0.698831,0.740641
2199,5593.252219,5581.386031,0.047071,0.790162,0.837234
2399,5520.631956,4721.809062,0.052330,0.881365,0.933695
2599,5401.116755,3966.934341,0.057575,0.972690,1.030265
2799,5347.705306,4653.356469,0.062829,1.063880,1.126709
2999,5358.161908,5504.554337,0.068070,1.155163,1.223233
3199,5324.751404,4823.593846,0.073320,1.246406,1.319726
3399,5347.100868,5704.692291,0.078551,1.337426,1.415977
3599,5395.633282,6220.684317,0.083775,1.428686,1.512461
3799,5319.109863,3941.688322,0.088983,1.519742,1.608725
3999,5301.682412,4970.560849,0.094212,1.610632,1.704845
4199,5293.944478,5139.185801,0.099462,1.701548,1.801010
4399,5245.236214,4222.362655,0.104682,1.792594,1.897276
4599,5210.314208,4442.030081,0.109900,1.883773,1.993673
4799,5177.013863,4411.105930,0.115125,1.974825,2.089950
4999,5200.084649,5753.783521,0.120441,2.066078,2.186520
5199,5225.534321,5861.776106,0.125633,2.157030,2.282664
5399,5207.819217,4747.226533,0.130876,2.247892,2.378768
5599,5239.597715,6097.617148,0.136107,2.338777,2.474884
5799,5250.000615,5541.281802,0.141356,2.429928,2.571285
5999,5212.718104,4131.525306,0.146579,2.520648,2.667227
6199,5170.892094,3916.111786,0.151825,2.611598,2.763423
6399,5160.382288,4834.578308,0.157050,2.702443,2.859493
6599,5177.897436,5738.382160,0.162274,2.793483,2.955758
6799,5171.877182,4973.208803,0.167472,2.884457,3.051929
6999,5159.348078,4733.358547,0.172699,2.975311,3.148010
7199,5174.081649,5689.756622,0.177932,3.066375,3.244306
7399,5175.799544,5237.643774,0.183169,3.157419,3.340588
7599,5160.400868,4590.649866,0.188378,3.248261,3.436639
7799,5159.728511,5134.178930,0.193587,3.339165,3.532751
7999,5153.907328,4926.881214,0.198834,3.430046,3.628880
8199,5148.521135,4933.073414,0.204053,3.520992,3.725045
8399,5144.450590,4977.558221,0.209276,3.611732,3.821008
8599,5115.627427,3905.054597,0.214466,3.702469,3.916935
8799,5118.123195,5225.441217,0.219690,3.793331,4.013021
8999,5128.832071,5600.022603,0.224902,3.884393,4.109295
9199,5119.382019,4694.129706,0.230137,3.975296,4.205433
9399,5141.221067,6145.817231,0.235350,4.066362,4.301712
9599,5138.058043,4989.395950,0.240569,4.157323,4.397893
9799,5131.593918,4821.315904,0.245785,4.248395,4.494180
9999,5119.902879,4547.041949,0.251039,4.339308,4.590347
10199,5138.627667,6074.867094,0.256267,4.430215,4.686482
10399,5131.950417,4791.410642,0.261545,4.521385,4.782930
10599,5132.196817,5145.009653,0.266783,4.612318,4.879102
10799,5119.745510,4459.826219,0.272008,4.703166,4.975175
10999,5114.347248,4822.841091,0.277228,4.794088,5.071316
11199,5120.906717,5481.677533,0.282464,4.885213,5.167677
11399,5106.535753,4301.761788,0.287690,4.976064,5.263754
11599,5116.698633,5695.982759,0.292902,5.067058,5.359960
11799,5119.751730,5296.831386,0.298114,5.157738,5.455852
11999,5113.270514,4730.878738,0.303353,5.248482,5.551835
12199,5116.134757,5287.989373,0.308579,5.339294,5.647873
12399,5125.374844,5689.020148,0.313818,5.430176,5.743994
12599,5129.959474,5414.206542,0.319035,5.520932,5.839966
12799,5128.573863,5041.280368,0.324279,5.611898,5.936178
12999,5109.256586,3872.950861,0.329498,5.702896,6.032393
13199,5104.813566,4816.017241,0.334688,5.793672,6.128360
13399,5101.551651,4886.265222,0.339912,5.884585,6.224497
13599,5109.920448,5670.629863,0.345124,5.975600,6.320724
13799,5101.013137,4495.315978,0.350367,6.066496,6.416863
13999,5098.480738,4923.745250,0.355547,6.157263,6.512810
14199,5099.617076,5179.160693,0.360755,6.248218,6.608973
14399,5114.541845,6174.200503,0.365980,6.339129,6.705109
14599,5117.587907,5336.904365,0.371182,6.430226,6.801408
14799,5115.579971,4969.000598,0.376394,6.521148,6.897543
14999,5117.441870,5255.222404,0.381614,6.612130,6.993744
15199,5125.567259,5734.971438,0.386842,6.703152,7.089994
15399,5122.909102,4920.889173,0.392053,6.794157,7.186210
