# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [D+RESET] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [RESET] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [D-SEM] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [SEM_RESET] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# [HTRA] HoeffdingAdaptiveTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_ALL_incremental1.out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D+RESET],current_mse_[D+RESET],mean_mse_[RESET],current_mse_[RESET],mean_mse_[D-SEM],current_mse_[D-SEM],mean_mse_[SEM_RESET],current_mse_[SEM_RESET],mean_mse_[HTR],current_mse_[HTR],mean_mse_[HTRA],current_mse_[HTRA],training_time_[D+RESET],testing_time_[D+RESET],total_running_time_[D+RESET],training_time_[RESET],testing_time_[RESET],total_running_time_[RESET],training_time_[D-SEM],testing_time_[D-SEM],total_running_time_[D-SEM],training_time_[SEM_RESET],testing_time_[SEM_RESET],total_running_time_[SEM_RESET],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR],training_time_[HTRA],testing_time_[HTRA],total_running_time_[HTRA]
135599,0.156985,0.163021,0.154240,0.154439,0.165858,0.185251,0.154329,0.161047,0.124757,0.147503,0.124754,0.147515,51.331828,32.337633,83.669461,4.637145,27.418533,32.055678,53.922417,26.974175,80.896591,2.966943,27.212506,30.179449,25.724236,4.987086,30.711322,105.589620,4.105703,109.695323
135799,0.156939,0.125957,0.154191,0.120943,0.165887,0.185649,0.154328,0.153311,0.124737,0.111042,0.124734,0.111039,51.401989,32.377699,83.779688,4.638847,27.456314,32.095160,53.990830,27.011393,81.002222,2.968615,27.250325,30.218940,25.770487,4.995084,30.765572,105.785325,4.112446,109.897771
135999,0.156911,0.137863,0.154149,0.125474,0.165903,0.176609,0.154326,0.152920,0.124722,0.114695,0.124719,0.114699,51.473382,32.420928,83.894310,4.640565,27.495692,32.136258,54.062160,27.049529,81.111689,2.970446,27.288062,30.258508,25.798617,5.003017,30.801634,105.964895,4.119081,110.083976
136199,0.156888,0.141118,0.154112,0.129213,0.165878,0.149058,0.154320,0.150294,0.124707,0.114548,0.124704,0.114544,51.544784,32.462989,84.007774,4.642593,27.534888,32.177482,54.135386,27.088175,81.223561,2.989864,27.327110,30.316973,25.827148,5.010829,30.837976,106.147181,4.125701,110.272882
136399,0.156882,0.152770,0.154106,0.149820,0.165910,0.187678,0.154334,0.164111,0.124685,0.109101,0.124681,0.109102,51.643928,32.519515,84.163444,4.665433,27.582179,32.247612,54.228184,27.136346,81.364531,2.991640,27.372778,30.364419,25.860553,5.020160,30.880713,106.342550,4.133297,110.475847
136599,0.156866,0.145925,0.154101,0.150583,0.165946,0.190173,0.154356,0.168970,0.124669,0.113773,0.124665,0.113772,51.728155,32.564800,84.292955,4.667355,27.626131,32.293486,54.340762,27.185458,81.526219,2.993812,27.421786,30.415599,25.897222,5.029876,30.927098,106.550252,4.141194,110.691445
136799,0.156874,0.162916,0.154096,0.151120,0.165972,0.183950,0.154362,0.158801,0.124658,0.117627,0.124655,0.117630,51.806872,32.612855,84.419726,4.669316,27.671911,32.341228,54.419163,27.231761,81.650924,2.995654,27.468625,30.464280,25.937707,5.038615,30.976321,106.738137,4.148221,110.886358
136999,0.156872,0.154952,0.154100,0.156610,0.166009,0.191534,0.154387,0.171699,0.124641,0.113151,0.124638,0.113153,51.881515,32.659680,84.541195,4.671223,27.715329,32.386552,54.498932,27.273977,81.772910,2.997806,27.509666,30.507472,25.989228,5.046737,31.035965,106.942417,4.155027,111.097443
137199,0.156879,0.162134,0.154112,0.162286,0.166061,0.201547,0.154413,0.172110,0.124632,0.118213,0.124629,0.118214,51.957913,32.710050,84.667963,4.673345,27.761458,32.434803,54.574987,27.315479,81.890467,3.018945,27.555614,30.574559,26.052035,5.055182,31.107218,107.159928,4.161970,111.321898
137399,0.156841,0.130925,0.154125,0.162987,0.166075,0.175674,0.154408,0.150722,0.124640,0.129848,0.124636,0.129805,52.040285,32.751741,84.792025,4.695514,27.800477,32.495991,54.645496,27.354381,81.999877,3.020384,27.593706,30.614090,26.089863,5.062949,31.152811,107.347371,4.168522,111.515893
137599,0.156838,0.154227,0.154100,0.137212,0.166065,0.158999,0.154412,0.157041,0.124630,0.118197,0.124627,0.118199,52.110872,32.794808,84.905680,4.697019,27.841388,32.538408,54.743949,27.392954,82.136903,3.022114,27.632562,30.654677,26.162537,5.070994,31.233531,107.570525,4.175233,111.745758
137799,0.156800,0.130758,0.154080,0.140111,0.166056,0.159957,0.154408,0.151986,0.124613,0.112834,0.124610,0.112845,52.188969,32.841828,85.030798,4.698922,27.885773,32.584695,54.823900,27.434918,82.258818,3.024028,27.674572,30.698599,26.191856,5.079252,31.271107,107.759537,4.182104,111.941641
137999,0.156794,0.152528,0.154097,0.166102,0.166142,0.225296,0.154437,0.174031,0.124624,0.131859,0.124620,0.131866,52.261585,32.885002,85.146587,4.700713,27.927077,32.627790,54.894975,27.475125,82.370099,3.026062,27.714604,30.740666,26.220193,5.087263,31.307456,107.943749,4.188869,112.132618
138199,0.156798,0.159547,0.154103,0.158065,0.166180,0.192761,0.154463,0.173026,0.124622,0.123486,0.124619,0.123487,52.341858,32.928309,85.270167,4.702963,27.965468,32.668431,55.091406,27.514470,82.605875,3.047253,27.754475,30.801729,26.261012,5.095876,31.356888,108.148967,4.196055,112.345022
138399,0.156764,0.133682,0.154097,0.149949,0.166170,0.158659,0.154475,0.162322,0.124596,0.106543,0.124592,0.106545,52.428685,32.977995,85.406680,4.727380,28.007727,32.735108,55.163937,27.555691,82.719628,3.048675,27.796031,30.844706,26.316475,5.103952,31.420428,108.758830,4.202658,112.961488
138599,0.156729,0.132462,0.154103,0.157952,0.166176,0.170791,0.154496,0.168981,0.124579,0.113015,0.124576,0.113012,52.505015,33.025599,85.530614,4.728991,28.048189,32.777180,55.250546,27.596377,82.846923,3.050473,27.840299,30.890771,26.345560,5.112431,31.457992,108.937238,4.209663,113.146901
138799,0.156764,0.180828,0.154127,0.170934,0.166178,0.167204,0.154550,0.192385,0.124586,0.129084,0.124582,0.129085,52.573914,33.066540,85.640454,4.730668,28.084422,32.815090,55.318548,27.632892,82.951440,3.052185,27.877008,30.929192,26.403419,5.120404,31.523823,109.156316,4.216385,113.372701
138999,0.156778,0.166514,0.154143,0.165357,0.166132,0.134491,0.154564,0.164142,0.124578,0.119311,0.124575,0.119312,52.651971,33.110889,85.762860,4.732602,28.127516,32.860118,55.393723,27.672359,83.066081,3.054424,27.916899,30.971323,26.450392,5.128601,31.578993,109.352374,4.223241,113.575615
139199,0.156766,0.148828,0.154168,0.171114,0.166102,0.145450,0.154606,0.183617,0.124575,0.122273,0.124571,0.122265,52.726656,33.152268,85.878924,4.735388,28.166751,32.902139,55.467333,27.711605,83.178938,3.076233,27.956397,31.032630,26.489861,5.136824,31.626685,109.544719,4.230128,113.774847
139399,0.156748,0.144033,0.154174,0.158685,0.166094,0.160296,0.154595,0.147031,0.124574,0.123855,0.124570,0.123854,52.816084,33.194480,86.010564,4.761406,28.206399,32.967806,55.673278,27.750273,83.423552,3.077656,27.995741,31.073397,26.518140,5.144904,31.663044,109.727913,4.236933,113.964846
139599,0.156713,0.132066,0.154164,0.147052,0.166043,0.130314,0.154572,0.138439,0.124522,0.088414,0.124518,0.088419,52.886293,33.235804,86.122097,4.762955,28.243947,33.006902,55.741812,27.787097,83.528909,3.079370,28.032834,31.112204,26.546772,5.152886,31.699658,109.910677,4.243662,114.154339
139799,0.156709,0.153784,0.154170,0.158670,0.166082,0.193068,0.154572,0.154880,0.124521,0.123673,0.124517,0.123677,52.954755,33.277886,86.232641,4.764595,28.284011,33.048606,55.831925,27.825274,83.657199,3.081099,28.070698,31.151798,26.601428,5.160742,31.762170,110.116944,4.250291,114.367235
139999,0.156728,0.170013,0.154166,0.151264,0.166116,0.190346,0.154637,0.199738,0.124531,0.131609,0.124527,0.131664,53.029734,33.322590,86.352324,4.766386,28.325372,33.091758,55.905756,27.865487,83.771243,3.083040,28.111011,31.194052,26.647817,5.168582,31.816399,110.312521,4.256835,114.569356
140199,0.156706,0.141893,0.154147,0.141019,0.166099,0.153758,0.154652,0.165514,0.124512,0.111283,0.124509,0.111272,53.103242,33.366645,86.469887,4.768378,28.366013,33.134390,55.978409,27.904178,83.882587,3.106358,28.150341,31.256699,26.714906,5.176649,31.891554,110.524409,4.263591,114.788000
140399,0.156740,0.180039,0.154182,0.178484,0.166108,0.172839,0.154690,0.180762,0.124524,0.133092,0.124521,0.133084,53.189197,33.408121,86.597319,4.794028,28.404370,33.198398,56.048779,27.941740,83.990519,3.107837,28.188306,31.296143,26.780152,5.184866,31.965019,110.746545,4.270528,115.017073
140599,0.156736,0.154247,0.154161,0.139610,0.166083,0.148459,0.154698,0.160583,0.124499,0.106718,0.124495,0.106716,53.261049,33.451555,86.712604,4.795594,28.443760,33.239354,56.120125,27.980244,84.100369,3.109472,28.226772,31.336244,26.809554,5.193110,32.002664,110.936390,4.277432,115.213821
140799,0.156781,0.188108,0.154165,0.156550,0.166086,0.168085,0.154733,0.179611,0.124496,0.122409,0.124493,0.122411,53.338130,33.496592,86.834722,4.797436,28.484898,33.282335,56.221248,28.020968,84.242216,3.111497,28.268209,31.379706,26.849985,5.201891,32.051876,111.141232,4.284632,115.425864
140999,0.156767,0.146963,0.154174,0.160700,0.166113,0.185149,0.154776,0.184464,0.124485,0.116584,0.124481,0.116590,53.410669,33.538203,86.948872,4.799232,28.523910,33.323142,56.292985,28.059275,84.352260,3.113394,28.307329,31.420723,26.878187,5.210170,32.088357,111.323146,4.291524,115.614670
141199,0.156744,0.140874,0.154165,0.147818,0.166108,0.162485,0.154768,0.149600,0.124461,0.107474,0.124457,0.107473,53.490854,33.582617,87.073471,4.801454,28.565391,33.366845,56.373165,28.102256,84.475420,3.123872,28.349974,31.473846,26.909684,5.219180,32.128863,111.519505,4.298951,115.818456
141399,0.156764,0.170661,0.154199,0.178483,0.166135,0.185090,0.154770,0.156008,0.124481,0.138902,0.124478,0.138902,53.592468,33.635149,87.227617,4.829624,28.615688,33.445312,56.464492,28.150505,84.614997,3.125682,28.398353,31.524034,26.954664,5.228739,32.183403,111.724108,4.306618,116.030726
141599,0.156753,0.149131,0.154174,0.136202,0.166128,0.161321,0.154725,0.123060,0.124441,0.096362,0.124438,0.096362,53.679760,33.687300,87.367060,4.831410,28.661962,33.493373,56.553810,28.197802,84.751612,3.127770,28.446976,31.574745,26.986205,5.238033,32.224238,111.921310,4.314224,116.235534
141799,0.156761,0.162314,0.154138,0.128932,0.166143,0.176708,0.154686,0.126793,0.124418,0.107983,0.124415,0.107992,53.803654,33.778920,87.582574,4.833608,28.738312,33.571920,56.706990,28.280732,84.987722,3.130220,28.528892,31.659112,27.026506,5.248350,32.274856,112.108096,4.321984,116.430081
141999,0.156766,0.160337,0.154126,0.145681,0.166124,0.152801,0.154660,0.136398,0.124423,0.127549,0.124419,0.127560,53.903083,33.836989,87.740072,4.835736,28.790454,33.626190,56.792528,28.333718,85.126246,3.132333,28.588177,31.720510,27.071542,5.257612,32.329155,112.292383,4.329279,116.621662
142199,0.156770,0.159816,0.154152,0.172182,0.166167,0.196962,0.154649,0.146905,0.124442,0.138152,0.124438,0.138151,53.994135,33.900982,87.895117,4.838355,28.845996,33.684351,56.888101,28.386128,85.274229,3.143025,28.642803,31.785828,27.118186,5.267363,32.385550,112.510302,4.337082,116.847384
142399,0.156760,0.149178,0.154177,0.171942,0.166133,0.141847,0.154587,0.110637,0.124414,0.104957,0.124411,0.104959,54.104221,33.956109,88.060330,4.870404,28.899960,33.770364,56.977959,28.441321,85.419280,3.144601,28.698526,31.843127,27.148987,5.276788,32.425775,112.692468,4.344640,117.037108
142599,0.156728,0.133870,0.154179,0.155524,0.166141,0.171430,0.154540,0.120553,0.124389,0.105933,0.124385,0.105939,54.190037,34.002915,88.192952,4.872193,28.944059,33.816252,57.069360,28.485760,85.555119,3.146597,28.744538,31.891135,27.181983,5.285912,32.467895,112.893445,4.352073,117.245518
142799,0.156728,0.157061,0.154215,0.180468,0.166199,0.207926,0.154534,0.150406,0.124406,0.136506,0.124402,0.136515,54.272958,34.051557,88.324515,4.874443,28.989052,33.863494,57.178497,28.531890,85.710387,3.148718,28.790868,31.939586,27.214110,5.294761,32.508871,113.082488,4.359356,117.441844
142999,0.156685,0.125835,0.154211,0.150752,0.166166,0.142438,0.154527,0.149866,0.124396,0.117511,0.124393,0.117504,54.363506,34.111624,88.475130,4.876553,29.038897,33.915451,57.265445,28.581230,85.846675,3.150855,28.843933,31.994788,27.269175,5.303509,32.572683,113.276539,4.366354,117.642893
143199,0.156669,0.145345,0.154172,0.126386,0.166195,0.186878,0.154472,0.114691,0.124350,0.091453,0.124347,0.091457,54.441553,34.159357,88.600911,4.878501,29.084281,33.962782,57.342753,28.626259,85.969012,3.167686,28.889411,32.057097,27.316364,5.311788,32.628152,113.479722,4.373232,117.852954
143399,0.156701,0.179598,0.154239,0.202628,0.166239,0.197910,0.154477,0.158293,0.124370,0.138606,0.124367,0.138684,54.555709,34.219430,88.775138,4.910364,29.134918,34.045281,57.436228,28.679634,86.115862,3.169445,28.943685,32.113130,27.349864,5.321633,32.671498,113.668681,4.381128,118.049809
143599,0.156653,0.122219,0.154221,0.140795,0.166212,0.146961,0.154446,0.132077,0.124358,0.115778,0.124355,0.115776,54.639341,34.268489,88.907830,4.912088,29.181028,34.093116,57.520984,28.726552,86.247536,3.171478,28.990736,32.162214,27.418441,5.330728,32.749168,113.907979,4.388533,118.296512
143799,0.156628,0.138331,0.154180,0.125123,0.166184,0.145792,0.154404,0.124335,0.124318,0.095656,0.124315,0.095657,54.732143,34.321836,89.053978,4.914365,29.234219,34.148584,57.637117,28.777933,86.415050,3.173590,29.044768,32.218359,27.450660,5.339960,32.790620,114.098883,4.396044,118.494927
143999,0.156674,0.190405,0.154244,0.199965,0.166208,0.183415,0.154383,0.139044,0.124320,0.125969,0.124317,0.125969,54.821376,34.376928,89.198305,4.916387,29.292832,34.209219,57.723582,28.825811,86.549392,3.175844,29.095497,32.271342,27.493282,5.349080,32.842362,114.301755,4.403461,118.705216
144199,0.156707,0.179815,0.154234,0.146862,0.166223,0.177366,0.154356,0.135057,0.124320,0.124240,0.124317,0.124249,54.914594,34.441664,89.356258,4.918730,29.345782,34.264512,57.814347,28.877467,86.691814,3.186699,29.149943,32.336641,27.524427,5.358097,32.882524,114.495658,4.410715,118.906373
144399,0.156743,0.183029,0.154231,0.152050,0.166266,0.197330,0.154353,0.152528,0.124315,0.120747,0.124312,0.120742,55.015692,34.493767,89.509459,5.035389,29.396165,34.431554,57.898218,28.928577,86.826795,3.188248,29.199771,32.388019,27.614625,5.366569,32.981194,114.737395,4.417691,119.155086
144599,0.156832,0.221373,0.154262,0.176753,0.166266,0.165691,0.154340,0.144867,0.124339,0.141793,0.124336,0.141800,55.108669,34.549575,89.658244,5.037207,29.444933,34.482140,57.985456,28.977529,86.962985,3.190542,29.249547,32.440089,27.658892,5.376357,33.035249,114.946051,4.425525,119.371576
144799,0.156846,0.166376,0.154223,0.126215,0.166292,0.185137,0.154312,0.134315,0.124313,0.105585,0.124310,0.105609,55.240756,34.605083,89.845839,5.039328,29.492477,34.531805,58.097527,29.024651,87.122179,3.192982,29.297500,32.490482,27.712826,5.385209,33.098036,115.170353,4.432858,119.603211
144999,0.156829,0.144738,0.154205,0.141493,0.166304,0.175381,0.154285,0.134624,0.124295,0.111115,0.124292,0.111109,55.328020,34.657175,89.985195,5.041493,29.543439,34.584932,58.182177,29.072087,87.254265,3.195229,29.345816,32.541045,27.768342,5.394207,33.162550,115.379895,4.440109,119.820004
145199,0.156828,0.156059,0.154174,0.131339,0.166278,0.147121,0.154245,0.125297,0.124259,0.097778,0.124256,0.097779,55.415017,34.716122,90.131139,5.043606,29.591104,34.634710,58.265948,29.120459,87.386407,3.205111,29.393427,32.598539,27.842644,5.402976,33.245620,115.619157,4.447369,120.066526
145399,0.156825,0.155078,0.154137,0.127576,0.166317,0.194960,0.154240,0.150162,0.124249,0.117233,0.124246,0.117232,55.519350,34.767077,90.286428,5.062451,29.639457,34.701908,58.355149,29.167305,87.522453,3.206853,29.442500,32.649353,27.875030,5.412386,33.287416,115.815005,4.454990,120.269996
145599,0.156839,0.166546,0.154095,0.123248,0.166309,0.160619,0.154208,0.131065,0.124228,0.108788,0.124225,0.108784,55.596315,34.816537,90.412852,5.063978,29.681930,34.745908,58.433915,29.210015,87.643931,3.208731,29.487265,32.695995,27.914781,5.420621,33.335401,116.013212,4.461858,120.475070
145799,0.156830,0.150794,0.154053,0.123591,0.166285,0.148325,0.154191,0.141637,0.124226,0.122995,0.124223,0.122996,55.679680,34.865044,90.544724,5.065791,29.729010,34.794801,58.982372,29.257646,88.240018,3.210623,29.534284,32.744907,27.944062,5.429010,33.373073,116.189049,4.468687,120.657736
145999,0.156862,0.180215,0.154043,0.147057,0.166321,0.192473,0.154202,0.162391,0.124235,0.130430,0.124231,0.130417,55.763424,34.917674,90.681098,5.067642,29.779362,34.847004,59.067503,29.306600,88.374103,3.212685,29.583430,32.796115,27.973360,5.437511,33.410871,116.374975,4.475712,120.850687
146199,0.156886,0.174110,0.153995,0.118846,0.166337,0.178431,0.154209,0.159720,0.124226,0.117829,0.124223,0.117839,55.848454,34.967205,90.815658,5.069745,29.826537,34.896282,59.151183,29.354535,88.505718,3.224577,29.631664,32.856240,28.003044,5.446238,33.449281,116.557418,4.482903,121.040321
146399,0.156886,0.156659,0.153953,0.122938,0.166333,0.163640,0.154197,0.145387,0.124212,0.114030,0.124209,0.114038,55.954812,35.024559,90.979372,5.092679,29.880315,34.972994,59.243416,29.405613,88.649029,3.226183,29.682444,32.908626,28.042729,5.454910,33.497639,116.746886,4.489996,121.236882
146599,0.156919,0.181442,0.153963,0.161238,0.166361,0.186881,0.154199,0.155333,0.124214,0.125429,0.124210,0.125430,56.035275,35.072063,91.107338,5.094336,29.924147,35.018484,59.323064,29.450665,88.773729,3.228121,29.728668,32.956789,28.073186,5.463672,33.536857,116.940353,4.497255,121.437608
146799,0.156957,0.184586,0.153958,0.150391,0.166363,0.167768,0.154192,0.149402,0.124225,0.132374,0.124222,0.132383,56.118638,35.123790,91.242428,5.096354,29.973015,35.069369,59.431034,29.500335,88.931369,3.230156,29.778590,33.008747,28.104122,5.472618,33.576740,117.132715,4.504543,121.637258
146999,0.156967,0.164628,0.153941,0.141323,0.166359,0.163109,0.154200,0.159907,0.124195,0.102124,0.124191,0.102123,56.196537,35.171103,91.367640,5.098367,30.013769,35.112136,59.509582,29.542015,89.051598,3.232170,29.821253,33.053423,28.135203,5.481045,33.616248,117.329323,4.511594,121.840916
147199,0.157007,0.186123,0.153947,0.158679,0.166376,0.178638,0.154174,0.134617,0.124177,0.111466,0.124174,0.111472,56.287737,35.227616,91.515353,5.100611,30.059541,35.160152,59.595070,29.590218,89.185288,3.244582,29.871421,33.116003,28.167691,5.490646,33.658337,117.528522,4.519300,122.047822
147399,0.156999,0.150884,0.153925,0.137827,0.166369,0.161189,0.154151,0.137212,0.124159,0.110503,0.124156,0.110498,56.385016,35.274643,91.659659,5.121595,30.102428,35.224023,59.678633,29.634506,89.313139,3.246162,29.917004,33.163166,28.212844,5.499383,33.712227,117.741286,4.526552,122.267838
147599,0.157029,0.179655,0.153913,0.144752,0.166365,0.163381,0.154137,0.144186,0.124141,0.110860,0.124138,0.110858,56.470206,35.334051,91.804258,5.123257,30.153180,35.276437,59.762258,29.686976,89.449235,3.248241,29.966441,33.214682,28.242819,5.508035,33.750855,117.920744,4.533659,122.454403
147799,0.157034,0.160258,0.153880,0.129892,0.166335,0.144362,0.154118,0.139866,0.124131,0.116630,0.124127,0.116639,56.558963,35.388539,91.947503,5.125031,30.202334,35.327365,59.876347,29.736619,89.612967,3.250084,30.016217,33.266302,28.272612,5.516432,33.789044,118.100256,4.540536,122.640792
147999,0.157034,0.157471,0.153888,0.159304,0.166357,0.182608,0.154126,0.160150,0.124155,0.141901,0.124152,0.141901,56.650223,35.441209,92.091433,5.127207,30.258070,35.385276,59.963570,29.788883,89.752453,3.252149,30.071651,33.323800,28.318796,5.525570,33.844366,118.300533,4.547932,122.848465
148199,0.157025,0.149874,0.153874,0.143484,0.166360,0.169049,0.154141,0.165369,0.124150,0.120583,0.124147,0.120598,56.737919,35.493945,92.231865,5.129349,30.304281,35.433630,60.049296,29.835554,89.884850,3.264025,30.119577,33.383602,28.363636,5.534218,33.897854,118.497483,4.555095,123.052578
148399,0.157017,0.151493,0.153878,0.157406,0.166373,0.175422,0.154118,0.136851,0.124129,0.108829,0.124126,0.108821,56.845375,35.547821,92.393196,5.151770,30.356622,35.508392,60.134946,29.890214,90.025160,3.265493,30.171962,33.437455,28.392371,5.542458,33.934829,118.682698,4.561936,123.244634
148599,0.157060,0.188473,0.153892,0.164048,0.166381,0.172638,0.154124,0.158505,0.124125,0.120995,0.124122,0.121005,56.921698,35.593306,92.515004,5.153353,30.398317,35.551670,60.209765,29.931480,90.141245,3.267405,30.213635,33.481039,28.434522,5.550895,33.985417,118.886785,4.568965,123.455750
148799,0.157077,0.170085,0.153894,0.155242,0.166364,0.153623,0.154113,0.146567,0.124114,0.115818,0.124111,0.115824,56.999864,35.642579,92.642443,5.155072,30.443610,35.598682,60.296589,29.976401,90.272990,3.269198,30.257677,33.526875,28.464106,5.559418,34.023524,119.071032,4.576031,123.647063
148999,0.157087,0.164727,0.153878,0.142355,0.166308,0.124546,0.154096,0.141364,0.124084,0.101854,0.124081,0.101859,57.076420,35.688495,92.764915,5.156931,30.485621,35.642552,60.371669,30.018239,90.389908,3.271202,30.300138,33.571341,28.493750,5.567706,34.061456,119.263020,4.582966,123.845986
149199,0.157104,0.169709,0.153845,0.128693,0.166277,0.143539,0.154141,0.187644,0.124083,0.123128,0.124080,0.123133,57.158339,35.743655,92.901994,5.158950,30.533492,35.692442,60.451439,30.066186,90.517625,3.284062,30.347698,33.631760,28.523268,5.576307,34.099575,119.449149,4.590022,124.039171
149399,0.157088,0.144805,0.153784,0.108746,0.166219,0.122494,0.154090,0.115874,0.124059,0.106397,0.124056,0.106391,57.262214,35.795344,93.057558,5.181170,30.582456,35.763626,60.537240,30.114208,90.651448,3.285692,30.398655,33.684347,28.555112,5.585346,34.140458,119.648183,4.597395,124.245578
149599,0.157121,0.181699,0.153761,0.136737,0.166165,0.126054,0.154068,0.137270,0.124053,0.119725,0.124050,0.119793,57.346390,35.846149,93.192539,5.182856,30.631112,35.813968,60.621245,30.161960,90.783205,3.287708,30.447479,33.735187,28.614579,5.594405,34.208983,119.864419,4.604719,124.469138
149799,0.157141,0.172416,0.153796,0.179257,0.166111,0.125881,0.154055,0.144366,0.124035,0.110446,0.124032,0.110448,57.431938,35.893744,93.325682,5.184779,30.674892,35.859671,60.712383,30.203865,90.916248,3.289601,30.490834,33.780435,28.657233,5.603116,34.260349,120.068074,4.611911,124.679985
149999,0.157174,0.181646,0.153798,0.155386,0.166086,0.147372,0.154040,0.142997,0.124030,0.120237,0.124027,0.120234,57.512356,35.946932,93.459288,5.186761,30.719782,35.906543,60.791147,30.246854,91.038001,3.291680,30.534069,33.825750,28.688374,5.611634,34.300008,120.265397,4.618987,124.884384
150199,0.157134,0.127373,0.153766,0.130241,0.166050,0.138641,0.154007,0.129684,0.124000,0.101760,0.123997,0.101744,57.607627,36.001135,93.608763,5.189093,30.773713,35.962805,60.882103,30.302824,91.184926,3.303769,30.590005,33.893774,28.720146,5.621031,34.341177,120.452894,4.626532,125.079426
150399,0.157172,0.185338,0.153746,0.138561,0.166010,0.136623,0.154008,0.154050,0.123985,0.112690,0.123982,0.112680,57.719602,36.059918,93.779520,5.211598,30.831045,36.042643,60.973419,30.354780,91.328199,3.305397,30.644020,33.949417,28.751747,5.629899,34.381646,120.633907,4.633773,125.267681
150599,0.157179,0.162862,0.153712,0.127852,0.165981,0.143498,0.154011,0.156899,0.123974,0.115305,0.123971,0.115306,57.803183,36.108426,93.911609,5.213292,30.877734,36.091025,61.056430,30.400275,91.456705,3.307177,30.691619,33.998797,28.782785,5.638392,34.421177,120.830702,4.640818,125.471519
150799,0.157182,0.159576,0.153710,0.152171,0.165949,0.142503,0.153992,0.139593,0.123948,0.104421,0.123945,0.104420,57.890744,36.161775,94.052519,5.215279,30.925427,36.140706,61.152607,30.447988,91.600596,3.309131,30.741805,34.050936,28.845693,5.647556,34.493250,121.049262,4.648242,125.697504
150999,0.157212,0.179483,0.153714,0.157325,0.165939,0.158122,0.154014,0.170744,0.123944,0.121421,0.123941,0.121410,57.979950,36.214674,94.194624,5.217405,30.975614,36.193019,61.239453,30.496898,91.736351,3.311449,30.792144,34.103592,28.878411,5.656563,34.534973,121.250215,4.655643,125.905858
151199,0.157253,0.188625,0.153721,0.158775,0.165919,0.150610,0.154027,0.163567,0.123945,0.124141,0.123942,0.124167,58.065339,36.273088,94.338427,5.219537,31.030340,36.249877,61.327317,30.547036,91.874353,3.326848,30.840949,34.167797,28.944642,5.665449,34.610091,121.482390,4.662968,126.145358
151399,0.157267,0.167408,0.153731,0.161220,0.165890,0.144123,0.154024,0.151664,0.123933,0.114915,0.123930,0.114900,58.231022,36.324145,94.555168,5.244436,31.077547,36.321983,61.412890,30.594368,92.007257,3.328508,30.889003,34.217511,28.976853,5.674514,34.651367,121.680569,4.670422,126.350991
151599,0.157257,0.149780,0.153713,0.139830,0.165852,0.136755,0.154014,0.146549,0.123927,0.119896,0.123924,0.119909,58.313754,36.378994,94.692748,5.246079,31.127688,36.373767,61.495985,30.643050,92.139035,3.330289,30.937557,34.267846,29.007144,5.683289,34.690433,121.862718,4.677625,126.540343
151799,0.157270,0.167392,0.153687,0.134397,0.165844,0.160412,0.154015,0.154866,0.123923,0.120917,0.123921,0.120916,58.399982,36.436850,94.836832,5.247878,31.177736,36.425614,61.589433,30.690201,92.279634,3.332108,30.987338,34.319446,29.071982,5.691859,34.763841,122.089837,4.684747,126.774584
