# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [D+RESET] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [RESET] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [D-SEM] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [SEM_RESET] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# [HTRA] HoeffdingAdaptiveTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_ALL_incremental1.out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D+RESET],current_mse_[D+RESET],mean_mse_[RESET],current_mse_[RESET],mean_mse_[D-SEM],current_mse_[D-SEM],mean_mse_[SEM_RESET],current_mse_[SEM_RESET],mean_mse_[HTR],current_mse_[HTR],mean_mse_[HTRA],current_mse_[HTRA],training_time_[D+RESET],testing_time_[D+RESET],total_running_time_[D+RESET],training_time_[RESET],testing_time_[RESET],total_running_time_[RESET],training_time_[D-SEM],testing_time_[D-SEM],total_running_time_[D-SEM],training_time_[SEM_RESET],testing_time_[SEM_RESET],total_running_time_[SEM_RESET],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR],training_time_[HTRA],testing_time_[HTRA],total_running_time_[HTRA]
2599,0.175329,0.149500,0.175329,0.149500,0.175329,0.149500,0.175329,0.149500,0.155220,0.141943,0.155040,0.141792,1.102799,0.728224,1.831022,0.073008,0.703340,0.776348,1.055109,0.659156,1.714264,0.064776,0.704684,0.769461,0.390999,0.079008,0.470007,0.713539,0.059921,0.773460
2799,0.174356,0.161695,0.174356,0.161695,0.174356,0.161695,0.174356,0.161695,0.154449,0.144423,0.154257,0.144083,1.174248,0.776630,1.950878,0.074880,0.747864,0.822743,1.129512,0.700340,1.829852,0.066592,0.746990,0.813582,0.422316,0.085337,0.507653,0.781587,0.064986,0.846573
2999,0.173855,0.166848,0.173855,0.166848,0.173855,0.166848,0.173855,0.166848,0.153531,0.140675,0.153344,0.140551,1.249726,0.825345,2.075071,0.076571,0.799788,0.876359,1.214660,0.748342,1.963002,0.070991,0.793932,0.864923,0.441663,0.091156,0.532819,0.868896,0.069457,0.938353
3199,0.173266,0.164436,0.173266,0.164436,0.173266,0.164436,0.173266,0.164436,0.153645,0.155362,0.153475,0.155450,1.322515,0.866501,2.189016,0.085169,0.838688,0.923857,1.287838,0.787735,2.075574,0.082809,0.832525,0.915334,0.481584,0.096578,0.578163,0.941847,0.073829,1.015676
3399,0.172296,0.156772,0.172296,0.156772,0.172296,0.156772,0.172296,0.156772,0.151986,0.125434,0.151824,0.125403,1.388136,0.905268,2.293403,0.086641,0.874892,0.961533,1.354760,0.823412,2.178171,0.084139,0.868123,0.952262,0.502624,0.102260,0.604883,1.002363,0.078453,1.080815
3599,0.169943,0.129940,0.169943,0.129940,0.169943,0.129940,0.169943,0.129940,0.151309,0.139807,0.151151,0.139712,1.461030,0.950245,2.411275,0.088518,0.922324,1.010842,1.427623,0.866960,2.294583,0.085795,0.910140,0.995935,0.542979,0.108685,0.651665,1.085009,0.083619,1.168628
3799,0.170287,0.176479,0.170287,0.176479,0.170287,0.176479,0.170287,0.176479,0.151176,0.148787,0.151031,0.148860,1.530899,0.993826,2.524725,0.090417,0.963065,1.053482,1.498152,0.907912,2.406064,0.087652,0.950920,1.038572,0.566500,0.114797,0.681296,1.149951,0.088522,1.238473
3999,0.169416,0.152866,0.169416,0.152866,0.169416,0.152866,0.169416,0.152866,0.151170,0.151056,0.151032,0.151049,1.607075,1.040443,2.647519,0.092631,1.007959,1.100590,1.575310,0.953452,2.528762,0.089870,0.994242,1.084112,0.593165,0.121296,0.714461,1.221042,0.093730,1.314772
4199,0.168739,0.155191,0.168739,0.155191,0.168739,0.155191,0.168739,0.155191,0.150374,0.134449,0.150243,0.134475,1.684378,1.082255,2.766634,0.103817,1.047378,1.151195,1.651771,0.992366,2.644137,0.098245,1.033345,1.131590,0.629764,0.127215,0.756979,1.299066,0.098514,1.397580
4399,0.168063,0.153865,0.168063,0.153865,0.168063,0.153865,0.168063,0.153865,0.150186,0.146240,0.150061,0.146246,1.746682,1.123291,2.869973,0.105137,1.085463,1.190600,1.714294,1.029529,2.743822,0.099446,1.070531,1.169978,0.681854,0.132542,0.814396,1.390514,0.102836,1.493350
