# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTR_incremental4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTR],current_mse_[HTR],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
19799,0.116921,0.114362,2.433918,0.474297,2.908216
19999,0.116905,0.115351,2.450697,0.479205,2.929903
20199,0.116823,0.108592,2.467017,0.484125,2.951141
20399,0.116714,0.105724,2.484083,0.489111,2.973194
20599,0.116586,0.103542,2.523628,0.494079,3.017707
20799,0.116253,0.081913,2.547821,0.499067,3.046889
20999,0.116289,0.120097,2.577356,0.504034,3.081389
21199,0.116052,0.091186,2.624391,0.509017,3.133408
21399,0.116072,0.118109,2.641054,0.513979,3.155033
21599,0.116117,0.120983,2.671357,0.518945,3.190302
21799,0.115883,0.090565,2.688065,0.523888,3.211953
21999,0.116083,0.137881,2.711442,0.528869,3.240311
22199,0.115944,0.100725,2.727883,0.533874,3.261757
22399,0.115928,0.114086,2.745163,0.538851,3.284013
22599,0.115853,0.107473,2.761978,0.543859,3.305837
22799,0.115667,0.094625,2.787320,0.548875,3.336196
22999,0.115445,0.090122,2.814879,0.553854,3.368733
23199,0.115309,0.099771,2.839349,0.558860,3.398209
23399,0.115204,0.103015,2.869792,0.563856,3.433648
23599,0.115074,0.099856,2.894726,0.568874,3.463599
23799,0.114951,0.100421,2.911454,0.573905,3.485359
23999,0.114992,0.119868,2.928930,0.578891,3.507821
24199,0.115038,0.120534,2.953475,0.583904,3.537379
24399,0.114957,0.105144,3.017259,0.588974,3.606233
24599,0.115030,0.124006,3.051200,0.594018,3.645217
24799,0.114978,0.108482,3.080143,0.599003,3.679146
24999,0.114816,0.094770,3.104302,0.604006,3.708308
25199,0.114837,0.117510,3.121637,0.609004,3.730642
25399,0.114797,0.109769,3.147319,0.614023,3.761343
25599,0.114862,0.123088,3.164192,0.619027,3.783220
25799,0.114940,0.124872,3.194710,0.624080,3.818790
25999,0.114901,0.109863,3.219355,0.629113,3.848468
26199,0.114800,0.101721,3.258206,0.634152,3.892358
26399,0.114876,0.124850,3.275349,0.639169,3.914518
26599,0.115025,0.134698,3.304715,0.644202,3.948916
26799,0.114945,0.104286,3.322079,0.649244,3.971323
26999,0.115032,0.126655,3.347631,0.654278,4.001909
27199,0.114988,0.109002,3.379264,0.659296,4.038560
27399,0.114807,0.090241,3.396937,0.664306,4.061243
27599,0.114858,0.121900,3.429237,0.669343,4.098580
27799,0.114884,0.118439,3.446160,0.674326,4.120487
27999,0.114832,0.107587,3.471349,0.679388,4.150737
28199,0.114688,0.094500,3.488754,0.684462,4.173216
28399,0.114654,0.109927,3.527961,0.689550,4.217512
28599,0.114470,0.088309,3.562152,0.694608,4.256760
28799,0.114527,0.122732,3.595657,0.699644,4.295301
28999,0.114536,0.115813,3.634489,0.704694,4.339183
29199,0.114317,0.082502,3.652202,0.709737,4.361939
29399,0.114397,0.126036,3.732959,0.714898,4.447857
29599,0.114475,0.125998,3.750360,0.719971,4.470331
29799,0.114398,0.103021,3.768551,0.725020,4.493571
29999,0.114302,0.099934,3.795744,0.730070,4.525814
30199,0.114204,0.099567,3.813951,0.735126,4.549077
30399,0.114131,0.103100,3.838999,0.740186,4.579185
30599,0.114127,0.113556,3.873819,0.745309,4.619127
30799,0.114082,0.107225,3.891144,0.750344,4.641488
30999,0.114010,0.102916,3.923386,0.755425,4.678811
31199,0.113967,0.107225,3.940899,0.760490,4.701389
31399,0.113892,0.102139,3.985628,0.765590,4.751218
31599,0.113754,0.092231,4.019478,0.770693,4.790171
31799,0.113656,0.098039,4.068699,0.775762,4.844461
31999,0.113525,0.092683,4.086782,0.780818,4.867600
32199,0.113465,0.103920,4.104269,0.785843,4.890112
32399,0.113326,0.091036,4.129540,0.790903,4.920443
32599,0.113284,0.106366,4.154316,0.796005,4.950321
32799,0.113267,0.110602,4.172357,0.801113,4.973469
32999,0.113211,0.103937,4.199085,0.806218,5.005303
33199,0.113170,0.106404,4.225770,0.811326,5.037095
33399,0.113180,0.114848,4.243814,0.816388,5.060202
33599,0.113013,0.085234,4.273048,0.821492,5.094539
33799,0.112875,0.089553,4.291303,0.826583,5.117886
33999,0.112849,0.108458,4.316695,0.831682,5.148376
34199,0.112845,0.112181,4.391700,0.836874,5.228574
34399,0.112702,0.088362,4.417238,0.841977,5.259215
34599,0.112561,0.088184,4.443153,0.847046,5.290199
34799,0.112482,0.098849,4.461423,0.852150,5.313573
34999,0.112445,0.106076,4.487839,0.857242,5.345081
35199,0.112327,0.091595,4.505979,0.862364,5.368343
35399,0.112347,0.115902,4.524208,0.867477,5.391686
35599,0.112254,0.095868,4.559641,0.872611,5.432252
35799,0.112090,0.082773,4.593925,0.877717,5.471642
35999,0.112119,0.117264,4.639075,0.882837,5.521911
36199,0.112094,0.107685,4.665112,0.887915,5.553027
36399,0.111932,0.082647,4.691918,0.893030,5.584948
36599,0.111881,0.102496,4.724874,0.898121,5.622995
36799,0.111878,0.111358,4.744070,0.903234,5.647303
36999,0.111865,0.109541,4.762519,0.908344,5.670863
37199,0.111805,0.100622,4.781431,0.913468,5.694898
37399,0.111734,0.098671,4.799813,0.918571,5.718384
37599,0.111671,0.099750,4.833951,0.923700,5.757651
37799,0.111618,0.101626,4.852495,0.928794,5.781289
37999,0.111486,0.086541,4.898314,0.933891,5.832204
38199,0.111395,0.094098,4.931834,0.939017,5.870851
38399,0.111603,0.151431,4.967853,0.944222,5.912075
38599,0.111635,0.117801,5.001530,0.949404,5.950933
38799,0.111492,0.083861,5.047045,0.954525,6.001571
38999,0.111488,0.110787,5.135908,0.959719,6.095627
39199,0.111652,0.143494,5.191151,0.964886,6.156037
39399,0.111546,0.090854,5.209401,0.969954,6.179355
39599,0.111493,0.100966,5.228477,0.975076,6.203554
39799,0.111414,0.095762,5.263249,0.980198,6.243448
39999,0.111456,0.119963,5.289704,0.985304,6.275008
40199,0.111460,0.112128,5.308004,0.990401,6.298405
40399,0.111424,0.104188,5.326594,0.995498,6.322091
40599,0.111422,0.111010,5.367093,1.000638,6.367731
40799,0.111492,0.125712,5.398172,1.005769,6.403941
40999,0.111550,0.123492,5.424078,1.010881,6.434959
41199,0.111464,0.093838,5.443050,1.016065,6.459116
41399,0.111495,0.117877,5.477571,1.021203,6.498775
41599,0.111390,0.089693,5.495800,1.026305,6.522105
41799,0.111462,0.126287,5.514588,1.031406,6.545994
41999,0.111366,0.091318,5.532938,1.036546,6.569484
42199,0.111226,0.081948,5.561186,1.041707,6.602892
42399,0.111103,0.085086,5.579801,1.046823,6.626624
42599,0.111101,0.110573,5.599133,1.051997,6.651130
42799,0.111054,0.101197,5.617927,1.057153,6.675080
42999,0.111020,0.103572,5.644972,1.062331,6.707304
43199,0.110919,0.089310,5.663785,1.067463,6.731248
43399,0.110821,0.089737,5.718566,1.072715,6.791281
43599,0.110836,0.114075,5.737731,1.077817,6.815548
43799,0.110802,0.103316,5.778973,1.082982,6.861955
43999,0.110829,0.116633,5.884118,1.088255,6.972373
44199,0.110767,0.097283,5.902830,1.093398,6.996229
44399,0.110677,0.090747,5.935513,1.098554,7.034067
44599,0.110596,0.092706,5.954278,1.103671,7.057949
44799,0.110606,0.112746,5.973514,1.108845,7.082359
44999,0.110613,0.112077,5.992318,1.113990,7.106308
45199,0.110581,0.103557,6.019764,1.119149,7.138913
45399,0.110536,0.100173,6.038986,1.124297,7.163284
45599,0.110489,0.099951,6.066741,1.129437,7.196178
45799,0.110515,0.116492,6.093386,1.134623,7.228008
45999,0.110488,0.104178,6.113058,1.139813,7.252871
46199,0.110462,0.104612,6.145557,1.144974,7.290531
46399,0.110379,0.091130,6.197319,1.150201,7.347520
46599,0.110318,0.096086,6.239279,1.155375,7.394654
46799,0.110174,0.076788,6.270165,1.160525,7.430689
46999,0.110073,0.086313,6.302823,1.165707,7.468530
47199,0.110155,0.129513,6.334223,1.170863,7.505086
47399,0.110053,0.085974,6.354483,1.176019,7.530502
47599,0.110063,0.112433,6.373679,1.181168,7.554847
47799,0.109990,0.092619,6.401823,1.186350,7.588173
47999,0.109951,0.100565,6.445137,1.191561,7.636698
48199,0.110044,0.132411,6.473596,1.196742,7.670337
48399,0.109981,0.094659,6.492483,1.201886,7.694369
48599,0.109971,0.107579,6.512164,1.207033,7.719197
48799,0.109911,0.095412,6.607931,1.212312,7.820243
48999,0.109894,0.105749,6.627152,1.217467,7.844619
49199,0.109831,0.094344,6.655917,1.222658,7.878575
49399,0.109905,0.128144,6.683283,1.227814,7.911097
49599,0.109913,0.111846,6.742690,1.233048,7.975738
49799,0.109894,0.105129,6.769702,1.238241,8.007943
49999,0.109847,0.098317,6.797381,1.243466,8.040847
50199,0.109972,0.141219,6.823745,1.248639,8.072384
50399,0.110059,0.131737,6.851241,1.253828,8.105069
50599,0.110033,0.103626,6.877829,1.258982,8.136811
50799,0.110012,0.104642,6.897325,1.264155,8.161481
50999,0.110056,0.121180,6.944011,1.269356,8.213367
51199,0.109952,0.083627,6.981006,1.274583,8.255589
51399,0.109999,0.121921,7.029759,1.279806,8.309565
51599,0.109978,0.104604,7.060418,1.285025,8.345443
51799,0.110033,0.124158,7.108260,1.290232,8.398492
51999,0.109986,0.097723,7.127013,1.295407,8.422421
52199,0.109982,0.108990,7.154352,1.300609,8.454962
52399,0.110006,0.116357,7.173221,1.305801,8.479022
52599,0.109943,0.093415,7.193034,1.311044,8.504078
52799,0.109900,0.098521,7.211612,1.316264,8.527876
52999,0.109836,0.092927,7.231269,1.321472,8.552741
53199,0.109819,0.105353,7.250232,1.326667,8.576898
53399,0.109821,0.110514,7.270334,1.331928,8.602263
53599,0.109781,0.098963,7.315383,1.337137,8.652521
53799,0.109779,0.109378,7.415418,1.342504,8.757921
53999,0.109729,0.096109,7.435079,1.347740,8.782819
54199,0.109758,0.117556,7.462868,1.352930,8.815798
54399,0.109707,0.096031,7.523970,1.358175,8.882145
54599,0.109719,0.112892,7.543331,1.363407,8.906738
54799,0.109733,0.113654,7.571472,1.368631,8.940103
54999,0.109756,0.116065,7.603702,1.373851,8.977554
55199,0.109681,0.089121,7.624071,1.379131,9.003202
55399,0.109643,0.099114,7.651453,1.384401,9.035854
55599,0.109648,0.110862,7.671450,1.389647,9.061097
55799,0.109696,0.123000,7.690943,1.394880,9.085823
55999,0.109716,0.115461,7.718367,1.400128,9.118495
56199,0.109751,0.119539,7.774796,1.405370,9.180166
56399,0.109618,0.072174,7.808241,1.410583,9.218823
56599,0.109569,0.095702,7.836868,1.415881,9.252749
56799,0.109451,0.076168,7.856597,1.421093,9.277690
56999,0.109461,0.112235,7.885100,1.426329,9.311428
57199,0.109431,0.100794,7.915912,1.431584,9.347496
57399,0.109366,0.090944,7.957868,1.436878,9.394746
57599,0.109312,0.093636,7.977313,1.442087,9.419400
57799,0.109228,0.085116,7.997745,1.447346,9.445092
57999,0.109241,0.113065,8.017241,1.452598,9.469839
58199,0.109237,0.108176,8.037427,1.457880,9.495306
58399,0.109158,0.085917,8.080120,1.463159,9.543279
58599,0.109088,0.088759,8.109564,1.468461,9.578025
58799,0.109101,0.112844,8.129307,1.473711,9.603018
58999,0.109074,0.101205,8.157884,1.478957,9.636841
59199,0.109005,0.088603,8.286385,1.484391,9.770776
59399,0.108943,0.090647,8.306141,1.489628,9.795769
59599,0.108952,0.111765,8.326358,1.494929,9.821287
59799,0.108958,0.110742,8.345681,1.500200,9.845880
59999,0.108852,0.077026,8.379098,1.505479,9.884577
60199,0.108825,0.100660,8.442402,1.510788,9.953191
60399,0.108751,0.086473,8.485155,1.516107,10.001262
60599,0.108691,0.090568,8.513359,1.521376,10.034735
60799,0.108682,0.106146,8.534052,1.526655,10.060707
60999,0.108582,0.077996,8.553953,1.531927,10.085880
61199,0.108537,0.094750,8.574639,1.537188,10.111827
61399,0.108541,0.110049,8.604647,1.542452,10.147099
61599,0.108487,0.091616,8.624442,1.547718,10.172160
61799,0.108509,0.115449,8.653243,1.553038,10.206281
61999,0.108397,0.073906,8.672547,1.558313,10.230860
62199,0.108456,0.126660,8.712260,1.563633,10.275893
62399,0.108465,0.111313,8.745607,1.568946,10.314553
62599,0.108397,0.086982,8.785906,1.574323,10.360229
62799,0.108304,0.079276,8.815424,1.579598,10.395022
62999,0.108266,0.096317,8.844405,1.584934,10.429340
63199,0.108195,0.085909,8.864522,1.590214,10.454735
63399,0.108152,0.094630,8.893222,1.595538,10.488760
63599,0.108076,0.083779,8.912899,1.600794,10.513692
63799,0.108044,0.097830,8.933805,1.606127,10.539932
63999,0.108119,0.132206,8.961776,1.611423,10.573199
64199,0.108045,0.084428,8.982187,1.616738,10.598925
64399,0.108045,0.107940,9.001903,1.622028,10.623931
64599,0.107980,0.086963,9.029742,1.627357,10.657099
64799,0.107988,0.110620,9.149375,1.632834,10.782208
64999,0.107983,0.106350,9.181816,1.638108,10.819925
65199,0.107964,0.101942,9.241240,1.643504,10.884744
65399,0.107953,0.104263,9.277596,1.648856,10.926453
65599,0.107936,0.102296,9.312275,1.654172,10.966448
65799,0.107886,0.091522,9.332339,1.659470,10.991809
65999,0.107782,0.073537,9.369778,1.664874,11.034653
66199,0.107802,0.114382,9.407376,1.670191,11.077566
