# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [ARFReg] AdaptiveRandomForestRegressor(aggregation_method='median', binary_split=False, drift_detection_criteria='mse', drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.1, max_byte_size=1048576000, max_features='auto', memory_estimate_period=2000000, n_estimators=10, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=0.01, stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01), weighted_vote_strategy=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_ARFReg_gradual1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[ARFReg],current_mse_[ARFReg],training_time_[ARFReg],testing_time_[ARFReg],total_running_time_[ARFReg]
199,10222.699936,10222.699936,0.487319,0.050038,0.537357
399,8505.227744,6787.755551,0.967855,0.097933,1.065788
599,7692.940003,6068.364521,1.468203,0.147043,1.615245
799,7065.938694,5184.934769,1.973064,0.196917,2.169981
999,6646.596094,4969.225691,2.488510,0.247587,2.736097
1199,6232.264132,4160.604325,3.005441,0.298613,3.304054
1399,6107.831992,5361.239152,3.516820,0.350439,3.867258
1599,5967.973970,4988.967815,4.043163,0.402621,4.445784
1799,5883.173647,5204.771058,4.584814,0.455170,5.039984
1999,5689.483321,3946.270390,5.121364,0.507989,5.629352
2199,5542.753771,4075.458267,5.658201,0.561141,6.219342
2399,5395.913139,3780.666190,6.202168,0.614571,6.816738
2599,5247.029493,3460.425737,6.752594,0.668429,7.421024
2799,5147.842044,3858.405206,7.302607,0.722355,8.024962
2999,5122.859168,4773.098904,7.892658,0.776624,8.669282
3199,5023.794936,3537.831467,8.441704,0.831206,9.272910
3399,4971.013895,4126.517241,9.006010,0.886098,9.892109
3599,4932.914883,4285.231676,9.569815,0.940839,10.510654
3799,4827.708874,2934.000713,10.137100,0.995871,11.132971
3999,4765.460651,3582.744399,10.714991,1.051359,11.766350
4199,4721.477162,3841.807388,11.282530,1.106755,12.389285
4399,4671.071930,3612.562061,11.860609,1.162331,13.022940
4599,4610.485559,3277.585395,12.484575,1.218600,13.703175
4799,4547.639720,3102.185421,13.068423,1.274518,14.342941
4999,4517.582371,3796.206012,13.660683,1.330801,14.991485
5199,4512.094660,4374.901874,14.259222,1.387276,15.646499
5399,4469.082374,3350.762950,14.899105,1.444136,16.343241
