# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [AXGBRegS] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegS_abrupto3.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegS],current_mse_[AXGBRegS],training_time_[AXGBRegS],testing_time_[AXGBRegS],total_running_time_[AXGBRegS]
199,15800.573508,15800.573508,0.543995,0.042795,0.586791
399,13660.050428,11519.527348,0.547954,0.085256,0.633210
599,12774.281965,11002.745038,0.552124,0.127662,0.679786
799,11652.487429,8287.103822,0.554240,0.170016,0.724256
999,11023.007642,8505.088493,0.556450,0.212238,0.768688
1199,10320.564717,6808.350093,0.562789,0.254103,0.816892
1399,9778.235343,6524.259099,0.564959,0.295802,0.860761
1599,9547.115465,7929.276319,0.567225,0.337624,0.904850
1799,9358.014126,7845.203409,0.569636,0.379495,0.949131
1999,9146.864857,7246.521439,0.572155,0.421480,0.993635
2199,8788.276262,5202.390316,0.579543,0.463449,1.042992
2399,8512.867211,5483.367650,0.581730,0.505314,1.087044
2599,8246.842787,5054.549701,0.584005,0.547224,1.131230
2799,8122.678558,6508.543572,0.586390,0.589116,1.175506
2999,8024.799771,6654.496759,0.588907,0.631013,1.219920
3199,7805.629682,4518.078343,0.596358,0.673220,1.269578
3399,7651.122892,5179.014247,0.598526,0.715187,1.313713
3599,7572.437540,6234.786572,0.600797,0.757118,1.357914
3799,7417.161318,4622.189308,0.603158,0.799056,1.402214
3999,7293.982969,4953.594344,0.605642,0.841214,1.446857
4199,7175.138798,4798.255380,0.612957,0.883345,1.496303
4399,7041.286359,4230.385139,0.615130,0.925421,1.540551
4599,6939.151929,4692.194473,0.617406,0.967519,1.584925
4799,6798.563306,3565.024977,0.619795,1.009577,1.629372
4999,6699.296321,4316.888665,0.622290,1.051687,1.673977
5199,6596.164115,4017.858971,0.629855,1.093685,1.723540
5399,6493.821962,3832.925987,0.632041,1.135677,1.767718
5599,6434.594895,4835.464090,0.634329,1.177681,1.812010
5799,6367.013934,4474.747012,0.636694,1.219883,1.856577
5999,6277.404336,3678.725998,0.639145,1.261857,1.901002
6199,6184.536973,3398.516088,0.646550,1.303997,1.950547
6399,6095.810579,3345.292361,0.648725,1.346210,1.994935
6599,6006.069402,3134.351740,0.651003,1.388394,2.039397
6799,5923.010026,3182.050609,0.653375,1.430554,2.083929
6999,5852.569240,3457.582520,0.655867,1.472904,2.128771
7199,5772.002240,2952.157260,0.663495,1.515003,2.178498
7399,5706.735060,3357.116578,0.665671,1.557137,2.222809
7599,5644.443671,3339.662269,0.667941,1.599273,2.267214
7799,5580.819239,3163.090829,0.670289,1.641351,2.311641
7999,5534.119695,3712.837491,0.672750,1.685184,2.357934
8199,5468.420431,2840.449856,0.680400,1.727256,2.407656
8399,5408.545365,2953.667639,0.682581,1.769354,2.451935
8599,5339.326231,2432.122622,0.684848,1.811358,2.496206
8799,5287.341566,3052.000967,0.687219,1.853369,2.540588
8999,5236.879845,3016.564118,0.689695,1.895713,2.585408
9199,5172.470721,2274.060141,0.697483,1.938075,2.635557
9399,5123.518969,2871.738382,0.699660,1.980429,2.680089
9599,5069.222208,2517.274428,0.701931,2.022809,2.724740
9799,5038.603634,3568.912096,0.704275,2.065159,2.769434
9999,4989.280271,2572.435500,0.706731,2.107529,2.814260
10199,4943.686545,2664.000230,0.714272,2.149868,2.864140
10399,4903.024433,2829.256731,0.716455,2.192227,2.908682
10599,4857.585201,2494.745119,0.718747,2.234557,2.953304
10799,4807.818526,2170.184771,0.721134,2.276854,2.997988
10999,4769.882080,2721.313954,0.723630,2.319161,3.042791
11199,4732.447497,2673.545468,0.731320,2.361458,3.092777
11399,4685.773836,2072.048822,0.733471,2.403707,3.137178
11599,4655.550127,2932.798686,0.735732,2.445924,3.181656
11799,4616.475790,2350.164271,0.738078,2.488303,3.226381
11999,4581.258328,2503.428049,0.740541,2.530787,3.271328
12199,4541.829090,2176.074831,0.748380,2.573133,3.321512
12399,4509.447535,2534.172638,0.750538,2.615284,3.365822
12599,4476.224628,2416.404420,0.752825,2.657716,3.410541
12799,4445.118580,2485.437578,0.755190,2.700078,3.455268
12999,4413.181482,2369.207169,0.757671,2.742383,3.500054
13199,4380.225866,2238.110836,0.765451,2.784986,3.550438
13399,4348.129513,2229.770245,0.767608,2.827392,3.595000
13599,4321.141849,2512.968361,0.769872,2.869876,3.639748
13799,4289.601183,2144.835867,0.772217,2.912249,3.684466
13999,4257.832234,2065.774747,0.774674,2.954707,3.729381
14199,4227.172309,2080.977574,0.782671,2.997226,3.779898
14399,4194.950234,1907.182888,0.784838,3.039681,3.824519
14599,4168.709749,2279.394836,0.787116,3.082273,3.869389
14799,4137.828354,1883.486566,0.789474,3.124712,3.914186
14999,4110.050142,2054.462431,0.791963,3.167263,3.959226
15199,4084.513199,2169.242501,0.799903,3.209875,4.009778
15399,4056.508590,1928.158236,0.802081,3.252332,4.054413
15599,4030.838518,2054.243031,0.804356,3.294832,4.099188
15799,4005.422521,2022.974734,0.806765,3.337542,4.144308
15999,3986.148855,2463.529271,0.809286,3.380140,4.189426
16199,3953.119606,1310.779667,0.814674,3.422519,4.237193
16399,3922.682122,1457.245944,0.816834,3.464829,4.281663
16599,3893.377456,1490.394791,0.819104,3.507179,4.326283
16799,3865.829058,1579.312049,0.821493,3.549538,4.371030
16999,3840.583930,1719.993143,0.823959,3.591965,4.415924
17199,3815.166016,1654.643308,0.829282,3.634404,4.463686
17399,3788.638209,1507.246834,0.831441,3.676750,4.508190
17599,3762.206614,1462.657863,0.833716,3.719128,4.552844
17799,3735.991380,1429.050767,0.836091,3.761572,4.597663
17999,3712.405653,1613.276002,0.838564,3.803974,4.642539
18199,3684.001739,1127.649478,0.843973,3.846601,4.690575
18399,3659.552188,1434.643016,0.846151,3.889349,4.735500
