# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [ARFReg] AdaptiveRandomForestRegressor(aggregation_method='median', binary_split=False, drift_detection_criteria='mse', drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.1, max_byte_size=1048576000, max_features='auto', memory_estimate_period=2000000, n_estimators=10, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=0.01, stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01), weighted_vote_strategy=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_ARFReg_abrupto1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[ARFReg],current_mse_[ARFReg],training_time_[ARFReg],testing_time_[ARFReg],total_running_time_[ARFReg]
15999,3678.460193,2917.010056,51.900511,4.699899,56.600410
16199,3674.110157,3326.107343,52.627391,4.763817,57.391207
16399,3669.083060,3261.888187,53.519557,4.828316,58.347873
16599,3663.997007,3246.940685,54.262948,4.892697,59.155645
16799,3654.821514,2893.255580,55.021667,4.957044,59.978711
16999,3634.732122,1947.223173,55.952430,5.021452,60.973882
17199,3625.978898,2881.954870,56.747278,5.086486,61.833764
17399,3622.794502,3348.936470,57.518051,5.151325,62.669375
17599,3625.601297,3869.792444,58.273763,5.215608,63.489371
17799,3619.520691,3084.427332,59.248709,5.280925,64.529634
17999,3607.905385,2574.143178,60.005465,5.345972,65.351438
18199,3598.128643,2718.221851,60.990415,5.411872,66.402287
18399,3583.096375,2215.159966,61.786410,5.477448,67.263858
18599,3569.862827,2352.376397,62.571469,5.543050,68.114519
18799,3557.548685,2412.333531,63.463102,5.608429,69.071531
18999,3552.539266,3081.653837,64.269529,5.673732,69.943260
19199,3548.129839,3129.234289,65.112429,5.739386,70.851816
19399,3542.009361,2954.443507,66.082216,5.805350,71.887567
19599,3532.394960,2599.798082,67.054890,5.871791,72.926680
19799,3528.362125,3133.144258,67.842901,5.937619,73.780520
19999,3523.818252,3073.974852,68.657702,6.003577,74.661279
20199,3518.709597,3007.844102,69.508221,6.069553,75.577775
20399,3510.770682,2708.940221,70.532630,6.135948,76.668578
20599,3502.813621,2691.193442,71.350345,6.202060,77.552405
20799,3490.431683,2215.091997,72.097348,6.268344,78.365692
20999,3479.685098,2362.040315,73.147035,6.335449,79.482484
21199,3467.433429,2181.008141,73.969251,6.401821,80.371073
21399,3466.160122,3331.189563,74.968507,6.468606,81.437112
21599,3457.034449,2480.587508,75.775651,6.535074,82.310725
21799,3449.620957,2648.963763,76.804684,6.601697,83.406381
21999,3438.159336,2188.842720,77.604803,6.668558,84.273361
22199,3430.208914,2555.662442,78.483612,6.735550,85.219161
22399,3420.607130,2354.809055,79.471562,6.802269,86.273831
22599,3412.677745,2524.586673,80.352245,6.869582,87.221827
22799,3407.564723,2829.793259,81.185891,6.936242,88.122133
22999,3405.085968,3122.507888,82.163442,7.002806,89.166249
23199,3401.785971,3022.286327,83.080815,7.069856,90.150671
23399,3400.136755,3208.827669,84.119525,7.136773,91.256298
23599,3399.744814,3353.887782,84.981939,7.203549,92.185488
23799,3393.201881,2621.135700,85.823055,7.270912,93.093967
23999,3387.385453,2695.230562,86.917746,7.338779,94.256525
24199,3378.760076,2343.714819,87.784646,7.406389,95.191035
24399,3375.932734,3033.824318,88.833030,7.474132,96.307163
24599,3368.475573,2458.701979,89.681438,7.541738,97.223177
24799,3362.859139,2672.037771,90.517344,7.608947,98.126291
24999,3358.081475,2765.651099,91.649009,7.677144,99.326153
25199,3353.957292,2838.434461,92.541538,7.745099,100.286636
25399,3348.023816,2600.405768,93.646330,7.812763,101.459093
