# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [AXGBRegS] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegS_gradual2.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegS],current_mse_[AXGBRegS],training_time_[AXGBRegS],testing_time_[AXGBRegS],total_running_time_[AXGBRegS]
199,15800.573508,15800.573508,0.536453,0.042588,0.579042
399,13660.050428,11519.527348,0.540401,0.084732,0.625133
599,12774.281965,11002.745038,0.544562,0.126702,0.671264
799,11652.487429,8287.103822,0.546662,0.168637,0.715299
999,11023.007642,8505.088493,0.548858,0.210654,0.759512
1199,10320.564717,6808.350093,0.555192,0.252250,0.807442
1399,9778.235343,6524.259099,0.557345,0.293786,0.851131
1599,9547.115465,7929.276319,0.559597,0.335284,0.894881
1799,9358.014126,7845.203409,0.561969,0.376853,0.938822
1999,9146.864857,7246.521439,0.564461,0.418507,0.982969
2199,8788.276262,5202.390316,0.571836,0.460124,1.031960
2399,8512.867211,5483.367650,0.573986,0.501634,1.075620
2599,8246.842787,5054.549701,0.576225,0.543257,1.119483
2799,8122.678558,6508.543572,0.578565,0.584917,1.163483
2999,8024.799771,6654.496759,0.581057,0.626566,1.207622
3199,7805.629682,4518.078343,0.588420,0.668186,1.256606
3399,7651.122892,5179.014247,0.590585,0.709764,1.300350
3599,7572.437540,6234.786572,0.592820,0.751287,1.344107
3799,7417.161318,4622.189308,0.595184,0.792964,1.388148
3999,7293.982969,4953.594344,0.597704,0.834715,1.432419
4199,7175.138798,4798.255380,0.605025,0.876395,1.481421
4399,7041.286359,4230.385139,0.607192,0.918067,1.525259
4599,6939.151929,4692.194473,0.609452,0.959752,1.569204
4799,6798.563306,3565.024977,0.611804,1.001399,1.613204
4999,6699.296321,4316.888665,0.614323,1.043138,1.657461
5199,6596.164115,4017.858971,0.621811,1.085007,1.706818
5399,6493.821962,3832.925987,0.623968,1.126745,1.750713
5599,6434.594895,4835.464090,0.626241,1.168362,1.794603
5799,6367.013934,4474.747012,0.628629,1.210029,1.838658
5999,6277.404336,3678.725998,0.631149,1.251854,1.883004
6199,6184.536973,3398.516088,0.638654,1.296404,1.935058
6399,6095.810579,3345.292361,0.640836,1.338110,1.978946
6599,6006.069402,3134.351740,0.643117,1.380096,2.023213
6799,5923.010026,3182.050609,0.645512,1.421876,2.067388
6999,5852.569240,3457.582520,0.648021,1.463779,2.111800
7199,5772.002240,2952.157260,0.655699,1.505593,2.161292
7399,5706.735060,3357.116578,0.657865,1.547295,2.205159
7599,5644.443671,3339.662269,0.660141,1.589001,2.249142
7799,5580.819239,3163.090829,0.662525,1.630693,2.293217
7999,5534.119695,3712.837491,0.665027,1.672461,2.337487
8199,5468.420431,2840.449856,0.672655,1.714163,2.386818
8399,5408.545365,2953.667639,0.674814,1.755958,2.430772
8599,5339.326231,2432.122622,0.677078,1.797631,2.474708
8799,5287.341566,3052.000967,0.679472,1.839439,2.518910
8999,5236.879845,3016.564118,0.681978,1.881637,2.563615
9199,5172.470721,2274.060141,0.689679,1.923603,2.613282
9399,5123.518969,2871.738382,0.691852,1.965479,2.657331
9599,5069.222208,2517.274428,0.694155,2.008006,2.702161
9799,5038.603634,3568.912096,0.696591,2.050569,2.747160
9999,4989.280271,2572.435500,0.699138,2.093170,2.792307
10199,4943.686545,2664.000230,0.706827,2.135841,2.842667
10399,4903.024433,2829.256731,0.709066,2.178910,2.887976
10599,4857.585201,2494.745119,0.711411,2.222042,2.933454
10799,4807.818526,2170.184771,0.713838,2.264663,2.978501
10999,4769.882080,2721.313954,0.716450,2.308337,3.024787
11199,4732.447497,2673.545468,0.724436,2.351995,3.076431
11399,4685.773836,2072.048822,0.726669,2.395048,3.121717
11599,4655.550127,2932.798686,0.728972,2.439211,3.168183
11799,4616.475790,2350.164271,0.731439,2.482603,3.214042
11999,4581.258328,2503.428049,0.734016,2.525569,3.259585
12199,4541.829090,2176.074831,0.742082,2.569078,3.311159
12399,4509.447535,2534.172638,0.744357,2.612678,3.357035
12599,4476.224628,2416.404420,0.746655,2.655121,3.401776
12799,4445.118580,2485.437578,0.749120,2.698147,3.447267
12999,4413.181482,2369.207169,0.751721,2.741412,3.493133
13199,4380.225866,2238.110836,0.759689,2.784776,3.544466
13399,4348.129513,2229.770245,0.761956,2.828282,3.590239
13599,4321.141849,2512.968361,0.764271,2.870840,3.635111
13799,4289.601183,2144.835867,0.766714,2.913911,3.680625
13999,4257.832234,2065.774747,0.769300,2.957137,3.726437
14199,4227.172309,2080.977574,0.777359,3.000588,3.777947
14399,4194.950234,1907.182888,0.779631,3.044228,3.823859
14599,4168.709749,2279.394836,0.781952,3.086909,3.868861
14799,4137.828354,1883.486566,0.784425,3.129921,3.914346
14999,4110.050142,2054.462431,0.787078,3.173373,3.960451
15199,4084.513199,2169.242501,0.795176,3.216734,4.011910
15399,4056.508590,1928.158236,0.797445,3.260233,4.057678
15599,4030.838518,2054.243031,0.799753,3.302723,4.102476
