# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [KNN] KNNRegressor(aggregation_method='mean', leaf_size=30, max_window_size=1000, metric='euclidean', n_neighbors=5)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_KNN_abrupto2.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[KNN],current_mse_[KNN],training_time_[KNN],testing_time_[KNN],total_running_time_[KNN]
17599,5129.708998,5807.502581,0.460996,7.836299,8.297295
17799,5125.007923,4711.313310,0.466368,7.928096,8.394464
17999,5121.118398,4774.950639,0.471727,8.019459,8.491186
18199,5113.915724,4465.675065,0.477110,8.111008,8.588117
18399,5098.326811,3679.735739,0.482460,8.202322,8.684782
18599,5087.460353,4087.746248,0.487843,8.294314,8.782158
18799,5091.383004,5456.189583,0.493245,8.385810,8.879055
18999,5094.428578,5380.712452,0.498569,8.477331,8.975901
19199,5099.943604,5623.871143,0.503920,8.568580,9.072499
19399,5101.421393,5243.289072,0.509353,8.660418,9.169771
19599,5101.263964,5085.993421,0.514779,8.752479,9.267258
19799,5101.464875,5121.154111,0.520153,8.843960,9.364113
19999,5099.535363,4908.513650,0.525550,8.935572,9.461122
20199,5096.402573,4783.123604,0.530922,9.027436,9.558358
20399,5092.707369,4719.491760,0.536364,9.119096,9.655460
20599,5087.462133,4552.448056,0.541760,9.211149,9.752909
20799,5088.740727,5220.435905,0.547188,9.303259,9.850447
20999,5078.453302,4008.561124,0.552595,9.395336,9.947931
21199,5076.513390,4872.822589,0.557947,9.486901,10.044847
21399,5087.208403,6220.879787,0.563355,9.578729,10.142083
21599,5080.726757,4387.190636,0.568758,9.670544,10.239302
21799,5081.220287,5134.521516,0.574216,9.762235,10.336451
21999,5073.247455,4204.208781,0.579654,9.854403,10.434058
22199,5076.986197,5488.247821,0.585050,9.946061,10.531111
22399,5074.410239,4788.478884,0.590471,10.037877,10.628348
22599,5068.283583,4382.098133,0.595894,10.129882,10.725776
22799,5072.550440,5554.705280,0.601291,10.221629,10.822921
22999,5076.233684,5496.123528,0.606714,10.313476,10.920190
23199,5080.108709,5525.736625,0.612137,10.404943,11.017080
23399,5084.922746,5643.350971,0.617552,10.496763,11.114315
23599,5081.392337,4668.334530,0.622963,10.588348,11.211311
23799,5077.476907,4615.456145,0.628358,10.680346,11.308704
23999,5071.599003,4372.128477,0.633761,10.772448,11.406208
24199,5067.481192,4573.343778,0.639227,10.864510,11.503736
24399,5065.851014,4868.599481,0.644614,10.956498,11.601112
24599,5058.978700,4220.556415,0.650015,11.048449,11.698463
24799,5056.505834,4752.343371,0.655452,11.140466,11.795918
24999,5050.110524,4257.092053,0.660863,11.232046,11.892909
25199,5047.252773,4690.033893,0.666295,11.323740,11.990035
25399,5047.429026,5069.636951,0.671727,11.415614,12.087341
25599,5043.380232,4529.183314,0.677122,11.507798,12.184919
25799,5041.428166,4791.563792,0.682546,11.599578,12.282124
25999,5041.189750,5010.434087,0.687951,11.691576,12.379527
26199,5036.405709,4414.480271,0.693436,11.783833,12.477269
26399,5035.132903,4868.395317,0.698856,11.875624,12.574480
26599,5035.644745,5103.207981,0.704292,11.967170,12.671463
26799,5034.144654,4834.632532,0.709735,12.058982,12.768717
26999,5030.432882,4533.055388,0.715107,12.150531,12.865638
27199,5031.456040,5169.582351,0.720513,12.242248,12.962761
27399,5031.451319,5030.809323,0.725958,12.333710,13.059667
27599,5028.115987,4571.175459,0.731357,12.425154,13.156511
27799,5027.748879,4977.088031,0.736745,12.516751,13.253496
27999,5029.408072,5260.035812,0.742145,12.608520,13.350665
28199,5025.416963,4466.661713,0.747556,12.700160,13.447717
28399,5024.620329,4912.295002,0.752970,12.791520,13.544490
28599,5027.769064,5474.889416,0.758419,12.883369,13.641788
28799,5031.617064,5581.881070,0.763780,12.974617,13.738397
28999,5031.919446,5075.462420,0.769176,13.066517,13.835693
29199,5030.045667,4758.347700,0.774592,13.158403,13.932995
29399,5032.256308,5355.009875,0.779994,13.250012,14.030006
29599,5025.279361,3999.668142,0.785483,13.341912,14.127395
29799,5031.647359,5974.111073,0.790892,13.433955,14.224847
29999,5028.555832,4567.918435,0.796358,13.525771,14.322129
30199,5030.293105,5290.883965,0.801794,13.617890,14.419684
30399,5029.788222,4953.550850,0.807216,13.710174,14.517390
30599,5039.755457,6554.775206,0.812605,13.801827,14.614432
30799,5033.106860,4015.871546,0.818075,13.893928,14.712004
30999,5030.546575,4636.262630,0.823467,13.986219,14.809687
31199,5030.646871,5046.192772,0.828834,14.077723,14.906556
31399,5034.187240,5586.484791,0.834198,14.169095,15.003293
31599,5036.462344,5393.653779,0.839502,14.260258,15.099760
31799,5037.374617,5181.513770,0.844833,14.351499,15.196332
31999,5033.610524,4435.119644,0.850209,14.442828,15.293037
32199,5033.743385,5055.001222,0.855574,14.534196,15.389770
32399,5035.328905,5290.597610,0.860973,14.625488,15.486460
32599,5039.928848,5785.119647,0.866319,14.716681,15.583000
32799,5031.675308,3686.348203,0.871680,14.808230,15.679910
32999,5036.454865,5820.302245,0.876994,14.899752,15.776746
33199,5033.198142,4495.838825,0.882357,14.990994,15.873350
33399,5030.372996,4561.398709,0.887693,15.082238,15.969930
33599,5033.414247,5541.303209,0.893032,15.173423,16.066456
33799,5033.928903,5120.391123,0.898383,15.264685,16.163067
33999,5031.342558,4594.250181,0.903736,15.356029,16.259766
34199,5033.301732,5366.361391,0.909070,15.447335,16.356405
34399,5029.575882,4392.455525,0.914442,15.538842,16.453284
34599,5025.228663,4277.506972,0.919811,15.630351,16.550162
34799,5029.162024,5709.633438,0.925189,15.721610,16.646799
34999,5025.688246,4421.250997,0.930500,15.812818,16.743318
35199,5025.490434,4990.873215,0.935857,15.904427,16.840284
35399,5032.932931,6342.812440,0.941219,15.995612,16.936831
35599,5034.193515,5257.316941,0.946658,16.087401,17.034059
35799,5032.512138,4733.226928,0.952068,16.179096,17.131164
35999,5038.386206,6089.844465,0.957400,16.270433,17.227833
36199,5041.084731,5526.819202,0.962829,16.362012,17.324841
36399,5034.436338,3831.077122,0.968214,16.453432,17.421646
36599,5033.170704,4802.825454,0.973562,16.544558,17.518120
36799,5033.315073,5059.734476,0.978929,16.636046,17.614975
36999,5035.065181,5357.085202,0.984314,16.727880,17.712193
37199,5034.823339,4990.082438,0.989724,16.819464,17.809188
37399,5033.903293,4862.774853,0.995089,16.911235,17.906324
37599,5031.228557,4531.052886,1.000531,17.003170,18.003701
37799,5028.623821,4538.933502,1.005932,17.094867,18.100799
37999,5026.352369,4597.047804,1.011339,17.186629,18.197968
38199,5030.964022,5907.178193,1.016764,17.278280,18.295044
38399,5035.186852,5841.747370,1.022091,17.369680,18.391771
38599,5036.709400,5329.038528,1.027522,17.461284,18.488806
38799,5034.375331,4583.899994,1.032934,17.553025,18.585958
38999,5042.056427,6532.189211,1.038299,17.644246,18.682545
39199,5041.430666,4919.407281,1.043762,17.736401,18.780163
39399,5038.005930,4366.757674,1.049168,17.828268,18.877435
39599,5037.666021,4970.703773,1.054598,17.920028,18.974626
39799,5040.043269,5510.738500,1.059981,18.011699,19.071681
39999,5040.195156,5070.420700,1.065405,18.103642,19.169048
40199,5038.409204,4681.218773,1.070834,18.195372,19.266206
40399,5041.098221,5581.590585,1.076228,18.287654,19.363882
40599,5038.606669,4535.313213,1.081645,18.379705,19.461351
40799,5040.852594,5496.775388,1.087020,18.471199,19.558219
40999,5036.117378,4070.133333,1.092390,18.562941,19.655330
41199,5032.686188,4329.292112,1.097736,18.654309,19.752045
41399,5035.396438,5593.708031,1.103078,18.745678,19.848755
41599,5034.478499,4844.465079,1.108441,18.837183,19.945624
41799,5033.736577,4879.416760,1.113826,18.928811,20.042636
41999,5030.571684,4369.109026,1.119206,19.020348,20.139553
42199,5029.906557,4890.229912,1.124633,19.111998,20.236631
42399,5033.519766,5795.906817,1.130027,19.203681,20.333708
42599,5030.483906,4386.881783,1.135380,19.294894,20.430274
42799,5030.995932,5140.057453,1.140776,19.386371,20.527147
42999,5033.034304,5469.245884,1.146169,19.478103,20.624273
43199,5033.745645,5186.683817,1.151599,19.570494,20.722093
43399,5037.568527,5863.311055,1.157020,19.662023,20.819044
43599,5037.546154,5032.691245,1.162486,19.753996,20.916482
43799,5032.365167,3902.909947,1.167883,19.845784,21.013667
43999,5030.995616,4731.064117,1.173269,19.937422,21.110691
44199,5033.122326,5500.998492,1.178764,20.029494,21.208258
44399,5032.086487,4803.166015,1.184176,20.121700,21.305876
44599,5032.880549,5209.162407,1.189601,20.213804,21.403404
44799,5033.790920,5236.803504,1.194977,20.305915,21.500892
44999,5032.178979,4671.104257,1.200351,20.397821,21.598173
45199,5031.837429,4954.988671,1.205746,20.489645,21.695391
45399,5034.529695,5642.981903,1.211165,20.581431,21.792596
45599,5035.766804,5316.590534,1.216584,20.673006,21.889591
