# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [AXGBRegSD] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegSD_gradual4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegSD],current_mse_[AXGBRegSD],training_time_[AXGBRegSD],testing_time_[AXGBRegSD],total_running_time_[AXGBRegSD]
17199,3166.522386,2315.367808,7.605321,3.815088,11.420409
17399,3153.450604,2029.277358,7.686636,3.860223,11.546859
17599,3144.641491,2378.248647,7.768578,3.905117,11.673695
17799,3134.619578,2252.691272,7.849844,3.949918,11.799762
17999,3122.455643,2039.865397,7.937672,3.994664,11.932336
18199,3110.587738,2042.476280,8.018271,4.039278,12.057549
18399,3099.959338,2132.774949,8.099832,4.084032,12.183864
18599,3085.619960,1766.397157,8.180518,4.128607,12.309125
18799,3077.566555,2328.599859,8.261219,4.173030,12.434249
18999,3070.515552,2407.721280,8.349056,4.217644,12.566701
19199,3057.681699,1838.465734,8.430679,4.262216,12.692895
19399,3048.316772,2149.283712,8.511343,4.306686,12.818029
19599,3037.275654,1966.287282,8.592322,4.351281,12.943604
19799,3029.135846,2231.434623,8.673693,4.395991,13.069684
19999,3022.203226,2335.873834,8.762747,4.440745,13.203492
20199,3011.358684,1926.904528,8.843149,4.485104,13.328253
20399,3004.571501,2319.065938,8.923941,4.529760,13.453701
20599,2995.735175,2094.430005,9.005091,4.574476,13.579567
20799,2984.190268,1795.064820,9.087316,4.619175,13.706492
20999,2972.370734,1743.139151,9.196920,4.664224,13.861144
21199,2962.069071,1880.394508,9.279712,4.708677,13.988389
21399,2950.119925,1683.510485,9.363129,4.753208,14.116337
21599,2938.771700,1724.511548,9.475616,4.797909,14.273524
21799,2929.521352,1930.483764,9.556311,4.842649,14.398960
21999,2917.814801,1641.800809,9.642686,4.887639,14.530326
22199,2909.064789,1946.563390,9.723057,4.932230,14.655287
22399,2901.999791,2117.785089,9.810681,4.977077,14.787758
22599,2891.051840,1664.881296,9.891643,5.021990,14.913633
22799,2881.183919,1766.108888,9.972395,5.066650,15.039046
22999,2872.600379,1894.076816,10.053115,5.111242,15.164357
23199,2862.055103,1649.348308,10.135463,5.156093,15.291556
23399,2852.393616,1731.661136,10.223217,5.200864,15.424081
23599,2845.647390,2056.338995,10.304141,5.245712,15.549853
23799,2836.907429,1805.591979,10.384990,5.290344,15.675333
23999,2829.065638,1895.892544,10.466922,5.334962,15.801884
24199,2824.235675,2244.640120,10.597212,5.379582,15.976794
24399,2826.050487,3045.642725,10.681215,5.424140,16.105355
24599,2822.800331,2426.281246,10.761767,5.468626,16.230393
24799,2826.870902,3327.551127,10.843034,5.512994,16.356028
24999,2824.939096,2585.395142,10.923648,5.557306,16.480953
25199,2824.372342,2753.528123,11.004744,5.601941,16.606685
25399,2821.488774,2458.159176,11.089971,5.646530,16.736501
25599,2822.061555,2894.804744,11.171190,5.690788,16.861978
25799,2825.449466,3259.102124,11.251621,5.735022,16.986643
25999,2822.667019,2463.731371,11.332957,5.779657,17.112614
26199,2823.065999,2874.933411,11.413944,5.824265,17.238209
26399,2820.917300,2539.437672,11.499998,5.868906,17.368904
26599,2817.393430,2352.242672,11.580353,5.913475,17.493829
26799,2812.368698,2144.079317,11.660824,5.957806,17.618630
26999,2808.841208,2336.157491,11.741251,6.002096,17.743347
27199,2808.961431,2825.191599,11.823061,6.046524,17.869585
27399,2806.547452,2478.246261,11.907671,6.090774,17.998445
27599,2803.020248,2319.793328,11.988167,6.135070,18.123237
27799,2802.375836,2713.446927,12.068748,6.179452,18.248200
27999,2796.313898,1953.704564,12.150282,6.223637,18.373920
28199,2792.914391,2316.983341,12.230963,6.267898,18.498861
28399,2789.512597,2309.859720,12.315608,6.312264,18.627873
28599,2785.386024,2199.412685,12.395187,6.356402,18.751589
28799,2782.463993,2364.613527,12.476346,6.400661,18.877007
28999,2777.630424,2081.596448,12.556477,6.444838,19.001315
29199,2773.211570,2132.477704,12.637019,6.489020,19.126039
29399,2770.775202,2415.065515,12.721669,6.533422,19.255091
29599,2766.529450,2142.403933,12.802753,6.577755,19.380508
29799,2765.440750,2604.313135,12.883015,6.622160,19.505175
29999,2761.644184,2195.955854,12.964118,6.666813,19.630931
30199,2757.726856,2170.127680,13.082105,6.710928,19.793033
30399,2752.439392,1954.032270,13.163695,6.755388,19.919083
30599,2749.884539,2361.546905,13.250455,6.800272,20.050727
30799,2743.101283,1705.263186,13.331305,6.844978,20.176283
30999,2740.013882,2264.554080,13.412453,6.889770,20.302222
31199,2737.624287,2367.237077,13.494653,6.934450,20.429102
31399,2735.438641,2394.477848,13.576373,6.979431,20.555804
31599,2731.815832,2163.034764,13.664266,7.024160,20.688425
31799,2728.570100,2215.744444,13.745166,7.068844,20.814009
31999,2724.233638,2034.736169,13.827669,7.113659,20.941328
32199,2720.985025,2201.206933,13.908704,7.158124,21.066828
32399,2714.564246,1680.818870,13.989884,7.202615,21.192499
32599,2711.422786,2202.506362,14.077207,7.247260,21.324467
32799,2706.212505,1856.936660,14.158984,7.292025,21.451009
32999,2704.942276,2496.624720,14.240340,7.336882,21.577222
33199,2703.232976,2421.198470,14.321592,7.381609,21.703201
33399,2698.749291,1954.457634,14.403263,7.426262,21.829525
33599,2697.436794,2478.249724,14.491976,7.470958,21.962933
33799,2692.909040,1932.246352,14.573124,7.515625,22.088749
33999,2689.074899,2041.105008,14.654047,7.560187,22.214234
34199,2687.563404,2430.609369,14.735726,7.604817,22.340544
34399,2682.469536,1811.418141,14.818414,7.651594,22.470009
34599,2677.842575,1882.005167,14.906275,7.696433,22.602708
34799,2674.970096,2178.031233,14.987537,7.741361,22.728898
34999,2667.579953,1381.695131,15.068847,7.786172,22.855019
35199,2663.479711,1945.937370,15.151460,7.831022,22.982482
35399,2661.186313,2257.548226,15.233370,7.875874,23.109244
35599,2657.354269,1979.082560,15.321919,7.920820,23.242740
35799,2652.966683,1871.976384,15.403524,7.965713,23.369237
35999,2651.773101,2438.121790,15.485513,8.010194,23.495707
36199,2648.351331,2032.432727,15.567260,8.055029,23.622289
36399,2644.422175,1933.245080,15.648949,8.099712,23.748660
36599,2640.609422,1946.688240,15.736950,8.144465,23.881415
36799,2635.008854,1610.104982,15.818996,8.189260,24.008256
36999,2631.740315,2030.329059,15.899915,8.233910,24.133825
37199,2629.012835,2124.429171,15.981368,8.278682,24.260050
37399,2628.597819,2551.404742,16.062994,8.323585,24.386579
37599,2625.935983,2128.172652,16.152191,8.368426,24.520616
37799,2622.773837,2028.290437,16.233332,8.413143,24.646475
37999,2619.993405,2094.491678,16.314657,8.457808,24.772465
38199,2618.890490,2409.336665,16.396152,8.502554,24.898706
38399,2615.653597,1997.407035,16.478908,8.547306,25.026214
38599,2613.608270,2220.905618,16.563668,8.591895,25.155563
38799,2609.910506,1896.241998,16.644334,8.636289,25.280623
38999,2608.410586,2317.426039,16.725348,8.680749,25.406096
39199,2604.808668,1902.434638,16.807404,8.725121,25.532524
39399,2602.713254,2192.012172,16.889226,8.769751,25.658977
39599,2598.570604,1782.468518,16.973718,8.814145,25.787863
39799,2595.101952,1908.308861,17.054315,8.858317,25.912631
39999,2591.621289,1898.969269,17.136324,8.902658,26.038982
40199,2587.896297,1842.897913,17.217949,8.947165,26.165114
40399,2584.690801,1940.386257,17.299668,8.991607,26.291274
40599,2583.428937,2328.532279,17.401635,9.036282,26.437917
40799,2583.858732,2671.107158,17.487445,9.081040,26.568485
40999,2582.647169,2335.488376,17.572605,9.125532,26.698137
