# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTR_incremental1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTR],current_mse_[HTR],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
19799,0.135201,0.137456,2.510247,0.492642,3.002890
19999,0.135060,0.121064,2.527373,0.497826,3.025199
20199,0.135116,0.140772,2.554020,0.503009,3.057029
20399,0.135142,0.137740,2.578040,0.508200,3.086240
20599,0.135041,0.124765,2.606780,0.513385,3.120164
20799,0.134913,0.121663,2.623846,0.518570,3.142416
20999,0.134979,0.141909,2.641637,0.523722,3.165358
21199,0.134864,0.122792,2.658875,0.528887,3.187762
21399,0.134939,0.142841,2.704823,0.534089,3.238912
21599,0.134729,0.112316,2.730196,0.539273,3.269468
21799,0.134640,0.125000,2.747622,0.544429,3.292051
21999,0.134796,0.151785,2.775104,0.549643,3.324748
22199,0.134751,0.129866,2.792577,0.554850,3.347427
22399,0.134841,0.144733,2.825172,0.560066,3.385238
22599,0.134804,0.130660,2.842660,0.565217,3.407877
22799,0.134609,0.112622,2.880699,0.570400,3.451098
22999,0.134505,0.122625,2.898324,0.575575,3.473899
23199,0.134322,0.113311,2.916354,0.580775,3.497130
23399,0.134134,0.112339,2.953318,0.586014,3.539331
23599,0.134034,0.122349,3.023748,0.591258,3.615006
23799,0.133838,0.110679,3.053300,0.596428,3.649729
23999,0.133624,0.108183,3.070331,0.601604,3.671935
24199,0.133621,0.133236,3.095166,0.606806,3.701972
24399,0.133567,0.126986,3.119718,0.612032,3.731750
24599,0.133469,0.121491,3.182448,0.617300,3.799748
24799,0.133311,0.113901,3.207527,0.622513,3.830041
24999,0.133226,0.122692,3.224849,0.627717,3.852566
25199,0.133124,0.120373,3.250156,0.632969,3.883125
25399,0.133173,0.139408,3.267701,0.638156,3.905857
25599,0.133044,0.116628,3.305361,0.643374,3.948736
25799,0.133027,0.130794,3.322971,0.648575,3.971546
25999,0.132985,0.127660,3.341321,0.653826,3.995147
26199,0.132799,0.108621,3.389194,0.659088,4.048282
26399,0.132575,0.103208,3.432945,0.664279,4.097224
26599,0.132486,0.120686,3.450251,0.669478,4.119729
26799,0.132529,0.138267,3.468510,0.674700,4.143210
26999,0.132619,0.144700,3.513226,0.679948,4.193175
27199,0.132537,0.121507,3.530607,0.685184,4.215791
27399,0.132372,0.109904,3.561806,0.690485,4.252292
27599,0.132461,0.144574,3.579184,0.695714,4.274898
27799,0.132484,0.135744,3.597609,0.700986,4.298596
27999,0.132403,0.121108,3.622792,0.706250,4.329042
28199,0.132364,0.126912,3.648477,0.711509,4.359987
28399,0.132357,0.131347,3.666289,0.716794,4.383083
28599,0.132389,0.136895,3.699261,0.722142,4.421403
28799,0.132195,0.104530,3.730383,0.727365,4.457748
28999,0.132164,0.127732,3.749138,0.732613,4.481750
29199,0.132055,0.116168,3.774663,0.737885,4.512548
29399,0.131938,0.114955,3.845051,0.743235,4.588287
29599,0.131774,0.107546,3.871213,0.748514,4.619727
29799,0.131721,0.124005,3.896859,0.753770,4.650629
29999,0.131519,0.101294,3.931047,0.759011,4.690058
30199,0.131514,0.130800,3.949265,0.764262,4.713527
30399,0.131541,0.135650,3.986127,0.769548,4.755676
30599,0.131461,0.119361,4.021099,0.774816,4.795915
30799,0.131383,0.119349,4.074971,0.780079,4.855050
30999,0.131257,0.111843,4.093020,0.785317,4.878337
31199,0.131290,0.136439,4.118381,0.790547,4.908928
31399,0.131304,0.133552,4.137085,0.795818,4.932903
31599,0.131221,0.118064,4.172184,0.801082,4.973266
31799,0.131110,0.113586,4.198228,0.806358,5.004586
31999,0.131026,0.117709,4.223830,0.811618,5.035449
32199,0.130968,0.121773,4.242657,0.816888,5.059545
32399,0.130911,0.121706,4.260605,0.822176,5.082781
32599,0.130952,0.137585,4.308237,0.827494,5.135731
32799,0.130805,0.106736,4.326759,0.832754,5.159513
32999,0.130825,0.134165,4.345617,0.838023,5.183640
33199,0.130749,0.118221,4.387640,0.843347,5.230987
33399,0.130712,0.124598,4.428820,0.848654,5.277474
33599,0.130702,0.129054,4.455003,0.853991,5.308994
33799,0.130580,0.110010,4.480101,0.859284,5.339385
33999,0.130546,0.124829,4.516049,0.864572,5.380621
34199,0.130538,0.129188,4.563712,0.869875,5.433587
34399,0.130535,0.130090,4.640299,0.875256,5.515555
34599,0.130438,0.113762,4.658363,0.880540,5.538903
34799,0.130333,0.112041,4.692664,0.885837,5.578501
34999,0.130160,0.100159,4.718216,0.891174,5.609389
35199,0.130144,0.127370,4.747749,0.896437,5.644186
35399,0.130050,0.113404,4.765929,0.901771,5.667701
35599,0.130080,0.135443,4.792698,0.907053,5.699750
35799,0.130084,0.130686,4.811074,0.912343,5.723417
35999,0.130016,0.117834,4.836543,0.917664,5.754207
36199,0.129842,0.098659,4.855173,0.922974,5.778147
36399,0.129878,0.136394,4.873035,0.928237,5.801272
36599,0.129888,0.131652,4.891745,0.933591,5.825335
36799,0.129737,0.102160,4.909945,0.938942,5.848887
36999,0.129721,0.126813,4.928666,0.944256,5.872922
37199,0.129631,0.112972,4.947442,0.949616,5.897059
37399,0.129581,0.120213,4.966698,0.954948,5.921647
37599,0.129572,0.127788,5.000617,0.960288,5.960905
37799,0.129543,0.124274,5.019566,0.965621,5.985187
37999,0.129394,0.101124,5.054321,0.970962,6.025283
38199,0.129379,0.126640,5.087348,0.976321,6.063669
38399,0.129365,0.126610,5.107191,0.981705,6.088897
38599,0.129260,0.109117,5.133682,0.987012,6.120693
38799,0.129189,0.115502,5.172858,0.992351,6.165209
38999,0.129116,0.114828,5.191827,0.997646,6.189473
39199,0.129029,0.112202,5.227037,1.002965,6.230002
39399,0.129090,0.140947,5.330345,1.008402,6.338746
39599,0.129053,0.121867,5.356647,1.013750,6.370397
39799,0.129020,0.122377,5.383444,1.019098,6.402542
39999,0.128932,0.111536,5.401849,1.024373,6.426222
40199,0.128937,0.129951,5.435760,1.029711,6.465471
40399,0.128896,0.120556,5.454727,1.035061,6.489789
40599,0.128913,0.132458,5.484509,1.040418,6.524927
40799,0.128859,0.117853,5.503345,1.045738,6.549083
40999,0.128829,0.122726,5.523123,1.051093,6.574216
41199,0.128868,0.136728,5.571748,1.056415,6.628162
41399,0.128799,0.114704,5.598564,1.061771,6.660335
41599,0.128735,0.115431,5.626181,1.067132,6.693313
41799,0.128720,0.125632,5.662964,1.072457,6.735421
41999,0.128710,0.126576,5.696290,1.077805,6.774096
42199,0.128624,0.110682,5.727131,1.083135,6.810266
42399,0.128578,0.118753,5.759675,1.088494,6.848169
42599,0.128547,0.121941,5.786838,1.093846,6.880683
42799,0.128598,0.139449,5.806112,1.099181,6.905293
42999,0.128662,0.142457,5.826109,1.104580,6.930689
43199,0.128538,0.101846,5.861862,1.109928,6.971790
43399,0.128510,0.122401,5.881632,1.115274,6.996906
43599,0.128512,0.129018,5.900959,1.120652,7.021611
43799,0.128522,0.130588,5.931363,1.126045,7.057408
43999,0.128418,0.105720,5.950746,1.131383,7.082129
44199,0.128386,0.121304,6.039640,1.136863,7.176503
44399,0.128392,0.129808,6.066859,1.142214,7.209072
44599,0.128451,0.141532,6.110116,1.147602,7.257719
44799,0.128395,0.115909,6.155010,1.152963,7.307973
44999,0.128381,0.125338,6.173786,1.158332,7.332118
45199,0.128425,0.138216,6.193308,1.163693,7.357001
45399,0.128415,0.126163,6.219769,1.169053,7.388822
45599,0.128408,0.126791,6.239583,1.174404,7.413987
45799,0.128348,0.114723,6.274208,1.179774,7.453982
45999,0.128381,0.135968,6.315921,1.185181,7.501103
46199,0.128289,0.107171,6.343078,1.190574,7.533651
46399,0.128220,0.112068,6.387444,1.196017,7.583462
46599,0.128096,0.099510,6.422626,1.201409,7.624035
46799,0.128038,0.114564,6.459257,1.206776,7.666033
46999,0.128089,0.139824,6.487591,1.212162,7.699753
47199,0.128174,0.148303,6.507393,1.217536,7.724929
47399,0.128104,0.111533,6.536610,1.222914,7.759524
47599,0.128076,0.121533,6.580598,1.228332,7.808931
47799,0.127974,0.103624,6.599523,1.233680,7.833203
47999,0.128006,0.135663,6.639763,1.239058,7.878822
48199,0.128013,0.129594,6.671873,1.244488,7.916362
48399,0.128058,0.138881,6.691114,1.249912,7.941026
48599,0.128132,0.146040,6.719021,1.255295,7.974317
48799,0.128107,0.122162,6.737951,1.260608,7.998559
48999,0.128124,0.132254,6.837655,1.266167,8.103821
49199,0.128160,0.137040,6.857392,1.271506,8.128899
49399,0.128101,0.113419,6.877693,1.276919,8.154612
49599,0.128026,0.109684,6.929276,1.282322,8.211598
49799,0.128004,0.122409,6.971736,1.287757,8.259493
49999,0.128067,0.143757,7.004565,1.293176,8.297741
50199,0.128080,0.131287,7.023618,1.298573,8.322190
50399,0.128036,0.117127,7.043773,1.303968,8.347741
50599,0.128041,0.129279,7.094957,1.309426,8.404383
50799,0.128098,0.142354,7.115358,1.314893,8.430251
50999,0.128071,0.121250,7.147941,1.320276,8.468217
51199,0.128040,0.120235,7.175831,1.325656,8.501487
51399,0.128003,0.118636,7.222951,1.331053,8.554004
51599,0.128041,0.137715,7.268695,1.336428,8.605123
51799,0.127938,0.101329,7.302036,1.341849,8.643886
51999,0.128016,0.148191,7.329109,1.347263,8.676372
52199,0.128044,0.135244,7.348793,1.352661,8.701454
52399,0.127950,0.103628,7.393578,1.358060,8.751639
52599,0.127970,0.133156,7.413599,1.363496,8.777095
52799,0.128023,0.141948,7.440496,1.368895,8.809392
52999,0.127990,0.119305,7.460322,1.374282,8.834604
53199,0.127924,0.110492,7.479841,1.379671,8.859513
53399,0.127915,0.125499,7.528508,1.385078,8.913586
53599,0.127924,0.130120,7.548601,1.390511,8.939112
53799,0.127907,0.123584,7.585186,1.395927,8.981113
53999,0.127857,0.114185,7.679928,1.401479,9.081407
54199,0.127856,0.127785,7.707216,1.406905,9.114121
54399,0.127770,0.104354,7.727358,1.412327,9.139685
54599,0.127729,0.116546,7.746581,1.417764,9.164345
54799,0.127698,0.119345,7.780408,1.423292,9.203700
54999,0.127649,0.114033,7.799968,1.428735,9.228703
55199,0.127590,0.111488,7.854617,1.434220,9.288837
55399,0.127594,0.128732,7.882769,1.439665,9.322434
55599,0.127541,0.112905,7.911103,1.445106,9.356210
55799,0.127549,0.129584,7.962784,1.450595,9.413379
55999,0.127525,0.121053,7.996856,1.456000,9.452856
56199,0.127528,0.128125,8.017160,1.461448,9.478608
56399,0.127477,0.113175,8.036605,1.466825,9.503430
56599,0.127493,0.132120,8.056420,1.472217,9.528637
56799,0.127413,0.104686,8.075991,1.477653,9.553644
56999,0.127496,0.151131,8.111835,1.483087,9.594922
57199,0.127459,0.116913,8.139694,1.488542,9.628236
57399,0.127431,0.119554,8.160314,1.493951,9.654265
57599,0.127448,0.132075,8.188145,1.499388,9.687533
57799,0.127358,0.101612,8.216564,1.504866,9.721431
57999,0.127281,0.104959,8.246711,1.510292,9.757003
58199,0.127202,0.104275,8.267072,1.515729,9.782801
58399,0.127164,0.116062,8.286720,1.521177,9.807897
58599,0.127139,0.119811,8.306486,1.526595,9.833081
58799,0.127071,0.107350,8.417863,1.532170,9.950033
58999,0.127016,0.110747,8.445743,1.537659,9.983402
59199,0.127037,0.133138,8.466720,1.543138,10.009858
59399,0.126959,0.104109,8.503824,1.548618,10.052442
59599,0.126990,0.135941,8.524644,1.554083,10.078727
59799,0.126909,0.102765,8.544679,1.559523,10.104202
59999,0.126862,0.112849,8.565604,1.565039,10.130643
60199,0.126875,0.130719,8.598539,1.570493,10.169032
60399,0.126878,0.127852,8.642972,1.575986,10.218958
60599,0.126838,0.114692,8.676562,1.581426,10.257988
60799,0.126892,0.143443,8.705122,1.586858,10.291979
60999,0.126854,0.115222,8.759054,1.592404,10.351458
61199,0.126879,0.134661,8.779179,1.597902,10.377081
61399,0.126849,0.117683,8.799981,1.603371,10.403352
61599,0.126836,0.122644,8.820265,1.608801,10.429066
61799,0.126744,0.098385,8.848770,1.614262,10.463032
61999,0.126656,0.099521,8.890989,1.619771,10.510760
62199,0.126631,0.118789,8.911917,1.625230,10.537147
62399,0.126542,0.098975,8.931985,1.630714,10.562699
62599,0.126596,0.143411,8.968310,1.636197,10.604506
62799,0.126634,0.138665,8.988276,1.641659,10.629935
