# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [AXGBRegRD] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegRD_abrupto1.out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegRD],current_mse_[AXGBRegRD],training_time_[AXGBRegRD],testing_time_[AXGBRegRD],total_running_time_[AXGBRegRD]
16999,3430.042420,2287.441972,6.104830,3.261369,9.366199
17199,3422.446646,2776.805864,6.178639,3.292576,9.471215
17399,3407.201833,2096.147912,6.225481,3.318501,9.543982
17599,3396.131314,2432.996139,6.274849,3.345551,9.620400
17799,3385.413665,2442.260549,6.327568,3.374042,9.701610
17999,3365.441574,1587.925484,6.500375,3.403810,9.904186
18199,3345.907919,1587.878983,6.563859,3.432880,9.996739
18399,3326.522325,1562.433202,6.617165,3.462382,10.079547
18599,3307.935811,1597.976556,6.671729,3.492766,10.164496
18799,3287.530840,1389.868585,6.853981,3.520839,10.374820
18999,3273.094208,1916.050721,6.909000,3.551200,10.460201
19199,3257.737140,1798.815721,6.978141,3.580360,10.558502
19399,3239.823673,1520.130799,7.031567,3.609780,10.641348
19599,3224.119847,1700.848806,7.082585,3.639094,10.721680
19799,3209.438713,1770.687563,7.132561,3.666584,10.799145
19999,3194.622365,1727.803933,7.363986,3.695929,11.059915
20199,3185.133851,2236.282407,7.419791,3.726345,11.146135
20399,3174.111635,2060.867792,7.479839,3.754342,11.234181
20599,3160.719854,1794.758262,7.531366,3.782441,11.313807
20799,3147.624970,1798.851911,7.589147,3.814752,11.403899
20999,3137.773932,2113.265890,7.645933,3.847151,11.493084
21199,3127.496532,2048.369590,7.697458,3.874948,11.572406
21399,3118.213724,2134.236041,7.761517,3.902724,11.664241
21599,3108.838819,2105.723988,7.817009,3.932879,11.749889
21799,3096.075620,1717.650132,7.866716,3.960283,11.826999
21999,3082.891400,1645.811452,8.080084,3.997271,12.077355
22199,3069.532894,1600.097265,8.131489,4.025840,12.157329
22399,3057.308977,1700.454109,8.198248,4.052777,12.251025
22599,3044.709072,1633.519714,8.249682,4.081282,12.330963
22799,3032.680442,1673.445279,8.304216,4.112333,12.416549
22999,3026.078334,2273.438069,8.370546,4.151082,12.521627
23199,3017.036051,1977.173506,8.595633,4.183496,12.779129
23399,3009.165322,2096.160737,8.660495,4.212427,12.872921
23599,3004.825091,2497.018054,8.714450,4.242472,12.956922
23799,2996.794221,2049.151516,8.773536,4.274530,13.048067
23999,2987.806599,1918.279605,8.827968,4.303586,13.131555
24199,2981.807977,2261.973313,8.888619,4.337224,13.225843
24399,2976.317153,2311.927496,8.955872,4.367174,13.323046
24599,2965.127349,1599.971268,9.004688,4.393770,13.398458
24799,2958.990776,2204.192220,9.069666,4.430467,13.500133
24999,2951.855092,2067.030292,9.127814,4.462410,13.590223
25199,2942.728732,1801.933824,9.188164,4.495507,13.683671
25399,2934.688942,1921.675353,9.256716,4.524420,13.781136
25599,2923.437702,1494.530213,9.316842,4.559879,13.876721
25799,2917.033475,2097.292398,9.391193,4.605683,13.996876
