# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [HTRA] HoeffdingAdaptiveTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTRA_abrupto2.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTRA],current_mse_[HTRA],training_time_[HTRA],testing_time_[HTRA],total_running_time_[HTRA]
16599,5902.373790,4571.598108,5.147460,0.393089,5.540550
16799,5878.701777,3913.924675,5.217965,0.398059,5.616024
16999,5847.714775,3244.806604,5.299769,0.403042,5.702811
17199,5832.073025,4502.524254,5.397924,0.408050,5.805973
17399,5820.452874,4821.119954,5.488797,0.413054,5.901852
17599,5816.526105,5474.897196,5.568845,0.418040,5.986886
17799,5797.825337,4152.157681,5.638717,0.423048,6.061766
17999,5775.327975,3773.062837,5.719724,0.428034,6.147757
18199,5752.431012,3691.704336,5.816469,0.433038,6.249506
18399,5727.058498,3418.159714,5.887918,0.438053,6.325971
18599,5705.227018,3696.730820,6.002079,0.443078,6.445156
18799,5685.469885,3848.056488,6.072274,0.448082,6.520357
18999,5667.189929,3948.874148,6.152065,0.453101,6.605166
19199,5650.977706,4110.816479,6.223896,0.458089,6.681984
19399,5636.534348,4249.971988,6.312402,0.463118,6.775521
19599,5625.168288,4522.660511,6.391829,0.468127,6.859956
19799,5613.606837,4480.584569,6.507653,0.473198,6.980851
19999,5601.703417,4423.264880,6.589128,0.478230,7.067358
20199,5587.164432,4133.265906,6.693539,0.483268,7.176808
20399,5577.016982,4552.124534,6.768230,0.488328,7.256558
20599,5566.535944,4497.470071,6.842279,0.493376,7.335656
20799,5544.681636,3293.687955,6.917846,0.498405,7.416251
20999,5525.398748,3519.978322,7.005699,0.503458,7.509156
21199,5504.864924,3348.813420,7.088552,0.508516,7.597069
21399,5497.202786,4685.016159,7.176802,0.513539,7.690341
21599,5482.065120,3862.334857,7.259511,0.518596,7.778107
21799,5466.411401,3775.809733,7.335098,0.523647,7.858745
21999,5449.818720,3641.216487,7.418390,0.528702,7.947092
22199,5436.353073,3955.131955,7.493988,0.533754,8.027743
22399,5417.334607,3306.284879,7.571679,0.538818,8.110498
22599,5399.045038,3350.613282,7.649296,0.543883,8.193180
22799,5385.117282,3811.280844,7.726390,0.548958,8.275349
22999,5375.462262,4274.789982,7.855150,0.554058,8.409208
23199,5364.076009,4054.656964,7.946430,0.559132,8.505562
23399,5353.180149,4089.260359,8.037103,0.564211,8.601313
23599,5344.608486,4341.723897,8.169454,0.569355,8.738809
23799,5330.076678,3615.323330,8.247438,0.574442,8.821880
23999,5319.227731,4028.203014,8.338948,0.579509,8.918457
24199,5312.761467,4536.809884,8.418627,0.584620,9.003247
24399,5299.921328,3746.264489,8.497458,0.589685,9.087143
24599,5284.901297,3452.457434,8.572028,0.594733,9.166761
24799,5275.752224,4150.416247,8.688579,0.599829,9.288408
24999,5264.459539,3864.166609,8.766146,0.604890,9.371037
25199,5253.755933,3915.805267,8.846671,0.609972,9.456644
25399,5240.759526,3603.212155,8.936502,0.615043,9.551545
25599,5230.965062,3987.068239,9.049117,0.620128,9.669244
25799,5218.015974,3560.532717,9.128718,0.625213,9.753932
25999,5203.567390,3339.699972,9.213450,0.630307,9.843756
26199,5195.186561,4105.678746,9.306117,0.635395,9.941511
26399,5186.390861,4034.154249,9.402669,0.640474,10.043143
26599,5178.890834,4188.887214,9.497129,0.645582,10.142711
26799,5164.216989,3212.595596,9.576296,0.650665,10.226961
26999,5147.823297,2951.068561,9.684849,0.655775,10.340624
27199,5139.551226,4022.821715,9.793669,0.660867,10.454536
27399,5128.117413,3573.118885,9.888169,0.665958,10.554127
