# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [AXGBRegRD] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegRD_gradual5.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegRD],current_mse_[AXGBRegRD],training_time_[AXGBRegRD],testing_time_[AXGBRegRD],total_running_time_[AXGBRegRD]
199,15800.573508,15800.573508,0.597532,0.043291,0.640822
399,13660.050428,11519.527348,0.675425,0.087352,0.762777
599,12774.281965,11002.745038,0.753672,0.131245,0.884917
799,11652.487429,8287.103822,0.830073,0.174903,1.004976
999,11023.007642,8505.088493,0.906627,0.218671,1.125298
1199,10320.564717,6808.350093,0.987529,0.262595,1.250124
1399,9778.235343,6524.259099,1.063376,0.306063,1.369439
1599,9547.115465,7929.276319,1.140308,0.349652,1.489960
1799,9154.375579,6012.456493,1.263862,0.393356,1.657219
1999,8574.234248,3352.962268,1.341205,0.437059,1.778264
2199,8069.869999,3026.227502,1.423881,0.481074,1.904955
2399,7569.105437,2060.695266,1.542986,0.525065,2.068051
2599,7179.124420,2499.352207,1.652208,0.571813,2.224021
2799,6831.480278,2312.106439,1.729738,0.615864,2.345602
2999,6574.544998,2977.451077,1.812993,0.660368,2.473360
3199,6334.237351,2729.622648,1.933739,0.704718,2.638458
3399,6133.374728,2919.572759,2.032196,0.748832,2.781027
3599,5970.479056,3201.252632,2.111521,0.792203,2.903724
3799,5829.124427,3284.741107,2.188294,0.835594,3.023889
3999,5699.171068,3230.057239,2.266096,0.879112,3.145208
4199,5575.078420,3093.225457,2.346255,0.922586,3.268841
4399,5447.078212,2759.073847,2.423769,0.966536,3.390304
4599,5353.806076,3301.819082,2.500838,1.009924,3.510762
4799,5240.035726,2623.317683,2.580609,1.053457,3.634066
4999,5164.382182,3348.697120,2.658243,1.096975,3.755219
5199,5085.282769,3107.797444,2.742992,1.141386,3.884378
5399,5013.817832,3155.729472,2.822324,1.186200,4.008524
5599,4942.289689,3011.029833,2.902628,1.230913,4.133542
5799,4911.069868,4036.914868,2.982550,1.275695,4.258245
5999,4854.289199,3207.649796,3.062568,1.320493,4.383061
6199,4798.521402,3125.487516,3.148715,1.365238,4.513953
6399,4741.147216,2962.547439,3.229127,1.409979,4.639105
6599,4702.336803,3460.403574,3.308882,1.454657,4.763538
6799,4662.338549,3342.396181,3.388777,1.499379,4.888155
6999,4607.261773,2734.651398,3.468897,1.544181,5.013078
7199,4552.670945,2641.991944,3.556442,1.589416,5.145857
7399,4499.204347,2574.406822,3.635987,1.634212,5.270199
7599,4447.635374,2539.583379,3.716627,1.679484,5.396112
7799,4410.896945,3014.836661,3.796616,1.724319,5.520934
7999,4377.686126,3082.464185,3.877760,1.769264,5.647024
8199,4332.678100,2532.357034,3.964119,1.814083,5.778201
8399,4295.174854,2757.541798,4.043536,1.858704,5.902240
8599,4260.471414,2802.926927,4.124178,1.903948,6.028126
8799,4221.194839,2532.302084,4.205502,1.948947,6.154449
8999,4199.099943,3226.924523,4.286147,1.994040,6.280186
9199,4171.939618,2949.724995,4.373617,2.039197,6.412814
9399,4149.723766,3127.794563,4.453712,2.084107,6.537819
9599,4124.041529,2916.976412,4.535491,2.129421,6.664912
9799,4107.110908,3294.441085,4.616071,2.174520,6.790591
9999,4082.690471,2886.089057,4.696681,2.219498,6.916179
10199,4050.359537,2433.812843,4.783753,2.264478,7.048231
10399,4018.039162,2369.700060,4.865214,2.309610,7.174824
10599,4004.166829,3282.805500,4.945839,2.354678,7.300517
10799,3971.911043,2262.354393,5.026668,2.399682,7.426350
10999,3951.798982,2865.747686,5.107514,2.444712,7.552226
11199,3927.889454,2612.865427,5.196466,2.490194,7.686660
11399,3900.234096,2351.534014,5.277050,2.534988,7.812038
11599,3879.866967,2718.940652,5.357454,2.579680,7.937134
11799,3865.252597,3017.619112,5.438901,2.624724,8.063625
11999,3835.866998,2102.116659,5.520258,2.669451,8.189709
12199,3810.831698,2308.713723,5.608175,2.714554,8.322729
12399,3788.940594,2453.583214,5.688263,2.759653,8.447916
12599,3763.563027,2190.153871,5.768656,2.804522,8.573178
12799,3744.635445,2552.197811,5.850202,2.849321,8.699523
12999,3725.434753,2496.590430,5.931533,2.894478,8.826011
13199,3702.922055,2239.596730,6.018841,2.939317,8.958158
13399,3691.385518,2929.974058,6.099742,2.984444,9.084185
13599,3669.671125,2214.806806,6.181032,3.029174,9.210206
13799,3653.118907,2527.568084,6.262451,3.074288,9.336739
13999,3633.653269,2290.524243,6.343294,3.119351,9.462645
14199,3619.689276,2642.209779,6.430885,3.164326,9.595211
14399,3602.987200,2417.139804,6.512505,3.209403,9.721908
14599,3589.207990,2597.104865,6.592995,3.254181,9.847175
14799,3572.646695,2363.672134,6.674431,3.299394,9.973825
14999,3555.571921,2292.038671,6.755627,3.344312,10.099939
15199,3541.588500,2492.831905,6.844792,3.389478,10.234269
15399,3530.186859,2663.662145,6.925563,3.434608,10.360171
15599,3524.751278,3106.211511,7.006311,3.479622,10.485933
15799,3507.922283,2195.260713,7.087924,3.526139,10.614063
15999,3490.019407,2075.692145,7.170035,3.571528,10.741562
