# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [AXGBRegSD] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegSD_abrupto5.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegSD],current_mse_[AXGBRegSD],training_time_[AXGBRegSD],testing_time_[AXGBRegSD],total_running_time_[AXGBRegSD]
16999,3176.535969,2214.496398,7.619548,3.784447,11.403995
17199,3166.522386,2315.367808,7.700810,3.829590,11.530400
17399,3153.450604,2029.277358,7.782821,3.875027,11.657848
17599,3144.641491,2378.248647,7.866075,3.920462,11.786537
17799,3134.619578,2252.691272,7.948554,3.965727,11.914281
17999,3122.455643,2039.865397,8.037430,4.011038,12.048469
18199,3110.587738,2042.476280,8.119116,4.056299,12.175415
18399,3099.959338,2132.774949,8.201866,4.101419,12.303285
18599,3085.619960,1766.397157,8.283836,4.146571,12.430407
18799,3077.566555,2328.599859,8.365717,4.191775,12.557492
18999,3070.515552,2407.721280,8.454862,4.237218,12.692080
19199,3057.681699,1838.465734,8.537714,4.282575,12.820288
19399,3048.316772,2149.283712,8.619595,4.327853,12.947448
19599,3037.275654,1966.287282,8.702071,4.373359,13.075430
19799,3029.135846,2231.434623,8.784146,4.418836,13.202982
19999,3022.203226,2335.873834,8.874453,4.464295,13.338749
20199,3011.358684,1926.904528,8.955996,4.509394,13.465389
20399,3004.571501,2319.065938,9.037985,4.554533,13.592518
20599,2995.735175,2094.430005,9.119794,4.599467,13.719261
20799,2984.190268,1795.064820,9.203460,4.644643,13.848102
20999,2972.370734,1743.139151,9.313723,4.689639,14.003362
21199,2962.069071,1880.394508,9.397260,4.734523,14.131782
21399,2950.119925,1683.510485,9.481301,4.779378,14.260679
21599,2938.771700,1724.511548,9.595526,4.824955,14.420481
21799,2929.521352,1930.483764,9.676778,4.869876,14.546654
21999,2917.814801,1641.800809,9.763820,4.915201,14.679021
22199,2909.064789,1946.563390,9.845161,4.960229,14.805390
22399,2901.999791,2117.785089,9.932979,5.005231,14.938210
22599,2891.051840,1664.881296,10.014680,5.050584,15.065264
22799,2881.183919,1766.108888,10.096419,5.095734,15.192153
22999,2872.600379,1894.076816,10.178480,5.140993,15.319473
23199,2862.055103,1649.348308,10.261905,5.186443,15.448348
23399,2852.393616,1731.661136,10.351991,5.232369,15.584360
23599,2845.647390,2056.338995,10.433443,5.277379,15.710822
23799,2836.907429,1805.591979,10.516007,5.322948,15.838955
23999,2829.065638,1895.892544,10.598758,5.368013,15.966771
24199,2824.235675,2244.640120,10.731235,5.413341,16.144577
24399,2826.050487,3045.642725,10.816071,5.458385,16.274457
24599,2822.800331,2426.281246,10.896685,5.503039,16.399724
24799,2826.870902,3327.551127,10.978506,5.547804,16.526310
24999,2824.939096,2585.395142,11.059854,5.592558,16.652412
25199,2824.372342,2753.528123,11.141319,5.637220,16.778540
25399,2821.488774,2458.159176,11.226336,5.681752,16.908088
25599,2822.061555,2894.804744,11.308492,5.726679,17.035171
25799,2825.449466,3259.102124,11.390086,5.771919,17.162005
25999,2822.667019,2463.731371,11.472383,5.817230,17.289613
26199,2823.065999,2874.933411,11.554131,5.862134,17.416265
26399,2820.917300,2539.437672,11.640924,5.907154,17.548078
26599,2817.393430,2352.242672,11.721744,5.951866,17.673610
26799,2812.368698,2144.079317,11.803245,5.996890,17.800135
26999,2807.745339,2188.215236,11.911635,6.041447,17.953082
27199,2804.881715,2418.292505,11.994422,6.086536,18.080957
27399,2802.885211,2531.360600,12.075971,6.131537,18.207508
27599,2800.170564,2428.263893,12.163021,6.176583,18.339604
27799,2799.696291,2734.246598,12.244219,6.221365,18.465584
27999,2795.069745,2151.979943,12.326784,6.266257,18.593041
28199,2792.097100,2375.926786,12.408852,6.311260,18.720112
28399,2788.236716,2243.922500,12.490445,6.356085,18.846531
28599,2785.253098,2361.579412,12.578652,6.401484,18.980136
28799,2782.895649,2445.780468,12.660608,6.446425,19.107033
28999,2777.420555,1989.006967,12.741993,6.491255,19.233248
29199,2773.942786,2269.666271,12.824027,6.536364,19.360391
29399,2770.169295,2219.239610,12.905533,6.581130,19.486663
29599,2766.816575,2273.966817,12.994602,6.626250,19.620852
29799,2766.502154,2719.967808,13.076057,6.671261,19.747319
29999,2761.458767,2009.994084,13.158008,6.716418,19.874427
30199,2756.246423,1974.394785,13.283552,6.761195,20.044746
30399,2755.184436,2594.824373,13.365418,6.805774,20.171192
30599,2754.106707,2590.291920,13.449500,6.850408,20.299907
30799,2748.207097,1845.566836,13.531029,6.895547,20.426576
30999,2743.397913,2002.783542,13.613126,6.940698,20.553823
31199,2736.385859,1649.517418,13.695904,6.985595,20.681499
31399,2729.787900,1700.506414,13.777765,7.030436,20.808201
31599,2725.364044,2030.818586,13.863308,7.075529,20.938838
31799,2719.734431,1830.255591,13.944954,7.120403,21.065357
31999,2714.800389,1930.287706,14.027439,7.165176,21.192615
32199,2710.588206,2036.638919,14.109289,7.209957,21.319246
32399,2705.409348,1871.613252,14.191303,7.254799,21.446102
32599,2701.061692,1996.741361,14.276784,7.299935,21.576719
32799,2693.244274,1419.005121,14.358715,7.344626,21.703341
32999,2687.770112,1790.007548,14.441021,7.389867,21.830888
33199,2684.260421,2105.161477,14.522592,7.434577,21.957169
33399,2678.464031,1716.263274,14.604298,7.479291,22.083589
33599,2675.192631,2128.868837,14.691007,7.524509,22.215516
33799,2670.568888,1893.780091,14.772350,7.569231,22.341581
33999,2666.920956,2050.420457,14.853908,7.614139,22.468047
34199,2660.707682,1604.451013,14.936184,7.659083,22.595267
34399,2655.274523,1726.204441,15.019683,7.704198,22.723881
34599,2651.597392,2019.130720,15.104912,7.749166,22.854078
34799,2645.389261,1571.382751,15.186197,7.793897,22.980094
34999,2638.425771,1426.778358,15.267750,7.838658,23.106408
35199,2631.001364,1331.730179,15.350408,7.883380,23.233788
35399,2624.931669,1556.665420,15.432243,7.928028,23.360271
35599,2619.016954,1572.112336,15.518042,7.973263,23.491305
35799,2612.139336,1387.923423,15.599392,8.018019,23.617411
35999,2606.291771,1559.577590,15.682341,8.063017,23.745358
36199,2600.517075,1561.071722,15.763803,8.107629,23.871432
36399,2595.289501,1649.098648,15.893862,8.152763,24.046625
36599,2589.824069,1595.115469,15.980873,8.197807,24.178680
36799,2583.150793,1361.941259,16.062930,8.242601,24.305532
36999,2577.862394,1604.796918,16.144511,8.287569,24.432080
37199,2572.468751,1574.644890,16.226517,8.332679,24.559195
37399,2566.577972,1470.893009,16.308627,8.377604,24.686231
37599,2559.838365,1299.531854,16.398317,8.422909,24.821226
37799,2554.478845,1546.889066,16.479529,8.467721,24.947250
37999,2548.941083,1502.304217,16.560934,8.512592,25.073526
38199,2545.916682,1971.280501,16.691742,8.557557,25.249299
38399,2542.781408,1943.943958,16.773853,8.602085,25.375938
38599,2540.203496,2045.244323,16.857663,8.646655,25.504318
38799,2535.275868,1584.243711,16.938429,8.691219,25.629648
38999,2535.107982,2502.538220,17.019205,8.735636,25.754841
39199,2533.374559,2195.356952,17.101346,8.780212,25.881558
39399,2531.025273,2070.565291,17.182888,8.824765,26.007653
39599,2527.048056,1743.536210,17.268095,8.869581,26.137676
39799,2524.612583,2042.388905,17.350248,8.914872,26.265119
39999,2520.283609,1658.817950,17.432978,8.959888,26.392866
40199,2516.865060,1833.155285,17.514960,9.004832,26.519793
40399,2514.317798,2002.317989,17.597166,9.049662,26.646828
40599,2509.597736,1556.145348,17.724516,9.094903,26.819420
40799,2505.565968,1687.117029,17.846819,9.139828,26.986647
40999,2502.717379,1921.605260,17.927576,9.184806,27.112382
41199,2500.657619,2078.406804,18.013953,9.229787,27.243740
41399,2497.024368,1748.574681,18.094807,9.274661,27.369468
41599,2493.757727,1817.563014,18.183793,9.320154,27.503947
41799,2490.083586,1725.862101,18.264762,9.365190,27.629952
41999,2485.035890,1430.067587,18.346328,9.410516,27.756844
42199,2482.330088,1914.111592,18.427830,9.455764,27.883594
42399,2479.936823,1974.957865,18.510699,9.501024,28.011723
42599,2475.118615,1453.658467,18.600184,9.546685,28.146869
42799,2472.856700,1991.068981,18.681143,9.591544,28.272687
42999,2469.452659,1740.987733,18.762491,9.636383,28.398873
43199,2467.655305,2081.224362,18.844784,9.681404,28.526189
43399,2465.147926,1923.553910,18.926706,9.726476,28.653182
