# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [KNN] KNNRegressor(aggregation_method='mean', leaf_size=30, max_window_size=1000, metric='euclidean', n_neighbors=5)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_KNN_incremental3.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[KNN],current_mse_[KNN],training_time_[KNN],testing_time_[KNN],total_running_time_[KNN]
199,0.187400,0.187400,0.003728,0.027872,0.031600
399,0.169400,0.151400,0.006573,0.060290,0.066864
599,0.152867,0.119800,0.009538,0.106651,0.116190
799,0.144450,0.119200,0.012585,0.166579,0.179164
999,0.140160,0.123000,0.015795,0.240396,0.256191
1199,0.134833,0.108200,0.021273,0.331965,0.353238
1399,0.132200,0.116400,0.026771,0.422906,0.449677
1599,0.132650,0.135800,0.032214,0.513828,0.546043
1799,0.133733,0.142400,0.037585,0.604724,0.642309
1999,0.129820,0.094600,0.042937,0.695315,0.738252
2199,0.129818,0.129800,0.048258,0.785707,0.833965
2399,0.128917,0.119000,0.053630,0.876252,0.929882
2599,0.128815,0.127600,0.058937,0.966479,1.025417
2799,0.128857,0.129400,0.064282,1.057007,1.121289
2999,0.126973,0.100600,0.069610,1.147644,1.217254
3199,0.126313,0.116400,0.074955,1.238063,1.313018
3399,0.125776,0.117200,0.080267,1.328412,1.408679
3599,0.125678,0.124000,0.085631,1.418958,1.504589
3799,0.125379,0.120000,0.091002,1.509287,1.600289
3999,0.125880,0.135400,0.096328,1.599998,1.696326
4199,0.126667,0.142400,0.101644,1.690503,1.792147
4399,0.126782,0.129200,0.106937,1.781145,1.888082
4599,0.126470,0.119600,0.112246,1.871359,1.983605
4799,0.126867,0.136000,0.117575,1.961844,2.079419
4999,0.126816,0.125600,0.122882,2.052288,2.175170
5199,0.126392,0.115800,0.128190,2.142836,2.271026
5399,0.127837,0.165400,0.133499,2.233174,2.366673
5599,0.126543,0.091600,0.138849,2.323986,2.462835
5799,0.126724,0.131800,0.144157,2.414233,2.558390
5999,0.125607,0.093200,0.149504,2.504807,2.654312
6199,0.124858,0.102400,0.154808,2.595169,2.749976
6399,0.125031,0.130400,0.160101,2.685606,2.845707
6599,0.124806,0.117600,0.165422,2.776110,2.941532
6799,0.124476,0.113600,0.170721,2.866382,3.037103
6999,0.125051,0.144600,0.176051,2.956735,3.132786
7199,0.125094,0.126600,0.181371,3.047040,3.228411
7399,0.125124,0.126200,0.186699,3.137411,3.324110
7599,0.125295,0.131600,0.191996,3.227746,3.419742
7799,0.125303,0.125600,0.197339,3.318070,3.515409
7999,0.125370,0.128000,0.202659,3.408389,3.611048
8199,0.125366,0.125200,0.207965,3.498690,3.706654
8399,0.125271,0.121400,0.213350,3.589125,3.802475
8599,0.125656,0.141800,0.218665,3.679539,3.898204
