# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [KNN] KNNRegressor(aggregation_method='mean', leaf_size=30, max_window_size=1000, metric='euclidean', n_neighbors=5)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_KNN_incremental4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[KNN],current_mse_[KNN],training_time_[KNN],testing_time_[KNN],total_running_time_[KNN]
199,0.197000,0.197000,0.003726,0.028013,0.031740
399,0.173900,0.150800,0.006522,0.060480,0.067002
599,0.162667,0.140200,0.009466,0.107103,0.116569
799,0.156750,0.139000,0.012470,0.167362,0.179832
999,0.155080,0.148400,0.015592,0.241225,0.256817
1199,0.153033,0.142800,0.021074,0.332981,0.354055
1399,0.151514,0.142400,0.026489,0.424009,0.450498
1599,0.150800,0.145800,0.031842,0.515089,0.546931
1799,0.149289,0.137200,0.037117,0.606015,0.643132
1999,0.149180,0.148200,0.042385,0.696876,0.739261
2199,0.146818,0.123200,0.047647,0.787656,0.835304
2399,0.148183,0.163200,0.052912,0.878369,0.931281
2599,0.146431,0.125400,0.058155,0.968914,1.027069
2799,0.147414,0.160200,0.063408,1.059430,1.122838
2999,0.146293,0.130600,0.068679,1.149754,1.218433
3199,0.145675,0.136400,0.073956,1.240150,1.314107
3399,0.144059,0.118200,0.079229,1.330754,1.409983
3599,0.143544,0.134800,0.084509,1.421572,1.506081
3799,0.144537,0.162400,0.089770,1.512024,1.601794
3999,0.144400,0.141800,0.095028,1.602343,1.697371
4199,0.143867,0.133200,0.100311,1.693002,1.793313
4399,0.144945,0.167600,0.105574,1.783502,1.889076
4599,0.143913,0.121200,0.110813,1.873836,1.984649
4799,0.142500,0.110000,0.116106,1.964492,2.080598
4999,0.141608,0.120200,0.121371,2.054880,2.176250
5199,0.141669,0.143200,0.126633,2.145343,2.271976
5399,0.141933,0.148800,0.131871,2.235790,2.367660
5599,0.142043,0.145000,0.137126,2.326440,2.463566
5799,0.141952,0.139400,0.142381,2.416946,2.559327
5999,0.141760,0.136200,0.147614,2.507396,2.655011
6199,0.141819,0.143600,0.152873,2.597878,2.750751
6399,0.141731,0.139000,0.158132,2.688327,2.846459
6599,0.141988,0.150200,0.163418,2.779120,2.942538
6799,0.141471,0.124400,0.168665,2.869764,3.038429
6999,0.140703,0.114600,0.173920,2.960205,3.134125
7199,0.140389,0.129400,0.179248,3.050636,3.229883
7399,0.139503,0.107600,0.184539,3.141287,3.325825
7599,0.139121,0.125000,0.189778,3.231636,3.421414
7799,0.138308,0.107400,0.195060,3.322256,3.517315
7999,0.137830,0.119200,0.200281,3.412538,3.612820
8199,0.137268,0.114800,0.205526,3.502946,3.708472
8399,0.136810,0.118000,0.210777,3.593204,3.803981
8599,0.136623,0.128800,0.216035,3.683651,3.899686
8799,0.136745,0.142000,0.221289,3.774332,3.995621
8999,0.136187,0.111600,0.226578,3.864789,4.091367
9199,0.135752,0.116200,0.231835,3.955206,4.187041
9399,0.135664,0.131600,0.237109,4.045621,4.282730
9599,0.135112,0.109200,0.242353,4.136004,4.378357
9799,0.135347,0.146600,0.247594,4.226287,4.473881
9999,0.135012,0.118600,0.252844,4.316637,4.569481
10199,0.134325,0.100000,0.258103,4.406822,4.664925
10399,0.134769,0.157400,0.263323,4.497134,4.760457
10599,0.134808,0.136800,0.268558,4.587592,4.856151
10799,0.134770,0.132800,0.273820,4.677886,4.951706
10999,0.134680,0.129800,0.279049,4.768139,5.047187
11199,0.134643,0.132600,0.284279,4.858397,5.142676
11399,0.134509,0.127000,0.289540,4.948747,5.238287
11599,0.134752,0.148600,0.294810,5.039425,5.334234
11799,0.134359,0.111600,0.300061,5.129816,5.429877
11999,0.134307,0.131200,0.305310,5.220145,5.525455
12199,0.134105,0.122000,0.310564,5.310644,5.621209
12399,0.133994,0.127200,0.315834,5.401107,5.716940
12599,0.133743,0.118200,0.321100,5.491629,5.812729
12799,0.133262,0.103000,0.326372,5.582040,5.908412
12999,0.133089,0.122000,0.331648,5.672409,6.004057
13199,0.133055,0.130800,0.336921,5.762913,6.099834
13399,0.132925,0.124400,0.342207,5.853187,6.195394
13599,0.133100,0.144800,0.347469,5.943604,6.291073
13799,0.133177,0.138400,0.352729,6.033967,6.386697
13999,0.133111,0.128600,0.357982,6.124228,6.482210
14199,0.133113,0.133200,0.363217,6.214551,6.577768
14399,0.133039,0.127800,0.368501,6.304953,6.673454
14599,0.133044,0.133400,0.373775,6.395379,6.769154
14799,0.132532,0.095200,0.379024,6.485967,6.864991
14999,0.132552,0.134000,0.384257,6.576467,6.960725
15199,0.132392,0.120400,0.389523,6.666949,7.056472
15399,0.132351,0.129200,0.394739,6.757480,7.152219
15599,0.132413,0.137200,0.399983,6.847686,7.247669
15799,0.132294,0.123000,0.405256,6.938184,7.343440
15999,0.132217,0.126200,0.410500,7.028704,7.439204
16199,0.131985,0.113400,0.415745,7.119035,7.534780
16399,0.131846,0.120600,0.421038,7.209795,7.630833
16599,0.132280,0.167800,0.426298,7.300174,7.726472
16799,0.132188,0.124600,0.431588,7.390834,7.822422
16999,0.132195,0.132800,0.436858,7.481400,7.918258
17199,0.132102,0.124200,0.442131,7.571782,8.013913
17399,0.131915,0.115800,0.447378,7.662112,8.109490
17599,0.132114,0.149400,0.452651,7.752452,8.205103
17799,0.131993,0.121400,0.457880,7.842767,8.300647
17999,0.132033,0.135600,0.463181,7.933168,8.396349
18199,0.131862,0.116400,0.468449,8.023741,8.492191
18399,0.132057,0.149800,0.473661,8.113996,8.587658
18599,0.132247,0.149800,0.478915,8.204474,8.683389
18799,0.132283,0.135600,0.484179,8.294855,8.779034
18999,0.132533,0.156000,0.489406,8.385222,8.874628
19199,0.132694,0.148000,0.494637,8.475557,8.970194
19399,0.132767,0.139800,0.499872,8.565913,9.065786
19599,0.132694,0.125600,0.505105,8.656174,9.161279
19799,0.132735,0.136800,0.510361,8.746367,9.256728
19999,0.132662,0.125400,0.515605,8.836731,9.352336
20199,0.132760,0.142600,0.520848,8.927077,9.447925
20399,0.132729,0.129600,0.526107,9.017376,9.543484
20599,0.132682,0.127800,0.531386,9.107921,9.639306
20799,0.132406,0.104000,0.536621,9.198275,9.734896
20999,0.132539,0.146400,0.541867,9.288479,9.830346
21199,0.132313,0.108600,0.547134,9.378780,9.925914
21399,0.132265,0.127200,0.552360,9.469123,10.021483
21599,0.132367,0.143200,0.557612,9.559359,10.116970
21799,0.132277,0.122600,0.562860,9.649719,10.212579
21999,0.132231,0.127200,0.568117,9.740141,10.308258
22199,0.131969,0.103200,0.573366,9.830408,10.403774
22399,0.132227,0.160800,0.578606,9.920911,10.499517
22599,0.132253,0.135200,0.583904,10.011121,10.595024
22799,0.132028,0.106600,0.589165,10.101523,10.690688
22999,0.131727,0.097400,0.594429,10.191839,10.786268
23199,0.131648,0.122600,0.599685,10.282280,10.881966
23399,0.131718,0.139800,0.604940,10.372671,10.977611
23599,0.131671,0.126200,0.610185,10.462939,11.073124
23799,0.131489,0.110000,0.615426,10.553220,11.168646
23999,0.131497,0.132400,0.620655,10.643613,11.264268
24199,0.131410,0.121000,0.625938,10.734249,11.360188
24399,0.131513,0.144000,0.631190,10.824781,11.455971
24599,0.131434,0.121800,0.636449,10.915152,11.551601
24799,0.131461,0.134800,0.641740,11.006085,11.647826
24999,0.131346,0.117000,0.646999,11.096510,11.743509
25199,0.131351,0.132000,0.652246,11.186829,11.839075
25399,0.131280,0.122400,0.657509,11.277295,11.934804
25599,0.131250,0.127400,0.662728,11.367757,12.030485
25799,0.131243,0.130400,0.667992,11.458531,12.126523
25999,0.131380,0.149000,0.673231,11.549233,12.222465
26199,0.131415,0.136000,0.678495,11.639912,12.318407
26399,0.131291,0.115000,0.683753,11.730363,12.414116
26599,0.131358,0.140200,0.689048,11.820902,12.509950
26799,0.131430,0.141000,0.694269,11.911287,12.605556
26999,0.131425,0.130800,0.699517,12.001826,12.701343
27199,0.131447,0.134400,0.704804,12.092851,12.797656
27399,0.131508,0.139800,0.710043,12.183389,12.893433
27599,0.131429,0.120600,0.715316,12.274035,12.989351
27799,0.131353,0.120800,0.720597,12.364682,13.085279
27999,0.131356,0.131800,0.725860,12.455307,13.181167
28199,0.131365,0.132600,0.731145,12.546267,13.277412
28399,0.131480,0.147800,0.736398,12.636673,13.373071
28599,0.131373,0.116200,0.741646,12.727443,13.469089
28799,0.131301,0.121000,0.746882,12.818078,13.564959
28999,0.131159,0.110600,0.752151,12.908518,13.660669
29199,0.131297,0.151400,0.757383,12.998834,13.756217
29399,0.131139,0.108000,0.762635,13.089360,13.851995
29599,0.131218,0.142800,0.767882,13.180300,13.948182
29799,0.131235,0.133800,0.773150,13.270831,14.043981
29999,0.131236,0.131400,0.778412,13.361365,14.139778
30199,0.131110,0.112200,0.783671,13.452100,14.235771
30399,0.131159,0.138600,0.788922,13.542426,14.331348
30599,0.130988,0.105000,0.794195,13.632880,14.427075
30799,0.130866,0.112200,0.799474,13.723632,14.523106
