# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [HTRA] HoeffdingAdaptiveTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTRA_gradual4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTRA],current_mse_[HTRA],training_time_[HTRA],testing_time_[HTRA],total_running_time_[HTRA]
199,18154.598643,18154.598643,0.042118,0.006167,0.048285
399,15015.699689,11876.800735,0.077742,0.010401,0.088143
599,13238.235439,9683.306940,0.114588,0.014633,0.129221
799,12093.865864,8660.757139,0.152701,0.018830,0.171531
999,11536.025730,9304.665192,0.192382,0.023038,0.215419
1199,10974.230064,8165.251734,0.232956,0.027229,0.260185
1399,10946.470500,10779.913117,0.274669,0.031406,0.306075
1599,10765.217402,9496.445717,0.311725,0.035586,0.347312
1799,10556.733333,8888.860783,0.338695,0.039996,0.378691
1999,10217.823311,7167.633108,0.375946,0.044473,0.420419
2199,9890.717072,6619.654685,0.416893,0.048974,0.465867
2399,9533.355635,5602.379830,0.453849,0.053474,0.507323
2599,9237.876916,5692.132283,0.505446,0.057985,0.563431
2799,9020.056571,6188.392085,0.550757,0.062484,0.613241
2999,8908.129464,7341.149976,0.590208,0.067017,0.657225
3199,8702.806852,5622.967668,0.659624,0.071560,0.731184
3399,8520.591101,5605.139075,0.711743,0.076072,0.787815
3599,8458.968165,7411.378270,0.768245,0.080622,0.848867
3799,8291.323883,5273.726806,0.808473,0.085139,0.893611
3999,8186.517170,6195.189624,0.873756,0.089713,0.963469
4199,8109.851404,6576.536074,0.932034,0.094238,1.026272
4399,8011.276062,5941.193881,0.982965,0.098786,1.081751
4599,7898.612949,5420.024459,1.025531,0.103320,1.128851
4799,7797.727454,5477.361084,1.085621,0.107851,1.193472
4999,7733.720207,6197.546260,1.171765,0.112467,1.284232
5199,7714.994006,7246.838985,1.216361,0.117053,1.333414
5399,7655.592128,6111.143315,1.290372,0.121670,1.412041
5599,7653.682668,7602.127252,1.357557,0.126270,1.483827
5799,7635.520195,7126.970952,1.409167,0.130828,1.539995
5999,7557.246410,5287.306630,1.456256,0.135411,1.591667
6199,7500.569630,5800.266235,1.511465,0.140053,1.651518
6399,7449.626430,5870.387231,1.578655,0.144742,1.723397
6599,7422.768807,6563.324861,1.627087,0.149345,1.776432
6799,7365.163919,5464.202630,1.678326,0.154021,1.832346
6999,7294.614834,4895.945951,1.742413,0.158663,1.901076
7199,7242.017252,5401.101861,1.809736,0.163312,1.973048
7399,7190.531373,5337.039731,1.872763,0.167938,2.040701
7599,7157.264416,5926.387013,1.931413,0.172569,2.103982
7799,7123.798805,5852.105602,2.009096,0.177240,2.186336
7999,7105.226067,6380.889251,2.078494,0.181892,2.260386
8199,7078.462742,6007.929777,2.144980,0.186519,2.331499
8399,7055.595613,6118.043310,2.196043,0.191148,2.387192
8599,6991.695637,4307.896630,2.251278,0.195845,2.447124
8799,6937.451573,4604.956827,2.327621,0.200536,2.528157
8999,6911.119800,5752.521785,2.394884,0.205239,2.600123
9199,6865.056342,4792.200717,2.456730,0.209925,2.666655
9399,6834.776980,5441.926336,2.510214,0.214566,2.724779
9599,6787.825261,4581.094481,2.590506,0.219246,2.809752
9799,6759.365349,5393.289576,2.653540,0.223991,2.877531
9999,6726.346537,5108.424739,2.751267,0.228770,2.980037
10199,6689.765273,4860.702076,2.808069,0.233506,3.041575
10399,6662.974273,5296.633301,2.882256,0.238254,3.120510
10599,6633.367982,5093.840813,2.954772,0.243021,3.197794
10799,6592.417191,4422.025300,3.011659,0.247753,3.259412
10999,6573.166888,5533.650483,3.069590,0.252486,3.322075
11199,6550.151482,5284.304166,3.128587,0.257257,3.385844
11399,6509.535783,4235.056674,3.239138,0.262031,3.501170
11599,6473.502926,4419.630040,3.297227,0.266756,3.563983
11799,6446.685508,4891.275277,3.369452,0.271545,3.640998
11999,6417.788943,4712.891594,3.427505,0.276257,3.703761
12199,6388.895011,4655.259128,3.518438,0.281073,3.799511
12399,6362.430252,4748.079938,3.577922,0.285836,3.863757
12599,6334.227449,4585.653638,3.638764,0.290620,3.929383
12799,6316.779559,5217.562486,3.707927,0.295409,4.003336
12999,6276.839526,3720.677430,3.798582,0.300266,4.098848
13199,6254.316920,4790.347549,3.877859,0.305078,4.182937
13399,6228.881246,4550.126729,3.939811,0.309885,4.249696
13599,6218.511275,5523.723263,4.015311,0.314707,4.330018
13799,6188.829600,4170.475648,4.086326,0.319547,4.405873
13999,6149.403215,3428.982689,4.151507,0.324382,4.475889
14199,6133.365530,5010.727586,4.215515,0.329213,4.544728
14399,6117.374834,4982.035394,4.289830,0.334059,4.623889
14599,6096.112891,4565.252988,4.372818,0.338941,4.711759
14799,6066.349780,3893.642657,4.453976,0.343816,4.797792
14999,6047.538620,4655.512839,4.560214,0.348754,4.908968
15199,6035.902948,5163.227503,4.627518,0.353625,4.981142
15399,6012.495623,4233.538947,4.702518,0.358530,5.061048
15599,5997.924562,4875.952862,4.788924,0.363418,5.152342
15799,5986.020438,5057.498768,4.879698,0.368321,5.248019
15999,5970.043652,4707.877552,4.947103,0.373202,5.320306
16199,5962.406685,5351.449341,5.016207,0.378088,5.394295
16399,5940.748358,4186.423837,5.084418,0.382974,5.467392
16599,5924.252569,4571.597873,5.168918,0.387897,5.556814
16799,5900.320093,3913.924595,5.239433,0.392786,5.632219
16999,5869.078753,3244.806195,5.321943,0.397672,5.719615
17199,5853.188587,4502.524477,5.421430,0.402593,5.824023
17399,5841.325724,4821.119543,5.512407,0.407500,5.919907
17599,5837.161759,5474.896767,5.591926,0.412388,6.004314
17799,5818.229127,4152.157496,5.661708,0.417281,6.078989
17999,5795.505055,3773.062649,5.743008,0.422192,6.165200
18199,5772.386367,3691.704422,5.840511,0.427101,6.267612
18399,5746.796948,3418.159842,5.911838,0.432021,6.343859
18599,5724.753223,3696.730511,6.028021,0.436965,6.464985
18799,5704.788359,3848.056064,6.097949,0.441873,6.539822
18999,5686.305045,3948.873494,6.177703,0.446798,6.624502
19199,5669.893697,4110.815656,6.249349,0.451699,6.701049
19399,5655.255331,4249.972140,6.338433,0.456644,6.795078
19599,5643.698241,4522.660584,6.417949,0.461561,6.879509
19799,5631.949618,4480.584506,6.533803,0.466542,7.000345
19999,5619.862768,4423.264666,6.615705,0.471510,7.087215
20199,5605.143984,4133.265579,6.721551,0.476470,7.198021
20399,5594.820264,4552.124492,6.796341,0.481451,7.277792
20599,5584.166378,4497.470090,6.870936,0.486415,7.357351
20799,5562.142546,3293.687845,6.946612,0.491383,7.437995
20999,5542.693361,3519.978042,7.035021,0.496318,7.531339
21199,5521.996373,3348.812718,7.117540,0.501295,7.618835
21399,5514.174124,4685.015733,7.206642,0.506236,7.712878
21599,5498.879317,3862.334870,7.289671,0.511204,7.800875
21799,5483.071338,3775.809656,7.365048,0.516158,7.881206
21999,5466.327200,3641.216118,7.448735,0.521104,7.969839
22199,5452.712827,3955.131813,7.524453,0.526063,8.050516
22399,5433.548290,3306.284741,7.602275,0.531042,8.133318
22599,5415.115236,3350.613169,7.680086,0.536033,8.216119
22799,5401.046513,3811.280787,7.757169,0.541019,8.298188
22999,5391.252973,4274.789458,7.888234,0.546040,8.434273
23199,5379.730592,4054.656730,7.980363,0.551028,8.531391
23399,5368.700930,4089.260207,8.072080,0.556034,8.628114
23599,5359.997734,4341.723700,8.206454,0.561088,8.767543
23799,5345.336603,3615.323197,8.284436,0.566082,8.850518
23999,5334.360488,4028.202772,8.376854,0.571074,8.947928
24199,5327.769161,4536.809927,8.456448,0.576080,9.032529
24399,5314.806004,3746.264059,8.535486,0.581071,9.116557
24599,5299.664959,3452.457467,8.610199,0.586053,9.196252
24799,5290.396821,4150.415762,8.726900,0.591076,9.317976
24999,5278.986977,3864.166338,8.804655,0.596067,9.400722
25199,5268.168074,3915.805295,8.885452,0.601075,9.486527
25399,5255.058184,3603.211954,8.976299,0.606062,9.582361
25599,5245.152010,3987.067965,9.090762,0.611085,9.701847
25799,5232.092945,3560.532663,9.170479,0.616087,9.786566
25999,5217.536076,3339.699917,9.255704,0.621101,9.876805
26199,5209.048611,4105.678223,9.349401,0.626135,9.975536
26399,5200.147896,4034.154144,9.446829,0.631141,10.077970
26599,5192.544431,4188.887038,9.542449,0.636160,10.178609
26799,5177.768691,3212.595317,9.621651,0.641145,10.262796
26999,5161.274616,2951.068539,9.731230,0.646168,10.377398
27199,5152.903635,4022.821242,9.841459,0.651182,10.492641
27399,5141.372357,3573.118542,9.936779,0.656188,10.592967
27599,5126.068702,3029.467968,10.017528,0.661178,10.678706
27799,5116.246365,3760.763773,10.104146,0.666178,10.770324
27999,5107.792622,3932.722419,10.184102,0.671187,10.855289
28199,5096.435623,3506.455782,10.264913,0.676195,10.941108
28399,5085.404186,3529.971545,10.368279,0.681235,11.049515
28599,5074.884015,3581.019714,10.448790,0.686267,11.135057
28799,5064.910510,3638.699256,10.570239,0.691318,11.261557
28999,5052.750653,3301.731370,10.652147,0.696340,11.348487
29199,5045.051630,3928.693179,10.732414,0.701343,11.433757
29399,5035.561877,3650.057955,10.836287,0.706368,11.542656
29599,5021.589758,2967.688347,10.924894,0.711392,11.636286
29799,5018.606419,4577.072259,11.046956,0.716444,11.763400
29999,5007.227934,3311.833680,11.127480,0.721472,11.848952
30199,4997.871603,3594.421828,11.239339,0.726530,11.965869
30399,4992.431111,4170.916894,11.337101,0.731578,12.068679
30599,4989.403382,4529.188540,11.421116,0.736620,12.157737
30799,4979.672021,3490.773864,11.503802,0.741651,12.245453
30999,4966.891529,2998.695670,11.586535,0.746681,12.333216
31199,4956.163149,3293.264256,11.688348,0.751744,12.440092
31399,4945.577643,3294.238709,11.782015,0.756825,12.538840
31599,4941.809557,4350.220038,11.885614,0.761873,12.647487
31799,4932.686723,3491.278911,11.985254,0.766941,12.752194
31999,4925.337810,3756.860642,12.096957,0.772028,12.868984
32199,4919.808704,4035.151768,12.195991,0.777092,12.973082
32399,4910.406693,3396.682964,12.279831,0.782152,13.061983
32599,4900.707109,3329.374457,12.379537,0.787283,13.166820
32799,4888.810823,2949.716273,12.465052,0.792327,13.257378
