# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTR_abrupto2.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTR],current_mse_[HTR],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
16799,5861.783039,3913.924915,2.140328,0.388171,2.528500
16999,5830.995080,3244.806525,2.169618,0.393054,2.562672
17199,5815.547745,4502.524285,2.213518,0.397929,2.611447
17399,5804.117536,4821.119529,2.249538,0.402800,2.652338
17599,5800.376391,5474.896807,2.274497,0.407631,2.682128
17799,5781.857080,4152.157744,2.288789,0.412493,2.701282
17999,5759.537144,3773.062771,2.314593,0.417337,2.731930
18199,5736.813705,3691.704186,2.356231,0.422211,2.778442
18399,5711.610947,3418.159993,2.370623,0.427077,2.797700
18599,5689.945568,3696.730753,2.429922,0.431952,2.861873
18799,5670.351004,3848.056534,2.443959,0.436824,2.880783
18999,5652.230192,3948.873815,2.465704,0.441695,2.907399
19199,5636.173784,4110.815092,2.479795,0.446546,2.926341
19399,5621.883044,4249.971942,2.509647,0.451429,2.961077
19599,5610.666489,4522.660658,2.533168,0.456297,2.989465
19799,5599.251515,4480.584097,2.555199,0.461200,3.016399
19999,5587.491649,4423.264856,2.610223,0.466188,3.076412
20199,5573.093377,4133.266224,2.655535,0.471080,3.126615
20399,5563.083881,4552.124746,2.669854,0.475963,3.145817
20599,5552.738117,4497.470278,2.683872,0.480829,3.164701
20799,5531.016481,3293.687938,2.698476,0.485705,3.184180
20999,5511.863738,3519.978415,2.728457,0.490618,3.219075
21199,5491.457597,3348.812836,2.750557,0.495518,3.246075
21399,5483.920763,4685.016364,2.778999,0.500401,3.279400
21599,5468.906077,3862.334699,2.801311,0.505330,3.306640
21799,5453.373083,3775.809732,2.815865,0.510241,3.326105
21999,5436.898931,3641.216376,2.838976,0.515132,3.354108
22199,5423.549677,3955.131720,2.853853,0.520038,3.373891
22399,5404.645524,3306.284552,2.868678,0.524961,3.393639
22599,5386.468251,3350.613633,2.884086,0.529896,3.413982
22799,5372.650818,3811.280863,2.899187,0.534842,3.434030
22999,5363.104195,4274.789173,2.966701,0.539822,3.506522
23199,5351.824476,4054.656785,2.996908,0.544755,3.541663
23399,5341.033329,4089.260277,3.024496,0.549668,3.574163
23599,5332.564602,4341.723521,3.094853,0.554624,3.649477
23799,5318.134002,3615.323219,3.108633,0.559550,3.668183
23999,5307.384577,4028.203078,3.140479,0.564464,3.704943
24199,5301.016192,4536.809960,3.154614,0.569392,3.724005
24399,5288.272320,3746.263801,3.169373,0.574309,3.743682
24599,5273.346997,3452.457649,3.183872,0.579241,3.763113
24799,5264.291104,4150.416243,3.236412,0.584235,3.820647
24999,5253.090108,3864.166543,3.251515,0.589147,3.840661
25199,5242.476735,3915.805118,3.266997,0.594087,3.861085
25399,5229.569138,3603.211945,3.296429,0.599027,3.895456
25599,5219.862098,3987.068037,3.346346,0.603996,3.950343
25799,5206.999080,3560.532702,3.361185,0.608951,3.970136
25999,5192.635241,3339.700010,3.383522,0.613904,3.997426
26199,5184.337866,4105.679096,3.414278,0.618868,4.033146
26399,5175.624354,4034.154355,3.444629,0.623808,4.068437
26599,5168.205278,4188.887214,3.475866,0.628764,4.104630
26799,5153.611174,3212.595401,3.490700,0.633726,4.124426
26999,5137.296045,2951.068699,3.534632,0.638702,4.173333
27199,5129.101380,4022.821645,3.579401,0.643665,4.223066
27399,5117.743843,3573.118766,3.610143,0.648627,4.258770
27599,5102.611411,3029.468233,3.625694,0.653647,4.279341
27799,5092.957832,3760.763943,3.647804,0.658624,4.306427
27999,5084.670435,3932.722241,3.663597,0.663573,4.327170
28199,5073.477424,3506.455899,3.679006,0.668546,4.347552
28399,5062.607666,3529.971840,3.717080,0.673532,4.390612
28599,5052.246914,3581.020109,3.732400,0.678487,4.410886
28799,5042.430613,3638.699480,3.787837,0.683487,4.471324
28999,5030.425790,3301.731410,3.802764,0.688445,4.491209
29199,5022.879676,3928.693107,3.818442,0.693399,4.511841
29399,5013.540753,3650.057934,3.857143,0.698405,4.555548
29599,4999.717428,2967.688727,3.879778,0.703375,4.583153
29799,4996.880885,4577.072526,3.937508,0.708403,4.645911
29999,4985.647239,3311.834007,3.952947,0.713403,4.666350
30199,4976.433826,3594.421780,3.995658,0.718465,4.714123
30399,4971.134369,4170.916362,4.024157,0.723470,4.747627
30599,4968.245838,4529.189134,4.039643,0.728464,4.768106
30799,4958.651864,3490.773928,4.054706,0.733461,4.788167
30999,4946.006989,2998.696127,4.069963,0.738468,4.808432
31199,4935.412485,3293.264417,4.102891,0.743497,4.846388
31399,4924.959148,3294.238533,4.125864,0.748501,4.874365
31599,4921.321559,4350.220054,4.162859,0.753505,4.916363
31799,4912.327580,3491.278991,4.192545,0.758512,4.951057
31999,4905.105908,3756.860017,4.234516,0.763569,4.998085
32199,4899.702468,4035.152059,4.264230,0.768587,5.032817
32399,4890.424570,3396.683081,4.279729,0.773573,5.053302
32599,4880.847577,3329.374622,4.307356,0.778581,5.085936
32799,4869.072387,2949.716524,4.322423,0.783582,5.106005
32999,4859.696050,3321.976715,4.338243,0.788594,5.126837
33199,4850.848951,3391.077577,4.360976,0.793596,5.154572
33399,4845.286071,3921.847951,4.409426,0.798646,5.208072
33599,4842.149059,4318.268132,4.431784,0.803662,5.235446
33799,4837.189749,4004.025731,4.447516,0.808687,5.256202
33999,4829.115681,3464.598196,4.462723,0.813687,5.276409
34199,4821.836218,3584.327375,4.491062,0.818711,5.309773
34399,4810.665757,2900.517017,4.527462,0.823744,5.351206
34599,4800.614161,3071.739618,4.542631,0.828767,5.371399
34799,4796.389028,4065.441009,4.626748,0.833896,5.460644
34999,4786.217774,3016.419664,4.649592,0.838943,5.488535
35199,4777.876535,3318.159639,4.675958,0.843976,5.519933
35399,4776.877726,4601.087318,4.691237,0.849007,5.540244
35599,4770.463723,3635.185201,4.707461,0.854028,5.561489
35799,4764.530111,3708.347219,4.750074,0.859092,5.609165
35999,4759.526040,3863.797222,4.794927,0.864167,5.659095
36199,4751.723765,3347.314380,4.810113,0.869195,5.679308
36399,4741.863264,2957.112585,4.825120,0.874208,5.699329
36599,4733.055047,3129.959506,4.841091,0.879259,5.720350
36799,4726.653800,3555.225648,4.856641,0.884323,5.740964
36999,4722.470203,3952.688345,4.888787,0.889400,5.778187
37199,4718.137457,3916.579455,4.919082,0.894463,5.813545
37399,4714.340282,4008.065740,4.952503,0.899553,5.852056
37599,4709.418445,3789.034824,4.979364,0.904605,5.883968
37799,4702.919250,3481.070562,5.011382,0.909694,5.921076
37999,4696.467885,3477.160035,5.026703,0.914744,5.941447
38199,4687.052118,2898.056342,5.042942,0.919787,5.962728
38399,4679.825524,3299.546045,5.067261,0.924854,5.992115
38599,4672.891255,3341.511662,5.090388,0.929891,6.020279
38799,4665.472398,3233.633022,5.106841,0.934922,6.041762
38999,4665.155990,4603.772800,5.130466,0.939987,6.070453
39199,4657.856443,3234.444814,5.154340,0.945058,6.099398
39399,4651.951374,3494.557877,5.170099,0.950093,6.120191
39599,4644.868564,3249.554912,5.236270,0.955236,6.191506
39799,4638.779193,3433.083661,5.252526,0.960288,6.212814
39999,4630.756493,3034.239193,5.269358,0.965332,6.234690
40199,4625.852382,3645.030248,5.285753,0.970375,6.256128
40399,4621.661472,3779.288459,5.336836,0.975448,6.312284
40599,4612.576032,2777.317226,5.375518,0.980524,6.356042
40799,4606.067561,3284.848056,5.391386,0.985558,6.376944
40999,4599.975623,3357.220090,5.408142,0.990615,6.398757
41199,4592.866629,3135.522958,5.424107,0.995670,6.419778
41399,4586.444274,3263.439098,5.449347,1.000735,6.450082
41599,4582.206670,3705.022684,5.480423,1.005816,6.486239
41799,4575.843444,3252.292365,5.497405,1.010885,6.508290
41999,4567.058388,2730.981673,5.513599,1.015944,6.529543
42199,4561.010509,3290.955973,5.530696,1.021034,6.551729
42399,4556.726714,3652.845961,5.571635,1.026123,6.597758
42599,4546.743116,2430.220299,5.588622,1.031173,6.619795
