# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [KNN] KNNRegressor(aggregation_method='mean', leaf_size=30, max_window_size=1000, metric='euclidean', n_neighbors=5)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_KNN_incremental5.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[KNN],current_mse_[KNN],training_time_[KNN],testing_time_[KNN],total_running_time_[KNN]
20599,0.130280,0.123600,0.531368,9.098174,9.629541
20799,0.130254,0.127600,0.536619,9.188512,9.725131
20999,0.130234,0.128200,0.541881,9.278660,9.820541
21199,0.130572,0.166000,0.547112,9.368823,9.915935
21399,0.130471,0.119800,0.552366,9.459139,10.011505
21599,0.130506,0.134200,0.557634,9.549471,10.107105
21799,0.130706,0.152400,0.562881,9.639661,10.202542
21999,0.130627,0.122000,0.568142,9.729848,10.297990
22199,0.130515,0.118200,0.573385,9.820310,10.393695
22399,0.130361,0.113200,0.578638,9.910767,10.489405
22599,0.130427,0.137800,0.583901,10.001085,10.584985
22799,0.130477,0.136200,0.589160,10.091365,10.680525
22999,0.130506,0.133800,0.594401,10.181603,10.776005
23199,0.130557,0.136400,0.599618,10.271739,10.871357
23399,0.130810,0.160200,0.604868,10.362105,10.966974
23599,0.130702,0.118000,0.610139,10.452572,11.062711
23799,0.130662,0.126000,0.615410,10.543113,11.158522
23999,0.130625,0.126200,0.620686,10.633371,11.254058
24199,0.130668,0.135800,0.625938,10.723611,11.349549
24399,0.130656,0.129200,0.631176,10.813745,11.444921
24599,0.130672,0.132600,0.636466,10.903951,11.540416
24799,0.130626,0.125000,0.641747,10.994219,11.635965
24999,0.130616,0.129400,0.647009,11.084535,11.731544
25199,0.130549,0.122200,0.652307,11.174786,11.827093
25399,0.130460,0.119200,0.657587,11.265170,11.922757
25599,0.130541,0.140800,0.662822,11.355645,12.018467
25799,0.130707,0.152000,0.668089,11.446212,12.114300
25999,0.130846,0.148800,0.673384,11.536732,12.210116
26199,0.130892,0.136800,0.678643,11.626962,12.305605
26399,0.131038,0.150200,0.683958,11.717488,12.401445
26599,0.131035,0.130600,0.689253,11.808139,12.497393
26799,0.130993,0.125400,0.694556,11.898538,12.593093
26999,0.130961,0.126800,0.699821,11.989093,12.688914
27199,0.130956,0.130200,0.705130,12.079411,12.784541
27399,0.130949,0.130000,0.710386,12.169791,12.880177
27599,0.131038,0.143200,0.715637,12.260241,12.975878
27799,0.131014,0.127800,0.720902,12.350416,13.071318
27999,0.131069,0.138600,0.726146,12.440607,13.166753
28199,0.130994,0.120600,0.731446,12.531015,13.262461
28399,0.131011,0.133400,0.736728,12.621340,13.358068
28599,0.130945,0.121600,0.741974,12.711582,13.453555
28799,0.131118,0.155800,0.747221,12.801780,13.549001
28999,0.131068,0.123800,0.752505,12.892204,13.644710
29199,0.131042,0.127400,0.757789,12.982559,13.740347
29399,0.130905,0.110800,0.763054,13.073088,13.836142
29599,0.130996,0.144400,0.768311,13.163419,13.931730
29799,0.131129,0.150800,0.773561,13.253595,14.027156
29999,0.131217,0.144400,0.778809,13.343874,14.122683
30199,0.131176,0.125000,0.784065,13.434404,14.218468
30399,0.131032,0.109200,0.789315,13.524642,14.313957
30599,0.130910,0.112400,0.794572,13.614860,14.409432
30799,0.131022,0.148200,0.799831,13.705222,14.505054
30999,0.131017,0.130200,0.805082,13.795436,14.600518
31199,0.131086,0.141800,0.810321,13.885594,14.695915
31399,0.131055,0.126200,0.815575,13.975881,14.791456
31599,0.131192,0.152800,0.820823,14.066461,14.887284
31799,0.131234,0.137800,0.826036,14.156736,14.982773
31999,0.131237,0.131800,0.831304,14.247246,15.078551
32199,0.131283,0.138600,0.836543,14.337535,15.174078
