# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [AXGBRegRD] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegRD_abrupto2.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegRD],current_mse_[AXGBRegRD],training_time_[AXGBRegRD],testing_time_[AXGBRegRD],total_running_time_[AXGBRegRD]
199,15800.573508,15800.573508,0.582929,0.043462,0.626391
399,13660.050428,11519.527348,0.661315,0.087703,0.749018
599,12774.281965,11002.745038,0.739727,0.131582,0.871309
799,11652.487429,8287.103822,0.816248,0.175312,0.991559
999,11023.007642,8505.088493,0.892741,0.219209,1.111950
1199,10320.564717,6808.350093,0.973694,0.263361,1.237055
1399,9778.235343,6524.259099,1.050171,0.307217,1.357387
1599,9547.115465,7929.276319,1.127338,0.351035,1.478373
1799,9154.375579,6012.456493,1.251513,0.395083,1.646596
1999,8574.234248,3352.962268,1.329134,0.438957,1.768090
2199,8069.869999,3026.227502,1.412265,0.483074,1.895339
2399,7569.105437,2060.695266,1.531597,0.527297,2.058893
2599,7179.124420,2499.352207,1.641007,0.572224,2.213231
2799,6831.480278,2312.106439,1.718839,0.616557,2.335396
2999,6574.544998,2977.451077,1.802394,0.661160,2.463553
3199,6334.237351,2729.622648,1.923317,0.705811,2.629128
3399,6133.374728,2919.572759,2.022271,0.750196,2.772467
3599,5970.479056,3201.252632,2.102673,0.794242,2.896914
3799,5829.124427,3284.741107,2.180454,0.838442,3.018896
3999,5699.171068,3230.057239,2.260711,0.882567,3.143278
4199,5575.078420,3093.225457,2.341808,0.926783,3.268591
4399,5447.078212,2759.073847,2.419796,0.970856,3.390651
