# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [AXGBRegRD] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegRD_incremental5.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegRD],current_mse_[AXGBRegRD],training_time_[AXGBRegRD],testing_time_[AXGBRegRD],total_running_time_[AXGBRegRD]
199,0.203517,0.203517,0.601397,0.043504,0.644901
399,0.187146,0.170775,0.680156,0.087840,0.767996
599,0.180086,0.165966,0.759393,0.131871,0.891263
799,0.172181,0.148468,0.836984,0.175909,1.012893
999,0.175767,0.190111,0.914341,0.220004,1.134345
1199,0.174383,0.167463,0.995378,0.263655,1.259033
1399,0.166950,0.122351,1.072168,0.307411,1.379579
1599,0.167298,0.169735,1.149353,0.350767,1.500120
1799,0.166595,0.160968,1.226563,0.394567,1.621130
1999,0.165386,0.154506,1.303988,0.438228,1.742216
2199,0.162066,0.128871,1.386787,0.482018,1.868805
2399,0.160740,0.146143,1.464791,0.525868,1.990659
2599,0.158396,0.130274,1.542118,0.569398,2.111516
2799,0.156480,0.131567,1.619764,0.613413,2.233177
2999,0.154773,0.130875,1.697209,0.656862,2.354070
3199,0.154981,0.158112,1.780888,0.700588,2.481476
3399,0.153112,0.123199,1.858262,0.744265,2.602526
3599,0.152561,0.143188,1.935655,0.787762,2.723417
3799,0.151049,0.123849,2.013208,0.831456,2.844664
3999,0.150184,0.133748,2.091743,0.875104,2.966847
4199,0.149688,0.139751,2.175109,0.918764,3.093873
4399,0.149645,0.148750,2.252510,0.962288,3.214797
4599,0.148317,0.119110,2.329910,1.005726,3.335637
4799,0.148254,0.146790,2.408744,1.050969,3.459713
4999,0.147306,0.124569,2.486857,1.094537,3.581394
5199,0.147640,0.155983,2.570331,1.138150,3.708481
5399,0.147515,0.144266,2.648051,1.181875,3.829926
5599,0.146600,0.121887,2.726753,1.225637,3.952390
5799,0.145704,0.120622,2.804520,1.269317,4.073837
5999,0.145629,0.143447,2.882793,1.312946,4.195739
6199,0.146199,0.163292,2.966548,1.356852,4.323400
6399,0.145973,0.138982,3.044993,1.400658,4.445651
6599,0.145235,0.121613,3.123705,1.445131,4.568836
6799,0.145347,0.149059,3.203552,1.489897,4.693449
6999,0.145318,0.144313,3.283507,1.534457,4.817964
7199,0.144686,0.122560,3.369750,1.578950,4.948700
7399,0.144604,0.141669,3.448933,1.623391,5.072325
7599,0.144468,0.139445,3.528251,1.667884,5.196135
7799,0.144423,0.142703,3.607577,1.712193,5.319770
7999,0.144341,0.141161,3.687592,1.756385,5.443977
8199,0.144781,0.162343,3.773512,1.800938,5.574450
8399,0.144283,0.123871,3.852883,1.845429,5.698312
8599,0.144216,0.141429,3.932792,1.890262,5.823053
8799,0.144075,0.138017,4.013456,1.934755,5.948212
8999,0.143694,0.126917,4.093599,1.979250,6.072849
9199,0.143696,0.143772,4.180177,2.024042,6.204219
9399,0.144014,0.158649,4.259921,2.068905,6.328826
9599,0.143930,0.139996,4.340805,2.113763,6.454569
9799,0.143935,0.144164,4.420990,2.158413,6.579403
9999,0.143612,0.127781,4.501510,2.203159,6.704669
10199,0.143677,0.146942,4.587356,2.247733,6.835089
10399,0.143337,0.125970,4.667271,2.292163,6.959434
10599,0.143417,0.147608,4.746882,2.336730,7.083612
10799,0.143422,0.143653,4.826833,2.381359,7.208192
10999,0.143374,0.140813,4.906695,2.425916,7.332611
11199,0.143202,0.133724,4.993533,2.470386,7.463919
11399,0.143146,0.140002,5.072926,2.515186,7.588112
11599,0.143109,0.141030,5.152423,2.559809,7.712232
11799,0.143253,0.151610,5.232505,2.604463,7.836968
11999,0.143457,0.155498,5.313478,2.649162,7.962640
12199,0.143947,0.173290,5.400006,2.693913,8.093919
12399,0.143645,0.125254,5.480024,2.738669,8.218693
12599,0.143522,0.135881,5.560182,2.785456,8.345638
12799,0.143163,0.120589,5.641217,2.829957,8.471174
12999,0.143278,0.150590,5.721432,2.874541,8.595973
13199,0.142924,0.119926,5.807952,2.919126,8.727078
13399,0.142933,0.143542,5.887635,2.963669,8.851304
13599,0.142762,0.131313,5.968216,3.008151,8.976368
13799,0.142963,0.156580,6.048166,3.052753,9.100919
13999,0.142526,0.112376,6.128594,3.097288,9.225882
14199,0.142583,0.146636,6.215416,3.141969,9.357385
14399,0.142322,0.123768,6.296495,3.186791,9.483287
14599,0.142364,0.145359,6.376967,3.231660,9.608628
14799,0.142294,0.137169,6.457756,3.276689,9.734445
14999,0.142202,0.135454,6.538141,3.321396,9.859537
15199,0.141900,0.119211,6.625210,3.365902,9.991112
15399,0.142089,0.156433,6.704991,3.410424,10.115415
