# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [AXGBRegRD] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegRD_incremental4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegRD],current_mse_[AXGBRegRD],training_time_[AXGBRegRD],testing_time_[AXGBRegRD],total_running_time_[AXGBRegRD]
20199,0.150136,0.110668,8.856936,4.505466,13.362402
20399,0.150153,0.151895,8.938062,4.550409,13.488471
20599,0.150129,0.147683,9.019498,4.595376,13.614874
20799,0.149799,0.115835,9.102311,4.640401,13.742712
20999,0.149782,0.147972,9.184186,4.685453,13.869639
21199,0.149732,0.144499,9.272506,4.730544,14.003050
21399,0.149705,0.146827,9.353362,4.775308,14.128670
21599,0.149725,0.151920,9.435439,4.820267,14.255707
21799,0.149741,0.151445,9.516732,4.865054,14.381786
21999,0.149928,0.170264,9.598386,4.909942,14.508328
22199,0.149846,0.140859,9.687066,4.954987,14.642054
22399,0.149765,0.140783,9.769070,5.000079,14.769149
22599,0.149786,0.152161,9.850242,5.045068,14.895309
22799,0.149719,0.142132,9.931877,5.090183,15.022061
22999,0.149911,0.171748,10.013839,5.135268,15.149108
23199,0.149841,0.141790,10.131827,5.180195,15.312022
23399,0.149602,0.121913,10.211868,5.224550,15.436417
23599,0.149327,0.117199,10.292487,5.269035,15.561522
23799,0.149170,0.130656,10.373134,5.313377,15.686511
23999,0.148849,0.110595,10.455035,5.357810,15.812845
24199,0.148581,0.116412,10.541921,5.402511,15.944432
24399,0.148452,0.132851,10.622442,5.446825,16.069267
24599,0.148236,0.121870,10.703494,5.491525,16.195018
24799,0.148225,0.146943,10.785626,5.536253,16.321880
24999,0.148216,0.147010,10.866527,5.580458,16.446985
25199,0.147960,0.115974,10.967661,5.632396,16.600057
25399,0.147858,0.135038,11.047043,5.676321,16.723364
25599,0.147797,0.140000,11.127319,5.719981,16.847300
25799,0.147695,0.134627,11.207231,5.763827,16.971057
25999,0.147338,0.101324,11.286935,5.807606,17.094541
26199,0.147132,0.120410,11.373148,5.851770,17.224918
26399,0.146728,0.093738,11.453020,5.895448,17.348468
26599,0.146702,0.143319,11.533369,5.939782,17.473152
26799,0.146555,0.127032,11.614583,5.984477,17.599060
26999,0.146469,0.134855,11.695708,6.029023,17.724732
27199,0.146479,0.147904,11.784512,6.073786,17.858299
27399,0.146559,0.157446,11.865235,6.118444,17.983679
27599,0.146352,0.117895,11.946281,6.163445,18.109726
27799,0.146325,0.142721,12.079001,6.208375,18.287376
27999,0.146218,0.131237,12.160938,6.253308,18.414247
28199,0.146441,0.177760,12.247897,6.298028,18.545926
28399,0.146310,0.127795,12.328701,6.342804,18.671505
28599,0.146279,0.141903,12.409593,6.387684,18.797278
28799,0.146330,0.153620,12.491765,6.432492,18.924258
28999,0.146369,0.151903,12.573198,6.477327,19.050525
29199,0.146517,0.167957,12.661925,6.522150,19.184075
29399,0.146668,0.168838,12.742809,6.567065,19.309874
29599,0.146745,0.157983,12.825115,6.612053,19.437168
29799,0.146562,0.119433,12.906697,6.657106,19.563803
29999,0.146419,0.125179,12.988081,6.701881,19.689962
30199,0.146469,0.153977,13.106294,6.746932,19.853226
30399,0.146413,0.137893,13.187989,6.791549,19.979538
30599,0.146340,0.135306,13.268765,6.836014,20.104779
30799,0.146283,0.137522,13.349833,6.880538,20.230371
30999,0.146084,0.115439,13.431719,6.927509,20.359228
31199,0.145973,0.128763,13.520097,6.972032,20.492129
31399,0.145982,0.147349,13.600595,7.016530,20.617125
31599,0.145910,0.134708,13.681114,7.060868,20.741982
31799,0.145840,0.134826,13.761902,7.105237,20.867139
31999,0.145892,0.154020,13.844453,7.149686,20.994139
32199,0.145827,0.135442,13.932136,7.194389,21.126524
32399,0.145804,0.142113,14.012885,7.239128,21.252013
32599,0.145661,0.122523,14.093652,7.283702,21.377355
32799,0.145697,0.151579,14.176064,7.328464,21.504528
32999,0.145725,0.150278,14.257551,7.373124,21.630674
33199,0.145688,0.139671,14.345836,7.417868,21.763704
33399,0.145741,0.154487,14.427054,7.462679,21.889733
33599,0.145633,0.127520,14.508842,7.507446,22.016288
33799,0.145626,0.144594,14.589972,7.552091,22.142062
33999,0.145574,0.136682,14.671326,7.596601,22.267927
34199,0.145553,0.141955,14.759546,7.641433,22.400978
34399,0.145502,0.136928,14.841653,7.686192,22.527846
34599,0.145493,0.143913,14.922891,7.731010,22.653901
34799,0.145442,0.136608,15.004540,7.775980,22.780519
34999,0.145341,0.127745,15.086113,7.820861,22.906974
35199,0.145159,0.113312,15.175646,7.865937,23.041583
35399,0.145154,0.144197,15.256956,7.910901,23.167857
35599,0.145200,0.153466,15.338310,7.955759,23.294069
35799,0.145110,0.129018,15.419870,8.000640,23.420510
35999,0.144906,0.108469,15.502475,8.045490,23.547965
36199,0.144953,0.153297,15.590941,8.090609,23.681550
36399,0.144858,0.127693,15.672211,8.135595,23.807805
36599,0.144791,0.132609,15.753566,8.180362,23.933928
36799,0.144815,0.149131,15.836100,8.225241,24.061342
36999,0.144755,0.133807,15.917860,8.270193,24.188054
37199,0.144649,0.125077,16.006418,8.315178,24.321596
37399,0.144401,0.098285,16.087635,8.359865,24.447500
37599,0.144172,0.101373,16.169865,8.404709,24.574575
37799,0.144402,0.187468,16.251670,8.449719,24.701389
37999,0.144354,0.135458,16.333297,8.494553,24.827850
38199,0.144249,0.124206,16.421756,8.539477,24.961233
38399,0.144294,0.152889,16.504065,8.584334,25.088400
38599,0.144300,0.145407,16.585618,8.629415,25.215033
38799,0.144328,0.149763,16.667297,8.674288,25.341586
38999,0.144298,0.138425,16.749198,8.719186,25.468384
39199,0.144343,0.153257,16.838890,8.764063,25.602953
39399,0.144405,0.156546,16.920327,8.808884,25.729212
39599,0.144479,0.158946,17.001496,8.853675,25.855172
39799,0.144249,0.098688,17.083128,8.898466,25.981594
39999,0.144150,0.124561,17.165742,8.943255,26.108997
40199,0.144210,0.156172,17.254528,8.988286,26.242814
40399,0.144203,0.142709,17.335929,9.032941,26.368870
40599,0.144118,0.127066,17.417441,9.077810,26.495251
40799,0.144214,0.163701,17.500229,9.122562,26.622791
40999,0.144186,0.138466,17.582205,9.167477,26.749683
41199,0.144412,0.190639,17.671315,9.212327,26.883642
41399,0.144353,0.132201,17.752908,9.257187,27.010095
41599,0.144372,0.148323,17.835597,9.302253,27.137850
41799,0.144154,0.098847,17.917012,9.347019,27.264031
41999,0.144208,0.155601,17.998901,9.391857,27.390758
42199,0.144166,0.135332,18.087966,9.436909,27.524875
42399,0.144099,0.129834,18.170343,9.485709,27.656052
42599,0.144027,0.128868,18.252030,9.530667,27.782697
42799,0.143971,0.132093,18.333544,9.575427,27.908971
42999,0.143888,0.126044,18.415662,9.620459,28.036121
43199,0.143840,0.133556,18.505878,9.665435,28.171313
43399,0.143985,0.175229,18.587433,9.710316,28.297749
43599,0.143925,0.130873,18.669070,9.755198,28.424268
43799,0.144011,0.162868,18.750909,9.800077,28.550986
43999,0.144094,0.162299,18.834008,9.844915,28.678923
44199,0.144199,0.167125,18.922911,9.889856,28.812766
44399,0.144048,0.110833,19.004535,9.934703,28.939237
44599,0.144061,0.146795,19.086516,9.979620,29.066137
44799,0.144110,0.155127,19.169607,10.024703,29.194311
44999,0.144111,0.144250,19.251946,10.069706,29.321652
45199,0.144032,0.126324,19.341252,10.114681,29.455933
45399,0.144080,0.154852,19.423275,10.159844,29.583119
45599,0.144117,0.152510,19.506273,10.204850,29.711123
45799,0.144175,0.157583,19.587971,10.250085,29.838056
45999,0.144181,0.145486,19.669667,10.295284,29.964951
46199,0.144130,0.132386,19.787967,10.340191,30.128158
46399,0.144014,0.117233,19.869928,10.384924,30.254852
46599,0.143918,0.121742,19.950971,10.429445,30.380415
46799,0.144065,0.178134,20.031904,10.474080,30.505985
46999,0.144011,0.131393,20.113498,10.518951,30.632449
47199,0.143920,0.122587,20.202172,10.563806,30.765978
47399,0.144001,0.163192,20.283383,10.608384,30.891768
47599,0.143904,0.120738,20.364782,10.652813,31.017595
47799,0.143971,0.159909,20.445607,10.697071,31.142678
47999,0.143953,0.139745,20.527815,10.741440,31.269256
48199,0.143925,0.137191,20.615809,10.786139,31.401948
48399,0.144014,0.165377,20.696501,10.830454,31.526955
48599,0.144033,0.148800,20.777259,10.874853,31.652112
48799,0.143990,0.133560,20.859359,10.919149,31.778508
48999,0.143871,0.114817,20.940761,10.963667,31.904428
49199,0.143847,0.137884,21.028614,11.008097,32.036711
49399,0.143793,0.130615,21.109249,11.052792,32.162041
49599,0.143782,0.141049,21.190541,11.096592,32.287133
49799,0.143824,0.154281,21.271365,11.141114,32.412478
49999,0.143862,0.153114,21.351773,11.185206,32.536978
50199,0.143828,0.135544,21.439575,11.229675,32.669250
50399,0.143832,0.144610,21.521321,11.274283,32.795603
50599,0.143874,0.154565,21.602364,11.318650,32.921014
50799,0.143873,0.143673,21.683411,11.362877,33.046288
50999,0.143837,0.134580,21.764387,11.407128,33.171515
51199,0.143869,0.152111,21.853340,11.451603,33.304943
51399,0.143874,0.145076,21.933718,11.495683,33.429401
51599,0.143840,0.135196,22.014816,11.540200,33.555016
51799,0.143783,0.129083,22.095773,11.584483,33.680256
51999,0.143783,0.143861,22.177700,11.628796,33.806496
52199,0.143783,0.143563,22.265613,11.673123,33.938735
52399,0.143748,0.134627,22.346535,11.717542,34.064077
52599,0.143713,0.134678,22.427740,11.762019,34.189760
52799,0.143738,0.150210,22.509904,11.806356,34.316260
52999,0.143799,0.159915,22.591083,11.850781,34.441864
53199,0.143794,0.142388,22.679399,11.895126,34.574525
53399,0.143917,0.176872,22.760915,11.939741,34.700656
53599,0.143968,0.157418,22.843299,11.984188,34.827487
53799,0.144080,0.174237,22.924879,12.028619,34.953498
53999,0.143964,0.112581,23.006111,12.073000,35.079111
54199,0.144030,0.161965,23.094674,12.117736,35.212411
54399,0.143970,0.127596,23.177013,12.162592,35.339605
54599,0.143983,0.147565,23.258383,12.207294,35.465677
54799,0.143960,0.137602,23.339892,12.251865,35.591756
54999,0.143956,0.142991,23.421289,12.296522,35.717811
55199,0.143986,0.152200,23.511063,12.341372,35.852435
55399,0.144077,0.169222,23.592083,12.385955,35.978038
55599,0.144161,0.167561,23.673457,12.430686,36.104142
55799,0.144119,0.132205,23.755194,12.475311,36.230505
55999,0.144194,0.165256,23.838003,12.520083,36.358086
56199,0.144134,0.127209,23.926638,12.564802,36.491441
56399,0.144127,0.142205,24.008009,12.609587,36.617597
56599,0.144149,0.150526,24.089183,12.653995,36.743178
56799,0.144238,0.169405,24.171709,12.698399,36.870107
56999,0.144317,0.166726,24.252991,12.742850,36.995841
57199,0.144341,0.151205,24.341703,12.787407,37.129110
57399,0.144468,0.180643,24.423068,12.832005,37.255074
57599,0.144335,0.106144,24.505597,12.876639,37.382236
57799,0.144276,0.127217,24.587120,12.921200,37.508320
57999,0.144231,0.131297,24.668769,12.965935,37.634704
