# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [KNN] KNNRegressor(aggregation_method='mean', leaf_size=30, max_window_size=1000, metric='euclidean', n_neighbors=5)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_KNN_gradual5.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[KNN],current_mse_[KNN],training_time_[KNN],testing_time_[KNN],total_running_time_[KNN]
199,10852.458649,10852.458649,0.003662,0.028056,0.031718
399,9023.669117,7194.879585,0.006460,0.060825,0.067285
599,7940.259513,5773.440303,0.009394,0.107614,0.117008
799,6978.992081,4095.189788,0.012445,0.168124,0.180568
999,6584.671259,5007.387971,0.015565,0.242329,0.257895
1199,6120.195432,3797.816295,0.021022,0.334018,0.355040
1399,6050.932932,5635.357929,0.026431,0.425332,0.451764
1599,5881.774976,4697.669284,0.031759,0.516249,0.548008
1799,5766.018390,4839.965702,0.037077,0.607442,0.644518
1999,5594.438838,4050.222871,0.042361,0.698462,0.740823
2199,5593.252219,5581.386031,0.047702,0.789819,0.837521
2399,5520.631956,4721.809062,0.052982,0.880894,0.933876
2599,5401.116755,3966.934341,0.058341,0.972201,1.030542
2799,5347.705306,4653.356469,0.063680,1.063580,1.127260
2999,5358.161908,5504.554337,0.068954,1.154425,1.223379
3199,5324.751404,4823.593846,0.074231,1.245545,1.319776
3399,5347.100868,5704.692291,0.079508,1.336776,1.416285
3599,5395.633282,6220.684317,0.084809,1.427998,1.512807
3799,5319.109863,3941.688322,0.090103,1.519117,1.609220
3999,5301.682412,4970.560849,0.095405,1.610285,1.705690
4199,5293.944478,5139.185801,0.100718,1.701375,1.802093
4399,5245.236214,4222.362655,0.106026,1.792567,1.898592
4599,5210.314208,4442.030081,0.111340,1.883720,1.995061
4799,5177.013863,4411.105930,0.116633,1.974764,2.091397
4999,5200.084649,5753.783521,0.121929,2.065624,2.187553
5199,5225.534321,5861.776106,0.127246,2.156562,2.283808
5399,5207.819217,4747.226533,0.132562,2.247687,2.380250
5599,5239.597715,6097.617148,0.137846,2.338592,2.476439
5799,5250.000615,5541.281802,0.143154,2.429515,2.572669
5999,5212.718104,4131.525306,0.148432,2.520462,2.668894
6199,5170.892094,3916.111786,0.153716,2.611452,2.765168
6399,5160.382288,4834.578308,0.158989,2.702433,2.861422
6599,5177.897436,5738.382160,0.164276,2.793553,2.957829
6799,5171.877182,4973.208803,0.169593,2.884655,3.054249
6999,5159.348078,4733.358547,0.174860,2.975568,3.150428
7199,5174.081649,5689.756622,0.180119,3.066413,3.246532
7399,5175.799544,5237.643774,0.185421,3.157539,3.342960
7599,5160.400868,4590.649866,0.190694,3.248277,3.438970
7799,5159.728511,5134.178930,0.195980,3.339138,3.535118
7999,5153.907328,4926.881214,0.201309,3.430275,3.631584
8199,5148.521135,4933.073414,0.206646,3.521336,3.727982
8399,5144.450590,4977.558221,0.211906,3.612259,3.824166
8599,5115.627427,3905.054597,0.217168,3.703077,3.920244
8799,5118.123195,5225.441217,0.222445,3.793779,4.016225
8999,5128.832071,5600.022603,0.227678,3.884719,4.112397
9199,5119.382019,4694.129706,0.232971,3.975576,4.208547
9399,5141.221067,6145.817231,0.238246,4.066386,4.304632
9599,5138.058043,4989.395950,0.243518,4.157225,4.400743
9799,5131.593918,4821.315904,0.248779,4.248205,4.496984
9999,5119.902879,4547.041949,0.254053,4.339100,4.593152
10199,5138.627667,6074.867094,0.259313,4.429854,4.689166
10399,5131.950417,4791.410642,0.264632,4.521108,4.785740
10599,5132.196817,5145.009653,0.269930,4.612118,4.882047
10799,5119.745510,4459.826219,0.275230,4.703065,4.978295
10999,5114.347248,4822.841091,0.280489,4.793943,5.074432
11199,5120.906717,5481.677533,0.285752,4.884864,5.170616
11399,5106.535753,4301.761788,0.291043,4.975794,5.266837
11599,5116.698633,5695.982759,0.296394,5.067016,5.363409
11799,5119.751730,5296.831386,0.301688,5.158230,5.459918
11999,5113.270514,4730.878738,0.306986,5.249513,5.556499
12199,5116.134757,5287.989373,0.312275,5.340871,5.653146
12399,5125.374844,5689.020148,0.317580,5.432057,5.749638
12599,5129.959474,5414.206542,0.322936,5.523430,5.846365
12799,5128.573863,5041.280368,0.328269,5.614668,5.942937
12999,5109.256586,3872.950861,0.333601,5.705723,6.039324
13199,5104.813566,4816.017241,0.338888,5.796852,6.135741
13399,5101.551651,4886.265222,0.344237,5.888304,6.232542
13599,5109.920448,5670.629863,0.349538,5.979741,6.329279
13799,5101.013137,4495.315978,0.354878,6.070692,6.425570
13999,5098.480738,4923.745250,0.360178,6.161860,6.522038
14199,5099.617076,5179.160693,0.365478,6.253143,6.618621
14399,5114.541845,6174.200503,0.370829,6.344413,6.715242
14599,5117.587907,5336.904365,0.376150,6.435580,6.811730
14799,5115.579971,4969.000598,0.381485,6.526620,6.908104
14999,5117.441870,5255.222404,0.386776,6.617656,7.004432
15199,5125.567259,5734.971438,0.392090,6.708818,7.100908
15399,5122.909102,4920.889173,0.397344,6.799943,7.197287
15599,5132.489905,5870.211700,0.402636,6.891339,7.293975
