# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTR_abrupto3.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTR],current_mse_[HTR],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
199,13373.290877,13373.290877,0.025938,0.004197,0.030135
399,12370.664217,11368.037558,0.053848,0.008356,0.062204
599,11377.722420,9391.838825,0.082186,0.012482,0.094668
799,10699.443524,8664.606836,0.111859,0.016632,0.128491
999,10419.446968,9299.460745,0.142754,0.020760,0.163514
1199,10042.405529,8157.198333,0.174312,0.024912,0.199224
1399,10147.623984,10778.934713,0.207276,0.029027,0.236302
1599,10066.127323,9495.650696,0.235051,0.033132,0.268183
1799,9935.314979,8888.816224,0.247637,0.037472,0.285109
1999,9658.543471,7167.599899,0.268029,0.041850,0.309879
2199,9382.275922,6619.600440,0.287568,0.046273,0.333840
2399,9067.285027,5602.385176,0.300969,0.050709,0.351679
2599,8807.659924,5692.158689,0.328525,0.055190,0.383715
2799,8620.571280,6188.418913,0.349275,0.059703,0.408977
2999,8535.277002,7341.157101,0.362988,0.064187,0.427174
3199,8353.257069,5622.958085,0.404918,0.068710,0.473629
3399,8191.602419,5605.128012,0.430864,0.073221,0.504084
3599,8148.256777,7411.380872,0.459792,0.077730,0.537522
3799,7996.965445,5273.721465,0.473653,0.082250,0.555903
3999,7906.876664,6195.189812,0.509531,0.086784,0.596315
4199,7843.527297,6576.539968,0.538957,0.091306,0.630263
4399,7757.057243,5941.186103,0.561186,0.095815,0.657001
4599,7655.447111,5420.024208,0.574862,0.100344,0.675206
4799,7564.693777,5477.367102,0.603883,0.104885,0.708769
4999,7510.007740,6197.542849,0.658825,0.109548,0.768373
5199,7499.885790,7246.837044,0.672781,0.114100,0.786881
5399,7448.450701,6111.138372,0.714981,0.118752,0.833732
5599,7453.939100,7602.125887,0.751308,0.123333,0.874641
5799,7442.664292,7126.969674,0.771452,0.127891,0.899344
5999,7370.818894,5287.302351,0.785289,0.132474,0.917764
6199,7320.155962,5800.268001,0.806920,0.137085,0.944005
6399,7274.850684,5870.387050,0.836301,0.141676,0.977978
6599,7253.289324,6563.325811,0.849736,0.146279,0.996015
6799,7200.669008,5464.198564,0.864159,0.150944,1.015104
6999,7134.819814,4895.947247,0.892476,0.155573,1.048049
7199,7086.660953,5401.100806,0.922752,0.160192,1.082944
7399,7039.373935,5337.041283,0.949801,0.164785,1.114586
7599,7010.084862,5926.389178,0.970700,0.169429,1.140129
7799,6980.393090,5852.105756,1.011242,0.174077,1.185319
7999,6965.405470,6380.888272,1.040592,0.178730,1.219322
8199,6942.052415,6007.930218,1.070342,0.183341,1.253682
8399,6922.433113,6118.041715,1.084174,0.187935,1.272109
8599,6861.629932,4307.896325,1.098814,0.192595,1.291408
8799,6810.341911,4604.957036,1.135231,0.197255,1.332486
8999,6786.834819,5752.522759,1.164581,0.201847,1.366428
9199,6743.473231,4792.201794,1.186616,0.206487,1.393103
9399,6715.780738,5441.926052,1.200642,0.211127,1.411768
9599,6671.308104,4581.094312,1.240748,0.215818,1.456566
9799,6645.226104,5393.290085,1.262713,0.220498,1.483211
9999,6614.490085,5108.425154,1.317359,0.225293,1.542652
10199,6580.102091,4860.702419,1.331103,0.229995,1.561098
10399,6555.420020,5296.634360,1.361029,0.234709,1.595738
10599,6527.843068,5093.841564,1.390377,0.239433,1.629810
10799,6488.846438,4422.025043,1.404674,0.244147,1.648821
10999,6471.479238,5533.650432,1.418990,0.248926,1.667916
11199,6450.279691,5284.304616,1.433856,0.253687,1.687542
11399,6411.416118,4235.056025,1.500734,0.258434,1.759168
11599,6377.074982,4419.630242,1.514729,0.263113,1.777842
11799,6351.891951,4891.276185,1.543323,0.267809,1.811132
11999,6324.575289,4712.892200,1.557527,0.272478,1.830005
12199,6297.209460,4655.259720,1.602911,0.277272,1.880183
12399,6272.223504,4748.080198,1.616650,0.281986,1.898636
12599,6245.452541,4585.652831,1.631067,0.286723,1.917790
12799,6229.391749,5217.561851,1.652654,0.291500,1.944154
12999,6190.796150,3720.677798,1.696464,0.296335,1.992799
13199,6169.577221,4790.346837,1.726387,0.301116,2.027503
13399,6145.406318,4550.126764,1.740272,0.305873,2.046144
13599,6136.263918,5523.723094,1.767360,0.310668,2.078028
13799,6107.774226,4170.475199,1.789653,0.315458,2.105111
13999,6069.505780,3428.982964,1.803671,0.320266,2.123936
14199,6054.593423,5010.728427,1.817790,0.325103,2.142893
14399,6039.696780,4982.035144,1.840427,0.329947,2.170375
14599,6019.498907,4565.252045,1.870476,0.334775,2.205251
14799,5990.771123,3893.642904,1.899563,0.339604,2.239167
14999,5972.967681,4655.512992,1.951935,0.344508,2.296443
15199,5962.313206,5163.227573,1.966110,0.349318,2.315428
15399,5939.861593,4233.539003,1.987893,0.354177,2.342070
15599,5926.221738,4875.952864,2.020322,0.359026,2.379347
15799,5915.225248,5057.499049,2.056714,0.363891,2.420605
15999,5900.133394,4707.876938,2.070666,0.368730,2.439396
16199,5893.359516,5351.449271,2.085496,0.373596,2.459092
16399,5872.543227,4186.423776,2.100094,0.378459,2.478552
16599,5856.869184,4571.597737,2.130361,0.383338,2.513700
16799,5833.738890,3913.924464,2.145009,0.388204,2.533213
16999,5803.280861,3244.806375,2.174643,0.393081,2.567724
17199,5788.155784,4502.524280,2.219249,0.397961,2.617210
17399,5777.040427,4821.119722,2.255158,0.402851,2.658009
17599,5773.606979,5474.896956,2.280375,0.407710,2.688084
17799,5755.388446,4152.157574,2.294686,0.412575,2.707261
17999,5733.362604,3773.062705,2.320426,0.417448,2.737874
18199,5710.926799,3691.704355,2.362248,0.422316,2.784564
18399,5686.005419,3418.159845,2.376593,0.427183,2.803776
18599,5664.615369,3696.730704,2.436341,0.432077,2.868419
18799,5645.290274,3848.056475,2.450343,0.436946,2.887289
18999,5627.433258,3948.873784,2.472185,0.441821,2.914006
19199,5611.635161,4110.815930,2.486308,0.446688,2.932996
19399,5597.597398,4249.972092,2.516795,0.451587,2.968382
19599,5586.628655,4522.660613,2.540584,0.456462,2.997047
19799,5575.456488,4480.584080,2.562544,0.461385,3.023928
19999,5563.934569,4423.264631,2.617912,0.466391,3.084303
20199,5549.769531,4133.265748,2.663531,0.471308,3.134839
20399,5539.988698,4552.124546,2.677823,0.476219,3.154043
20599,5529.867158,4497.470084,2.691817,0.481116,3.172933
20799,5508.365434,3293.687867,2.706426,0.486019,3.192444
20999,5489.428413,3519.978187,2.736448,0.490926,3.227374
21199,5469.233927,3348.812886,2.758474,0.495852,3.254326
21399,5461.904788,4685.016065,2.787189,0.500756,3.287945
21599,5447.093953,3862.334680,2.809440,0.505676,3.315116
21799,5431.761070,3775.809627,2.823999,0.510589,3.334589
21999,5415.483390,3641.216277,2.847245,0.515497,3.362742
22199,5402.327068,3955.131695,2.862054,0.520409,3.382463
22399,5383.612403,3306.284631,2.876883,0.525336,3.402219
22599,5365.621260,3350.613236,2.892364,0.530267,3.422631
22799,5351.986696,3811.280863,2.907481,0.535192,3.442673
22999,5342.619763,4274.789420,2.975635,0.540159,3.515794
23199,5331.516633,4054.656691,3.005795,0.545099,3.550894
23399,5320.899058,4089.260410,3.033390,0.550018,3.583408
23599,5312.600962,4341.723679,3.104880,0.554960,3.659840
23799,5298.338124,3615.323235,3.118636,0.559882,3.678518
23999,5287.753664,4028.202972,3.150480,0.564798,3.715278
24199,5281.547516,4536.809753,3.164600,0.569745,3.734345
24399,5268.963227,3746.264224,3.179327,0.574668,3.753995
24599,5254.194887,3452.457400,3.193823,0.579583,3.773406
24799,5245.293443,4150.415870,3.246251,0.584572,3.830823
24999,5234.244427,3864.166450,3.261339,0.589498,3.850837
25199,5223.780625,3915.805358,3.276833,0.594432,3.871265
25399,5211.020242,3603.212034,3.306527,0.599362,3.905889
25599,5201.458115,3987.067952,3.357113,0.604325,3.961437
25799,5188.737763,3560.532646,3.371904,0.609285,3.981189
25999,5174.514395,3339.699971,3.394356,0.614242,4.008598
26199,5166.355344,4105.678746,3.425094,0.619227,4.044321
26399,5157.778063,4034.154212,3.455517,0.624200,4.079718
26599,5150.493168,4188.887074,3.487088,0.629162,4.116250
26799,5136.031245,3212.595462,3.501861,0.634117,4.135978
26999,5119.846336,2951.068573,3.546566,0.639114,4.185681
27199,5111.779978,4022.821528,3.591561,0.644073,4.235634
27399,5100.548873,3573.118683,3.622730,0.649042,4.271772
27599,5085.541041,3029.468052,3.638099,0.653993,4.292092
27799,5076.010270,3760.763884,3.660411,0.658967,4.319379
27999,5067.843929,3932.722447,3.676105,0.663930,4.340035
28199,5056.770255,3506.455889,3.691422,0.668916,4.360338
28399,5046.018152,3529.971738,3.729900,0.673908,4.403808
28599,5035.773410,3581.020033,3.745183,0.678888,4.424071
28799,5026.071508,3638.699447,3.800773,0.683885,4.484658
28999,5014.179507,3301.731462,3.815609,0.688849,4.504458
29199,5006.744669,3928.693132,3.831176,0.693815,4.524992
29399,4997.515509,3650.058081,3.870006,0.698801,4.568807
29599,4983.800462,2967.688609,3.892473,0.703770,4.596243
29799,4981.070743,4577.072349,3.949920,0.708811,4.658730
29999,4969.942498,3311.833873,3.965278,0.713821,4.679099
30199,4960.833089,3594.421825,4.008279,0.718843,4.727122
30399,4955.636271,4170.916685,4.037096,0.723856,4.760952
30599,4952.849032,4529.188817,4.052455,0.728851,4.781306
30799,4943.355038,3490.773952,4.067348,0.733827,4.801175
30999,4930.808850,2998.695843,4.082447,0.738839,4.821286
31199,4920.311770,3293.264334,4.115253,0.743890,4.859143
31399,4909.954616,3294.238621,4.138182,0.748899,4.887081
31599,4906.411992,4350.220032,4.175406,0.753914,4.929320
31799,4897.511784,3491.278992,4.205050,0.758910,4.963961
31999,4890.382713,3756.860292,4.247038,0.763941,5.010979
32199,4885.070720,4035.151894,4.277083,0.768974,5.046057
32399,4875.883141,3396.682980,4.292521,0.773979,5.066500
32599,4866.395359,3329.374596,4.320279,0.779003,5.099282
32799,4854.708292,2949.716420,4.335246,0.783997,5.119243
32999,4845.419010,3321.976681,4.350955,0.789003,5.139958
33199,4836.657916,3391.077492,4.373629,0.794031,5.167660
33399,4831.180012,3921.847903,4.422176,0.799096,5.221272
33599,4828.126965,4318.268198,4.444590,0.804133,5.248722
33799,4823.250627,4004.025775,4.460017,0.809171,5.269187
33999,4815.258554,3464.598157,4.475202,0.814187,5.289389
34199,4808.060125,3584.327258,4.503944,0.819239,5.323182
34399,4796.969758,2900.517062,4.540590,0.824291,5.364881
34599,4786.997330,3071.739638,4.555674,0.829319,5.384993
34799,4782.850454,4065.440937,4.640110,0.834446,5.474556
34999,4772.756564,3016.419705,4.662909,0.839492,5.502401
35199,4764.491808,3318.159527,4.689206,0.844547,5.533754
35399,4763.568619,4601.087393,4.704682,0.849619,5.554302
35599,4757.229387,3635.185260,4.720612,0.854641,5.575254
35799,4751.369709,3708.346966,4.763004,0.859725,5.622729
35999,4746.438750,3863.797076,4.808028,0.864804,5.672832
36199,4738.708780,3347.314300,4.823073,0.869827,5.692900
36399,4728.919790,2957.112544,4.837983,0.874865,5.712848
36599,4720.182302,3129.959507,4.853787,0.879925,5.733713
36799,4713.851016,3555.225725,4.869245,0.884999,5.754244
36999,4709.736624,3952.688374,4.901526,0.890073,5.791599
37199,4705.472337,3916.579371,4.931862,0.895139,5.827001
37399,4701.742890,4008.065745,4.965526,0.900236,5.865762
37599,4696.888060,3789.034798,4.992734,0.905317,5.898051
37799,4690.455162,3481.070346,5.025118,0.910393,5.935511
37999,4684.069398,3477.160026,5.040447,0.915466,5.955913
38199,4674.718544,2898.056213,5.056619,0.920532,5.977150
38399,4667.556186,3299.545766,5.080743,0.925618,6.006361
38599,4660.685489,3341.511695,5.104001,0.930692,6.034693
38799,4653.329548,3233.632968,5.120373,0.935749,6.056122
38999,4653.075410,4603.772646,5.143969,0.940839,6.084808
39199,4645.837498,3234.444633,5.167858,0.945926,6.113785
39399,4639.993439,3494.557885,5.183519,0.950997,6.134516
39599,4632.971022,3249.554831,5.249251,0.956167,6.205418
39799,4626.941438,3433.083763,5.265384,0.961247,6.226630
39999,4618.977925,3034.238983,5.282075,0.966327,6.248401
40199,4614.132414,3645.030078,5.298377,0.971415,6.269792
40399,4609.999523,3779.288409,5.349692,0.976522,6.326214
40599,4600.971531,2777.317162,5.388886,0.981627,6.370514
40799,4594.519944,3284.847950,5.404750,0.986688,6.391438
40999,4588.484335,3357.220100,5.421427,0.991764,6.413191
41199,4581.431125,3135.522978,5.437338,0.996835,6.434173
41399,4575.064014,3263.439145,5.462545,1.001924,6.464469
41599,4570.881123,3705.022664,5.493918,1.007022,6.500939
41799,4564.572086,3252.292352,5.510871,1.012137,6.523007
41999,4555.840702,2730.981578,5.527022,1.017248,6.544270
42199,4549.845988,3290.955890,5.544073,1.022366,6.566439
42399,4545.614855,3652.845990,5.585389,1.027476,6.612865
42599,4535.683425,2430.220183,5.602463,1.032570,6.635033
42799,4528.048964,2901.908734,5.619064,1.037659,6.656723
42999,4521.172374,3049.582184,5.636045,1.042747,6.678793
43199,4513.724267,2912.381191,5.682931,1.047868,6.730799
