# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [HTRA] HoeffdingAdaptiveTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTRA_gradual5.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTRA],current_mse_[HTRA],training_time_[HTRA],testing_time_[HTRA],total_running_time_[HTRA]
16799,6008.972026,3913.924468,5.154367,0.376780,5.531147
16999,5976.452416,3244.805245,5.235138,0.381459,5.616597
17199,5959.313721,4502.524579,5.332545,0.386167,5.718712
17399,5946.231022,4821.118966,5.421649,0.390846,5.812495
17599,5940.874951,5474.896786,5.499746,0.395523,5.895270
17799,5920.777001,4152.157373,5.568092,0.400212,5.968304
17999,5896.913505,3773.062393,5.647791,0.404908,6.052699
18199,5872.680440,3691.704597,5.743612,0.409614,6.153226
18399,5846.000867,3418.159675,5.813514,0.414328,6.227842
18599,5822.890432,3696.730433,5.927403,0.419072,6.346475
18799,5801.881559,3848.056380,5.996116,0.423798,6.419914
18999,5782.376210,3948.873336,6.074602,0.428560,6.503162
19199,5764.964111,4110.814757,6.144991,0.433260,6.578251
19399,5749.345636,4249.972059,6.232419,0.437986,6.670405
19599,5736.828439,4522.660295,6.310704,0.442711,6.753414
19799,5724.139105,4480.584379,6.424849,0.447481,6.872330
19999,5711.130360,4423.264593,6.504826,0.452210,6.957036
20199,5695.507932,4133.265097,6.608592,0.456975,7.065567
20399,5684.298290,4552.124535,6.681886,0.461716,7.143602
20599,5672.775686,4497.470075,6.754561,0.466478,7.221039
20799,5649.899841,3293.687816,6.828674,0.471225,7.299899
20999,5629.614872,3519.978020,6.915194,0.475977,7.391171
21199,5608.097864,3348.812081,6.996190,0.480737,7.476927
21399,5599.470927,4685.015566,7.083355,0.485468,7.568823
21599,5583.386334,3862.334912,7.164582,0.490215,7.654797
21799,5566.803060,3775.809458,7.238508,0.494950,7.733457
21999,5549.297724,3641.216093,7.320480,0.499676,7.820156
22199,5534.935864,3955.131289,7.394804,0.504428,7.899232
22399,5515.037191,3306.284505,7.471054,0.509193,7.980248
22599,5495.882994,3350.612928,7.547239,0.513964,8.061204
22799,5481.105783,3811.280915,7.622607,0.518729,8.141336
22999,5470.616072,4274.788949,7.750990,0.523540,8.274529
23199,5458.409520,4054.656116,7.841150,0.528317,8.369467
23399,5446.707387,4089.259946,7.930661,0.533090,8.463750
23599,5437.343116,4341.723436,8.062162,0.537903,8.600066
23799,5422.032025,3615.323218,8.138591,0.542696,8.681287
23999,5410.416781,4028.202814,8.228935,0.547465,8.776400
24199,5403.196890,4536.809939,8.306785,0.552251,8.859036
24399,5389.615474,3746.264169,8.384051,0.557011,8.941062
24599,5373.866223,3452.457501,8.457173,0.561766,9.018940
24799,5363.999683,4150.415262,8.572131,0.566561,9.138692
24999,5352.001012,3864.165888,8.648123,0.571334,9.219458
25199,5340.602631,3915.804939,8.727212,0.576119,9.303331
25399,5326.922387,3603.211649,8.816184,0.580894,9.397078
25599,5316.454772,3987.067725,8.928390,0.585720,9.514109
25799,5302.842973,3560.532666,9.006585,0.590510,9.597095
25999,5287.741873,3339.699928,9.089986,0.595297,9.685283
26199,5278.718483,4105.677883,9.181815,0.600094,9.781909
26399,5269.289963,4034.153859,9.277123,0.604897,9.882020
26599,5261.166635,4188.887242,9.370538,0.609697,9.980234
26799,5245.878788,3212.595166,9.448209,0.614480,10.062689
26999,5228.880193,2951.068433,9.555897,0.619297,10.175193
27199,5220.012110,4022.820986,9.663771,0.624085,10.287857
27399,5207.990989,3573.118480,9.757158,0.628899,10.386058
27599,5192.204586,3029.467353,9.836411,0.633690,10.470101
27799,5181.906450,3760.763781,9.921229,0.638471,10.559699
27999,5172.983710,3932.722825,9.999182,0.643257,10.642439
28199,5161.164362,3506.455646,10.078229,0.648060,10.726290
28399,5149.677088,3529.971368,10.179444,0.652867,10.832311
28599,5138.707455,3581.019604,10.258167,0.657675,10.915842
28799,5128.290733,3638.699445,10.377171,0.662518,11.039689
28999,5115.693772,3301.731460,10.457457,0.667309,11.124766
29199,5107.563631,3928.693106,10.536079,0.672095,11.208174
29399,5097.648628,3650.058233,10.637764,0.676905,11.314669
29599,5083.257005,2967.688385,10.724562,0.681703,11.406265
29799,5079.859791,4577.072109,10.844944,0.686539,11.531484
29999,5068.072949,3311.833567,10.923881,0.691354,11.615235
30199,5058.313670,3594.421768,11.033570,0.696209,11.729779
30399,5052.475533,4170.916921,11.129371,0.701046,11.830417
30599,5049.055356,4529.188458,11.211341,0.705870,11.917212
30799,5038.936644,3490.773646,11.292113,0.710691,12.002803
30999,5025.773796,2998.695198,11.373500,0.715530,12.089030
31199,5014.667965,3293.264168,11.473068,0.720378,12.193446
31399,5003.709817,3294.238770,11.564459,0.725219,12.289678
31599,4999.573806,4350.220014,11.665838,0.730046,12.395884
31799,4990.087673,3491.278710,11.763496,0.734905,12.498401
31999,4982.380005,3756.860785,11.872727,0.739763,12.612490
32199,4976.496599,4035.151669,11.969699,0.744623,12.714322
32399,4966.744663,3396.682885,12.051815,0.749473,12.801287
32599,4956.699446,3329.374410,12.148451,0.754319,12.902771
32799,4944.461744,2949.716198,12.232345,0.759145,12.991490
32999,4934.628500,3321.976491,12.313543,0.763983,13.077526
33199,4925.330000,3391.077526,12.402704,0.768815,13.171519
33399,4919.321125,3921.847825,12.516561,0.773698,13.290259
33599,4915.743426,4318.267756,12.609463,0.778590,13.388053
33799,4910.348645,4004.025468,12.695128,0.783456,13.478583
33999,4901.844229,3464.597914,12.778243,0.788316,13.566559
34199,4894.139448,3584.326714,12.873224,0.793203,13.666427
34399,4882.548620,2900.516974,12.980824,0.798083,13.778907
34599,4872.081516,3071.739619,13.110835,0.802993,13.913827
34799,4867.445649,4065.440688,13.218286,0.807869,14.026155
34999,4856.868359,3016.419927,13.312014,0.812756,14.124770
35199,4848.125694,3318.159309,13.408409,0.817647,14.226055
35399,4846.729997,4601.087346,13.493903,0.822519,14.316421
35599,4839.923567,3635.185340,13.578213,0.827374,14.405587
35799,4833.601908,3708.346667,13.690447,0.832269,14.522716
35999,4828.214101,3863.796738,13.805214,0.837172,14.642386
36199,4820.032334,3347.314190,13.891182,0.842048,14.733230
36399,4809.796511,2957.112481,13.977877,0.846956,14.824833
36599,4800.617073,3129.959485,14.064784,0.851838,14.916621
36799,4793.848640,3555.225282,14.152814,0.856733,15.009547
36999,4789.301827,3952.688236,14.253749,0.861631,15.115380
37199,4784.609770,3916.579197,14.357150,0.866549,15.223700
37399,4780.457127,4008.065628,14.462215,0.871485,15.333699
37599,4775.183603,3789.034543,14.560805,0.876371,15.437176
37799,4768.336442,3481.070275,14.664339,0.881278,15.545617
37999,4761.540777,3477.160006,14.752942,0.886171,15.639112
38199,4751.784312,2898.056042,14.839924,0.891048,15.730972
38399,4744.220568,3299.545375,14.934937,0.895953,15.830890
38599,4736.952646,3341.511618,15.031250,0.900885,15.932135
38799,4729.203574,3233.632793,15.118936,0.905768,16.024704
38999,4728.560337,4603.772365,15.215687,0.910686,16.126373
39199,4720.937297,3234.444407,15.312332,0.915596,16.227928
39399,4714.712020,3494.557690,15.450823,0.920558,16.371382
39599,4707.312235,3249.554681,15.538599,0.925463,16.464062
39799,4700.909078,3433.083931,15.627216,0.930367,16.557582
39999,4692.575726,3034.238770,15.716399,0.935267,16.651666
40199,4687.364055,3645.029839,15.805730,0.940166,16.745896
40399,4682.868630,3779.288271,15.930315,0.945092,16.875407
40599,4673.481677,2777.317070,16.041149,0.950009,16.991158
40799,4666.674648,3284.847771,16.132977,0.954914,17.087891
40999,4660.287063,3357.219691,16.224243,0.959831,17.184074
41199,4652.885295,3135.522836,16.314220,0.964755,17.278975
41399,4646.172994,3263.439034,16.410716,0.969682,17.380398
41599,4641.648233,3705.022602,16.518034,0.974648,17.492682
41799,4635.000597,3252.292441,16.609655,0.979581,17.589236
41999,4625.933840,2730.981563,16.702933,0.984519,17.687452
42199,4619.606930,3290.955847,16.793990,0.989436,17.783426
42399,4615.046736,3652.845854,16.911350,0.994382,17.905732
42599,4604.789334,2430.220105,17.002602,0.999337,18.001940
42799,4596.831949,2901.908826,17.092329,1.004247,18.096576
42999,4589.635436,3049.581721,17.184650,1.009179,18.193830
43199,4581.870369,2912.381071,17.307393,1.014131,18.321524
43399,4576.590618,3436.164206,17.427666,1.019087,18.446753
43599,4567.433953,2580.437670,17.536849,1.024047,18.560895
43799,4558.741948,2663.884977,17.628741,1.028979,18.657720
43999,4552.501715,3185.890615,17.736360,1.033936,18.770296
44199,4549.367692,3859.882634,17.840347,1.038890,18.879236
44399,4543.940820,3344.602145,18.002322,1.043894,19.046216
44599,4538.734973,3383.036859,18.106817,1.048814,19.155631
44799,4529.512718,2472.949935,18.212722,1.053762,19.266484
44999,4521.507777,2728.401067,18.315117,1.058730,19.373847
45199,4516.259604,3335.420513,18.423737,1.063678,19.487415
45399,4511.092449,3343.315596,18.529241,1.068636,19.597877
45599,4506.988382,3575.365139,18.623995,1.073578,19.697573
45799,4504.435150,3922.298090,18.736581,1.078523,19.815104
45999,4501.142840,3747.204058,18.829592,1.083476,19.913068
46199,4496.264478,3374.241133,18.935870,1.088422,20.024292
46399,4489.613894,2953.328890,19.035101,1.093371,20.128472
46599,4482.565516,2847.341870,19.151401,1.098347,20.249748
46799,4477.347446,3261.537175,19.269359,1.103316,20.372675
46999,4471.035545,2994.050659,19.362284,1.108268,20.470552
47199,4462.887408,2548.075282,19.454936,1.113197,20.568133
47399,4459.004304,3542.591782,19.594269,1.118188,20.712457
47599,4452.646894,2945.940583,19.714786,1.123155,20.837941
47799,4447.759731,3284.615125,19.805815,1.128090,20.933905
47999,4443.345576,3388.362497,19.908987,1.133068,21.042056
48199,4436.893888,2888.488752,20.031389,1.138050,21.169439
48399,4430.437607,2874.473860,20.141021,1.143030,21.284051
48599,4422.087560,2401.376145,20.234102,1.147995,21.382097
48799,4416.945733,3167.481783,20.355566,1.153021,21.508588
48999,4411.955462,3194.329333,20.491328,1.158014,21.649342
49199,4408.190284,3485.721579,20.644446,1.163036,21.807482
49399,4400.506749,2510.357220,20.752096,1.167991,21.920087
49599,4393.133968,2572.057015,20.861078,1.172971,22.034049
49799,4387.467055,2982.072715,20.955435,1.177934,22.133369
49999,4381.591518,2918.582923,21.062194,1.182916,22.245111
50199,4378.607207,3632.529390,21.166305,1.187881,22.354186
50399,4376.046398,3733.283229,21.290734,1.192840,22.483574
50599,4371.204541,3151.056695,21.397616,1.197801,22.595418
50799,4364.982921,2790.912996,21.503170,1.202761,22.705931
50999,4357.687430,2504.632618,21.606716,1.207732,22.814449
51199,4351.982951,2897.340944,21.729328,1.212737,22.942065
51399,4346.225136,2872.224334,21.824844,1.217691,23.042535
51599,4340.871085,2964.880223,21.935123,1.222675,23.157799
51799,4336.327674,3164.127611,22.030297,1.227671,23.257968
51999,4330.990877,2948.760428,22.127170,1.232653,23.359823
52199,4327.152837,3329.262266,22.230466,1.237640,23.468106
52399,4320.569981,2602.444634,22.333624,1.242636,23.576260
52599,4315.039039,2865.932168,22.429679,1.247640,23.677318
52799,4310.825466,3202.655998,22.533547,1.252608,23.786156
52999,4304.301928,2582.087721,22.631603,1.257602,23.889205
53199,4298.470833,2753.230585,22.728303,1.262563,23.990866
53399,4293.133075,2873.289638,22.822847,1.267522,24.090369
53599,4289.114516,3216.159241,22.921813,1.272498,24.194311
53799,4284.606885,3076.561616,23.045407,1.277532,24.322939
53999,4280.008989,3043.174999,23.220727,1.282574,24.503301
54199,4271.950810,2096.242577,23.320735,1.287569,24.608304
54399,4268.069397,3216.206569,23.425351,1.292552,24.717903
54599,4263.905633,3131.361596,23.544482,1.297566,24.842049
54799,4260.838008,3423.376485,23.641445,1.302544,24.943989
54999,4254.881694,2622.851807,23.736181,1.307537,25.043718
55199,4247.531083,2226.113004,23.865513,1.312550,25.178063
55399,4243.620849,3164.396067,23.981444,1.317563,25.299007
55599,4236.634901,2301.527504,24.093476,1.322534,25.416010
55799,4232.641283,3122.415495,24.213353,1.327531,25.540884
55999,4230.115277,3525.359497,24.329829,1.332522,25.662351
56199,4230.097519,4225.125275,24.427862,1.337488,25.765351
56399,4226.894218,3326.766635,24.524531,1.342460,25.866991
56599,4222.862296,3085.860406,24.638919,1.347457,25.986376
56799,4218.762539,3058.531135,24.744724,1.352463,26.097186
56999,4214.912045,3121.371734,24.858275,1.357498,26.215773
57199,4210.355328,2911.691024,24.978149,1.362535,26.340684
57399,4206.882246,3213.580921,25.077196,1.367549,26.444744
57599,4201.833790,2752.926711,25.186561,1.372606,26.559167
57799,4196.861024,2764.704632,25.285777,1.377618,26.663395
57999,4192.846165,3032.551785,25.399457,1.382667,26.782124
58199,4187.397445,2607.268596,25.517360,1.387722,26.905083
58399,4181.640971,2506.507098,25.628989,1.392768,27.021757
58599,4176.653472,2720.303862,25.726627,1.397777,27.124404
58799,4170.858042,2472.796845,25.894093,1.402837,27.296930
58999,4167.660154,3227.481086,26.003239,1.407898,27.411137
59199,4162.502642,2641.036652,26.104802,1.412929,27.517731
59399,4159.801366,3360.223698,26.203547,1.417945,27.621492
59599,4155.752274,2953.172118,26.304404,1.422965,27.727369
59799,4151.270729,2815.770336,26.404297,1.427982,27.832279
59999,4146.659274,2767.834120,26.504709,1.432987,27.937696
60199,4142.814555,2989.398814,26.604531,1.438003,28.042535
60399,4137.406258,2509.508878,26.703085,1.443011,28.146096
60599,4132.331525,2599.762091,26.821455,1.448051,28.269506
60799,4128.243074,2889.442595,26.936081,1.453099,28.389180
60999,4122.156752,2271.914860,27.058401,1.458126,28.516527
61199,4118.143148,2893.993680,27.176010,1.463134,28.639144
61399,4113.855309,2801.776832,27.295324,1.468175,28.763499
61599,4108.629731,2504.377326,27.396176,1.473194,28.869370
61799,4104.405305,2803.282055,27.510827,1.478218,28.989045
61999,4100.527318,2902.229329,27.610331,1.483224,29.093555
62199,4096.161853,2742.867586,27.720119,1.488252,29.208371
62399,4089.939905,2154.914044,27.833107,1.493291,29.326398
62599,4084.733337,2460.284269,27.964841,1.498332,29.463173
62799,4082.252940,3305.888601,28.098558,1.503422,29.601980
62999,4079.636054,3257.933699,28.199091,1.508443,29.707534
63199,4078.188266,3622.135117,28.300466,1.513473,29.813939
63399,4072.764017,2358.701547,28.426461,1.518529,29.944990
63599,4069.051276,2892.112274,28.622582,1.523623,30.146205
63799,4067.032292,3424.995478,28.722411,1.528669,30.251080
63999,4062.182249,2515.018293,28.824356,1.533713,30.358069
64199,4060.100418,3393.914509,28.937748,1.538783,30.476531
64399,4057.581026,3248.856287,29.048797,1.543817,30.592614
64599,4054.632458,3105.193603,29.164015,1.548868,30.712883
64799,4051.713242,3108.806340,29.308222,1.553923,30.862145
64999,4047.956250,2830.690859,29.421334,1.558975,30.980308
