# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [AXGBRegR] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegR_gradual2.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegR],current_mse_[AXGBRegR],training_time_[AXGBRegR],testing_time_[AXGBRegR],total_running_time_[AXGBRegR]
17199,3808.752577,1602.873402,0.843986,3.678506,4.522492
17399,3781.092206,1402.300270,0.846246,3.722541,4.568788
17599,3753.780652,1377.675530,0.848590,3.765830,4.614420
17799,3727.262030,1393.623273,0.851065,3.809209,4.660274
17999,3703.715437,1608.068606,0.853675,3.852834,4.706509
18199,3674.451351,1040.683601,0.861565,3.897214,4.758778
18399,3648.763767,1311.193619,0.863807,3.940554,4.804360
18599,3623.076604,1259.857690,0.866155,3.983677,4.849832
18799,3597.377279,1207.340062,0.868645,4.027717,4.896362
18999,3577.293738,1689.440798,0.871220,4.071207,4.942427
19199,3555.490766,1484.208491,0.879277,4.115181,4.994457
19399,3535.745507,1640.200640,0.881549,4.159195,5.040744
19599,3512.097504,1218.241147,0.883904,4.202573,5.086477
19799,3492.796949,1601.342554,0.886365,4.246375,5.132740
19999,3471.279234,1341.025452,0.888966,4.290322,5.179288
20199,3448.530877,1173.695196,0.896902,4.334134,5.231036
20399,3427.285304,1281.482470,0.899186,4.378275,5.277461
20599,3407.084038,1346.554898,0.901535,4.421595,5.323129
20799,3389.520321,1580.457423,0.903983,4.465292,5.369275
20999,3369.263180,1262.520516,0.906608,4.509645,5.416253
21199,3351.791075,1517.220114,0.914603,4.553518,5.468121
21399,3333.394549,1383.362797,0.916883,4.597771,5.514654
21599,3313.813593,1218.651276,0.919242,4.641206,5.560449
21799,3297.018993,1483.202221,0.921691,4.684607,5.606299
21999,3277.524175,1152.589038,0.924321,4.730935,5.655256
22199,3262.308644,1588.600235,0.932461,4.774540,5.707001
22399,3245.173567,1343.180003,0.934737,4.818927,5.753664
22599,3228.795025,1394.398325,0.937096,4.862228,5.799324
22799,3211.742529,1284.810429,0.939572,4.905613,5.845185
22999,3194.662629,1247.554017,0.942203,4.949884,5.892087
23199,3181.604153,1679.879483,0.950220,4.993572,5.943792
23399,3167.345845,1513.382084,0.952503,5.037976,5.990480
23599,3155.293069,1745.118277,0.954858,5.081530,6.036388
23799,3140.572805,1403.581661,0.957328,5.125072,6.082400
23999,3125.802392,1368.123281,0.959941,5.169395,6.129336
24199,3112.256427,1486.740556,0.968022,5.213238,6.181260
24399,3098.411911,1423.225532,0.970309,5.257611,6.227920
24599,3085.207548,1474.275278,0.972655,5.301149,6.273804
24799,3071.503503,1385.905909,0.975104,5.344671,6.319775
24999,3058.205782,1409.288344,0.977706,5.389160,6.366866
25199,3043.043372,1147.742127,0.985864,5.432939,6.418803
25399,3029.863320,1369.176798,0.988150,5.477535,6.465685
