# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [ARFReg] AdaptiveRandomForestRegressor(aggregation_method='median', binary_split=False, drift_detection_criteria='mse', drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.1, max_byte_size=1048576000, max_features='auto', memory_estimate_period=2000000, n_estimators=10, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=0.01, stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01), weighted_vote_strategy=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_ARFReg_gradual2.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[ARFReg],current_mse_[ARFReg],training_time_[ARFReg],testing_time_[ARFReg],total_running_time_[ARFReg]
15999,3559.073524,3081.967401,52.290962,4.667747,56.958709
16199,3555.714658,3287.005404,53.042630,4.731192,57.773822
16399,3550.401636,3120.046849,53.983954,4.795386,58.779340
16599,3549.239135,3453.914065,54.754803,4.859259,59.614061
16799,3539.040427,2692.547669,55.506686,4.923430,60.430116
16999,3520.118530,1930.679158,56.434826,4.987493,61.422319
17199,3508.118762,2488.138536,57.224396,5.051955,62.276350
17399,3508.964642,3581.710253,57.969321,5.116092,63.085412
17599,3509.215315,3531.023881,58.738012,5.180116,63.918129
17799,3503.413944,2992.893335,59.659743,5.244525,64.904268
17999,3495.296490,2772.843070,60.452255,5.309157,65.761412
18199,3486.123830,2660.584420,61.253880,5.373916,66.627796
18399,3471.376916,2129.407772,62.202331,5.438820,67.641151
18599,3459.602659,2376.370956,62.939885,5.503668,68.443552
18799,3448.729663,2437.541055,63.702525,5.568169,69.270694
18999,3442.527071,2859.483397,64.693822,5.633528,70.327350
19199,3435.707104,2787.810272,65.532424,5.699026,71.231449
19399,3430.554571,2935.911367,66.468093,5.763930,72.232022
19599,3423.195797,2709.394778,67.239628,5.829411,73.069040
19799,3420.233346,3129.913161,68.214482,5.894794,74.109276
19999,3415.924607,2989.359451,69.003634,5.960366,74.964000
20199,3410.318875,2849.745663,69.842454,6.025744,75.868199
20399,3400.248358,2383.126158,70.688315,6.091373,76.779688
20599,3393.771961,2733.179409,71.689060,6.157333,77.846392
20799,3383.091460,2282.999919,72.500615,6.223162,78.723777
20999,3372.595772,2281.044169,73.353115,6.289318,79.642432
21199,3360.317506,2071.099597,74.225118,6.355708,80.580825
21399,3361.197891,3454.518728,75.197085,6.421604,81.618689
21599,3352.146154,2383.610289,76.091048,6.487774,82.578822
21799,3345.769612,2657.103027,76.909961,6.553916,83.463877
21999,3334.250540,2078.671751,77.931255,6.620346,84.551601
22199,3325.725521,2387.973388,78.779062,6.686503,85.465565
22399,3313.292653,1933.244315,79.640067,6.752808,86.392876
22599,3305.176742,2396.194710,80.677293,6.819744,87.497037
22799,3299.882445,2701.626836,81.561824,6.886027,88.447851
22999,3294.289441,2656.687071,82.458969,6.952404,89.411373
23199,3292.350300,3069.349033,83.571069,7.018749,90.589818
23399,3292.799549,3344.912439,84.451958,7.085013,91.536971
23599,3293.504844,3376.024406,85.596690,7.151633,92.748322
23799,3287.243075,2548.354309,86.469012,7.218626,93.687638
23999,3282.416401,2708.042205,87.403621,7.285795,94.689416
24199,3274.198108,2288.002925,88.581424,7.353269,95.934693
24399,3272.508426,3068.056844,89.464375,7.420025,96.884400
24599,3265.982441,2469.812266,90.593774,7.487364,98.081138
24799,3261.193195,2672.115984,91.556971,7.554777,99.111748
24999,3255.430798,2540.893594,92.643848,7.621962,100.265809
25199,3249.367532,2491.459226,93.571480,7.689123,101.260603
25399,3242.079629,2323.803875,94.780334,7.756058,102.536392
25599,3237.120791,2607.348320,95.974755,7.823154,103.797908
25799,3236.411145,3145.576481,96.947485,7.890893,104.838377
25999,3230.396397,2454.493961,97.894288,7.958584,105.852872
26199,3226.078683,2664.775895,98.809171,8.026066,106.835237
26399,3225.223248,3113.161269,100.002901,8.094062,108.096963
26599,3222.974041,2926.078653,100.942850,8.161886,109.104735
26799,3214.966871,2150.013288,101.897555,8.229643,110.127198
26999,3206.509303,2073.195104,103.058087,8.298193,111.356279
27199,3203.835672,2842.895506,104.075671,8.366143,112.441814
27399,3197.284612,2306.340546,105.281216,8.434269,113.715485
27599,3188.664624,2007.726285,106.286147,8.502502,114.788650
27799,3182.663018,2354.441312,107.531129,8.571391,116.102520
27999,3178.584793,2611.711473,108.602035,8.639541,117.241577
28199,3171.822694,2225.128941,109.839132,8.707853,118.546984
28399,3165.959312,2339.222458,110.799545,8.776310,119.575855
28599,3161.138494,2476.582237,112.082434,8.845201,120.927635
28799,3156.452567,2486.365057,113.108309,8.914088,122.022397
28999,3148.235806,1965.022222,114.358588,8.982987,123.341575
29199,3144.540201,2608.677444,115.372579,9.051875,124.424455
29399,3140.908767,2610.719368,116.666023,9.121182,125.787205
29599,3131.350380,1726.267615,117.702641,9.190358,126.892999
29799,3129.539371,2861.510005,118.960575,9.259054,128.219629
29999,3124.815551,2420.966277,119.959308,9.328419,129.287728
30199,3121.901798,2684.838987,120.956184,9.397284,130.353468
30399,3118.214764,2561.472482,122.282468,9.466498,131.748967
30599,3115.948439,2771.467178,123.591533,9.535869,133.127402
30799,3109.884274,2182.067027,124.620057,9.605033,134.225090
30999,3101.915182,1874.674979,125.948380,9.674743,135.623123
31199,3094.019333,1870.162727,127.085619,9.744540,136.830159
31399,3090.127610,2483.018741,128.406289,9.814096,138.220385
31599,3088.818854,2883.344175,129.742433,9.883507,139.625939
31799,3085.924432,2628.605845,130.764359,9.952467,140.716826
31999,3081.989926,2456.403391,132.184588,10.022063,142.206651
32199,3081.659178,3028.739535,133.179063,10.091472,143.270535
32399,3078.011607,2490.752719,134.563644,10.161431,144.725075
32599,3073.826613,2395.857558,135.971191,10.231433,146.202624
32799,3067.264332,1997.612485,137.038644,10.301405,147.340049
32999,3065.246792,2734.370261,138.399141,10.370895,148.770036
33199,3062.699140,2642.336637,139.562511,10.440634,150.003145
33399,3064.094849,3295.782402,140.985442,10.511219,151.496661
33599,3064.818497,3185.667779,142.394966,10.581251,152.976217
33799,3060.768105,2380.302200,143.440280,10.650924,154.091203
33999,3058.627285,2696.828724,144.876641,10.721150,155.597791
34199,3055.369286,2501.509493,146.016222,10.791768,156.807990
34399,3049.412901,2030.871146,147.460277,10.862242,158.322519
34599,3044.604984,2217.643181,148.948172,10.932630,159.880802
34799,3045.061196,3123.985887,150.071756,11.002786,161.074542
34999,3038.118147,1830.027654,151.451950,11.073516,162.525466
35199,3034.696395,2435.889668,152.479624,11.143910,163.623534
35399,3034.917288,3073.794487,153.858736,11.214377,165.073112
35599,3032.499319,2604.518834,154.991976,11.284981,166.276957
35799,3030.450118,2665.692414,156.456043,11.355544,167.811586
35999,3031.291699,3181.934704,157.881913,11.426391,169.308304
36199,3029.278698,2666.938402,158.970727,11.496725,170.467453
36399,3025.709085,2379.609251,160.421539,11.567514,171.989053
36599,3024.553456,2814.228933,161.559432,11.638296,173.197728
36799,3021.822132,2521.989843,162.995427,11.708987,174.704414
36999,3021.354184,2935.251689,164.521072,11.780237,176.301309
37199,3019.489490,2674.521112,165.681475,11.851299,177.532774
37399,3018.028756,2746.332253,167.192399,11.922461,179.114861
37599,3016.204328,2675.036277,168.774096,11.993751,180.767847
37799,3014.293326,2655.025044,170.335782,12.065073,182.400856
37999,3009.958703,2190.714952,171.420185,12.136859,183.557045
38199,3008.497250,2730.821066,172.935363,12.208253,185.143616
38399,3005.154638,2366.715875,174.088192,12.279315,186.367507
38599,3001.215770,2244.953099,175.660537,12.350569,188.011106
38799,2998.332668,2441.893836,177.227144,12.422084,189.649229
38999,2999.802493,3284.948709,178.824515,12.493579,191.318094
39199,2996.471036,2346.836799,180.015862,12.565333,192.581195
39399,2993.489641,2409.136309,181.618656,12.637419,194.256074
39599,2991.344534,2568.758353,183.111343,12.708906,195.820249
39799,2989.420853,2608.531961,184.765004,12.780814,197.545818
39999,2986.250397,2355.329652,185.936542,12.852676,198.789218
40199,2982.858225,2304.423950,187.558367,12.924792,200.483158
40399,2982.603744,2931.453120,188.698268,12.995873,201.694141
40599,2977.413231,1928.929539,190.320133,13.067825,203.387958
40799,2975.295112,2545.316850,191.974401,13.140039,205.114440
40999,2973.716773,2651.735611,193.182446,13.212060,206.394505
41199,2969.981715,2204.294822,194.791020,13.284486,208.075506
41399,2967.385772,2432.621674,196.461334,13.356403,209.817737
41599,2966.243362,2729.764349,198.168962,13.428788,211.597750
41799,2964.315438,2563.307296,199.430702,13.500944,212.931646
41999,2957.791327,1594.252215,201.088224,13.573745,214.661969
42199,2955.099792,2389.877426,202.720991,13.645934,216.366925
42399,2951.529696,2198.239326,204.000853,13.718082,217.718935
42599,2945.002138,1561.159932,205.682984,13.790377,219.473361
42799,2941.732471,2245.293393,207.466529,13.862726,221.329255
42999,2938.970916,2347.998200,209.162696,13.935137,223.097833
43199,2935.822793,2258.976323,210.370317,14.007668,224.377986
43399,2934.826573,2719.643071,212.077685,14.080334,226.158019
43599,2928.692390,1597.574708,213.824985,14.153349,227.978333
43799,2924.318306,1970.767883,215.532332,14.225924,229.758257
43999,2922.144048,2445.981595,216.751486,14.298294,231.049780
44199,2920.621260,2585.607818,218.491354,14.371260,232.862613
44399,2918.813060,2519.201014,220.198834,14.444053,234.642887
44599,2916.628369,2431.626883,221.991763,14.516519,236.508281
44799,2911.567069,1782.897052,223.729832,14.589296,238.319127
44999,2906.961930,1875.410856,225.482486,14.662700,240.145186
45199,2905.525788,2582.393868,227.219526,14.735536,241.955061
45399,2905.375771,2871.471872,228.608653,14.808783,243.417436
45599,2906.000490,3047.811792,230.283209,14.881950,245.165159
45799,2906.246443,2962.323652,232.114721,14.955101,247.069822
45999,2906.889900,3054.241600,233.820968,15.027738,248.848706
46199,2903.695679,2169.024755,235.079017,15.101135,250.180151
46399,2901.829649,2470.776761,236.803499,15.174361,251.977860
46599,2898.610761,2151.828711,238.591068,15.247519,253.838588
46799,2898.011022,2758.271975,240.310873,15.320385,255.631258
46999,2895.133295,2221.745168,242.084771,15.393423,257.478193
47199,2889.553880,1578.391419,243.941873,15.466919,259.408792
47399,2891.300480,3303.497942,245.368399,15.540147,260.908546
47599,2889.802482,2534.776885,247.106624,15.613822,262.720445
47799,2888.539420,2587.930755,248.894490,15.687060,264.581549
47999,2885.917599,2259.302395,250.642453,15.760324,266.402777
48199,2881.346763,1784.346160,251.961456,15.833583,267.795039
48399,2878.587392,2213.578905,253.830586,15.907108,269.737694
48599,2874.451102,1873.468844,255.604392,15.980839,271.585230
48799,2873.334008,2601.880242,257.408773,16.054751,273.463524
48999,2870.888907,2274.284314,258.726401,16.128554,274.854955
49199,2868.674652,2326.182268,261.168373,16.202611,277.370984
49399,2864.327054,1794.817797,262.428653,16.276312,278.704965
49599,2860.286255,1862.208939,264.315703,16.350204,280.665908
49799,2857.063519,2057.824879,266.276446,16.424353,282.700799
49999,2853.326764,1922.874903,268.149959,16.498361,284.648320
50199,2852.065506,2536.750909,270.070520,16.572701,286.643221
50399,2853.078394,3107.313408,272.097063,16.647025,288.744089
50599,2849.978286,2068.750929,273.908727,16.720951,290.629677
50799,2846.800891,2042.919951,275.842638,16.794896,292.637534
