# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [AXGBRegR] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegR_incremental3.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegR],current_mse_[AXGBRegR],training_time_[AXGBRegR],testing_time_[AXGBRegR],total_running_time_[AXGBRegR]
20199,0.147740,0.130278,0.905794,4.310498,5.216292
20399,0.147786,0.152448,0.908049,4.353482,5.261531
20599,0.147613,0.129961,0.910431,4.396633,5.307065
20799,0.147655,0.151962,0.912945,4.439615,5.352560
20999,0.147546,0.136150,0.915597,4.482666,5.398263
21199,0.147553,0.148324,0.923604,4.525636,5.449240
21399,0.147604,0.152996,0.925892,4.568638,5.494530
21599,0.147400,0.125574,0.928276,4.611661,5.539937
21799,0.147270,0.133243,0.930762,4.654758,5.585521
21999,0.147161,0.135335,0.933376,4.697892,5.631269
22199,0.147039,0.133618,0.941525,4.741118,5.682643
22399,0.146900,0.131464,0.943814,4.785929,5.729743
22599,0.146878,0.144400,0.946214,4.829012,5.775226
22799,0.146652,0.121044,0.948718,4.872206,5.820923
22999,0.146543,0.134120,0.951329,4.915397,5.866725
23199,0.146545,0.146810,0.959514,4.958455,5.917968
23399,0.146443,0.134606,0.961785,5.001634,5.963419
23599,0.146660,0.172032,0.964184,5.044766,6.008950
23799,0.146804,0.163823,0.966709,5.087971,6.054680
23999,0.146691,0.133214,0.969352,5.131312,6.100665
24199,0.146512,0.125044,0.977447,5.174518,6.151965
24399,0.146604,0.157709,0.979711,5.217675,6.197386
24599,0.146571,0.142581,0.982093,5.260999,6.243092
24799,0.146400,0.125323,0.984568,5.304193,6.288761
24999,0.146342,0.139147,0.987159,5.347434,6.334594
25199,0.146186,0.126692,0.995310,5.390515,6.385825
25399,0.146575,0.195618,0.997577,5.433504,6.431082
25599,0.146365,0.119753,0.999971,5.476446,6.476417
25799,0.146282,0.135674,1.002470,5.519694,6.522164
25999,0.146144,0.128327,1.005085,5.562795,6.567881
26199,0.146136,0.145063,1.013319,5.605803,6.619122
26399,0.146107,0.142254,1.015585,5.648955,6.664541
26599,0.145860,0.113362,1.017960,5.692099,6.710059
26799,0.146088,0.176319,1.020426,5.735161,6.755587
26999,0.146189,0.159719,1.023048,5.778294,6.801342
27199,0.146152,0.141130,1.031288,5.821424,6.852712
27399,0.146463,0.188815,1.033577,5.864615,6.898191
27599,0.146284,0.121825,1.035967,5.907720,6.943686
27799,0.146323,0.151716,1.038476,5.950828,6.989304
27999,0.146520,0.173827,1.041131,5.993888,7.035019
28199,0.146747,0.178520,1.049428,6.037062,7.086491
28399,0.146697,0.139600,1.051690,6.080104,7.131794
28599,0.146641,0.138712,1.054084,6.123147,7.177230
28799,0.146538,0.131893,1.056590,6.166285,7.222875
28999,0.146553,0.148744,1.059199,6.209354,7.268552
29199,0.146805,0.183228,1.067605,6.252496,7.320102
29399,0.146819,0.148849,1.069874,6.295653,7.365526
29599,0.146968,0.168938,1.072285,6.341742,7.414027
29799,0.147003,0.152112,1.074761,6.384890,7.459651
29999,0.146997,0.146154,1.077336,6.428123,7.505459
30199,0.146953,0.140436,1.085834,6.471327,7.557160
30399,0.146962,0.148307,1.088127,6.514310,7.602438
30599,0.146910,0.138938,1.090512,6.557434,7.647945
30799,0.146797,0.129545,1.092976,6.600536,7.693512
30999,0.146988,0.176380,1.095552,6.643686,7.739238
31199,0.147016,0.151333,1.104028,6.686925,7.790953
31399,0.147053,0.152862,1.106309,6.730165,7.836474
31599,0.147234,0.175614,1.108723,6.773457,7.882180
31799,0.147209,0.143223,1.111219,6.816641,7.927860
31999,0.147206,0.146789,1.113856,6.859891,7.973747
32199,0.147363,0.172406,1.148247,6.903529,8.051776
32399,0.147185,0.118629,1.150499,6.946397,8.096896
32599,0.147311,0.167614,1.152887,6.989473,8.142360
32799,0.147275,0.141431,1.155386,7.032428,8.187814
32999,0.147202,0.135271,1.158019,7.075529,8.233548
33199,0.147143,0.137379,1.165871,7.118633,8.284504
33399,0.146961,0.116802,1.168135,7.161704,8.329839
33599,0.146893,0.135591,1.170505,7.204554,8.375059
33799,0.146714,0.116602,1.172959,7.247550,8.420509
33999,0.146562,0.120890,1.175519,7.290577,8.466096
34199,0.146537,0.142168,1.183562,7.333778,8.517340
34399,0.146359,0.115921,1.185827,7.376690,8.562516
34599,0.146253,0.128123,1.188217,7.419672,8.607889
34799,0.146334,0.160385,1.190682,7.462629,8.653311
34999,0.146299,0.140227,1.193246,7.505590,8.698835
35199,0.146182,0.125685,1.201363,7.548620,8.749982
35399,0.146207,0.150636,1.203611,7.592886,8.796496
35599,0.146235,0.151047,1.205971,7.635777,8.841748
35799,0.146129,0.127271,1.208430,7.678608,8.887037
35999,0.146133,0.146960,1.211012,7.721463,8.932475
36199,0.145943,0.111767,1.219089,7.764228,8.983317
36399,0.145975,0.151666,1.221334,7.806914,9.028248
36599,0.146082,0.165615,1.223695,7.849661,9.073355
36799,0.145970,0.125486,1.226165,7.892433,9.118598
36999,0.146172,0.183340,1.228772,7.935198,9.163970
37199,0.146109,0.134442,1.236925,7.978023,9.214948
37399,0.146025,0.130422,1.239175,8.020785,9.259961
37599,0.145907,0.123692,1.241542,8.063534,9.305076
37799,0.145770,0.120175,1.243999,8.106365,9.350364
37999,0.145771,0.145889,1.246563,8.149259,9.395822
38199,0.145847,0.160258,1.254671,8.192325,9.446997
38399,0.145697,0.117014,1.256918,8.235318,9.492236
38599,0.145759,0.157811,1.259302,8.278349,9.537651
38799,0.145694,0.133135,1.261799,8.321511,9.583310
38999,0.145765,0.159542,1.264392,8.364553,9.628945
39199,0.145655,0.124122,1.272442,8.407775,9.680217
39399,0.145707,0.155859,1.274687,8.450683,9.725369
