# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [AXGBRegS] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegS_gradual5.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegS],current_mse_[AXGBRegS],training_time_[AXGBRegS],testing_time_[AXGBRegS],total_running_time_[AXGBRegS]
199,15800.573508,15800.573508,0.532971,0.042576,0.575548
399,13660.050428,11519.527348,0.536941,0.084931,0.621872
599,12774.281965,11002.745038,0.541111,0.127201,0.668312
799,11652.487429,8287.103822,0.543268,0.169282,0.712550
999,11023.007642,8505.088493,0.545532,0.211423,0.756955
1199,10320.564717,6808.350093,0.551844,0.253237,0.805081
1399,9778.235343,6524.259099,0.554041,0.295056,0.849097
1599,9547.115465,7929.276319,0.556326,0.336831,0.893157
1799,9358.014126,7845.203409,0.558715,0.378667,0.937383
1999,9146.864857,7246.521439,0.561223,0.420442,0.981666
2199,8788.276262,5202.390316,0.568657,0.462477,1.031134
2399,8512.867211,5483.367650,0.570842,0.504158,1.075000
2599,8246.842787,5054.549701,0.573124,0.545932,1.119057
2799,8122.678558,6508.543572,0.575524,0.587631,1.163155
2999,8024.799771,6654.496759,0.578039,0.629489,1.207529
3199,7805.629682,4518.078343,0.585499,0.671329,1.256828
3399,7651.122892,5179.014247,0.587672,0.713026,1.300698
3599,7572.437540,6234.786572,0.589978,0.754850,1.344828
3799,7417.161318,4622.189308,0.592389,0.796682,1.389071
3999,7293.982969,4953.594344,0.594920,0.838543,1.433463
4199,7175.138798,4798.255380,0.602260,0.880399,1.482659
