# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [AXGBRegS] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegS_abrupto1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegS],current_mse_[AXGBRegS],training_time_[AXGBRegS],testing_time_[AXGBRegS],total_running_time_[AXGBRegS]
17199,3815.166016,1654.643308,0.800706,3.628775,4.429482
17399,3788.638209,1507.246834,0.802915,3.670971,4.473886
17599,3762.206614,1462.657863,0.805221,3.713076,4.518297
17799,3735.991380,1429.050767,0.807644,3.755419,4.563063
17999,3712.405653,1613.276002,0.810153,3.797459,4.607612
18199,3684.001739,1127.649478,0.815593,3.839766,4.655359
18399,3659.552188,1434.643016,0.817788,3.882062,4.699850
18599,3633.494595,1236.196070,0.820088,3.924210,4.744298
18799,3609.930191,1418.440604,0.822476,3.966392,4.788868
18999,3592.153674,1921.161089,0.825027,4.008585,4.833613
19199,3571.035381,1564.797494,0.830479,4.050630,4.881110
19399,3549.952010,1525.948439,0.832715,4.092920,4.925634
19599,3525.597013,1163.162313,0.835023,4.134892,4.969915
19799,3507.264475,1710.675699,0.837488,4.177668,5.015156
19999,3484.369813,1217.798342,0.840094,4.220584,5.060678
20199,3462.530584,1278.607664,0.845674,4.263557,5.109232
20399,3441.798234,1347.830896,0.847908,4.306430,5.154338
20599,3421.628015,1364.265683,0.850253,4.349311,5.199564
20799,3402.129927,1393.826773,0.852689,4.392268,5.244956
20999,3382.250119,1314.750179,0.855241,4.435208,5.290449
21199,3362.962518,1337.764383,0.860932,4.478584,5.339516
21399,3343.873879,1320.478141,0.863194,4.521674,5.384868
21599,3324.395518,1240.210897,0.865560,4.564899,5.430459
21799,3307.508757,1483.738527,0.868042,4.607891,5.475932
21999,3288.594252,1226.913209,0.870656,4.651040,5.521696
22199,3271.513123,1392.589010,0.876340,4.694585,5.570925
22399,3254.372367,1351.748373,0.878579,4.737715,5.616294
22599,3237.459939,1343.268086,0.880937,4.781091,5.662028
22799,3220.269839,1277.788485,0.883389,4.824407,5.707796
22999,3205.362854,1505.966552,0.885956,4.867835,5.753791
23199,3190.497475,1480.978852,0.891513,4.911040,5.802552
23399,3175.886462,1481.009045,0.893765,4.954188,5.847953
23599,3162.554031,1602.659594,0.896141,4.997242,5.893383
23799,3148.837558,1530.293658,0.898600,5.040424,5.939024
23999,3133.515663,1310.210198,0.901183,5.083601,5.984785
24199,3119.023231,1379.931446,0.906814,5.126732,6.033547
24399,3103.402517,1213.296106,0.909058,5.169777,6.078834
24599,3089.027671,1335.296400,0.911413,5.212724,6.124137
24799,3074.492449,1286.660132,0.913878,5.255729,6.169606
