# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [ARFReg] AdaptiveRandomForestRegressor(aggregation_method='median', binary_split=False, drift_detection_criteria='mse', drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.1, max_byte_size=1048576000, max_features='auto', memory_estimate_period=2000000, n_estimators=10, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=0.01, stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01), weighted_vote_strategy=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_ARFReg_incremental4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[ARFReg],current_mse_[ARFReg],training_time_[ARFReg],testing_time_[ARFReg],total_running_time_[ARFReg]
18999,0.127757,0.116032,71.306993,5.376666,76.683659
19199,0.127695,0.121766,72.081947,5.438149,77.520097
19399,0.127527,0.111415,72.998111,5.500172,78.498283
19599,0.127215,0.096995,73.704729,5.561297,79.266027
19799,0.127029,0.108731,74.447104,5.622965,80.070069
19999,0.126756,0.099784,75.160070,5.684581,80.844651
20199,0.126613,0.112322,76.079699,5.746702,81.826401
20399,0.126355,0.100273,76.791938,5.807989,82.599927
20599,0.126037,0.093578,77.576923,5.870042,83.446965
20799,0.125860,0.107683,78.486936,5.932653,84.419588
20999,0.125591,0.097561,79.253812,5.994764,85.248576
21199,0.125563,0.122645,80.059880,6.057224,86.117104
21399,0.125480,0.116704,80.979833,6.119526,87.099358
21599,0.125276,0.103381,81.775429,6.181843,87.957272
21799,0.125079,0.103807,82.547591,6.244107,88.791698
21999,0.125031,0.119822,83.472839,6.307031,89.779869
22199,0.124978,0.119136,84.263493,6.369890,90.633383
22399,0.124869,0.112753,85.059619,6.432729,91.492347
22599,0.124752,0.111738,85.805195,6.495513,92.300708
22799,0.124459,0.091305,86.745823,6.558861,93.304684
22999,0.124521,0.131548,87.558241,6.622060,94.180300
23199,0.124540,0.126701,88.381993,6.685320,95.067313
23399,0.124380,0.105840,89.354266,6.748848,96.103114
23599,0.124355,0.121430,90.144862,6.811914,96.956776
23799,0.124290,0.116622,90.944636,6.875054,97.819690
23999,0.124168,0.109652,91.948706,6.938907,98.887612
24199,0.124104,0.116450,92.822998,7.002948,99.825946
24399,0.124070,0.119999,93.628945,7.066612,100.695557
