# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1)
# [D_SEM_RESET] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D_SEM_RESET],current_mse_[D_SEM_RESET],training_time_[D_SEM_RESET],testing_time_[D_SEM_RESET],total_running_time_[D_SEM_RESET]
17399,3788.638209,1507.246834,0.554502,6.010401,6.564903
17599,3762.206614,1462.657863,0.556760,6.110375,6.667135
17799,3735.991380,1429.050767,0.558820,6.190942,6.749763
17999,3712.405653,1613.276002,0.561251,6.247295,6.808546
18199,3684.001739,1127.649478,0.587670,6.316808,6.904477
18399,3659.552188,1434.643016,0.589330,6.381070,6.970400
18599,3633.494595,1236.196070,0.590990,6.427873,7.018862
18799,3609.930191,1418.440604,0.593476,6.482057,7.075532
18999,3592.153674,1921.161089,0.595676,6.528592,7.124268
19199,3571.035381,1564.797494,0.605844,6.592234,7.198078
19399,3549.952010,1525.948439,0.607375,6.641968,7.249343
19599,3525.597013,1163.162313,0.609640,6.711827,7.321467
19799,3507.264475,1710.675699,0.611524,6.762628,7.374152
19999,3484.369813,1217.798342,0.613686,6.816578,7.430265
20199,3462.530584,1278.607664,0.623684,6.879298,7.502982
20399,3441.798234,1347.830896,0.625083,6.930606,7.555688
20599,3421.628015,1364.265683,0.627022,6.986111,7.613133
20799,3402.129927,1393.826773,0.628881,7.041256,7.670136
20999,3382.250119,1314.750179,0.630954,7.114376,7.745330
21199,3362.962518,1337.764383,0.640582,7.178909,7.819490
21399,3343.873879,1320.478141,0.642501,7.266611,7.909112
21599,3324.395518,1240.210897,0.645215,7.394711,8.039926
21799,3307.508757,1483.738527,0.648531,7.531987,8.180518
21999,3288.594252,1226.913209,0.650520,7.584910,8.235431
22199,3271.513123,1392.589010,0.661176,7.631662,8.292837
22399,3254.372367,1351.748373,0.662749,7.703487,8.366236
22599,3237.459939,1343.268086,0.664445,7.755582,8.420027
22799,3220.269839,1277.788485,0.666513,7.818506,8.485019
22999,3205.362854,1505.966552,0.670532,7.945172,8.615703
23199,3190.497475,1480.978852,0.681334,8.017865,8.699200
23399,3175.886462,1481.009045,0.683555,8.110629,8.794184
23599,3162.554031,1602.659594,0.687746,8.288052,8.975799
23799,3148.837558,1530.293658,0.689918,8.365122,9.055040
23999,3133.515663,1310.210198,0.693154,8.452009,9.145163
24199,3119.023231,1379.931446,0.710364,8.510452,9.220816
24399,3103.402517,1213.296106,0.712042,8.567358,9.279401
24599,3089.027671,1335.296400,0.715115,8.612930,9.328045
24799,3074.492449,1286.660132,0.717035,8.662316,9.379352
24999,3061.735105,1479.824441,0.719258,8.714421,9.433678
25199,3045.173048,974.916011,0.731946,8.760924,9.492870
25399,3031.765149,1342.369800,0.733431,8.804945,9.538376
25599,3021.182918,1677.239609,0.735025,8.848945,9.583970
25799,3010.316698,1619.440609,0.737225,8.907468,9.644693
25999,2997.165318,1300.637198,0.739123,8.972907,9.712030
26199,2983.889420,1258.022696,0.753547,9.024239,9.777786
26399,2971.163242,1304.033888,0.755623,9.090725,9.846347
26599,2956.464967,1016.292686,0.757328,9.145057,9.902385
26799,2943.993950,1285.348741,0.759714,9.212021,9.971735
26999,2932.251336,1358.741001,0.761643,9.260621,10.022264
27199,2920.451331,1327.450690,0.773230,9.319526,10.092756
27399,2908.275112,1252.309291,0.774674,9.368761,10.143436
27599,2896.370638,1265.457723,0.776764,9.430412,10.207176
27799,2887.520481,1666.198831,0.778435,9.493940,10.272375
27999,2875.951643,1267.883231,0.780423,9.551811,10.332234
28199,2866.102385,1487.206153,0.794223,9.606115,10.400338
28399,2856.102241,1446.081977,0.795874,9.660076,10.455950
28599,2846.942907,1546.317516,0.797763,9.719873,10.517636
28799,2836.885712,1398.706832,0.799660,9.778361,10.578021
28999,2826.613760,1347.452686,0.801965,9.841085,10.643050
29199,2819.517805,1790.604346,0.831494,9.898725,10.730219
29399,2809.497627,1346.551549,0.832966,9.944078,10.777044
29599,2798.964706,1250.625399,0.834890,9.994164,10.829054
29799,2788.325205,1213.678988,0.837276,10.044725,10.882001
29999,2778.818614,1362.336648,0.839538,10.103338,10.942876
30199,2770.777985,1564.683560,0.855094,10.148173,11.003267
30399,2762.145381,1458.622143,0.856777,10.200336,11.057113
30599,2754.796717,1637.799888,0.859060,10.257397,11.116456
30799,2744.983125,1243.503550,0.860695,10.306704,11.167399
30999,2737.055424,1516.189425,0.862962,10.362090,11.225052
31199,2727.566515,1256.785543,0.877972,10.419701,11.297672
31399,2719.881167,1520.966941,0.879489,10.470882,11.350370
31599,2711.914653,1461.172025,0.881409,10.525861,11.407270
31799,2703.792692,1420.522856,0.883306,10.573285,11.456591
31999,2695.927242,1445.320616,0.885611,10.629855,11.515466
32199,2688.462155,1494.048284,0.903582,10.701403,11.604985
32399,2680.119972,1337.028476,0.905338,10.759804,11.665142
32599,2671.929321,1345.043830,0.907155,10.818747,11.725902
32799,2662.689449,1156.590409,0.909502,10.876875,11.786377
32999,2654.986907,1391.769900,0.911428,10.922935,11.834363
33199,2646.880279,1309.286737,0.926874,10.994919,11.921793
33399,2639.467904,1409.013606,0.928574,11.062462,11.991036
33599,2631.561547,1311.199910,0.930512,11.123030,12.053541
33799,2625.592460,1622.785870,0.932515,11.170478,12.102993
33999,2617.830264,1306.019059,0.934542,11.218297,12.152839
34199,2610.822123,1419.438175,0.949581,11.266388,12.215969
