# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1)
# [KNN] KNNRegressor(aggregation_method='mean', leaf_size=30, max_window_size=1000, metric='euclidean', n_neighbors=5)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[KNN],current_mse_[KNN],training_time_[KNN],testing_time_[KNN],total_running_time_[KNN]
17799,5125.007923,4711.313310,0.424851,3.696991,4.121842
17999,5121.118398,4774.950639,0.429058,3.737888,4.166946
18199,5113.915724,4465.675065,0.433348,3.779044,4.212392
18399,5098.326811,3679.735739,0.437580,3.820139,4.257719
18599,5087.460353,4087.746248,0.441750,3.860752,4.302502
18799,5091.383004,5456.189583,0.445958,3.901597,4.347555
18999,5094.428578,5380.712452,0.450080,3.942371,4.392452
19199,5099.943604,5623.871143,0.454108,3.982428,4.436536
19399,5101.421393,5243.289072,0.461629,4.022267,4.483897
19599,5101.263964,5085.993421,0.465738,4.062778,4.528516
19799,5101.464875,5121.154111,0.469954,4.103782,4.573736
19999,5099.535363,4908.513650,0.473835,4.143245,4.617081
20199,5096.402573,4783.123604,0.477779,4.182973,4.660752
20399,5092.707369,4719.491760,0.481715,4.222155,4.703870
20599,5087.462133,4552.448056,0.485645,4.261517,4.747162
20799,5088.740727,5220.435905,0.489756,4.302491,4.792248
20999,5078.453302,4008.561124,0.493872,4.342317,4.836189
21199,5076.513390,4872.822589,0.498266,4.383929,4.882195
21399,5087.208403,6220.879787,0.503043,4.428216,4.931258
21599,5080.726757,4387.190636,0.506915,4.467600,4.974516
21799,5081.220287,5134.521516,0.511227,4.507626,5.018853
21999,5073.247455,4204.208781,0.515454,4.548440,5.063894
22199,5076.986197,5488.247821,0.519574,4.588899,5.108473
22399,5074.410239,4788.478884,0.523557,4.628507,5.152064
22599,5068.283583,4382.098133,0.527762,4.669279,5.197041
22799,5072.550440,5554.705280,0.531881,4.709604,5.241485
22999,5076.233684,5496.123528,0.535928,4.749461,5.285389
23199,5080.108709,5525.736625,0.539984,4.789492,5.329476
23399,5084.922746,5643.350971,0.544064,4.829421,5.373484
23599,5081.392337,4668.334530,0.548015,4.869035,5.417050
23799,5077.476907,4615.456145,0.552231,4.910323,5.462553
23999,5071.599003,4372.128477,0.556411,4.951384,5.507795
24199,5067.481192,4573.343778,0.560668,4.992552,5.553220
24399,5065.851014,4868.599481,0.565000,5.033657,5.598657
24599,5058.978700,4220.556415,0.570586,5.076640,5.647226
24799,5056.505834,4752.343371,0.577419,5.127856,5.705275
24999,5050.110524,4257.092053,0.581558,5.168478,5.750036
25199,5047.252773,4690.033893,0.585609,5.208537,5.794147
25399,5047.429026,5069.636951,0.589773,5.249068,5.838841
25599,5043.380232,4529.183314,0.594122,5.291014,5.885136
25799,5041.428166,4791.563792,0.598368,5.332004,5.930373
25999,5041.189750,5010.434087,0.602860,5.373661,5.976520
