# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1)
# [D+RESET] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [RESET] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [D] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [D_SEM_RESET] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D+RESET],current_mse_[D+RESET],mean_mse_[RESET],current_mse_[RESET],mean_mse_[D],current_mse_[D],mean_mse_[D_SEM_RESET],current_mse_[D_SEM_RESET],mean_mse_[HTR],current_mse_[HTR],training_time_[D+RESET],testing_time_[D+RESET],total_running_time_[D+RESET],training_time_[RESET],testing_time_[RESET],total_running_time_[RESET],training_time_[D],testing_time_[D],total_running_time_[D],training_time_[D_SEM_RESET],testing_time_[D_SEM_RESET],total_running_time_[D_SEM_RESET],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
2799,6438.954990,2048.215937,7974.596695,5965.988445,6447.738009,1859.940823,7278.043998,5563.285604,9726.747503,6188.449204,2.098088,1.404358,3.502446,0.114394,1.188583,1.302977,2.043018,1.202717,3.245735,0.086397,1.136850,1.223247,0.462770,0.095365,0.558135
2999,6249.608880,3598.763333,7855.096467,6182.093278,6169.592384,2275.553635,7164.566116,5575.875773,9567.710375,7341.190581,2.451182,1.471779,3.922961,0.116560,1.256422,1.372981,2.366272,1.268892,3.635164,0.088674,1.203312,1.291987,0.485388,0.102533,0.587921
3199,6073.169040,3426.571443,7667.573762,4854.733181,5963.506017,2872.210508,7015.996271,4787.448587,9321.164949,5622.983564,2.578988,1.568749,4.147738,0.137803,1.338403,1.476206,2.496066,1.356830,3.852896,0.124085,1.300231,1.424316,0.536629,0.110882,0.647511
3399,5918.250008,3439.545504,7527.568549,5287.485147,5807.394858,3309.616306,6899.646222,5038.045444,9102.575649,5605.146848,2.696258,1.682678,4.378936,0.139489,1.423988,1.563477,2.626286,1.435664,4.061951,0.125746,1.377580,1.503327,0.573798,0.119029,0.692826
3599,5799.745750,3785.173365,7428.798723,5749.711670,5673.976448,3405.863484,6810.871032,5301.692801,9008.621623,7411.403178,2.801920,1.760250,4.562170,0.141517,1.509078,1.650595,2.736186,1.512169,4.248355,0.127709,1.454969,1.582678,0.613449,0.127135,0.740584
3799,5690.359950,3721.415543,7254.406353,4115.343699,5531.026594,2957.929215,6661.269286,3968.437859,8812.048400,5273.730382,2.950780,1.895853,4.846633,0.144076,1.611282,1.755358,2.914674,1.622780,4.537454,0.130199,1.548821,1.679020,0.640652,0.136383,0.777035
3999,5584.611895,3575.398855,7096.604881,4098.376914,5394.781117,2806.117057,6526.309968,3962.082922,8681.206316,6195.206710,3.237626,2.167829,5.405455,0.147136,1.799549,1.946685,3.233894,1.821403,5.055297,0.133665,1.769939,1.903603,0.695539,0.148616,0.844155
4199,5473.862313,3258.870677,6915.764320,3298.953105,5268.738616,2747.888600,6371.087252,3266.632938,8580.984367,6576.545392,3.622516,2.327453,5.949969,0.251667,1.938714,2.190380,3.420127,1.972255,5.392383,0.178275,1.905786,2.084060,0.748812,0.158748,0.907561
4399,5366.966696,3122.158723,6813.601891,4668.190879,5146.666330,2583.148321,6288.275044,4549.218675,8460.993713,5941.189973,3.768110,2.409976,6.178086,0.253447,2.024692,2.278139,3.568676,2.059857,5.628533,0.179902,1.998370,2.178272,0.782046,0.167196,0.949241
4599,5270.635857,3151.357401,6717.690822,4607.647302,5037.045827,2625.394761,6212.840741,4553.286080,8328.777885,5420.029679,3.902137,2.499500,6.401638,0.255271,2.103842,2.359113,3.676697,2.145913,5.822610,0.181850,2.081480,2.263331,0.805562,0.175237,0.980799
4799,5170.927615,2877.638058,6601.035169,3917.955142,4929.612359,2458.642601,6115.460582,3875.716924,8209.969258,5477.370838,4.065918,2.595144,6.661062,0.257433,2.206775,2.464209,3.793561,2.238878,6.032439,0.187987,2.164871,2.352858,0.847596,0.183939,1.031535
4999,5074.613483,2763.074311,6521.044478,4601.267912,4874.325356,3547.437290,6043.437950,4314.894776,8129.472269,6197.544541,4.194421,2.678228,6.872649,0.259918,2.300418,2.560336,3.922744,2.325123,6.247867,0.190346,2.269496,2.459843,0.886988,0.192237,1.079225
5199,4997.711750,3075.168426,6435.303689,4291.783949,4818.864148,3432.333933,5969.245780,4114.441539,8095.524826,7246.838755,4.299543,2.765553,7.065096,0.282741,2.394881,2.677622,4.020355,2.401236,6.421591,0.205393,2.347317,2.552711,0.911063,0.200057,1.111121
5399,4912.852987,2706.525140,6341.550330,3903.962993,4767.121476,3421.812009,5883.675363,3658.844519,8022.029072,6111.139459,4.413467,2.841048,7.254514,0.284362,2.466632,2.750993,4.118743,2.469569,6.588312,0.206960,2.417832,2.624793,0.965681,0.208037,1.173718
5599,4852.209175,3214.826275,6268.366287,4292.397128,4718.088825,3394.207241,5818.940470,4071.098364,8007.032565,7602.126868,4.521667,2.917068,7.438735,0.286414,2.546655,2.833069,4.232349,2.543612,6.775961,0.208907,2.513937,2.722844,1.013485,0.215777,1.229262
5799,4790.408087,3059.977612,6198.759875,4249.780358,4647.818217,2680.241194,5755.487642,3978.808437,7976.685590,7126.970282,4.654599,3.228656,7.883255,0.288446,2.619366,2.907812,4.342755,2.629902,6.972657,0.210919,2.588323,2.799242,1.041823,0.223609,1.265431
5999,4731.434424,3021.198186,6139.686513,4426.559007,4581.219566,2649.858684,5704.706005,4232.038539,7887.039391,5287.299645,4.761920,3.306236,8.068157,0.290683,2.699035,2.989718,4.493549,2.712214,7.205763,0.213409,2.678067,2.891476,1.065853,0.231776,1.297628
6199,4667.960760,2763.750844,6075.188822,4140.258076,4520.194292,2689.436075,5647.462478,3930.156674,7819.724193,5800.268240,4.860922,3.380586,8.241508,0.307881,2.813999,3.121880,4.599298,2.793339,7.392637,0.227356,2.751173,2.978529,1.096742,0.239912,1.336654
6399,4597.038764,2398.456906,6001.663418,3722.375904,4445.102955,2117.271500,5582.847703,3579.789661,7758.807463,5870.388823,4.988163,3.497638,8.485801,0.309728,2.928578,3.238306,4.725112,2.881976,7.607088,0.229006,2.836783,3.065790,1.137262,0.249108,1.386370
6599,4552.453756,3125.733483,5940.651407,3988.267047,4403.029263,3056.671138,5529.053658,3807.644218,7722.580774,6563.326744,5.110153,3.578099,8.688252,0.311730,3.001617,3.313348,4.842358,2.970256,7.812614,0.231078,2.913951,3.145028,1.161038,0.257538,1.418576
6799,4501.935160,2834.821493,5895.020895,4389.214007,4357.748090,2863.469388,5492.250205,4277.736278,7656.157779,5464.198937,5.294545,3.696247,8.990792,0.317441,3.102997,3.420437,4.985710,3.066586,8.052296,0.233367,3.032166,3.265533,1.187516,0.267144,1.454660
6999,4447.657208,2602.206857,5846.731205,4204.881736,4307.088303,2584.655532,5454.124386,4157.846541,7577.294664,4895.948750,5.450997,3.942745,9.393742,0.319817,3.270952,3.590770,5.221647,3.218508,8.440155,0.235745,3.153523,3.389268,1.228187,0.276399,1.504586
7199,4410.852311,3122.680897,5777.102406,3340.094435,4249.236442,2224.421293,5391.326897,3193.414760,7516.844857,5401.101627,5.562153,4.018158,9.580311,0.345017,3.353052,3.698069,5.347885,3.296063,8.643948,0.254354,3.232381,3.486735,1.268927,0.284256,1.553183
7399,4357.995194,2455.138982,5706.567392,3167.306902,4217.024407,3057.391144,5330.561306,3143.000053,7457.931262,5337.041838,5.690034,4.128166,9.818200,0.346743,3.449610,3.796353,5.472911,3.399660,8.872571,0.256089,3.318224,3.574313,1.308519,0.292719,1.601238
7599,4317.342593,2813.196360,5646.952132,3441.187522,4173.892724,2578.020453,5280.374648,3423.468283,7417.627567,5926.390840,5.799872,4.212021,10.011893,0.348705,3.519892,3.868598,5.577352,3.474420,9.051772,0.257801,3.406830,3.664631,1.340976,0.301864,1.642839
7799,4292.966543,3366.676627,5585.697442,3258.019228,4130.503314,2481.705758,5228.600767,3261.193314,7377.485988,5852.105994,5.935427,4.293522,10.228949,0.351138,3.590357,3.941495,5.685776,3.547631,9.233407,0.259915,3.477397,3.737312,1.393231,0.310527,1.703758
7999,4253.039016,2695.865478,5561.515499,4618.419708,4083.071327,2233.223843,5210.428644,4501.715825,7352.571049,6380.888408,6.048334,4.373420,10.421754,0.353354,3.674872,4.028226,5.813279,3.628544,9.441823,0.262331,3.550273,3.812604,1.434063,0.319367,1.753429
8199,4206.596503,2348.895998,5512.161866,3538.016549,4049.617611,2711.468945,5169.148806,3517.955287,7319.774934,6007.930356,6.158346,4.469335,10.627681,0.384031,3.760254,4.144285,5.920812,3.754419,9.675230,0.279626,3.630209,3.909836,1.474276,0.327900,1.802176
8399,4169.558656,2651.006910,5459.980512,3320.544993,4014.552484,2576.882278,5123.365966,3246.269540,7291.162207,6118.040402,6.296192,4.633864,10.930055,0.385943,3.891715,4.277658,6.060234,3.851938,9.912172,0.287189,3.757224,4.044413,1.502027,0.337471,1.839498
8599,4135.537259,2706.638573,5410.948082,3351.586027,3969.593582,2081.319707,5082.675866,3373.691641,7221.783951,4307.897203,6.410576,4.714306,11.124882,0.388839,3.963261,4.352100,6.167373,3.937743,10.105116,0.291956,3.835003,4.126960,1.527958,0.345503,1.873460
8799,4111.008857,3056.287604,5357.272535,3049.224027,3938.160098,2586.520305,5036.399953,3046.535701,7162.310601,4604.956535,6.618952,4.800802,11.419754,0.391438,4.035179,4.426616,6.281693,4.026574,10.308267,0.294185,3.920874,4.215059,1.576801,0.354511,1.931312
8999,4089.596747,3147.463896,5318.500622,3612.536437,3902.041885,2312.840487,5004.270647,3590.581197,7130.981984,5752.522843,6.743437,4.875328,11.618765,0.393723,4.114808,4.508531,6.413288,4.108033,10.521321,0.297478,3.995455,4.292932,1.617670,0.362511,1.980180
9199,4066.389473,3022.062159,5275.842964,3356.248365,3866.915569,2286.231374,4966.337316,3259.337436,7080.138942,4792.202066,6.912395,5.000862,11.913257,0.446381,4.256632,4.703013,6.589173,4.242963,10.832136,0.327760,4.122093,4.449853,1.652396,0.372715,2.025112
9399,4040.985207,2872.388957,5249.138811,4020.747734,3835.362931,2383.941552,4945.654995,3994.268200,7045.283371,5441.927113,7.258922,5.221054,12.479976,0.448260,4.466877,4.915137,6.811882,4.411165,11.223047,0.329669,4.294960,4.624629,1.681132,0.383340,2.064472
9599,4022.240565,3141.242378,5215.550563,3636.902913,3808.480685,2545.015125,4917.243154,3581.886619,6993.946097,4581.094216,7.389242,5.314172,12.703414,0.450366,4.555754,5.006121,6.925050,4.497051,11.422100,0.331703,4.400070,4.731773,1.735823,0.392154,2.127978
9799,3993.040713,2591.447815,5191.560466,4040.035806,3779.392480,2383.158659,4899.442279,4045.000303,6961.279676,5393.291468,7.578964,5.389274,12.968238,0.452433,4.630522,5.082955,7.035375,4.588170,11.623545,0.333812,4.486713,4.820526,1.768785,0.400035,2.168819
9999,3966.551114,2668.560786,5153.794978,3303.286068,3745.895537,2104.545304,4868.081906,3331.423632,6924.222614,5108.426541,7.687453,5.464874,13.152327,0.454588,4.696891,5.151479,7.154292,4.656375,11.810668,0.335907,4.558673,4.894580,1.805440,0.408314,2.213754
10199,3932.840359,2247.302604,5118.326267,3344.890726,3710.988804,1965.652198,4836.675947,3266.377962,6883.761420,4860.701741,7.807401,5.549237,13.356638,0.479529,4.802224,5.281753,7.262939,4.732466,11.995405,0.361037,4.634107,4.995144,1.829433,0.417691,2.247123
10399,3903.006497,2381.479499,5083.509604,3307.859776,3682.919886,2251.405053,4806.014944,3242.303830,6853.239740,5296.634058,7.935776,6.130567,14.066342,0.481390,4.917595,5.398985,7.409994,4.817906,12.227899,0.362900,4.718050,5.080950,1.871113,0.426410,2.297523
10599,3878.257186,2591.293052,5047.822785,3192.108240,3667.628320,2872.466881,4774.656091,3143.995723,6820.043553,5093.841835,8.051865,6.215862,14.267727,0.483402,4.993310,5.476712,7.513420,4.907425,12.420845,0.364887,4.793812,5.158699,1.912927,0.435183,2.348111
