# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1)
# [D+RESET] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D+RESET],current_mse_[D+RESET],training_time_[D+RESET],testing_time_[D+RESET],total_running_time_[D+RESET]
17399,3353.395877,2803.111436,7.378686,3.563741,10.942427
17599,3345.108739,2624.127738,7.462101,3.607218,11.069320
17799,3328.980030,1909.653637,7.523324,3.644453,11.167777
17999,3317.792646,2322.115491,7.585396,3.682093,11.267490
18199,3310.844288,2685.492086,7.647310,3.719196,11.366506
18399,3304.353079,2713.653001,7.703704,3.750401,11.454105
18599,3289.625939,1934.729061,7.842174,3.783245,11.625419
18799,3273.257075,1750.952765,7.900466,3.819147,11.719613
18999,3260.055458,2019.103480,7.951226,3.848086,11.799312
19199,3246.728260,1980.644434,8.017056,3.892983,11.910039
19399,3234.649861,2075.123576,8.072224,3.925667,11.997891
19599,3220.722475,1869.766015,8.143337,3.959491,12.102828
19799,3210.201699,2179.165615,8.201620,3.995114,12.196734
19999,3200.707082,2260.739972,8.252770,4.024014,12.276785
20199,3187.268779,1843.438529,8.309889,4.058880,12.368769
20399,3174.697495,1904.997798,8.368573,4.093241,12.461814
20599,3161.296269,1794.371231,8.451075,4.137753,12.588828
20799,3149.203370,1903.634800,8.508714,4.172014,12.680728
20999,3137.939387,1966.485142,8.570213,4.208577,12.778789
21199,3122.061755,1454.910363,8.636193,4.249668,12.885861
21399,3109.365713,1763.585311,8.687228,4.278515,12.965742
21599,3098.066740,1889.076613,8.768433,4.317432,13.085864
21799,3082.801246,1434.127853,8.837096,4.361304,13.198400
21999,3071.652490,1856.438060,9.079816,4.404323,13.484139
22199,3063.544367,2171.650853,9.154316,4.458092,13.612408
22399,3054.072159,2002.657091,9.212895,4.492386,13.705282
22599,3044.805456,2006.934737,9.310699,4.544352,13.855051
22799,3034.251607,1841.666633,9.537114,4.626654,14.163768
22999,3034.109588,3017.919423,9.614871,4.686437,14.301308
23199,3026.928051,2201.051298,9.707463,4.747898,14.455361
23399,3019.391519,2145.153839,9.842357,4.884692,14.727049
23599,3015.375685,2545.523152,9.934436,4.942529,14.876965
23799,3007.052720,2024.942844,10.014177,4.997255,15.011432
23999,2996.767088,1772.776829,10.096511,5.061764,15.158275
24199,2988.452679,1990.723653,10.204835,5.162562,15.367397
24399,2983.006762,2324.050776,10.275336,5.211095,15.486431
24599,2969.791455,1357.524009,10.386224,5.266867,15.653092
24799,2962.077822,2013.300952,10.465906,5.325186,15.791092
24999,2952.407459,1753.282380,10.538850,5.374727,15.913577
25199,2942.965310,1762.696689,10.609834,5.422613,16.032447
25399,2936.790663,2158.785179,10.724688,5.501343,16.226031
25599,2929.177425,1962.296180,10.852677,5.552878,16.405554
25799,2921.667908,1960.449734,10.945010,5.624296,16.569306
25999,2912.740651,1761.124556,11.042430,5.698786,16.741216
26199,2905.897331,2016.265670,11.130373,5.757745,16.888118
26399,2897.159078,1752.447962,11.231756,5.831931,17.063687
26599,2889.395692,1864.628796,11.325299,5.886573,17.211871
26799,2882.006431,1899.234719,11.381254,5.922332,17.303586
26999,2876.229914,2102.176543,11.555759,5.956470,17.512229
27199,2869.090669,1905.292691,11.630178,5.986020,17.616198
27399,2860.800615,1733.353154,11.698733,6.028724,17.727457
27599,2856.021756,2201.318169,11.776588,6.066122,17.842710
27799,2849.263501,1916.624329,11.838125,6.102788,17.940914
27999,2844.818256,2226.929176,11.897742,6.134840,18.032583
28199,2836.877206,1725.130147,11.960875,6.173052,18.133926
28399,2832.955759,2280.031706,12.023095,6.211006,18.234101
28599,2824.876605,1677.636765,12.105446,6.250581,18.356027
28799,2817.457066,1756.463025,12.185631,6.309634,18.495265
28999,2809.483936,1661.353143,12.338299,6.353656,18.691955
29199,2803.700373,1965.083737,12.419045,6.399135,18.818180
29399,2797.003474,1819.256279,12.493380,6.456484,18.949864
29599,2787.124649,1334.937308,12.573262,6.499516,19.072778
29799,2780.281437,1767.486184,12.651153,6.552740,19.203893
29999,2775.520918,2066.203522,12.704876,6.583944,19.288819
30199,2770.271910,1982.920720,12.786768,6.636403,19.423171
30399,2766.288069,2164.728060,12.870669,6.685114,19.555783
30599,2759.242950,1688.384847,12.951446,6.724446,19.675892
30799,2751.050221,1497.562658,13.011380,6.759749,19.771129
30999,2744.541721,1742.232786,13.076257,6.804367,19.880624
31199,2739.231083,1916.082253,13.146394,6.850233,19.996628
31399,2733.607411,1856.314496,13.206023,6.887095,20.093119
31599,2730.295546,2210.332778,13.414088,6.922537,20.336625
31799,2723.265642,1612.540853,13.506601,6.974475,20.481077
31999,2716.260254,1602.403569,13.580507,7.024065,20.604572
32199,2712.561425,2120.748755,13.651645,7.071215,20.722860
32399,2707.278643,1856.750646,13.715710,7.109587,20.825298
32599,2701.259757,1726.200223,13.786755,7.154903,20.941657
32799,2694.110351,1528.757298,13.866177,7.190706,21.056883
32999,2689.095892,1866.724470,13.937201,7.235649,21.172851
33199,2683.786553,1807.745666,14.001410,7.269067,21.270477
33399,2678.149906,1742.466455,14.077472,7.315799,21.393271
33599,2673.412336,1882.238257,14.148058,7.361838,21.509896
33799,2669.508884,2013.728933,14.237339,7.399769,21.637108
33999,2662.024600,1397.180584,14.290488,7.429617,21.720105
34199,2656.092464,1647.629271,14.348997,7.466098,21.815094
34399,2651.464690,1860.115492,14.402688,7.496132,21.898820
34599,2647.460432,1958.728032,14.452047,7.524483,21.976531
34799,2642.989393,1869.499571,14.537445,7.563705,22.101149
34999,2638.729177,1897.451548,14.610384,7.615063,22.225447
35199,2634.195919,1840.875746,14.676895,7.652779,22.329674
35399,2629.176181,1745.702386,14.736618,7.685594,22.422212
35599,2625.180414,1917.929677,14.796374,7.720561,22.516935
35799,2621.093809,1893.678174,14.909605,7.789003,22.698608
35999,2615.062937,1535.536759,14.988786,7.836747,22.825533
36199,2612.046086,2069.012927,15.054647,7.876619,22.931265
36399,2605.920965,1497.273967,15.122694,7.919462,23.042156
36599,2598.933248,1327.168790,15.179353,7.951938,23.131291
36799,2594.316440,1749.440648,15.328546,7.986433,23.314979
36999,2587.475555,1328.752717,15.389831,8.027138,23.416969
37199,2581.962225,1561.996208,15.483449,8.095623,23.579072
37399,2575.581999,1388.859966,15.560724,8.147089,23.707812
37599,2569.325991,1399.452462,15.624856,8.184838,23.809694
37799,2563.979182,1558.779138,15.696962,8.225606,23.922567
37999,2556.570598,1156.348074,15.756636,8.259654,24.016290
38199,2552.048115,1692.776394,15.817568,8.295492,24.113060
38399,2546.353458,1458.673910,15.888774,8.338823,24.227597
38599,2540.279678,1374.114017,15.966309,8.390097,24.356406
38799,2533.421071,1209.709911,16.071808,8.450104,24.521912
38999,2529.074553,1685.850135,16.142258,8.498074,24.640332
39199,2523.525029,1441.367830,16.218388,8.549831,24.768218
39399,2518.705177,1574.014033,16.292919,8.599836,24.892755
39599,2513.151914,1419.159288,16.367221,8.648720,25.015940
39799,2508.754703,1638.106834,16.447412,8.690259,25.137671
39999,2503.683856,1494.585371,16.522363,8.740692,25.263056
40199,2498.105334,1382.400808,16.594171,8.787138,25.381310
40399,2493.098999,1486.825808,16.661734,8.831555,25.493289
40599,2488.865241,1633.646013,16.732659,8.878067,25.610726
40799,2482.133219,1115.532789,16.837701,8.932560,25.770260
40999,2477.444520,1520.949952,16.901382,8.971955,25.873337
41199,2472.424990,1443.421354,16.961845,9.009282,25.971127
41399,2467.100264,1370.206639,17.167094,9.043794,26.210888
41599,2461.765663,1357.503169,17.262500,9.116172,26.378673
41799,2457.896267,1653.061992,17.350888,9.157874,26.508762
41999,2453.046060,1439.352868,17.422733,9.203172,26.625905
42199,2449.563469,1718.219377,17.485154,9.240785,26.725939
42399,2449.780264,2495.524006,17.543883,9.273035,26.816918
42599,2445.069615,1446.411955,17.606960,9.311866,26.918826
42799,2440.013945,1363.156222,17.693011,9.352942,27.045953
42999,2434.002179,1147.484168,17.756537,9.392938,27.149476
43199,2429.148209,1385.544752,17.815686,9.426592,27.242278
43399,2425.443548,1625.236757,17.883457,9.470309,27.353766
43599,2420.676690,1386.268438,17.938031,9.504987,27.443018
43799,2415.327881,1249.287515,18.074109,9.537961,27.612069
43999,2411.303991,1530.072155,18.134854,9.572040,27.706893
44199,2408.493772,1790.245709,18.209350,9.616718,27.826068
44399,2403.581226,1317.908517,18.267318,9.650894,27.918212
44599,2399.812727,1563.205800,18.328327,9.687448,28.015775
44799,2397.048165,1780.550968,18.531123,9.725872,28.256995
44999,2392.765176,1433.375515,18.588214,9.758599,28.346813
45199,2387.915855,1296.818798,18.655573,9.801310,28.456883
45399,2383.723935,1436.349997,18.720179,9.842145,28.562324
45599,2378.428586,1176.384267,18.774493,9.872321,28.646814
45799,2375.986637,1819.222340,18.861098,9.917484,28.778583
45999,2371.295160,1296.946952,18.927036,9.959247,28.886283
46199,2367.431120,1478.701911,19.001460,10.000772,29.002233
46399,2363.494039,1454.028226,19.067013,10.038490,29.105503
46599,2358.940351,1302.484671,19.133528,10.079038,29.212567
46799,2354.278340,1268.029977,19.206086,10.110092,29.316178
46999,2349.671746,1271.728571,19.265134,10.144610,29.409744
47199,2344.520149,1133.894948,19.333338,10.186206,29.519545
47399,2341.246397,1568.640824,19.404920,10.230887,29.635807
47599,2338.170131,1609.095220,19.461071,10.265444,29.726515
47799,2335.119211,1609.000171,19.539329,10.297522,29.836851
47999,2331.681594,1510.091265,19.710932,10.334636,30.045569
48199,2329.190138,1731.240505,19.776961,10.379303,30.156265
