# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[HTR],current_mse_[HTR],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
16999,5916.859476,3244.806936,2.101736,0.297432,2.399169
17199,5900.413709,4502.523548,2.143021,0.301100,2.444121
17399,5888.008036,4821.120167,2.176300,0.304744,2.481044
17599,5883.313608,5474.898367,2.197720,0.308296,2.506016
17799,5863.862419,4152.157759,2.209958,0.311867,2.521825
17999,5840.631315,3773.063084,2.232117,0.315432,2.547549
18199,5817.016731,3691.704127,2.269389,0.319016,2.588405
18399,5790.942196,3418.159551,2.283233,0.322639,2.605873
18599,5768.423799,3696.731259,2.340340,0.326405,2.666745
18799,5747.994366,3848.057099,2.354003,0.330148,2.684151
18999,5729.056269,3948.875167,2.372829,0.333778,2.706606
19199,5712.199613,4110.817249,2.385488,0.337421,2.722909
19399,5697.125097,4249.971628,2.414250,0.341090,2.755339
19599,5685.140766,4522.660616,2.436632,0.344735,2.781367
19799,5672.973530,4480.584369,2.456060,0.348407,2.804467
19999,5660.476444,4423.264937,2.474681,0.352069,2.826750
20199,5645.355552,4133.266393,2.515997,0.355721,2.871718
20399,5634.637603,4552.124725,2.527083,0.359355,2.886438
20599,5623.597140,4497.469976,2.538775,0.362962,2.901737
20799,5601.194170,3293.688217,2.551868,0.366616,2.918484
20999,5581.373071,3519.978794,2.610079,0.370206,2.980286
21199,5560.311195,3348.814156,2.629842,0.373833,3.003675
21399,5552.130877,4685.017175,2.655104,0.377394,3.032498
21599,5536.484615,3862.334657,2.674270,0.380986,3.055256
21799,5520.331638,3775.810038,2.686203,0.384602,3.070805
21999,5503.248779,3641.217194,2.708081,0.388236,3.096317
22199,5489.301784,3955.132304,2.719950,0.391819,3.111769
22399,5469.810562,3306.284916,2.732598,0.395406,3.128004
22599,5451.056605,3350.613436,2.744881,0.398984,3.143866
22799,5436.672610,3811.281156,2.757753,0.402549,3.160302
22999,5426.569286,4274.790393,2.819524,0.406176,3.225700
23199,5414.742456,4054.657040,2.851639,0.410119,3.261758
23399,5403.413552,4089.260679,2.877023,0.413919,3.290942
23599,5394.416178,4341.723418,2.944974,0.417727,3.362701
23799,5379.465821,3615.323665,2.956835,0.421420,3.378254
23999,5368.205303,4028.203681,2.984750,0.425087,3.409837
24199,5361.334263,4536.809451,2.996891,0.428776,3.425668
24399,5348.095991,3746.265022,3.009896,0.432414,3.442310
24599,5332.684296,3452.457568,3.022538,0.435988,3.458526
24799,5323.149880,4150.416738,3.034605,0.439550,3.474156
24999,5311.478017,3864.167030,3.047235,0.443111,3.490345
25199,5300.401251,3915.805481,3.059842,0.446699,3.506542
25399,5287.037560,3603.212435,3.087839,0.450339,3.538178
25599,5276.881550,3987.068355,3.134604,0.454072,3.588676
25799,5263.576522,3560.532849,3.147760,0.457710,3.605470
25999,5248.777473,3339.700179,3.202605,0.461389,3.663994
26199,5240.051535,4105.679595,3.232518,0.465237,3.697755
26399,5230.915951,4034.154425,3.260769,0.468924,3.729693
26599,5223.081153,4188.887872,3.288330,0.472637,3.760967
26799,5208.077531,3212.595799,3.303234,0.476425,3.779659
26999,5191.358947,2951.068721,3.344332,0.480092,3.824423
27199,5182.766767,4022.822374,3.385549,0.483737,3.869285
27399,5171.017515,3573.119235,3.412869,0.487385,3.900254
27599,5155.499040,3029.468088,3.425184,0.491005,3.916189
27799,5145.464978,3760.764406,3.445760,0.494635,3.940396
27999,5136.802533,3932.722607,3.463416,0.498689,3.962106
28199,5125.239792,3506.456142,3.480151,0.502497,3.982649
28399,5114.005516,3529.972529,3.518830,0.506435,4.025264
28599,5103.285337,3581.019977,3.534455,0.510204,4.044659
28799,5093.114603,3638.699580,3.587368,0.514019,4.101387
28999,5080.760238,3301.731653,3.602415,0.517739,4.120154
29199,5072.869369,3928.693367,3.616646,0.521461,4.138108
29399,5063.190386,3650.058871,3.652717,0.525179,4.177896
29599,5049.031596,2967.689545,3.672574,0.528863,4.201437
29799,5045.864085,4577.072421,3.685355,0.532534,4.217888
29999,5034.303884,3311.833934,3.698572,0.536201,4.234773
30199,5024.768244,3594.422212,3.737184,0.539953,4.277137
30399,5019.150797,4170.916251,3.765175,0.543733,4.308909
30599,5015.948433,4529.189151,3.777899,0.547400,4.325299
30799,5006.044704,3490.774256,3.829377,0.551073,4.380450
30999,4993.094071,2998.696522,3.844370,0.554934,4.399304
31199,4982.197728,3293.264610,3.875855,0.558768,4.434623
31399,4971.446395,3294.238405,3.897728,0.562522,4.460250
31599,4967.514583,4350.220087,3.934588,0.566458,4.501046
31799,4958.230085,3491.279464,3.963539,0.570290,4.533828
31999,4950.721517,3756.859074,4.001195,0.573995,4.575190
32199,4945.034751,4035.152342,4.028261,0.577701,4.605962
32399,4935.477026,3396.683172,4.040584,0.581357,4.621941
32599,4925.623638,3329.374763,4.065472,0.585030,4.650502
32799,4913.575424,2949.716623,4.079529,0.588745,4.668274
32999,4903.929375,3321.977308,4.093913,0.592482,4.686395
33199,4894.815810,3391.077631,4.114837,0.596128,4.710965
33399,4888.989655,3921.847952,4.158077,0.599841,4.757918
33599,4885.592507,4318.268711,4.178150,0.603551,4.781701
33799,4880.376138,4004.026105,4.190152,0.607210,4.797362
33999,4872.048033,3464.598437,4.205468,0.611014,4.816482
34199,4864.517508,3584.328173,4.230358,0.614711,4.845070
34399,4853.098903,2900.517365,4.266798,0.618607,4.885405
34599,4842.802028,3071.739599,4.281705,0.622413,4.904118
34799,4838.334437,4065.441259,4.319062,0.626179,4.945241
34999,4827.923497,3016.419941,4.339604,0.629935,4.969540
35199,4819.345296,3318.160000,4.364212,0.633788,4.998000
35399,4818.112204,4601.088152,4.377803,0.637558,5.015361
35599,4811.466550,3635.185670,4.390690,0.641279,5.031969
35799,4805.303871,3708.346969,4.471087,0.645111,5.116198
35999,4800.073279,3863.797350,4.511864,0.648909,5.160773
36199,4792.046986,3347.314321,4.526343,0.652796,5.179139
36399,4781.964930,2957.112802,4.542458,0.656926,5.199383
36599,4772.937581,3129.959970,4.558324,0.660855,5.219178
36799,4766.319583,3555.226090,4.572969,0.664745,5.237714
36999,4761.921577,3952.688403,4.604680,0.668693,5.273373
37199,4757.376727,3916.579495,4.633964,0.672563,5.306527
37399,4753.369718,4008.066082,4.664087,0.676377,5.340464
37599,4748.240279,3789.035109,4.692820,0.680582,5.373402
37799,4741.535678,3481.070753,4.724007,0.684660,5.408668
37999,4734.881069,3477.159820,4.739623,0.688607,5.428230
38199,4725.264186,2898.056533,4.755236,0.692520,5.447756
38399,4717.838571,3299.546004,4.782390,0.696686,5.479076
38599,4710.707345,3341.511993,4.804627,0.700581,5.505208
38799,4703.093560,3233.633182,4.821493,0.704507,5.526001
38999,4702.584224,4603.772953,4.845859,0.708579,5.554438
39199,4695.093718,3234.445129,4.867469,0.712430,5.579898
39399,4688.999628,3494.558000,4.881350,0.716142,5.597492
39599,4681.729707,3249.555114,4.894778,0.719827,5.614605
39799,4675.455104,3433.083786,4.908746,0.723513,5.632259
39999,4667.249026,3034.239418,4.923963,0.727288,5.651251
40199,4662.163361,3645.030501,4.938523,0.730970,5.669493
40399,4657.792694,3779.288480,4.984108,0.734711,5.718819
40599,4648.529267,2777.317148,5.065788,0.738520,5.804309
40799,4641.844557,3284.848453,5.079178,0.742252,5.821431
40999,4635.578099,3357.220634,5.093175,0.745973,5.839147
41199,4628.296279,3135.523222,5.107866,0.749782,5.857648
41399,4621.702767,3263.439193,5.130078,0.753519,5.883598
41599,4617.295652,3705.022879,5.157984,0.757293,5.915277
41799,4610.764537,3252.292563,5.171940,0.761093,5.933034
41999,4601.813190,2730.981715,5.187001,0.764889,5.951890
42199,4595.600597,3290.956039,5.203289,0.768789,5.972078
42399,4591.153642,3652.846132,5.242588,0.772726,6.015313
42599,4581.008414,2430.220190,5.256625,0.776489,6.033114
42799,4573.162155,2901.908809,5.271177,0.780187,6.051365
42999,4566.075739,3049.582751,5.284999,0.783894,6.068893
43199,4558.419745,2912.381188,5.327319,0.787703,6.115022
43399,4553.248061,3436.164233,5.367963,0.791566,6.159529
43599,4544.198475,2580.438253,5.398587,0.795466,6.194053
43799,4535.612570,2663.885225,5.413237,0.799204,6.212441
43999,4529.477470,3185.890734,5.439593,0.803014,6.242607
44199,4526.447632,3859.883132,5.463063,0.806778,6.269842
44399,4521.124006,3344.602626,5.489072,0.810544,6.299616
44599,4516.020477,3383.037037,5.516269,0.814313,6.330582
44799,4506.899626,2472.949959,5.546555,0.818257,6.364812
44999,4498.995191,2728.401703,5.573844,0.822305,6.396149
45199,4493.846632,3335.420929,5.601077,0.826107,6.427183
45399,4488.778214,3343.315729,5.629398,0.829873,6.459271
45599,4484.772017,3575.365391,5.693093,0.833681,6.526774
45799,4482.315799,3922.297959,5.725740,0.837435,6.563176
45999,4479.119664,3747.204701,5.741815,0.841293,6.583108
46199,4474.336642,3374.241765,5.767803,0.845087,6.612890
46399,4467.780574,2953.328833,5.789631,0.848857,6.638488
46599,4460.825903,2847.342193,5.822291,0.852679,6.674970
46799,4455.700736,3261.536866,5.860102,0.856481,6.716584
46999,4449.480949,2994.050822,5.874233,0.860249,6.734482
47199,4441.424147,2548.075487,5.890163,0.864108,6.754271
47399,4437.631605,3542.591866,5.944899,0.867942,6.812841
47599,4431.363997,2945.940841,5.983751,0.871759,6.855510
47799,4426.565887,3284.615601,5.998360,0.875537,6.873896
47999,4422.240040,3388.362777,6.020978,0.879319,6.900296
