# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [D+RESET] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [RESET] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [D] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [semRESET] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=1, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D+RESET],current_mse_[D+RESET],mean_mse_[RESET],current_mse_[RESET],mean_mse_[D],current_mse_[D],mean_mse_[semRESET],current_mse_[semRESET],mean_mse_[HTR],current_mse_[HTR],training_time_[D+RESET],testing_time_[D+RESET],total_running_time_[D+RESET],training_time_[RESET],testing_time_[RESET],total_running_time_[RESET],training_time_[D],testing_time_[D],total_running_time_[D],training_time_[semRESET],testing_time_[semRESET],total_running_time_[semRESET],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
2799,11374.096007,3430.592098,12321.301688,5192.772204,12241.368157,3567.730027,11292.182171,4638.654870,10438.072467,6188.362481,1.485064,0.686785,2.171849,0.060162,0.595276,0.655438,1.337597,0.601158,1.938756,0.059279,0.578072,0.637350,0.420651,0.083084,0.503735
2999,10992.511084,5650.322156,11903.560804,6055.188435,11818.474500,5897.963306,10890.415445,5265.681279,10231.603053,7341.031261,1.568277,0.720132,2.288409,0.062497,0.626224,0.688721,1.445416,0.631594,2.077011,0.061491,0.609248,0.670739,0.440363,0.089262,0.529625
3199,10542.637931,3794.540635,11430.658463,4337.123339,11391.967612,4994.364285,10437.028990,3636.232162,9943.556525,5622.858602,1.625473,0.748585,2.374058,0.070819,0.652860,0.723679,1.501910,0.657009,2.158918,0.069421,0.634390,0.703811,0.484497,0.094440,0.578937
3399,10182.641444,4422.697650,11098.377178,5781.876621,11041.369276,5431.795911,10113.522691,4937.421907,9688.351564,5605.072196,1.700762,0.794658,2.495420,0.072284,0.700699,0.772983,1.577621,0.697002,2.274622,0.070810,0.674853,0.745663,0.516071,0.100592,0.616663
3599,9883.741127,4802.435743,10821.602216,6116.427862,10669.048591,4339.596935,9849.957912,5369.356674,9561.851296,7411.346742,1.756891,0.825882,2.582773,0.073900,0.729681,0.803581,1.677231,0.724806,2.402037,0.072409,0.702787,0.775196,0.549946,0.106371,0.656317
3799,9574.636945,4010.761670,10558.496803,5822.599377,10302.540832,3705.401176,9603.919839,5175.234527,9336.158976,5273.697208,1.813412,0.857717,2.671128,0.075595,0.759414,0.835009,1.741067,0.754071,2.495139,0.074059,0.730791,0.804850,0.567424,0.111503,0.678927
3999,9276.910081,3620.099661,10326.530317,5919.167067,9978.661213,3824.948444,9386.562738,5256.777810,9179.110504,6195.189535,1.963420,0.894309,2.857729,0.077597,0.792136,0.869733,1.821315,0.787041,2.608357,0.076101,0.765190,0.841291,0.608974,0.117504,0.726477
4199,9040.270269,4307.474039,10052.952298,4581.391920,9689.563692,3907.613280,9139.944187,4207.573172,9055.178555,6576.539587,2.060694,0.924476,2.985170,0.091254,0.819704,0.910958,1.876480,0.814313,2.690793,0.090415,0.791297,0.881712,0.643087,0.123054,0.766141
4399,8799.690065,3747.505778,9759.014769,3586.326663,9438.715652,4170.906813,8881.333001,3450.498096,8913.631891,5941.151929,2.138062,0.978713,3.116775,0.092843,0.854484,0.947326,1.947846,0.849239,2.797085,0.091773,0.827124,0.918897,0.670530,0.129271,0.799801
4599,8609.371269,4422.357764,9505.605245,3930.595728,9295.175616,6137.294828,8657.135294,3724.785742,8761.734378,5419.989107,2.265128,1.012797,3.277925,0.094596,0.885918,0.980514,2.019245,0.880664,2.899909,0.093459,0.858057,0.951516,0.690093,0.135433,0.825526
4799,8398.379574,3545.570592,9278.209842,4048.115555,9103.558368,4696.361664,8460.267107,3932.298810,8624.885070,5477.350979,2.364994,1.042904,3.407898,0.096324,0.913056,1.009381,2.078233,0.907471,2.985704,0.095320,0.883774,0.979094,0.723717,0.140916,0.864633
4999,8253.623119,4779.468191,9041.212354,3353.272663,8945.053265,5140.930793,8249.871957,3200.388339,8527.790878,6197.530280,2.424467,1.076517,3.500983,0.098320,0.943230,1.041549,2.193031,0.936974,3.130006,0.097285,0.913772,1.011056,0.757408,0.146768,0.904176
