# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [D+RESET] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [RESET] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [D] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [semRESET] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=1, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D+RESET],current_mse_[D+RESET],mean_mse_[RESET],current_mse_[RESET],mean_mse_[D],current_mse_[D],mean_mse_[semRESET],current_mse_[semRESET],mean_mse_[HTR],current_mse_[HTR],training_time_[D+RESET],testing_time_[D+RESET],total_running_time_[D+RESET],training_time_[RESET],testing_time_[RESET],total_running_time_[RESET],training_time_[D],testing_time_[D],total_running_time_[D],training_time_[semRESET],testing_time_[semRESET],total_running_time_[semRESET],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
3399,0.220185,0.225036,0.222956,0.167207,0.227832,0.168280,0.221117,0.158939,0.166481,0.139510,1.752933,0.823039,2.575972,0.097720,0.748306,0.846026,1.555562,0.736984,2.292546,0.100612,0.745060,0.845672,0.509580,0.107774,0.617353
3599,0.215835,0.141885,0.220290,0.174968,0.224206,0.162562,0.218017,0.165320,0.164179,0.125054,1.878891,0.868523,2.747414,0.099366,0.791070,0.890436,1.693056,0.777180,2.470236,0.102227,0.787736,0.889962,0.540361,0.114772,0.655133
3799,0.214084,0.182561,0.218441,0.185174,0.220352,0.150983,0.215966,0.179042,0.163344,0.148303,2.028412,0.908784,2.937196,0.101733,0.829276,0.931009,1.808465,0.815696,2.624160,0.104252,0.826946,0.931199,0.584601,0.121784,0.706385
3999,0.212989,0.192184,0.215620,0.162021,0.219915,0.211599,0.212684,0.150315,0.161187,0.120198,2.099814,0.945028,3.044842,0.103601,0.861363,0.964964,1.857293,0.847292,2.704585,0.106006,0.859476,0.965481,0.617350,0.127663,0.745013
4199,0.212479,0.202281,0.214045,0.182541,0.218261,0.185195,0.211249,0.182551,0.159824,0.132568,2.221323,0.987645,3.208968,0.118962,0.900998,1.019960,1.917570,0.885196,2.802767,0.123350,0.906213,1.029564,0.639969,0.133936,0.773904
4399,0.213153,0.227297,0.213866,0.210102,0.217058,0.191788,0.211170,0.209509,0.159763,0.158479,2.356817,1.026029,3.382846,0.120380,0.939372,1.059752,1.979677,0.921084,2.900760,0.124691,0.941773,1.066464,0.669193,0.140440,0.809633
4599,0.215198,0.260199,0.213473,0.204839,0.216081,0.194579,0.211143,0.210560,0.158486,0.130391,2.473101,1.064399,3.537500,0.122134,0.976082,1.098216,2.049874,0.955620,3.005494,0.126356,0.976996,1.103352,0.700973,0.147438,0.848410
4799,0.214243,0.192274,0.213513,0.214416,0.214760,0.184391,0.211045,0.208790,0.157470,0.134117,2.551910,1.106534,3.658444,0.124003,1.012920,1.136923,2.152791,0.996445,3.149236,0.128339,1.017616,1.145955,0.725898,0.154812,0.880710
4999,0.216103,0.260736,0.212338,0.184138,0.216541,0.259268,0.209908,0.182621,0.156276,0.127615,2.664458,1.140514,3.804973,0.125928,1.043989,1.169917,2.201008,1.027853,3.228860,0.130254,1.049027,1.179281,0.757171,0.161175,0.918345
5199,0.215768,0.207414,0.210475,0.163918,0.215796,0.197187,0.207862,0.156714,0.154722,0.115861,2.727327,1.175830,3.903157,0.137058,1.076177,1.213235,2.255367,1.059770,3.315137,0.141904,1.081621,1.223525,0.780811,0.167798,0.948609
