# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=AGRAWALGenerator(balance_classes=False, classification_function=2, perturbation=0.0, random_state=112), position=10000, random_state=112, stream=AGRAWALGenerator(balance_classes=False, classification_function=0, perturbation=0.0, random_state=112), width=1)
# [D+RESET] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [RESET] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [D] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [semRESET] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=1, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=100000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D+RESET],current_mse_[D+RESET],mean_mse_[RESET],current_mse_[RESET],mean_mse_[D],current_mse_[D],mean_mse_[semRESET],current_mse_[semRESET],mean_mse_[HTR],current_mse_[HTR],training_time_[D+RESET],testing_time_[D+RESET],total_running_time_[D+RESET],training_time_[RESET],testing_time_[RESET],total_running_time_[RESET],training_time_[D],testing_time_[D],total_running_time_[D],training_time_[semRESET],testing_time_[semRESET],total_running_time_[semRESET],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
3399,0.025680,0.011642,0.029859,0.010595,0.031344,0.011458,0.029325,0.005251,0.038061,0.005242,1.655989,0.699926,2.355914,0.070404,0.651099,0.721503,1.332798,0.647741,1.980539,0.074168,0.650056,0.724225,0.380432,0.097745,0.478177
3599,0.024480,0.004088,0.028808,0.010955,0.029898,0.005323,0.027998,0.005435,0.036240,0.005279,1.764176,0.731661,2.495837,0.071898,0.680889,0.752787,1.415532,0.675703,2.091235,0.075669,0.678090,0.753759,0.396221,0.103097,0.499319
3799,0.023192,0.000000,0.027819,0.010007,0.028325,0.000000,0.026785,0.004951,0.034563,0.004373,1.825433,0.762807,2.588240,0.073541,0.709416,0.782957,1.476253,0.704395,2.180649,0.077368,0.707120,0.784488,0.423347,0.108061,0.531408
3999,0.022032,0.000000,0.026956,0.010559,0.026909,0.000000,0.025707,0.005236,0.033102,0.005335,1.917833,0.798709,2.716543,0.075434,0.744045,0.819479,1.551491,0.740465,2.291956,0.079252,0.741210,0.820463,0.461910,0.113894,0.575804
4199,0.020983,0.000000,0.025746,0.001546,0.025627,0.000000,0.024520,0.000774,0.031726,0.004216,2.023857,0.831325,2.855182,0.083668,0.775986,0.859654,1.670336,0.771308,2.441644,0.085647,0.772602,0.858249,0.479892,0.119839,0.599731
4399,0.021113,0.023838,0.024576,0.000000,0.024462,0.000000,0.023405,0.000000,0.030508,0.004925,2.118455,0.870646,2.989100,0.085242,0.813926,0.899168,1.735663,0.808122,2.543785,0.087215,0.809051,0.896267,0.529234,0.125681,0.654915
4599,0.021796,0.036820,0.023507,0.000000,0.025544,0.049333,0.022388,0.000000,0.029363,0.004177,2.265648,0.907809,3.173457,0.087014,0.848881,0.935895,1.851042,0.843395,2.694437,0.088882,0.842601,0.931483,0.555551,0.131714,0.687265
4799,0.022802,0.045953,0.022528,0.000000,0.027561,0.073965,0.021455,0.000000,0.028405,0.006361,2.393798,0.946143,3.339941,0.088742,0.890320,0.979062,1.996694,0.878577,2.875270,0.090604,0.877352,0.967957,0.572984,0.137162,0.710146
4999,0.023014,0.028089,0.021627,0.000000,0.028572,0.052819,0.020597,0.000000,0.027473,0.005116,2.503908,0.977109,3.481017,0.090448,0.919688,1.010135,2.058597,0.907455,2.966052,0.092313,0.905734,0.998046,0.623793,0.142338,0.766131
5199,0.022791,0.017233,0.020886,0.002379,0.028292,0.021302,0.019868,0.001661,0.026595,0.004637,2.642899,1.010040,3.652939,0.099919,0.952415,1.052334,2.141352,0.939750,3.081101,0.101210,0.936072,1.037282,0.649271,0.147619,0.796890
5399,0.022753,0.021743,0.020208,0.002581,0.028173,0.025072,0.019199,0.001782,0.025831,0.005961,2.783742,1.046221,3.829963,0.101383,0.985644,1.087027,2.219017,0.972889,3.191907,0.102658,0.971966,1.074624,0.666413,0.153353,0.819766
