# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=AGRAWALGenerator(balance_classes=False, classification_function=2, perturbation=0.0, random_state=112), position=10000, random_state=112, stream=AGRAWALGenerator(balance_classes=False, classification_function=0, perturbation=0.0, random_state=112), width=1)
# [D+RESET] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [RESET] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [D] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [semRESET] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=1, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=15000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D+RESET],current_mse_[D+RESET],mean_mse_[RESET],current_mse_[RESET],mean_mse_[D],current_mse_[D],mean_mse_[semRESET],current_mse_[semRESET],mean_mse_[HTR],current_mse_[HTR],training_time_[D+RESET],testing_time_[D+RESET],total_running_time_[D+RESET],training_time_[RESET],testing_time_[RESET],total_running_time_[RESET],training_time_[D],testing_time_[D],total_running_time_[D],training_time_[semRESET],testing_time_[semRESET],total_running_time_[semRESET],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
3399,0.026701,0.003039,0.027927,0.010134,0.031753,0.000537,0.025073,0.009401,0.038061,0.005242,1.348935,0.563351,1.912286,0.064324,0.519390,0.583714,1.059379,0.504391,1.563770,0.064875,0.512977,0.577852,0.354417,0.088981,0.443398
3599,0.025229,0.000190,0.027073,0.012547,0.030002,0.000219,0.024272,0.010652,0.036240,0.005279,1.417725,0.597024,2.014749,0.065830,0.551346,0.617176,1.106896,0.535365,1.642261,0.066323,0.543227,0.609549,0.370765,0.094314,0.465079
3799,0.023909,0.000162,0.026254,0.011511,0.028445,0.000418,0.023491,0.009437,0.034563,0.004373,1.477760,0.630387,2.108147,0.067540,0.581346,0.648886,1.265606,0.563685,1.829292,0.068031,0.571735,0.639767,0.399231,0.099807,0.499038
3999,0.022769,0.001109,0.025368,0.008544,0.027088,0.001307,0.022692,0.007502,0.033102,0.005335,1.626378,0.672433,2.298811,0.069512,0.616817,0.686329,1.320914,0.599073,1.919988,0.070008,0.605054,0.675062,0.440314,0.105418,0.545732
4199,0.021743,0.001225,0.024301,0.002957,0.025859,0.001280,0.021724,0.002372,0.031726,0.004216,1.742064,0.705331,2.447395,0.083539,0.647444,0.730983,1.367920,0.630531,1.998451,0.082780,0.636026,0.718806,0.457938,0.111123,0.569061
4399,0.020806,0.001132,0.023242,0.001006,0.024735,0.001140,0.020779,0.000919,0.030508,0.004925,1.800329,0.737219,2.537549,0.084927,0.676358,0.761285,1.427838,0.659210,2.087048,0.084119,0.668758,0.752877,0.506300,0.116508,0.622808
4599,0.019966,0.001483,0.022289,0.001315,0.023726,0.001529,0.019928,0.001227,0.029363,0.004177,1.918195,0.769589,2.687784,0.086424,0.707706,0.794129,1.585649,0.687698,2.273347,0.085561,0.698410,0.783970,0.531309,0.121974,0.653283
4799,0.019188,0.001289,0.021399,0.000937,0.022792,0.001312,0.019133,0.000847,0.028405,0.006361,1.986523,0.801754,2.788277,0.088015,0.736850,0.824865,1.639085,0.716970,2.356055,0.087271,0.727796,0.815067,0.548325,0.127489,0.675814
4999,0.018453,0.000818,0.020588,0.001119,0.021912,0.000793,0.018412,0.001087,0.027473,0.005116,2.075983,0.831610,2.907592,0.089764,0.766023,0.855787,1.694287,0.745514,2.439801,0.088961,0.755866,0.844827,0.601970,0.132886,0.734857
5199,0.017744,0.000004,0.020273,0.012406,0.021070,0.000004,0.017948,0.006371,0.026595,0.004637,2.161100,0.861454,3.022554,0.098951,0.793815,0.892765,1.759666,0.773625,2.533291,0.096253,0.783791,0.880044,0.626794,0.138206,0.765000
5399,0.017087,0.000002,0.020205,0.018436,0.020289,0.000002,0.017635,0.009473,0.025831,0.005961,2.230653,0.894288,3.124941,0.100471,0.825045,0.925516,1.810299,0.805239,2.615538,0.097665,0.814300,0.911965,0.644768,0.143836,0.788605
